donor_id,condition,sender_subtype,receiver_group,receiver_state,ligand,receptor,pathway,sender_cell_count,receiver_cell_count,support,support_status,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present,n_donors,n_supported_donors,median_supported_score,max_donor_score,consistent_across_ge4_donors,donor_driven
KUL31,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL01,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,161,730,True,supported,1.6506482362747192,0.6335403726708074,0.3988465964794159,0.4547945205479452,0.43553691534698746,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL19,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,35,574,True,supported,0.36819735169410706,0.1714285714285714,0.14640818536281586,0.14285714285714285,0.03633419914286479,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL21,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,139,759,True,supported,2.968080759048462,0.6258992805755396,0.6617639660835266,0.6126482213438735,0.8678551185416346,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL28,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,14,40,True,supported,0.5369300842285156,0.14285714285714285,0.18333113193511963,0.275,0.062186241049078925,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL30,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,31,68,True,supported,0.1810707300901413,0.06451612903225806,0.38323211669921875,0.5,0.04731231823665355,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL31,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL01,tumor,resident_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,7,730,True,supported,1.8762178421020508,0.7142857142857143,0.3988465964794159,0.4547945205479452,0.49304682894193447,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL19,tumor,resident_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,9,574,True,supported,0.14700451493263245,0.11111111111111109,0.14640818536281586,0.14285714285714285,0.018483224599889575,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL21,tumor,resident_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,84,759,True,supported,1.8093258142471313,0.4880952380952381,0.6617639660835266,0.6126482213438735,0.5983672579275666,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL28,tumor,resident_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,4,40,False,insufficient coverage,1.4622024297714233,0.25,0.18333113193511963,0.275,0.13575574325445341,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL30,tumor,resident_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,1,68,False,insufficient coverage,1.000000000000001e-12,1.000000000000001e-12,0.38323211669921875,0.5,4.3773971529849766e-13,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL31,tumor,resident_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB5,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.13577012646755865,0.23900478587516374,0.32035011406957853,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB5,SPP1,8,574,True,supported,3.889470338821411,1.0,0.02990850502330667,0.04942948069376694,0.07582904885164643,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB5,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.2792901323566352,0.34027822835010124,0.6183800836142355,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB5,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.10502501321127557,0.17320508075688773,0.02441050783190772,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB5,SPP1,0,68,False,insufficient coverage,,,,,,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB5,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL01,tumor,resident_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,7,730,True,supported,1.8762178421020508,0.7142857142857143,0.3988465964794159,0.4547945205479452,0.49304682894193447,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL19,tumor,resident_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,9,574,True,supported,0.14700451493263245,0.11111111111111109,0.14640818536281586,0.14285714285714285,0.018483224599889575,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL21,tumor,resident_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,84,759,True,supported,1.8093258142471313,0.4880952380952381,0.6617639660835266,0.6126482213438735,0.5983672579275666,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL28,tumor,resident_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,4,40,False,insufficient coverage,1.4622024297714233,0.25,0.18333113193511963,0.275,0.13575574325445341,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL30,tumor,resident_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,1,68,False,insufficient coverage,1.000000000000001e-12,1.000000000000001e-12,0.38323211669921875,0.5,4.3773971529849766e-13,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL31,tumor,resident_like,tumor_epithelial,CMS3,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL01,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,161,730,True,supported,1.6506482362747192,0.6335403726708074,0.37503336133416987,0.4446023311642803,0.41757571450242276,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL19,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,35,574,True,supported,0.36819735169410706,0.1714285714285714,0.05850430127414483,0.07703028212346393,0.01686578562700784,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL21,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,139,759,True,supported,2.968080759048462,0.6258992805755396,0.42057278525234976,0.42022170180236257,0.5729937763900573,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL28,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,14,40,True,supported,0.5369300842285156,0.14285714285714285,0.4340277784394129,0.4415880433163923,0.12124874857540661,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL30,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,31,68,True,supported,0.1810707300901413,0.06451612903225806,0.3443177386862414,0.4952193600141981,0.0446310170111741,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL31,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL01,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,161,730,True,supported,1.6506482362747192,0.6335403726708074,0.3988465964794159,0.4547945205479452,0.43553691534698746,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL19,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,35,574,True,supported,0.36819735169410706,0.1714285714285714,0.14640818536281586,0.14285714285714285,0.03633419914286479,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL21,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,139,759,True,supported,2.968080759048462,0.6258992805755396,0.6617639660835266,0.6126482213438735,0.8678551185416346,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL28,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,14,40,True,supported,0.5369300842285156,0.14285714285714285,0.18333113193511963,0.275,0.062186241049078925,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL30,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,31,68,True,supported,0.1810707300901413,0.06451612903225806,0.38323211669921875,0.5,0.04731231823665355,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL31,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,CMS4,SPP1,CD44,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.3988465964794159,0.4547945205479452,0.7574082476475844,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,CMS4,SPP1,CD44,SPP1,8,574,True,supported,3.889470338821411,1.0,0.14640818536281586,0.14285714285714285,0.28521928764907967,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,CMS4,SPP1,CD44,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.6617639660835266,0.6126482213438735,1.2772260346857687,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,CMS4,SPP1,CD44,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.18333113193511963,0.275,0.04063821140604542,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,CMS4,SPP1,CD44,SPP1,0,68,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,CMS4,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB5,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.13577012646755865,0.23900478587516374,0.32035011406957853,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB5,SPP1,8,574,True,supported,3.889470338821411,1.0,0.02990850502330667,0.04942948069376694,0.07582904885164643,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB5,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.2792901323566352,0.34027822835010124,0.6183800836142355,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB5,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.10502501321127557,0.17320508075688773,0.02441050783190772,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB5,SPP1,0,68,False,insufficient coverage,,,,,,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB5,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL01,tumor,resident_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,7,730,True,supported,1.8762178421020508,0.7142857142857143,0.37503336133416987,0.4446023311642803,0.47271396435949925,1,2,6,3,0.26469221653928016,0.47271396435949925,False,False
KUL19,tumor,resident_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,9,574,True,supported,0.14700451493263245,0.11111111111111109,0.05850430127414483,0.07703028212346393,0.008579633269797632,1,2,6,3,0.26469221653928016,0.47271396435949925,False,False
KUL21,tumor,resident_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,84,759,True,supported,1.8093258142471313,0.4880952380952381,0.42057278525234976,0.42022170180236257,0.39506676571111515,1,2,6,3,0.26469221653928016,0.47271396435949925,False,False
KUL28,tumor,resident_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,4,40,False,insufficient coverage,1.4622024297714233,0.25,0.4340277784394129,0.4415880433163923,0.26469221653928016,1,2,6,3,0.26469221653928016,0.47271396435949925,False,False
KUL30,tumor,resident_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,1,68,False,insufficient coverage,1.000000000000001e-12,1.000000000000001e-12,0.3443177386862414,0.4952193600141981,4.12931967996832e-13,1,2,6,3,0.26469221653928016,0.47271396435949925,False,False
KUL31,tumor,resident_like,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,3,0.26469221653928016,0.47271396435949925,False,False
KUL01,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,161,730,True,supported,1.6506482362747192,0.6335403726708074,0.37503336133416987,0.4446023311642803,0.41757571450242276,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL19,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,35,574,True,supported,0.36819735169410706,0.1714285714285714,0.05850430127414483,0.07703028212346393,0.01686578562700784,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL21,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,139,759,True,supported,2.968080759048462,0.6258992805755396,0.42057278525234976,0.42022170180236257,0.5729937763900573,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL28,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,14,40,True,supported,0.5369300842285156,0.14285714285714285,0.4340277784394129,0.4415880433163923,0.12124874857540661,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL30,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,31,68,True,supported,0.1810707300901413,0.06451612903225806,0.3443177386862414,0.4952193600141981,0.0446310170111741,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL31,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,5,0.12124874857540661,0.5729937763900573,True,False
KUL01,tumor,resident_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,7,730,True,supported,1.8762178421020508,0.7142857142857143,0.3988465964794159,0.4547945205479452,0.49304682894193447,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL19,tumor,resident_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,9,574,True,supported,0.14700451493263245,0.11111111111111109,0.14640818536281586,0.14285714285714285,0.018483224599889575,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL21,tumor,resident_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,84,759,True,supported,1.8093258142471313,0.4880952380952381,0.6617639660835266,0.6126482213438735,0.5983672579275666,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL28,tumor,resident_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,4,40,False,insufficient coverage,1.4622024297714233,0.25,0.18333113193511963,0.275,0.13575574325445341,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL30,tumor,resident_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,1,68,False,insufficient coverage,1.000000000000001e-12,1.000000000000001e-12,0.38323211669921875,0.5,4.3773971529849766e-13,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
