condition,receiver_group,sender_subtype,pathway,category,pathway_max_score,pathway_mean_score,n_supported_pairs
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,CSF,Secreted Signaling,4.481813613774632e-06,1.4939378751481144e-06,3
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,CXCL,Secreted Signaling,0.001968198098921276,0.000517620106064234,8
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,Collagen,ECM-Receptor,0.006706273160824263,0.0063005040616160935,2
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,Complement,Secreted Signaling,0.00011933729023516395,6.979174461474215e-05,3
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,EGF,Secreted Signaling,0.08126506697296614,0.03923371704620292,5
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,FN1,ECM-Receptor,0.0019237777704743308,0.0019237777704743308,1
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,GAS,Secreted Signaling,0.0008701873141666519,0.00043673145406373826,3
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,IL-related,Secreted Signaling,0.011144283876246807,0.003260043669037192,7
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,Laminin,ECM-Receptor,0.002353863725535183,0.002353863725535183,1
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,MIF,Secreted Signaling,0.04115613135411366,0.02620101748681191,2
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,Notch,Cell-Cell Contact,0.00730165982781464,0.002183036363910544,4
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,SPP1,ECM-Receptor,0.004452370056021729,0.003196309397592298,2
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,SPP1,Secreted Signaling,0.00405660866351877,0.00405660866351877,1
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,TGFb,Secreted Signaling,0.025866728074504134,0.009031807684645263,3
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,TNF,Cell-Cell Contact,1.2408710434812138e-13,1.2408710434812138e-13,1
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,TNF,Secreted Signaling,0.027866912163228362,0.010106110768158186,3
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,VEGF,Secreted Signaling,0.001018866951707324,0.00032345403841640036,4
normal,normal_epithelial,resident_like,CCL,Secreted Signaling,0.0010541846181323087,0.0004622281383907184,6
normal,normal_epithelial,resident_like,CSF,Secreted Signaling,8.109324541165851e-15,4.227701855642023e-15,3
normal,normal_epithelial,resident_like,CXCL,Secreted Signaling,0.011534393741195333,0.0014918517660877904,8
normal,normal_epithelial,resident_like,Collagen,ECM-Receptor,0.009579015386162263,0.00903697516039482,2
normal,normal_epithelial,resident_like,Complement,Secreted Signaling,7.880613865472352e-05,4.8516975787658324e-05,3
normal,normal_epithelial,resident_like,EGF,Secreted Signaling,0.03620741701847196,0.010648622190003525,5
normal,normal_epithelial,resident_like,FN1,ECM-Receptor,0.0011578299171107831,0.0011578299171107831,1
normal,normal_epithelial,resident_like,GAS,Secreted Signaling,0.006188600599992696,0.0031059479891899703,3
normal,normal_epithelial,resident_like,IL-related,Secreted Signaling,0.008930745924089548,0.001758865790631484,7
normal,normal_epithelial,resident_like,Laminin,ECM-Receptor,0.009080445595766363,0.009080445595766363,1
normal,normal_epithelial,resident_like,MIF,Secreted Signaling,0.03495866646311013,0.022255557098760738,2
normal,normal_epithelial,resident_like,Notch,Cell-Cell Contact,0.0017798818089707214,0.0008203865683547135,4
normal,normal_epithelial,resident_like,SPP1,ECM-Receptor,0.006916050872486601,0.004964959812371771,2
normal,normal_epithelial,resident_like,SPP1,Secreted Signaling,0.0063012983048704565,0.0063012983048704565,1
normal,normal_epithelial,resident_like,TGFb,Secreted Signaling,0.024404158361613738,0.00862888669926313,3
normal,normal_epithelial,resident_like,TNF,Cell-Cell Contact,1.2408710434812138e-13,1.2408710434812138e-13,1
normal,normal_epithelial,resident_like,TNF,Secreted Signaling,0.021083646286492848,0.007646116782532172,3
normal,normal_epithelial,resident_like,VEGF,Secreted Signaling,0.0011644186843686828,0.00036966153945269044,4
tumor,tumor_epithelial,C1QC_like_TAM,CCL,Secreted Signaling,0.005840239446757986,0.0005626085078881514,30
tumor,tumor_epithelial,C1QC_like_TAM,CSF,Secreted Signaling,0.000335175576278762,8.744230715121248e-05,15
tumor,tumor_epithelial,C1QC_like_TAM,CXCL,Secreted Signaling,0.017533670835241346,0.0028363947072500215,40
tumor,tumor_epithelial,C1QC_like_TAM,Collagen,ECM-Receptor,0.03424694863384616,0.02085360810119373,10
tumor,tumor_epithelial,C1QC_like_TAM,Complement,Secreted Signaling,0.0009330191785532994,0.0002569236114231835,15
tumor,tumor_epithelial,C1QC_like_TAM,EGF,Secreted Signaling,0.06413290552278732,0.017729006965103485,25
tumor,tumor_epithelial,C1QC_like_TAM,FN1,ECM-Receptor,0.035982467006100256,0.026583657565861847,5
tumor,tumor_epithelial,C1QC_like_TAM,GAS,Secreted Signaling,0.010526572385708546,0.002759889751462034,15
tumor,tumor_epithelial,C1QC_like_TAM,IL-related,Secreted Signaling,0.007916371597807987,0.0010503281582496399,35
tumor,tumor_epithelial,C1QC_like_TAM,Laminin,ECM-Receptor,0.0025061675393517157,0.001605811948338472,5
tumor,tumor_epithelial,C1QC_like_TAM,MIF,Secreted Signaling,0.185895563422529,0.09101837388054974,10
tumor,tumor_epithelial,C1QC_like_TAM,Notch,Cell-Cell Contact,0.003664409772863328,0.0011145734421015266,20
tumor,tumor_epithelial,C1QC_like_TAM,SPP1,ECM-Receptor,0.27252301257584205,0.14023681757532544,10
tumor,tumor_epithelial,C1QC_like_TAM,SPP1,Secreted Signaling,0.3287623070529016,0.24040083184721003,5
tumor,tumor_epithelial,C1QC_like_TAM,TGFb,Secreted Signaling,0.0493933525155944,0.010484563989644697,15
tumor,tumor_epithelial,C1QC_like_TAM,TNF,Cell-Cell Contact,3.98223913016669e-14,2.897480116570863e-14,5
tumor,tumor_epithelial,C1QC_like_TAM,TNF,Secreted Signaling,0.0499379412372719,0.011917654669739736,15
tumor,tumor_epithelial,C1QC_like_TAM,VEGF,Secreted Signaling,0.00789472852307051,0.0012696184102843385,20
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,CCL,Secreted Signaling,0.005871763767237047,0.0006442775044970737,30
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,CSF,Secreted Signaling,0.00029232778700470223,8.065364685887456e-05,15
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,CXCL,Secreted Signaling,0.008517995726683577,0.0012528286121081035,40
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,Collagen,ECM-Receptor,0.15366866214779068,0.10347509844125606,10
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,Complement,Secreted Signaling,0.0006038581944084234,0.00015875286176797812,15
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,EGF,Secreted Signaling,0.12237673461622485,0.04280893253446582,25
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,FN1,ECM-Receptor,0.10086322013745685,0.07451721708435721,5
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,GAS,Secreted Signaling,0.010889003837677678,0.0028549131658504754,15
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,IL-related,Secreted Signaling,0.014174699479542464,0.0017120723068472104,35
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,Laminin,ECM-Receptor,0.015294314832490979,0.009799741283863787,5
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,MIF,Secreted Signaling,0.21541561028077877,0.105472009096192,10
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,Notch,Cell-Cell Contact,0.004173717924698149,0.0010668373950598437,20
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,SPP1,ECM-Receptor,0.4238957416351405,0.21813126615904027,10
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,SPP1,Secreted Signaling,0.5113731154395114,0.3739313166341065,5
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,TGFb,Secreted Signaling,0.04439881131197656,0.008952533710760876,15
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,TNF,Cell-Cell Contact,3.98223913016669e-14,2.897480116570863e-14,5
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,TNF,Secreted Signaling,0.03316216177238278,0.007914126660310439,15
tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,VEGF,Secreted Signaling,0.020215603394940072,0.0032510430434961697,20
tumor,tumor_epithelial,SPP1_like_TAM,CCL,Secreted Signaling,0.01122951701301442,0.0013262585414654379,30
tumor,tumor_epithelial,SPP1_like_TAM,CSF,Secreted Signaling,0.0010183055746266132,0.00026934467226568244,15
tumor,tumor_epithelial,SPP1_like_TAM,CXCL,Secreted Signaling,0.004069676682451058,0.0006392050701779215,40
tumor,tumor_epithelial,SPP1_like_TAM,Collagen,ECM-Receptor,0.1659653707515665,0.10465715098365451,10
tumor,tumor_epithelial,SPP1_like_TAM,Complement,Secreted Signaling,0.0006106707484476186,0.00013722376710476457,15
tumor,tumor_epithelial,SPP1_like_TAM,EGF,Secreted Signaling,0.1406923085391986,0.055656394849847024,25
tumor,tumor_epithelial,SPP1_like_TAM,FN1,ECM-Receptor,0.09494871179236776,0.07014760939487821,5
tumor,tumor_epithelial,SPP1_like_TAM,GAS,Secreted Signaling,0.008769329707062306,0.0022991703565893207,15
tumor,tumor_epithelial,SPP1_like_TAM,IL-related,Secreted Signaling,0.02168527618500615,0.002527902439008639,35
tumor,tumor_epithelial,SPP1_like_TAM,Laminin,ECM-Receptor,0.045892729902369186,0.029405493791591374,5
tumor,tumor_epithelial,SPP1_like_TAM,MIF,Secreted Signaling,0.2635445511496032,0.12903694982862177,10
tumor,tumor_epithelial,SPP1_like_TAM,Notch,Cell-Cell Contact,0.005321618223439429,0.0021843416662474897,20
tumor,tumor_epithelial,SPP1_like_TAM,SPP1,ECM-Receptor,0.7291398622097274,0.37520594270968977,10
tumor,tumor_epithelial,SPP1_like_TAM,SPP1,Secreted Signaling,0.8796090319073271,0.6431964322990786,5
tumor,tumor_epithelial,SPP1_like_TAM,TGFb,Secreted Signaling,0.04202657968240262,0.008616717585163806,15
tumor,tumor_epithelial,SPP1_like_TAM,TNF,Cell-Cell Contact,3.98223913016669e-14,2.897480116570863e-14,5
tumor,tumor_epithelial,SPP1_like_TAM,TNF,Secreted Signaling,0.02905007390541446,0.006932779773443098,15
tumor,tumor_epithelial,SPP1_like_TAM,VEGF,Secreted Signaling,0.023515557188913395,0.003781736667434208,20
tumor,tumor_epithelial,resident_like,CCL,Secreted Signaling,0.005409603771643212,0.0005240606890264901,30
tumor,tumor_epithelial,resident_like,CSF,Secreted Signaling,0.0001235928114474052,4.180296870084465e-05,15
tumor,tumor_epithelial,resident_like,CXCL,Secreted Signaling,0.018553352140290205,0.001948970316296855,40
tumor,tumor_epithelial,resident_like,Collagen,ECM-Receptor,0.2551966493094369,0.16618252474236228,10
tumor,tumor_epithelial,resident_like,Complement,Secreted Signaling,0.0008419200744910895,0.0002119029265318056,15
tumor,tumor_epithelial,resident_like,EGF,Secreted Signaling,0.12869749151559937,0.04384805086545222,25
tumor,tumor_epithelial,resident_like,FN1,ECM-Receptor,0.07413298875938737,0.054769062587602294,5
tumor,tumor_epithelial,resident_like,GAS,Secreted Signaling,0.01355774056696054,0.0035546109286757016,15
tumor,tumor_epithelial,resident_like,IL-related,Secreted Signaling,0.0036904756146611145,0.0005376510770889176,35
tumor,tumor_epithelial,resident_like,Laminin,ECM-Receptor,0.03333704639878746,0.021360514246918465,5
tumor,tumor_epithelial,resident_like,MIF,Secreted Signaling,0.18692027233334102,0.091520092894419,10
tumor,tumor_epithelial,resident_like,Notch,Cell-Cell Contact,0.011440719808867154,0.0027101410371017844,20
tumor,tumor_epithelial,resident_like,SPP1,ECM-Receptor,0.37263731087992213,0.19175434064704694,10
tumor,tumor_epithelial,resident_like,SPP1,Secreted Signaling,0.4495367230126253,0.3287146970309903,5
tumor,tumor_epithelial,resident_like,TGFb,Secreted Signaling,0.03834334606348783,0.008128236353263561,15
tumor,tumor_epithelial,resident_like,TNF,Cell-Cell Contact,3.98223913016669e-14,2.897480116570863e-14,5
tumor,tumor_epithelial,resident_like,TNF,Secreted Signaling,0.012303381721962922,0.002936193423338618,15
tumor,tumor_epithelial,resident_like,VEGF,Secreted Signaling,0.022000156694169028,0.0035380322308017588,20
