condition,sender_subtype,receiver_state,receiver_group,ligand,receptor,pathway,category,sender_cells,receiver_cells,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present
tumor,resident_like,tumor_epithelial,tumor_epithelial,DLL1,NOTCH1,Notch,Cell-Cell Contact,105,2212,0.009963506832718851,0.009523809523809526,0.06477184593677521,0.11075949367088608,0.0008250781381989417,1,1
tumor,resident_like,CMS1,tumor_epithelial,DLL4,NOTCH1,Notch,Cell-Cell Contact,105,758,1.000000000000001e-12,1.000000000000001e-12,0.07027423381805419,0.10686015831134563,8.665746217727476e-14,1,1
tumor,resident_like,CMS2,tumor_epithelial,DLL4,NOTCH1,Notch,Cell-Cell Contact,105,620,1.000000000000001e-12,1.000000000000001e-12,0.04577590525150299,0.0838709677419355,6.196183884219958e-14,1,1
tumor,resident_like,CMS3,tumor_epithelial,DLL4,NOTCH1,Notch,Cell-Cell Contact,105,804,1.000000000000001e-12,1.000000000000001e-12,0.07408642023801802,0.13681592039800994,1.0067870566241009e-13,1,1
tumor,resident_like,CMS4,tumor_epithelial,DLL4,NOTCH1,Notch,Cell-Cell Contact,105,30,1.000000000000001e-12,1.000000000000001e-12,0.06869667023420332,0.06666666666666667,6.767405718304145e-14,1,1
tumor,resident_like,tumor_epithelial,tumor_epithelial,DLL4,NOTCH1,Notch,Cell-Cell Contact,105,2212,1.000000000000001e-12,1.000000000000001e-12,0.06477184593677521,0.11075949367088608,8.470004049636504e-14,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,SPP1,CD44,SPP1,Secreted Signaling,153,1144,0.005232139956206082,0.006535947712418302,0.1457950472831726,0.21590909090909094,0.001037530352834987,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,SPP1,ITGAV+ITGB1,SPP1,ECM-Receptor,153,1144,0.005232139956206082,0.006535947712418302,0.17139138074857407,0.2212488394343549,0.001138751469107486,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,SPP1,ITGAV+ITGB5,SPP1,ECM-Receptor,153,1144,0.005232139956206082,0.006535947712418302,0.06602553135923608,0.10906625147190367,0.0004962438149469218,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CXCL12,CXCR4,CXCL,Secreted Signaling,153,1144,0.5600839257240295,0.477124183006536,0.031117351725697517,0.04895104895104895,0.020175512925676254,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CXCL9,CXCR3,CXCL,Secreted Signaling,153,1144,0.15777470171451569,0.10457516339869281,0.008176942355930807,0.02185314685314685,0.0017170597976746637,1,1
