gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows
APOBEC3G,60489,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
APOC2,344,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
APOD,347,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
APP,351,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,2
AR,367,True,True,True,3,16,2,0,mixed,True,True,True,True,False,True,False,60
AREG,374,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2
ARG1,383,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ARG2,384,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ARHGAP24,83478,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ARID5A,10865,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ARL4D,379,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ARL8A,127829,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ARNT,405,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,3
ARRB1,408,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ASCL1,429,False,False,True,1,1,2,0,mixed,True,False,False,False,False,False,False,4
ATAD5,79915,True,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,12
ATF3,467,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ATF6,22926,True,False,True,1,2,1,0,mixed,False,True,True,True,False,True,False,8
ATG4B,23192,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ATM,472,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ATP5F1A,498,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
ATP5F1B,506,False,False,True,1,2,1,0,mixed,True,False,False,False,True,False,False,2
ATRX,546,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ATXN2,6311,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,4
AURKA,6790,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
AURKB,9212,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
AVPR1A,552,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Abhd4,105501,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Alpi,76768,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
Ano1,101772,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Arfgap1,246310,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Aspergillus flavus,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Aspergillus fumigatus,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Aspergillus niger,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Astrocyte,,False,True,False,1,3,1,0,not_assessable,False,True,False,True,False,True,False,3
B18R,3707576,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
B9D1,27077,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
BAX,581,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,2
BAZ2B,29994,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
BCL2,596,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
BCL2L1,598,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
BCL2L11,10018,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
BFAR,51283,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
BIRC5,332,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
BLM,641,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
BPIFA1,51297,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
BPIFB4,149954,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
BPIFB6,128859,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
BRCA1,672,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
BXPC-3,,True,False,False,1,4,1,0,not_assessable,False,True,False,True,False,True,False,4
BZLF1,3783744,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CAALFM_CR05890CA,3646682,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CALCB,797,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2
CAMP,820,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CAP1,10487,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
CAPN13,92291,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CASP1,834,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CASP3,836,True,False,True,3,6,1,0,mixed,True,True,True,True,False,True,False,12
CASP6,839,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CASP7,840,True,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,9
CASP9,842,False,False,True,1,1,1,0,consistent:affects;increases,True,False,False,False,False,False,False,1
CAT,847,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,True,False,1
CBR2,12409,False,False,True,1,2,1,0,mixed,True,False,False,False,False,False,False,6
CBX1,10951,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CCL12,20293,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCL17,6361,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCL2,6347,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCL3,6348,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCL7,6354,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCL8,6355,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCL9,20308,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCN1,3491,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCNA2,890,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
CCNB2,9133,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CCND1,595,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
CCR6,1235,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CCT2,10576,False,False,True,2,2,2,0,mixed,True,True,True,True,False,True,False,2
CCT5,22948,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
CD177,57126,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CD209C,170776,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CDC20,991,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CDCA3,83461,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CDCA8,55143,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CDK1,983,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2
CDK2,1017,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
CDK5R1,8851,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CDKN1A,1026,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CDKN1B,1027,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
CEACAM10,26366,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CENPM,79019,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CENPW,387103,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CES1,1066,True,False,False,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
CES1F,234564,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
CES1G,12623,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
CFB,629,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CFTR,1080,True,False,True,2,6,2,0,mixed,True,True,True,True,False,True,False,32
CGAS,115004,True,False,False,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CH25H,9023,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CHAD,1101,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
CHI3L1,1116,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CHO,,False,True,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
CHRM1,1128,True,False,True,1,7,1,0,consistent:inactive,False,True,True,True,False,True,False,31
CHRM4,1132,False,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,3
CHRM5,1133,False,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,3
CILK1,22858,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CKB,1152,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CKS1B,1163,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CKS2,1164,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CLCA1,1179,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CLCA4L,499721,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CLCNKB,1188,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CLDN1,9076,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
CLDN10,9071,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,2
CLDN2,9075,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
CLDN3,1365,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CLDN4,1364,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CLEC11A,6320,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CLU,1191,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
COL18A1,80781,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
COL1A1,1277,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
COL1A2,1278,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
COL5A1,1289,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
COL5A2,1290,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
COL5A3,50509,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
COMT,1312,False,False,True,1,1,1,0,mixed,True,False,False,False,False,True,False,2
COPG2,26958,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
COPS5,10987,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CPN1,1369,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CPNE8,144402,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CPR,33883,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CREB1,1385,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,32
CRHBP,1393,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
CRHR2,1395,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
CRYAA,1409,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
CTDSP1,58190,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CTHRC1,115908,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CXCL1,2919,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CXCL10,3627,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CXCL14,9547,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CXCL2,2920,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CXCL8,3576,False,False,True,2,2,1,0,mixed,True,True,True,True,False,True,False,3
CXCR6,10663,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
CYB5A,1528,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
CYCS,54205,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CYP19A1,1588,True,False,True,2,4,2,0,mixed,True,True,True,True,False,True,False,13
CYP1A,140634,False,False,True,1,1,1,0,consistent:affects;increases,True,False,False,False,False,False,False,2
CYP1A1,1543,True,False,True,1,6,1,0,mixed,True,False,False,False,True,True,False,8
CYP1A2,1544,True,False,True,3,9,1,0,mixed,True,True,True,True,True,True,False,20
CYP1B1,1545,False,True,True,1,4,2,0,mixed,True,False,False,False,False,True,False,4
CYP2A13,1553,False,False,True,1,2,1,0,mixed,True,False,False,False,True,False,False,6
CYP2A3,P11509,True,False,True,1,2,1,0,not_assessable,False,True,False,True,False,True,False,4
CYP2A6,1548,True,False,True,2,3,1,0,mixed,True,True,True,True,True,True,False,6
CYP2B6,1555,True,False,False,1,1,1,0,consistent:increases,True,False,False,False,True,False,False,1
CYP2C19,1557,True,False,True,2,2,1,0,mixed,True,True,True,True,False,True,False,9
CYP2C8,1558,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CYP2C9,1559,True,False,True,2,3,1,0,mixed,True,True,True,True,False,True,False,10
CYP2D6,1565,True,False,True,2,3,1,0,mixed,True,True,True,True,False,True,False,10
CYP2E1,1571,True,False,True,1,2,1,0,consistent:increases,True,False,False,False,True,False,False,2
CYP2F1,1572,False,False,True,1,1,1,0,consistent:affects;increases,True,False,False,False,True,False,False,2
CYP2F2,13107,False,False,True,1,8,3,0,mixed,True,False,False,False,True,False,False,9
CYP2S1,29785,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
CYP3A4,1576,True,False,True,2,7,1,0,mixed,True,True,True,True,True,True,False,14
CYP3A5,1577,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
CYP3A7,1551,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,2
Caenorhabditis elegans,,False,False,True,1,54,1,0,not_assessable,False,True,False,True,False,True,False,54
Candida albicans,,False,False,True,1,2,1,0,not_assessable,False,True,False,True,False,True,False,2
Casp3,100689061,False,True,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,8
Casp7,100766857,False,True,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,8
Cgas,214763,False,True,False,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Cryptococcus neoformans,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Cyp2a-5,P20852,False,True,True,1,2,1,0,not_assessable,False,True,False,True,False,True,False,4
Cyp2a5,13087,False,True,True,1,2,1,0,consistent:unspecified,False,True,True,True,False,True,False,4
D1Y31_gp1,37627025,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
DAGLB,221955,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
DCTN5,84516,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
DDIT4,54541,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
DEFB5,81007,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
DERA,51071,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
DES,1674,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
DIO3,1735,False,False,True,1,2,2,0,mixed,True,False,False,False,False,False,False,2
DLL1,28514,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
DNMT1,1786,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
DPYSL2,1808,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
DRD1,1812,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
DRD2,1813,True,False,True,1,10,1,0,mixed,False,True,True,True,False,True,False,38
DRD3,1814,False,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,5
DUSP1,1843,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
EAR6,93719,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
EDN1,1906,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
EDN2,1907,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
EEF2,1938,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
EGFR,1956,False,False,True,1,1,1,0,consistent:decreases;increases,True,False,False,False,False,True,False,1
EGR2,1959,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
EHD1,10938,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
EHD4,30844,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
EIF3A,8661,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
EIF4E,1977,False,False,True,1,1,1,0,consistent:affects;increases,True,False,False,False,False,False,False,2
ELN,2006,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ENC1,8507,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ENO1,2023,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
EPAS1,2034,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
EPHX1,2052,False,False,True,1,4,2,0,mixed,True,False,False,False,True,True,False,5
EPHX2,2053,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ERAP1,51752,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ERG,2078,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ERRFI1,54206,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ESR1,2099,True,False,True,2,14,1,0,mixed,True,True,True,True,False,True,False,57
ESR2,2100,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,16
ESRRA,2101,True,False,True,1,8,1,0,mixed,False,True,True,True,False,True,False,32
EYA2,2139,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
EZR,7430,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
Epidermophyton floccosum,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Eysarcoris,,False,False,True,1,4,1,0,not_assessable,False,True,False,True,False,True,False,4
F3,2152,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FASN,2194,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
FBP1,2203,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FEN1,2237,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
FETUB,26998,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FGF22,27006,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
FGF7,2252,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
FGL1,2267,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FKBP5,2289,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FMO3,2328,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
FOS,2353,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FOXA1,3169,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FOXA2,3170,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FOXJ1,2302,False,False,True,1,2,1,0,mixed,True,False,False,False,False,False,False,2
FTL1,14325,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
FUS,2521,False,False,True,2,2,1,0,mixed,True,True,True,True,False,True,False,3
FXN,2395,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Fosb,14282,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GAA,2548,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GABRP,2568,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GALR3,8484,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GBA1,2629,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GBP2,2634,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GCGR,2642,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,True,False,1
GCLC,2729,False,False,True,1,7,2,0,mixed,True,False,False,False,False,True,False,9
GCLM,2730,False,False,True,1,2,1,0,mixed,True,False,False,False,False,False,False,2
GDF15,9518,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2
GFER,2671,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GFRA3,2676,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GGT1,2678,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GINS2,51659,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GJB3,2707,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GJB5,2709,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GL261,,False,True,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
GLA,2717,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
