gene_symbol,gene_id,chemical,chemical_identity,evidence_tier,evidence_type,species,tissue_or_cell,direction,effect_size,p_value,fdr,dose,duration,dataset_or_reference,source_database,notes
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743036,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743036,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743040,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen  receptor (AR) signaling pathway using the MDA cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743040,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen  receptor (AR) signaling pathway using the MDA cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743042,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen  receptor (AR) signaling pathway using the MDA cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743042,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen  receptor (AR) signaling pathway using the MDA cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743053,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743053,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743054,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743054,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,56.3016,,,,,PubChem-AID:743063,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743063,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:743065,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,9.6885,,,,,PubChem-AID:743065,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:743066,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the thyroid receptor (TR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:743066,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the thyroid receptor (TR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:743067,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inconclusive,,,,,,PubChem-AID:743067,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=NP_001257783
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,56.3016,,,,,PubChem-AID:743069,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,13.8022,,,,,PubChem-AID:743069,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,56.3016,,,,,PubChem-AID:743075,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,61.6524,,,,,PubChem-AID:743075,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,56.2566,,,,,PubChem-AID:743077,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,43.6519,,,,,PubChem-AID:743077,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743078,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:743078,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:743079,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,76.9588,,,,,PubChem-AID:743079,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743080,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743080,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
CYP19A1,1588,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,70.2671,,,,,PubChem-AID:743083,PubChem BioAssay,assay_name=qHTS assay to identify aromatase inhibitors; assay_type=Confirmatory; activity_name=Potency; target_accession=EAW77416
CYP19A1,1588,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743083,PubChem BioAssay,assay_name=qHTS assay to identify aromatase inhibitors; assay_type=Confirmatory; activity_name=Potency; target_accession=EAW77416
AHR,196,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,49.7453,,,,,PubChem-AID:743085,PubChem BioAssay,assay_name=qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=EAL24281
AHR,196,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,27.306,,,,,PubChem-AID:743085,PubChem BioAssay,assay_name=qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=EAL24281
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743091,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743091,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
PPARG,5468,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743094,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=BAH02283
PPARG,5468,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743094,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=BAH02283
AHR,196,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,53.7137,,,,,PubChem-AID:743122,PubChem BioAssay,assay_name=qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=EAL24281
AHR,196,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,20.0875,,,,,PubChem-AID:743122,PubChem BioAssay,assay_name=qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=EAL24281
CYP19A1,1588,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:743139,PubChem BioAssay,assay_name=qHTS assay to identify aromatase inhibitors: Summary; assay_type=Summary; activity_name=; target_accession=EAW77416
CYP19A1,1588,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743139,PubChem BioAssay,assay_name=qHTS assay to identify aromatase inhibitors: Summary; assay_type=Summary; activity_name=; target_accession=EAW77416
PPARG,5468,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743140,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=BAH02283
PPARG,5468,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743140,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=BAH02283
