gene,n_independent_datasets_DINP,n_significant_datasets_DINP,direction_DINP,all_directions_same_DINP,median_log2FC_DINP,min_FDR_DINP,meta_log2FC_DINP,meta_SE_DINP,meta_p_DINP,strict_supported_DINP,direction_supported_DINP,label_DINP,n_independent_datasets_CRC,n_significant_datasets_CRC,direction_CRC,all_directions_same_CRC,median_log2FC_CRC,min_FDR_CRC,meta_log2FC_CRC,meta_SE_CRC,meta_p_CRC,strict_supported_CRC,direction_supported_CRC,label_CRC,same_direction,opposite_direction,legacy_81_annotation
CNBP,2,1,up,True,0.4620300260856278,0.0079549199605115,0.4925467466256491,0.2393270369187684,0.0395854389241138,False,True,DINP,2,0,up,True,0.0625747060160657,0.0328788505669472,0.0632183384237574,0.0355357921837089,0.0752390047435745,False,True,CRC,True,False,False
EIF3M,2,1,up,True,0.4642558142080442,0.0079549199605115,0.4924342328915234,0.1549571987087523,0.0014835993562268,False,True,DINP,2,1,up,True,0.4084499637440038,1.7726917201899338e-35,0.415032866914956,0.2001566096627029,0.0381219919064664,False,True,CRC,True,False,False
HNRNPK,2,1,down,True,-0.260172428084338,0.0079549199605115,-0.251703912560093,0.1993717498871919,0.2067741961631986,False,True,DINP,2,1,up,True,0.201168794463725,9.610064994411815e-27,0.2013023273357675,0.1649663555734791,0.2223652201691605,False,True,CRC,False,True,False
RPS25,2,1,up,True,0.4060029800035609,0.0079549199605115,0.3936393938197707,0.2997083626483733,0.1890454665363695,False,True,DINP,2,1,up,True,0.3526193672967403,4.1868892589798e-24,0.3548503605556062,0.2112078806299507,0.0929378606230459,False,True,CRC,True,False,False
UBE2M,2,1,down,True,-0.2902764442114165,0.0079680542632168,-0.3017338196199851,0.1527193231677589,0.0481841251745088,False,True,DINP,2,2,up,True,0.3797265089229849,1.2998987197962194e-11,0.3819515400183598,0.0439022127059513,3.317316926620539e-18,True,True,CRC,False,True,False
DOT1L,2,1,down,True,-0.3628161558833838,0.0082038159925782,-0.3947217941064544,0.0751843728124172,1.520570787924099e-07,False,True,DINP,2,0,up,False,0.0073563526132196,0.0309181202937127,0.0143091797156982,0.1133285251729797,0.8995238822335927,False,False,CRC,False,True,False
TMED5,2,1,up,True,0.3043577205920118,0.0082038159925782,0.3716813893463377,0.0751293119624778,7.528008205968483e-07,False,True,DINP,2,0,down,True,-0.1436034880676771,0.0286015185304207,-0.1311616583103103,0.0629079899250446,0.0370714659737092,False,True,CRC,False,True,False
TMEM126A,2,1,up,True,0.373250846851064,0.0082038159925782,0.361469243374773,0.1970246481487438,0.0665590907796625,False,True,DINP,2,0,up,True,0.1962160720103982,8.913474721226043e-05,0.2009064870773093,0.0404622311452997,6.860044811317293e-07,False,True,CRC,True,False,False
FAM133B,2,1,up,True,0.263713504719667,0.0084506848326794,0.2666221738483998,0.1719484115436067,0.120999012885274,False,True,DINP,2,2,up,True,0.4077441339908145,4.95185052596173e-20,0.4202567014695185,0.1367391585791989,0.0021162126604931,True,True,CRC,True,False,False
FKBP3,2,1,up,True,0.3178878791607684,0.0084506848326794,0.3321716966495136,0.1555186668171438,0.0326878926248478,False,True,DINP,2,0,down,False,-0.1426144376800011,0.0527464336518137,-0.1206407173923629,0.1457262498232789,0.4077506289872098,False,False,CRC,False,True,False
APOF,2,1,down,True,-0.3297864570829907,0.0086689574708241,-0.3071453503830295,0.0607856276464157,4.35089804122163e-07,False,True,DINP,2,0,up,True,0.0220154476417431,0.5899155595748216,0.0130964816772532,0.0209661494741152,0.5322015345726592,False,True,CRC,False,True,False
ATXN7L2,2,1,down,True,-0.4091947188277037,0.0088160376390999,-0.3934992075359355,0.2771740466111741,0.1557000677483018,False,True,DINP,2,1,up,False,0.1167623254992,1.4790013905102038e-10,0.1589760300512168,0.138567602217311,0.2512653465310329,False,False,CRC,False,True,False
NIT1,2,1,up,True,0.2279205313585071,0.0088160376390999,0.2309847073444359,0.1199570709930491,0.0541591605168527,False,True,DINP,2,2,down,True,-0.834512532625546,7.472887530947923e-41,-0.8737996991219835,0.034250265822498,1.443347297745269e-143,True,True,CRC,False,True,False
ACSL1,2,1,up,True,0.5028805202016229,0.0089306242432901,0.5465339144426653,0.2076772789156734,0.0084971344516988,False,True,DINP,2,1,up,True,0.8058634889611835,3.3407219006793127e-06,0.788576952814841,0.6394130240874183,0.2174703496691787,False,True,CRC,True,False,False
TCP1,2,1,up,True,0.3292519034995931,0.0092335701149992,0.354626161085083,0.1481288737130651,0.016664019617787,False,True,DINP,2,0,up,True,0.2074870142782652,5.7510743839352136e-05,0.2131697837868873,0.0421775406618092,4.3241020871748053e-07,False,True,CRC,True,False,False
DBT,2,1,up,True,0.3345835513916206,0.009354072916274,0.3407634316506397,0.2451017903198956,0.1644397637573974,False,True,DINP,2,0,down,True,-0.1609101014089926,0.0057571183506161,-0.1484958050767144,0.0846876901584477,0.079524440943227,False,True,CRC,False,True,False
KRCC1,2,1,up,True,0.2812060320962022,0.009354072916274,0.2705806396281345,0.1156071496218019,0.0192569989664329,False,True,DINP,2,2,down,True,-1.1224637851554775,1.75107556816707e-27,-1.117085356095832,0.0632009166885996,6.517283246189589e-70,True,True,CRC,False,True,False
ZNF76,2,1,down,True,-0.3252407336975109,0.009354072916274,-0.3128720775043262,0.2515807044420289,0.2136375756737497,False,True,DINP,2,0,down,False,-0.0251724647228095,0.173443010454979,0.0288582349374155,0.0197196607807709,0.1433512557380965,False,False,CRC,True,False,False
PRKAG2,2,1,up,True,0.5408821805130657,0.009471918726845,0.5712840251753437,0.1007055513651807,1.4046939021263624e-08,False,True,DINP,2,1,down,True,-0.3404434437737551,8.290717302380656e-15,-0.3809981005845853,0.0671028155949171,1.3641749753470004e-08,False,True,CRC,False,True,False
HABP4,2,1,down,True,-0.1887740005628133,0.0095454115181617,-0.1862335500463819,0.0781474788237199,0.0171673551258753,False,True,DINP,2,2,up,True,0.4583791107394503,8.328870525902663e-09,0.4365358089334402,0.0575151484349661,3.200844388786849e-14,True,True,CRC,False,True,False
RAB2A,2,1,up,True,0.1825546521243111,0.0097115476121535,0.2120291311726869,0.0810410416079507,0.0088883750147574,False,True,DINP,2,0,down,True,-0.0899101946804998,0.0258322406082219,-0.0854863055895403,0.0714708600470258,0.2316574836594919,False,True,CRC,False,True,False
APOA4,2,1,down,True,-1.052888540698961,0.0098133615516818,-1.075032360745981,0.7386452218878758,0.1455555205433443,False,True,DINP,2,0,down,False,-0.3099764351694025,0.1231999220135712,-0.2224762932430889,0.3046134016114651,0.4651724703569464,False,False,CRC,True,False,False
KIAA0040,2,1,up,True,0.4125316013515814,0.0099846607025433,0.4936381437038082,0.0961056525876145,2.800346800872039e-07,False,True,DINP,2,0,up,True,0.18211104936828,1.6169506423731154e-05,0.2015860084025084,0.0585553494948455,0.000576028504537,False,True,CRC,True,False,False
IRF2BP1,2,1,down,True,-0.2489032954754446,0.0099966150722608,-0.2525505507336172,0.1668880643912755,0.130205233092813,False,True,DINP,2,0,up,False,0.0989876944173588,5.753216814063648e-06,0.1923890001095066,0.0391412175020334,8.866772321877186e-07,False,False,CRC,False,True,False
MDH1,2,1,up,True,0.3823479830364595,0.0099966150722608,0.3959787779755396,0.0784527936096589,4.4797813859707515e-07,False,True,DINP,2,2,down,True,-0.2744443793550948,6.072119766566471e-17,-0.2679561695072568,0.0219667535394784,3.175371481225097e-34,True,True,CRC,False,True,False
MTA1,2,1,down,True,-0.2131216517483467,0.0099966150722608,-0.2065782382782324,0.1570823901034645,0.1884780357042587,False,True,DINP,2,1,up,True,0.2479295787796722,1.4622293406191386e-13,0.2621472320093841,0.0819113182196722,0.0013724716163722,False,True,CRC,False,True,False
NELFA,2,1,down,True,-0.2332826320797449,0.0099966150722608,-0.2305739589058901,0.1569945695583302,0.1419210315245237,False,True,DINP,1,0,up,True,0.2193866766262946,0.003484264470894,,,,False,False,CRC,False,True,False
CRAT,2,1,up,True,0.2790952834602616,0.0101412621007977,0.2756101313388889,0.1579787316259133,0.0810540399430694,False,True,DINP,2,2,down,True,-0.966500183465202,2.655447065362515e-17,-1.0031572750065116,0.0883292692813868,6.843955841046619e-30,True,True,CRC,False,True,False
