pathway,n_datasets,n_significant_datasets,median_NES,min_FDR,direction,strict_supported
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,2,0,-1.1252376726725892,0.3978172941788021,down,False
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,2,0,-0.5688502568019329,0.2952385259751038,down,False
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,2,1,1.1710454251528166,7.455422034892634e-07,up,False
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,2,0,-1.1322984719243685,0.075858761040326,down,False
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,2,0,0.5914154811409382,0.3869929124333208,up,False
REACTOME_ACTIVATION_OF_RAC1,2,0,-0.0236875629795935,0.2929694576494029,down,False
REACTOME_ACTIVATION_OF_SMO,2,0,0.3574538610073437,0.0811200100119192,up,False
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,2,0,-0.599271803240303,0.3561031819548917,down,False
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,2,2,1.049459928825896,6.380743184534719e-10,up,True
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,2,0,-0.4123496111821526,0.2520850505690691,down,False
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,2,1,-1.4583478647218049,0.0299336785303589,down,False
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,2,0,-0.0812294005017008,0.3480341279986567,down,False
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,2,0,-0.3111891545576787,0.1335236331584408,down,False
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,2,0,-0.1306844655100908,0.2197384010326963,down,False
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,2,0,0.1843575659084752,0.2672777872667148,up,False
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,2,0,-0.8927685366072869,0.1173878781848703,down,False
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,2,0,-0.3392917266849625,0.5902304570883345,down,False
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,2,1,1.2458934399661143,3.5917783448891376e-10,up,False
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,2,0,0.9261626534876584,0.2770801619353215,up,False
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,2,0,0.531874360814018,0.2775326575001626,up,False
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,2,1,-0.1771678058815481,0.0173420389059453,down,False
