mouse_symbol,human_symbol,ortholog_ensg,mapping_status,source
1500015O10RIK,,,unmapped,g:Orth / Ensembl
1500026H17RIK,,,unmapped,g:Orth / Ensembl
1600002K03RIK,,,unmapped,g:Orth / Ensembl
1600010M07RIK,,,unmapped,g:Orth / Ensembl
1600012H06RIK,C6ORF120,ENSG00000185127,mapped_canonical,g:Orth / Ensembl
1600014C10RIK,C19ORF12,ENSG00000131943,mapped_canonical,g:Orth / Ensembl
1600017P15RIK,,,unmapped,g:Orth / Ensembl
1600020E01RIK,,,unmapped,g:Orth / Ensembl
1600023N17RIK,,,unmapped,g:Orth / Ensembl
1600029I14RIK,NME9,ENSG00000181322,mapped_canonical,g:Orth / Ensembl
1600029O15RIK,,,unmapped,g:Orth / Ensembl
1700001G11RIK,,,unmapped,g:Orth / Ensembl
1700001G17RIK,,,unmapped,g:Orth / Ensembl
1700001J03RIK,,,unmapped,g:Orth / Ensembl
1700001L05RIK,,,unmapped,g:Orth / Ensembl
1700001L19RIK,,,unmapped,g:Orth / Ensembl
1700001O22RIK,C9ORF50,ENSG00000179058,mapped_canonical,g:Orth / Ensembl
1700003E16RIK,C2ORF81,ENSG00000284308,mapped_canonical,g:Orth / Ensembl
1700003E24RIK,,,unmapped,g:Orth / Ensembl
1700003F12RIK,C20ORF144,ENSG00000149609,mapped_canonical,g:Orth / Ensembl
1700003G18RIK,,,unmapped,g:Orth / Ensembl
1700003I22RIK,,,unmapped,g:Orth / Ensembl
1700003M07RIK,,,unmapped,g:Orth / Ensembl
1700006J14RIK,,,unmapped,g:Orth / Ensembl
1700007F19RIK,,,unmapped,g:Orth / Ensembl
1700007K13RIK,,,unmapped,g:Orth / Ensembl
1700007L15RIK,,,unmapped,g:Orth / Ensembl
1700008J07RIK,,,unmapped,g:Orth / Ensembl
1700008O03RIK,C19ORF81,ENSG00000235034,mapped_canonical,g:Orth / Ensembl
1700010I02RIK,,,unmapped,g:Orth / Ensembl
1700010I14RIK,C6ORF118,ENSG00000112539,mapped_canonical,g:Orth / Ensembl
1700010K24RIK,,,unmapped,g:Orth / Ensembl
1700011D18RIK,,,unmapped,g:Orth / Ensembl
1700011L22RIK,C4ORF51,ENSG00000237136,mapped_canonical,g:Orth / Ensembl
1700012C08RIK,,,unmapped,g:Orth / Ensembl
1700012D01RIK,NEMP1,ENSG00000166881,mapped_canonical,g:Orth / Ensembl
1700012D14RIK,,,unmapped,g:Orth / Ensembl
1700015H07RIK,,,unmapped,g:Orth / Ensembl
1700015O11RIK,,,unmapped,g:Orth / Ensembl
1700016A09RIK,,,unmapped,g:Orth / Ensembl
1700016K19RIK,,,unmapped,g:Orth / Ensembl
1700017B05RIK,C15ORF39,ENSG00000167173,mapped_canonical,g:Orth / Ensembl
1700018B24RIK,,,unmapped,g:Orth / Ensembl
1700018L02RIK,,,unmapped,g:Orth / Ensembl
1700019A02RIK,,,unmapped,g:Orth / Ensembl
1700019D03RIK,C2ORF88,ENSG00000187699,mapped_canonical,g:Orth / Ensembl
1700019L13RIK,,,unmapped,g:Orth / Ensembl
1700019N19RIK,,,unmapped,g:Orth / Ensembl
1700020D05RIK,,,unmapped,g:Orth / Ensembl
1700020I14RIK,,,unmapped,g:Orth / Ensembl
1700021A07RIK,,,unmapped,g:Orth / Ensembl
1700021F05RIK,,,unmapped,g:Orth / Ensembl
1700021G15RIK,,,unmapped,g:Orth / Ensembl
1700021J08RIK,,,unmapped,g:Orth / Ensembl
1700022H01RIK,,,unmapped,g:Orth / Ensembl
1700022N22RIK,,,unmapped,g:Orth / Ensembl
1700023C21RIK,,,unmapped,g:Orth / Ensembl
1700023D09RIK,,,unmapped,g:Orth / Ensembl
1700025B11RIK,,,unmapped,g:Orth / Ensembl
1700025D23RIK,,,unmapped,g:Orth / Ensembl
1700025G04RIK,C1ORF21,ENSG00000116667,mapped_canonical,g:Orth / Ensembl
1700025N23RIK,,,unmapped,g:Orth / Ensembl
1700026F02RIK,,,unmapped,g:Orth / Ensembl
1700027F09RIK,,,unmapped,g:Orth / Ensembl
1700028E10RIK,,,unmapped,g:Orth / Ensembl
1700028J19RIK,,,unmapped,g:Orth / Ensembl
1700028N14RIK,,,unmapped,g:Orth / Ensembl
1700028P14RIK,,,unmapped,g:Orth / Ensembl
1700029I15RIK,,,unmapped,g:Orth / Ensembl
1700029J07RIK,,,unmapped,g:Orth / Ensembl
1700030C10RIK,,,unmapped,g:Orth / Ensembl
1700030J22RIK,C16ORF46,ENSG00000166455,mapped_canonical,g:Orth / Ensembl
1700030K09RIK,C19ORF44,ENSG00000105072,mapped_canonical,g:Orth / Ensembl
1700030M09RIK,,,unmapped,g:Orth / Ensembl
1700030N03RIK,,,unmapped,g:Orth / Ensembl
1700031A10RIK,,,unmapped,g:Orth / Ensembl
1700031P21RIK,,,unmapped,g:Orth / Ensembl
1700034H15RIK,,,unmapped,g:Orth / Ensembl
1700034P13RIK,,,unmapped,g:Orth / Ensembl
1700037C18RIK,C16ORF90,ENSG00000215131,mapped_canonical,g:Orth / Ensembl
1700037F03RIK,,,unmapped,g:Orth / Ensembl
1700037H04RIK,,,unmapped,g:Orth / Ensembl
1700039I01RIK,,,unmapped,g:Orth / Ensembl
1700040D17RIK,,,unmapped,g:Orth / Ensembl
1700041A01RIK,,,unmapped,g:Orth / Ensembl
1700041G16RIK,,,unmapped,g:Orth / Ensembl
1700047I17RIK2,,,unmapped,g:Orth / Ensembl
1700047M11RIK,,,unmapped,g:Orth / Ensembl
1700048O20RIK,,,unmapped,g:Orth / Ensembl
1700049E15RIK,,,unmapped,g:Orth / Ensembl
1700052K11RIK,,,unmapped,g:Orth / Ensembl
1700054M17RIK,,,unmapped,g:Orth / Ensembl
1700054O19RIK,,,unmapped,g:Orth / Ensembl
1700055D18RIK,,,unmapped,g:Orth / Ensembl
1700056E22RIK,,,unmapped,g:Orth / Ensembl
1700056N10RIK,,,unmapped,g:Orth / Ensembl
1700061A03RIK,,,unmapped,g:Orth / Ensembl
1700061G19RIK,,,unmapped,g:Orth / Ensembl
1700061I17RIK,,,unmapped,g:Orth / Ensembl
1700063D05RIK,,,unmapped,g:Orth / Ensembl
1700063J08RIK,,,unmapped,g:Orth / Ensembl
1700065D16RIK,,,unmapped,g:Orth / Ensembl
1700066C05RIK,,,unmapped,g:Orth / Ensembl
1700066M21RIK,C2ORF69,ENSG00000178074,mapped_canonical,g:Orth / Ensembl
1700066O22RIK,,,unmapped,g:Orth / Ensembl
1700067K01RIK,C19ORF67,ENSG00000188032,mapped_canonical,g:Orth / Ensembl
1700069B07RIK,,,unmapped,g:Orth / Ensembl
1700080G18RIK,,,unmapped,g:Orth / Ensembl
1700081N11RIK,,,unmapped,g:Orth / Ensembl
1700082M22RIK,,,unmapped,g:Orth / Ensembl
1700084E18RIK,,,unmapped,g:Orth / Ensembl
1700085C21RIK,,,unmapped,g:Orth / Ensembl
1700085D07RIK,,,unmapped,g:Orth / Ensembl
1700086O06RIK,,,unmapped,g:Orth / Ensembl
1700086P04RIK,,,unmapped,g:Orth / Ensembl
1700087I21RIK,,,unmapped,g:Orth / Ensembl
1700088E04RIK,C22ORF23,ENSG00000128346,mapped_canonical,g:Orth / Ensembl
1700092C10RIK,,,unmapped,g:Orth / Ensembl
1700094D03RIK,,,unmapped,g:Orth / Ensembl
1700094M23RIK,,,unmapped,g:Orth / Ensembl
1700096K18RIK,,,unmapped,g:Orth / Ensembl
1700097M23RIK,,,unmapped,g:Orth / Ensembl
1700097N02RIK,,,unmapped,g:Orth / Ensembl
1700099I09RIK,,,unmapped,g:Orth / Ensembl
1700101I11RIK,,,unmapped,g:Orth / Ensembl
1700102H20RIK,,,unmapped,g:Orth / Ensembl
1700102P08RIK,C3ORF62,ENSG00000188315,mapped_canonical,g:Orth / Ensembl
1700104B16RIK,,,unmapped,g:Orth / Ensembl
1700105G05RIK,,,unmapped,g:Orth / Ensembl
1700108F19RIK,,,unmapped,g:Orth / Ensembl
1700109H08RIK,,,unmapped,g:Orth / Ensembl
1700110K17RIK,,,unmapped,g:Orth / Ensembl
1700112J16RIK,,,unmapped,g:Orth / Ensembl
1700112L15RIK,,,unmapped,g:Orth / Ensembl
1700113A16RIK,,,unmapped,g:Orth / Ensembl
1700113B09RIK,,,unmapped,g:Orth / Ensembl
1700113B19RIK,,,unmapped,g:Orth / Ensembl
1700116B05RIK,,,unmapped,g:Orth / Ensembl
1700119H24RIK,,,unmapped,g:Orth / Ensembl
1700120C14RIK,,,unmapped,g:Orth / Ensembl
1700120K04RIK,,,unmapped,g:Orth / Ensembl
1700122E12RIK,,,unmapped,g:Orth / Ensembl
1700122H20RIK,,,unmapped,g:Orth / Ensembl
1700123M08RIK,,,unmapped,g:Orth / Ensembl
1700123O20RIK,C14ORF119,ENSG00000179933,mapped_canonical,g:Orth / Ensembl
1700124L16RIK,,,unmapped,g:Orth / Ensembl
1700125G02RIK,,,unmapped,g:Orth / Ensembl
1700125H20RIK,,,unmapped,g:Orth / Ensembl
1700128F08RIK,,,unmapped,g:Orth / Ensembl
1810008I18RIK,,,unmapped,g:Orth / Ensembl
1810009A15RIK,C11ORF98,ENSG00000278615,mapped_canonical,g:Orth / Ensembl
1810010H24RIK,C17ORF58,ENSG00000186665,mapped_canonical,g:Orth / Ensembl
1810012K16RIK,,,unmapped,g:Orth / Ensembl
1810013L24RIK,,,unmapped,g:Orth / Ensembl
1810014B01RIK,,,unmapped,g:Orth / Ensembl
1810017P11RIK,,,unmapped,g:Orth / Ensembl
1810019D21RIK,,,unmapped,g:Orth / Ensembl
1810019N24RIK,,,unmapped,g:Orth / Ensembl
1810021B22RIK,,,unmapped,g:Orth / Ensembl
1810022K09RIK,,,unmapped,g:Orth / Ensembl
1810024B03RIK,,,unmapped,g:Orth / Ensembl
1810026B05RIK,,,unmapped,g:Orth / Ensembl
1810030O07RIK,CXORF38,ENSG00000185753,mapped_canonical,g:Orth / Ensembl
1810032O08RIK,,,unmapped,g:Orth / Ensembl
1810034E14RIK,,,unmapped,g:Orth / Ensembl
1810037I17RIK,C4ORF3,ENSG00000164096,mapped_canonical,g:Orth / Ensembl
1810041H14RIK,,,unmapped,g:Orth / Ensembl
1810043G02RIK,,,unmapped,g:Orth / Ensembl
1810044D09RIK,,,unmapped,g:Orth / Ensembl
1810044K17RIK,,,unmapped,g:Orth / Ensembl
1810053B23RIK,,,unmapped,g:Orth / Ensembl
1810055G02RIK,C11ORF24,ENSG00000171067,mapped_canonical,g:Orth / Ensembl
1810058I24RIK,,,unmapped,g:Orth / Ensembl
1810059H22RIK,,,unmapped,g:Orth / Ensembl
1810062G17RIK,,,unmapped,g:Orth / Ensembl
1810062O18RIK,,,unmapped,g:Orth / Ensembl
1810063I02RIK,,,unmapped,g:Orth / Ensembl
1810064F22RIK,,,unmapped,g:Orth / Ensembl
1810065E05RIK,,,unmapped,g:Orth / Ensembl
2010001A14RIK,,,unmapped,g:Orth / Ensembl
2010001K21RIK,,,unmapped,g:Orth / Ensembl
2010003K11RIK,C11ORF86,ENSG00000173237,mapped_canonical,g:Orth / Ensembl
2010007H06RIK,,,unmapped,g:Orth / Ensembl
2010016I18RIK,,,unmapped,g:Orth / Ensembl
2010106G04RIK,,,unmapped,g:Orth / Ensembl
2010109A12RIK,,,unmapped,g:Orth / Ensembl
2010111I01RIK,,,unmapped,g:Orth / Ensembl
2010204K13RIK,,,unmapped,g:Orth / Ensembl
2010300C02RIK,,,unmapped,g:Orth / Ensembl
2010308F09RIK,,,unmapped,g:Orth / Ensembl
