gene,dose,timepoints,directions_same,delta_3m_minus_0m
ABCC4,100 ug/kg/day,2,False,-0.2501151019442726
ABCC5,100 ug/kg/day,2,True,0.0530230478057713
ABCC6,100 ug/kg/day,2,True,0.2644309389376135
ABCC8,100 ug/kg/day,2,False,-0.8875477815802351
ABCC9,100 ug/kg/day,2,True,-0.7045450205684212
ABCD1,100 ug/kg/day,2,True,-0.1553892175270288
ABCD2,100 ug/kg/day,2,False,-0.6987655906854169
ABCD3,100 ug/kg/day,2,False,-0.0342306104001295
ABCD4,100 ug/kg/day,2,True,0.1569161982705136
ABCE1,100 ug/kg/day,2,False,-0.1406014953031951
ABCF1,100 ug/kg/day,2,True,0.2170620257281896
ABCF2,100 ug/kg/day,2,True,0.0264070762290522
ABCF3,100 ug/kg/day,2,True,0.0459654162028373
ABCG1,100 ug/kg/day,2,False,-0.4235267241883127
ABCG2,100 ug/kg/day,2,True,0.1503094525127289
ABCG4,100 ug/kg/day,2,False,-0.4679846810474726
ABHD1,100 ug/kg/day,2,False,0.7597383293292537
ABHD10,100 ug/kg/day,2,True,0.0037963171941939
ABHD11,100 ug/kg/day,2,True,0.1521742968462742
ABHD12,100 ug/kg/day,2,True,0.1404307641395163
ABHD13,100 ug/kg/day,2,False,-0.1170282333438059
ABHD14A,100 ug/kg/day,2,True,0.0554707614871197
ABHD14B,100 ug/kg/day,2,True,-0.1772715741305361
ABHD15,100 ug/kg/day,2,False,-0.3211786282136049
ABHD16A,100 ug/kg/day,2,True,0.1869984933942143
ABHD17A,100 ug/kg/day,2,True,0.3104020289987108
ABHD17B,100 ug/kg/day,2,True,-0.0371076250347988
ABHD17C,100 ug/kg/day,2,True,-0.0133466887883573
ABHD18,100 ug/kg/day,2,False,-0.4961200519321602
ABHD2,100 ug/kg/day,2,False,-0.9791198701533012
ABHD3,100 ug/kg/day,2,False,-0.4025767686481627
ABHD4,100 ug/kg/day,2,True,-0.0234073279556277
ABHD5,100 ug/kg/day,2,True,0.0510708809949829
ABHD6,100 ug/kg/day,2,True,0.0408396977970841
ABHD8,100 ug/kg/day,2,False,0.2027782868685577
ABI1,100 ug/kg/day,2,False,-0.2957582373413734
ABI2,100 ug/kg/day,2,False,-0.3414268041654491
ABI3,100 ug/kg/day,2,True,0.2031457305153936
ABI3BP,100 ug/kg/day,2,False,-0.3906600157069437
ABL1,100 ug/kg/day,2,True,-0.1193480442502723
ABL2,100 ug/kg/day,2,True,-0.2969120691082461
ABLIM1,100 ug/kg/day,2,False,-0.5044032635000502
ABLIM2,100 ug/kg/day,2,True,-0.3878203550270296
ABLIM3,100 ug/kg/day,2,True,0.0652933311753845
ABR,100 ug/kg/day,2,True,-0.1810350133195726
ABRACL,100 ug/kg/day,2,False,0.1211703924855127
ABRAXAS1,100 ug/kg/day,2,True,-0.0612512807265366
ABRAXAS2,100 ug/kg/day,2,False,0.048282542231604
ABT1,100 ug/kg/day,2,True,-0.0016486490073832
ABTB1,100 ug/kg/day,2,True,0.1098441476340292
ABTB2,100 ug/kg/day,2,False,-0.2828552317158164
ACAA1,100 ug/kg/day,2,False,1.000107475195218
ACAA2,100 ug/kg/day,2,False,0.3042568586033276
ACACA,100 ug/kg/day,2,False,-0.2517798098242814
ACACB,100 ug/kg/day,2,True,-0.0976393027515571
ACAD10,100 ug/kg/day,2,True,-0.1569538339539766
ACAD11,100 ug/kg/day,2,True,-0.1617076138999431
ACAD8,100 ug/kg/day,2,True,-0.0199627208878414
ACAD9,100 ug/kg/day,2,True,0.0960362584290024
ACADL,100 ug/kg/day,2,False,0.112986918288211
ACADM,100 ug/kg/day,2,True,0.0408174644682937
ACADS,100 ug/kg/day,2,False,0.2213332177025808
ACADSB,100 ug/kg/day,2,False,-0.1924914601349536
ACADVL,100 ug/kg/day,2,False,0.2881187642493534
ACAN,100 ug/kg/day,2,False,-0.6067444991335524
ACAP1,100 ug/kg/day,2,True,0.5792175877560011
ACAP2,100 ug/kg/day,2,True,-0.2913566807323224
ACAP3,100 ug/kg/day,2,True,-0.0120741568423898
ACAT1,100 ug/kg/day,2,False,0.0952904048876233
ACAT2,100 ug/kg/day,2,True,0.4173447312757342
ACBD3,100 ug/kg/day,2,False,0.1337370604508629
ACBD4,100 ug/kg/day,2,True,0.1240017257416843
ACBD5,100 ug/kg/day,2,False,-0.1470146148145925
ACBD6,100 ug/kg/day,2,True,0.0825149888826999
ACCS,100 ug/kg/day,2,True,-0.4048811108583594
ACCSL,100 ug/kg/day,2,True,0.0181220405798465
ACD,100 ug/kg/day,2,True,-0.0033923666624975
ACE,100 ug/kg/day,2,True,-0.6082574882868235
ACE2,100 ug/kg/day,2,True,0.0460618616507164
ACER2,100 ug/kg/day,2,True,-0.3268101724573471
ACER3,100 ug/kg/day,2,True,-0.0200431107257506
ACIN1,100 ug/kg/day,2,False,0.1028531674199211
ACKR1,100 ug/kg/day,2,True,0.0365273600109516
ACKR2,100 ug/kg/day,2,False,0.2797943815597015
ACKR3,100 ug/kg/day,2,True,-0.4046719946930386
ACKR4,100 ug/kg/day,2,True,0.8366003970477677
ACLY,100 ug/kg/day,2,True,-0.1683322301504901
ACO1,100 ug/kg/day,2,True,-0.1246760717697936
ACO2,100 ug/kg/day,2,False,0.045780403771694
ACOT1,100 ug/kg/day,2,True,0.4032792187011725
ACOT11,100 ug/kg/day,2,False,0.3864883106326762
ACOT12,100 ug/kg/day,2,False,0.8782123190969955
ACOT13,100 ug/kg/day,2,False,0.2640270582310799
ACOT4,100 ug/kg/day,2,True,0.4127534424636548
ACOT6,100 ug/kg/day,2,False,-0.7229991415195238
ACOT7,100 ug/kg/day,2,True,0.2888614475769566
ACOT8,100 ug/kg/day,2,False,0.253845336616513
ACOT9,100 ug/kg/day,2,True,0.3108067683961009
ACOX1,100 ug/kg/day,2,True,-0.0214085936722172
ACOX3,100 ug/kg/day,2,True,-0.2808587708958834
ACOXL,100 ug/kg/day,2,False,-1.07875307160562
ACP1,100 ug/kg/day,2,True,0.2375386100921295
ACP2,100 ug/kg/day,2,True,-0.1573530111318071
ACP5,100 ug/kg/day,2,True,0.3604723882904399
ACP6,100 ug/kg/day,2,False,0.2777967949118238
ACRBP,100 ug/kg/day,2,True,0.3466926932696832
ACSBG1,100 ug/kg/day,2,False,-0.1387165215760077
ACSF2,100 ug/kg/day,2,True,-0.0369911903089379
ACSF3,100 ug/kg/day,2,False,0.2002356066142763
ACSL1,100 ug/kg/day,2,True,-0.4009394140117948
ACSL3,100 ug/kg/day,2,True,0.4229561819092291
ACSL4,100 ug/kg/day,2,True,-0.0194487198168307
ACSL5,100 ug/kg/day,2,True,0.2114235290065238
ACSL6,100 ug/kg/day,2,True,0.0136404986701367
ACSM3,100 ug/kg/day,2,False,0.8706112173424237
ACSS1,100 ug/kg/day,2,True,0.0253957264531141
ACSS2,100 ug/kg/day,2,True,-0.1533008526157102
ACSS3,100 ug/kg/day,2,False,-0.544894403930283
ACTA2,100 ug/kg/day,2,True,0.1401821587442846
ACTB,100 ug/kg/day,2,False,0.1406773777166012
ACTC1,100 ug/kg/day,2,True,0.4896691508882945
ACTG1,100 ug/kg/day,2,False,0.0847627494066642
ACTG2,100 ug/kg/day,2,True,0.3128998052114164
ACTL6A,100 ug/kg/day,2,True,-0.0096396168175463
ACTN1,100 ug/kg/day,2,False,0.2106042330752622
ACTN2,100 ug/kg/day,2,True,-0.4959063477943681
ACTN3,100 ug/kg/day,2,True,-0.0801985803338518
ACTN4,100 ug/kg/day,2,True,0.1114479551367075
ACTR10,100 ug/kg/day,2,False,0.0823886063530512
ACTR1A,100 ug/kg/day,2,True,-0.0043925669611759
ACTR1B,100 ug/kg/day,2,True,0.0232748654177461
ACTR2,100 ug/kg/day,2,False,0.059904839242292
ACTR3,100 ug/kg/day,2,True,0.1022409672109239
ACTR3B,100 ug/kg/day,2,True,0.1614178583021805
ACTR5,100 ug/kg/day,2,True,0.3152827831576235
ACTR6,100 ug/kg/day,2,False,0.1196716022037462
ACTR8,100 ug/kg/day,2,True,0.1368064406343441
ACVR1,100 ug/kg/day,2,True,-0.1253720796704529
ACVR1B,100 ug/kg/day,2,True,-0.2768578258740297
ACVR1C,100 ug/kg/day,2,False,-0.3426789580354189
ACVR2A,100 ug/kg/day,2,True,-0.3682534472235703
ACVR2B,100 ug/kg/day,2,True,-0.1528186048346969
ACVRL1,100 ug/kg/day,2,False,0.1654708304385828
ACY1,100 ug/kg/day,2,True,0.3170812331042505
ACY3,100 ug/kg/day,2,False,0.3141361239137268
ACYP2,100 ug/kg/day,2,False,0.0882787731847032
ADA,100 ug/kg/day,2,False,0.7983623456979201
ADAD2,100 ug/kg/day,2,False,-0.3151733594115476
ADAM10,100 ug/kg/day,2,True,-0.2049784474645859
ADAM11,100 ug/kg/day,2,True,0.0281158024360441
ADAM12,100 ug/kg/day,2,True,-0.4606887591291801
ADAM15,100 ug/kg/day,2,False,0.2887516373603933
ADAM17,100 ug/kg/day,2,False,-0.082541213419395
ADAM2,100 ug/kg/day,2,True,-0.2087758216507457
ADAM22,100 ug/kg/day,2,True,0.158239575084802
ADAM23,100 ug/kg/day,2,False,-1.33773357547539
ADAM33,100 ug/kg/day,2,True,0.2481118159195836
ADAM8,100 ug/kg/day,2,False,-0.3263018176186132
ADAM9,100 ug/kg/day,2,False,-0.195156726776271
ADAMDEC1,100 ug/kg/day,2,False,-0.612011774691471
ADAMTS1,100 ug/kg/day,2,False,0.4764238961941682
ADAMTS10,100 ug/kg/day,2,True,-0.0212196447891459
ADAMTS12,100 ug/kg/day,2,False,-0.9596678727071613
ADAMTS13,100 ug/kg/day,2,False,-0.4723879450240305
ADAMTS14,100 ug/kg/day,2,True,-0.2983753191873433
ADAMTS15,100 ug/kg/day,2,True,0.0178764567191436
ADAMTS16,100 ug/kg/day,2,True,-0.4323800376834103
ADAMTS17,100 ug/kg/day,2,True,0.0016159999765708
ADAMTS19,100 ug/kg/day,2,False,-0.9864376646240638
ADAMTS2,100 ug/kg/day,2,False,-0.1540410189733174
ADAMTS20,100 ug/kg/day,2,True,-0.1474141120655022
ADAMTS3,100 ug/kg/day,2,True,-0.0661243660594765
ADAMTS4,100 ug/kg/day,2,True,-0.3703226743133934
ADAMTS5,100 ug/kg/day,2,False,-0.7303595162992789
ADAMTS6,100 ug/kg/day,2,False,-0.5435483063821924
ADAMTS7,100 ug/kg/day,2,False,-0.2271452157094105
ADAMTS8,100 ug/kg/day,2,False,-0.5407493146814137
ADAMTS9,100 ug/kg/day,2,True,0.0751473782731402
ADAMTSL1,100 ug/kg/day,2,True,-0.1896497012346358
ADAMTSL2,100 ug/kg/day,2,True,-0.0059873216114234
ADAMTSL3,100 ug/kg/day,2,True,-0.2270181243467497
ADAMTSL4,100 ug/kg/day,2,False,-0.0761622794220358
ADAMTSL5,100 ug/kg/day,2,False,0.4902274030651553
ADAP1,100 ug/kg/day,2,True,0.0853377809180733
ADAP2,100 ug/kg/day,2,True,0.2023331084931832
ADAR,100 ug/kg/day,2,False,-0.1534188866387067
ADARB1,100 ug/kg/day,2,True,0.0036314076826728
ADARB2,100 ug/kg/day,2,True,-0.1595327344571537
ADAT1,100 ug/kg/day,2,False,0.1260580088571963
ADAT2,100 ug/kg/day,2,True,-0.2935673687513935
ADAT3,100 ug/kg/day,2,True,0.4339946294350016
ADCK1,100 ug/kg/day,2,True,-0.2311962554926925
ADCK2,100 ug/kg/day,2,False,0.0753003582628135
ADCK5,100 ug/kg/day,2,False,0.1957516578265075
ADCY1,100 ug/kg/day,2,False,-0.8740563366613334
ADCY2,100 ug/kg/day,2,False,0.2234488603797759
ADCY3,100 ug/kg/day,2,False,-0.152496826549533
ADCY4,100 ug/kg/day,2,False,0.2752376355004187
ADCY5,100 ug/kg/day,2,True,-0.2579522914788068
ADCY6,100 ug/kg/day,2,True,-0.111130834682088
ADCY7,100 ug/kg/day,2,False,-0.6036670012852401
ADCY9,100 ug/kg/day,2,True,-0.1645535230312997
ADCYAP1,100 ug/kg/day,2,False,-1.45248498406504
ADCYAP1R1,100 ug/kg/day,2,False,-0.7194322474432462
ADD1,100 ug/kg/day,2,True,-0.0717310469677912
ADD2,100 ug/kg/day,2,False,0.3391876835896332
ADD3,100 ug/kg/day,2,False,-0.2398939261287296
ADGB,100 ug/kg/day,2,False,0.4799194054384328
ADGRA1,100 ug/kg/day,2,False,-1.1157604789604192
