source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P08047	P01350	SP1	GAST	True	True	False	True	True	False	A
P43694	P01160	GATA4	NPPA	True	True	False	True	True	False	A
P10826	P13631	RARB	RARG	True	False	True	False	False	False	A
P13631	P10826	RARG	RARB	True	True	False	True	True	False	A
P05412	P13501	JUN	CCL5	True	True	False	True	True	False	A
Q04206	P25942	RELA	CD40	True	True	False	True	True	False	A
Q04206	P01579	RELA	IFNG	True	True	False	True	True	False	A
Q92731	P10276	ESR2	RARA	True	True	False	True	True	False	A
P03372	P10276	ESR1	RARA	True	True	False	True	True	False	A
P26367	Q99456	PAX6	KRT12	True	True	False	True	True	False	A
P78337	P01229	PITX1	LHB	True	True	False	True	True	False	C
P18146	P01229	EGR1	LHB	True	True	False	True	True	False	A
P01100	P04637	FOS	TP53	True	True	False	False	False	False	A
P18146	P10589	EGR1	NR2F1	True	False	False	False	False	False	C
P04637	P01100	TP53	FOS	True	False	True	True	False	True	A
P08047	P01100	SP1	FOS	True	True	False	True	True	False	A
P08047	P18146	SP1	EGR1	True	True	False	True	True	False	A
P01106	P06733	MYC	ENO1	True	True	False	False	False	False	A
P04637	P24385	TP53	CCND1	True	False	True	True	False	True	A
P16220	P35558	CREB1	PCK1	True	True	False	True	True	False	A
Q04206	P35228	RELA	NOS2	True	True	False	True	True	False	A
P19838	P35228	NFKB1	NOS2	True	True	False	True	True	False	A
P18848	P35638	ATF4	DDIT3	True	True	False	True	True	False	A
P18848	P0DPQ6	ATF4	DDIT3	True	True	False	True	True	False	A
P18848	P18847	ATF4	ATF3	True	True	False	True	True	False	A
P18847	P35638	ATF3	DDIT3	True	True	False	True	True	False	A
P18847	P0DPQ6	ATF3	DDIT3	True	True	False	True	True	False	A
Q13485	P05121	SMAD4	SERPINE1	True	True	False	True	True	False	A
P84022	P05121	SMAD3	SERPINE1	True	True	False	True	True	False	A
P42224	Q02556	STAT1	IRF8	True	True	False	True	True	False	A
P04637	P29034	TP53	S100A2	True	True	False	True	True	False	A
P26367	P01275	PAX6	GCG	True	True	False	True	True	False	C
P04637	Q07812	TP53	BAX	True	True	False	True	True	False	A
P04637	P51959	TP53	CCNG1	True	True	False	True	True	False	A
P04637	P24522	TP53	GADD45A	True	True	True	True	True	False	A
Q14765	P01579	STAT4	IFNG	True	True	False	True	True	False	A
P37231	P06858	PPARG	LPL	True	True	False	True	True	False	A
Q13285	P05093	NR5A1	CYP17A1	True	True	False	True	True	False	A
P01100	Q01196	FOS	RUNX1	True	False	False	False	False	False	B
O43524	P48023	FOXO3	FASLG	True	True	False	True	True	False	A
P19419	P00441	ELK1	SOD1	True	True	False	True	True	False	A
Q01543	P14770	FLI1	GP9	True	True	False	True	True	False	A
P22415	P49327	USF1	FASN	True	True	False	True	True	False	A
Q01543	P08514	FLI1	ITGA2B	True	True	False	True	True	False	A
P18146	P19419	EGR1	ELK1	True	True	False	False	False	False	A
P19419	P18146	ELK1	EGR1	True	True	False	True	True	False	A
P28324	P18146	ELK4	EGR1	True	True	False	True	True	False	C
P28069	P01236	POU1F1	PRL	True	True	False	True	True	False	A
P49715	P02768	CEBPA	ALB	True	True	False	True	True	False	A
P16220	P24385	CREB1	CCND1	True	True	False	True	True	False	A
P42224	P01579	STAT1	IFNG	True	True	True	True	True	False	A
P05412	P05231	JUN	IL6	True	True	False	True	True	False	A
Q16665	P01588	HIF1A	EPO	True	True	False	True	True	False	A
P01106	P30304	MYC	CDC25A	True	True	False	True	True	False	A
P27540	P01588	ARNT	EPO	True	True	False	True	True	False	A
O15350	Q00987	TP73	MDM2	True	True	False	True	True	False	A
O15350	P04637	TP73	TP53	True	True	False	True	True	False	C
P04637	O15350	TP53	TP73	True	True	False	False	False	False	A
O15350	P38936	TP73	CDKN1A	True	True	False	True	True	False	A
Q16254	Q01094	E2F4	E2F1	True	False	True	True	False	True	A
P08047	P38936	SP1	CDKN1A	True	True	True	True	True	False	A
P15036	P05113	ETS2	IL5	True	True	False	True	True	False	A
P23771	P05113	GATA3	IL5	True	True	False	True	True	False	A
P14921	P05113	ETS1	IL5	True	True	False	True	True	False	A
P08047	P01137	SP1	TGFB1	True	True	False	True	True	False	A
P05412	P30559	JUN	OXTR	True	True	False	True	True	False	A
Q04864	P01589	REL	IL2RA	True	True	False	True	True	False	A
P08047	P01130	SP1	LDLR	True	True	False	True	True	False	A
P25490	P01130	YY1	LDLR	True	False	True	True	False	True	A
P49715	P35558	CEBPA	PCK1	True	True	False	True	True	False	A
P19544	P38936	WT1	CDKN1A	True	True	False	True	True	False	A
P01100	P07992	FOS	ERCC1	True	True	False	True	True	False	A
P25490	P61073	YY1	CXCR4	True	False	True	True	False	True	A
P01106	P61073	MYC	CXCR4	True	True	False	True	True	False	A
P22415	P61073	USF1	CXCR4	True	True	False	True	True	False	A
Q13285	P01229	NR5A1	LHB	True	True	True	True	True	False	A
P15336	P01375	ATF2	TNF	True	True	False	True	True	False	A
P05412	P01375	JUN	TNF	True	True	False	True	True	False	A
Q9UJU2	P24385	LEF1	CCND1	True	True	False	True	True	False	A
P17676	P49675	CEBPB	STAR	True	True	False	True	True	False	A
Q13285	P49675	NR5A1	STAR	True	True	True	True	True	False	A
P11831	P01100	SRF	FOS	True	True	False	True	True	False	A
P01106	P38936	MYC	CDKN1A	True	True	True	True	False	True	A
P05412	P60568	JUN	IL2	True	True	True	True	True	False	A
P48436	Q16674	SOX9	MIA	True	True	False	True	True	False	A
P10914	P01562	IRF1	IFNA1	True	True	False	True	True	False	A;D
P10914	P14316	IRF1	IRF2	True	True	False	True	True	False	A
P04637	Q99732	TP53	LITAF	True	True	False	True	True	False	A
P04637	P78543	TP53	BTG2	True	True	False	True	True	False	A
Q02447	P38936	SP3	CDKN1A	True	True	True	True	True	False	A
P04637	P12004	TP53	PCNA	True	True	False	True	True	False	A
P42224	P01574	STAT1	IFNB1	True	False	True	True	False	True	A
P15336	P05412	ATF2	JUN	True	True	False	True	True	False	A
P18146	P13726	EGR1	F3	True	True	False	True	True	False	A
P11831	P18146	SRF	EGR1	True	True	False	True	True	False	A
P41235	P01009	HNF4A	SERPINA1	True	True	False	True	True	False	A
P05412	P04141	JUN	CSF2	True	True	False	True	True	False	A
Q13469	P04141	NFATC2	CSF2	True	True	False	True	True	False	A
Q02078	P05412	MEF2A	JUN	True	True	False	True	True	False	A
Q13950	P45452	RUNX2	MMP13	True	True	False	True	True	False	A
P67809	P45452	YBX1	MMP13	True	False	True	True	False	True	A
P52945	P01308	PDX1	INS	True	True	False	True	True	False	A
P20823	P41235	HNF1A	HNF4A	True	True	False	False	False	False	A
P41235	P20823	HNF4A	HNF1A	True	True	False	True	True	False	A
P20823	P01308	HNF1A	INS	True	True	False	True	True	False	A
P22670	P12004	RFX1	PCNA	True	False	True	True	False	True	A
Q01094	P00374	E2F1	DHFR	True	True	False	True	True	False	A
P19544	P07996	WT1	THBS1	True	True	True	True	True	False	A
P08047	P22692	SP1	IGFBP4	True	True	False	True	True	False	A
P01106	P04637	MYC	TP53	True	True	False	True	True	False	A
P04637	P01106	TP53	MYC	True	False	True	False	False	False	A
P19838	P04637	NFKB1	TP53	True	True	False	True	True	False	A
P04637	Q04206	TP53	RELA	True	True	False	False	False	False	A
Q04206	P04637	RELA	TP53	True	True	False	True	True	False	A
Q12778	P08833	FOXO1	IGFBP1	True	True	True	True	True	False	A
P42229	P05814	STAT5A	CSN2	True	True	False	True	True	False	A
P17947	P46939	SPI1	UTRN	True	True	False	True	True	False	B
P35869	P04798	AHR	CYP1A1	True	True	True	True	True	False	A
P08047	P00749	SP1	PLAU	True	True	False	True	True	False	A
O00482	P22680	NR5A2	CYP7A1	True	False	True	True	False	True	C
P42224	O14543	STAT1	SOCS3	True	True	False	True	True	False	A
P40763	O14543	STAT3	SOCS3	True	True	False	True	True	False	A
P14859	P05113	POU2F1	IL5	True	True	False	True	True	False	A
P25490	P05113	YY1	IL5	True	True	False	True	True	False	A
P10276	P00749	RARA	PLAU	True	True	False	True	True	False	A
Q9UJU2	P09237	LEF1	MMP7	True	True	False	True	True	False	A
P17947	Q06187	SPI1	BTK	True	True	False	True	True	False	A
P08047	Q06187	SP1	BTK	True	True	False	True	True	False	A
Q02447	Q06187	SP3	BTK	True	True	False	True	True	False	A
P08047	Q02447	SP1	SP3	True	True	False	True	True	False	A
P42226	P05112	STAT6	IL4	True	True	False	True	True	False	A
P18146	P04085	EGR1	PDGFA	True	True	False	True	True	False	A
P05412	P08183	JUN	ABCB1	True	True	True	True	False	True	A
Q04206	P29965	RELA	CD40LG	True	True	False	True	True	False	A
P49715	P08047	CEBPA	SP1	True	False	False	False	False	False	A
P08047	P11926	SP1	ODC1	True	True	False	True	True	False	A
P01106	P38398	MYC	BRCA1	True	True	False	True	True	False	A
Q13285	P11511	NR5A1	CYP19A1	True	True	True	True	True	False	A
P03372	P48552	ESR1	NRIP1	True	True	False	True	True	False	C
P01106	P11926	MYC	ODC1	True	True	False	True	True	False	A
P01106	P06454	MYC	PTMA	True	True	False	True	True	False	A
P04198	Q92597	MYCN	NDRG1	True	True	True	True	False	True	A
P01106	Q92597	MYC	NDRG1	True	False	True	True	False	True	A
Q9H3D4	P38936	TP63	CDKN1A	True	True	False	True	True	False	A
P08047	P05108	SP1	CYP11A1	True	True	False	True	True	False	A
P56270	P01106	MAZ	MYC	True	True	False	True	True	False	A
P28069	P01241	POU1F1	GH1	True	True	False	True	True	False	A
P18146	P18846	EGR1	ATF1	True	False	False	False	False	False	C
P18846	P18146	ATF1	EGR1	True	True	False	True	True	False	C
P16220	P18146	CREB1	EGR1	True	True	False	True	True	False	A
P18146	P16220	EGR1	CREB1	True	False	False	False	False	False	C
P18146	P08183	EGR1	ABCB1	True	True	False	True	True	False	A
P19544	P08183	WT1	ABCB1	True	True	False	True	True	False	A
P25490	P11597	YY1	CETP	True	True	False	True	True	False	A
P36956	P11597	SREBF1	CETP	True	True	False	True	True	False	A
P36956	Q86SK9	SREBF1	SCD5	True	True	False	True	True	False	A
P42224	P25942	STAT1	CD40	True	True	False	True	True	False	A
O75469	P08684	NR1I2	CYP3A4	True	True	False	True	True	False	A
P20823	P22680	HNF1A	CYP7A1	True	True	False	True	True	False	A
P17275	P10909	JUNB	CLU	True	True	False	True	True	False	A
P42224	P01562	STAT1	IFNA1	True	True	True	True	True	False	A
P19544	P10415	WT1	BCL2	True	True	False	True	True	False	A
P01100	P10909	FOS	CLU	True	False	True	True	False	True	A
P15407	P10909	FOSL1	CLU	True	True	False	True	True	False	A
P16220	P07101	CREB1	TH	True	True	False	True	True	False	A
Q92731	P01178	ESR2	OXT	True	True	False	True	True	False	A
P08047	P08183	SP1	ABCB1	True	True	False	True	True	False	A
Q16665	P15692	HIF1A	VEGFA	True	True	True	True	True	False	A
P05412	P17947	JUN	SPI1	True	True	False	True	True	False	A
Q13485	P38936	SMAD4	CDKN1A	True	True	False	True	True	False	A
P03372	P01024	ESR1	C3	True	True	False	True	True	False	A
P18146	P01375	EGR1	TNF	True	True	False	True	True	False	A
P08047	P02751	SP1	FN1	True	True	False	True	True	False	A
P37231	P15090	PPARG	FABP4	True	True	False	True	True	False	A
P42229	Q07817	STAT5A	BCL2L1	True	True	False	True	True	False	A
P08047	P41159	SP1	LEP	True	True	False	True	True	False	A
P42229	P13725	STAT5A	OSM	True	True	False	True	True	False	A
P18146	P50281	EGR1	MMP14	True	True	False	True	True	False	A
P37231	P16671	PPARG	CD36	True	True	False	True	True	False	A
P42224	P35354	STAT1	PTGS2	True	True	False	True	True	False	A
P17676	P05231	CEBPB	IL6	True	True	True	True	False	True	A
Q02548	P11912	PAX5	CD79A	True	True	False	True	True	False	A
P14921	P09874	ETS1	PARP1	True	True	True	True	True	False	A
P14859	P01903	POU2F1	HLA-DRA	True	False	True	True	False	True	A
P14921	Q09328	ETS1	MGAT5	True	True	False	True	True	False	A
P42224	P07900	STAT1	HSP90AA1	True	False	True	True	False	True	A
Q00613	P07900	HSF1	HSP90AA1	True	True	False	True	True	False	C
Q00613	P34932	HSF1	HSPA4	True	True	False	True	True	False	A
P17676	P00738	CEBPB	HP	True	True	False	True	True	False	A
Q16665	P02786	HIF1A	TFRC	True	True	False	True	True	False	A
P01106	P34932	MYC	HSPA4	True	True	False	True	True	False	A
P08047	P49768	SP1	PSEN1	True	True	False	True	True	False	A
P51843	Q13285	NR0B1	NR5A1	True	False	True	False	False	False	A
Q13285	P51843	NR5A1	NR0B1	True	True	False	True	True	False	A
P08047	P05141	SP1	SLC25A5	True	True	False	True	True	False	A
P03372	Q01094	ESR1	E2F1	True	True	False	True	True	False	A
P08047	Q01094	SP1	E2F1	True	True	False	True	True	False	A
P05549	P05108	TFAP2A	CYP11A1	True	True	False	True	True	False	A
P08047	P17947	SP1	SPI1	True	True	False	True	True	False	A
P08047	P00750	SP1	PLAT	True	True	False	True	True	False	A
Q02447	P00750	SP3	PLAT	True	True	False	True	True	False	A
P17947	P01584	SPI1	IL1B	True	True	False	True	True	False	A
P06401	P08833	PGR	IGFBP1	True	True	False	True	True	False	A
Q02548	P51451	PAX5	BLK	True	True	True	True	True	False	A
Q12772	P01130	SREBF2	LDLR	True	True	False	True	True	False	A
Q13285	P05108	NR5A1	CYP11A1	True	True	False	True	True	False	A
P17676	P10145	CEBPB	CXCL8	True	True	False	True	True	False	A
P20823	P22309	HNF1A	UGT1A1	True	True	False	True	True	False	A
P19838	P24385	NFKB1	CCND1	True	True	True	True	True	False	A
Q04206	P24385	RELA	CCND1	True	True	True	True	True	False	A
P17676	P01584	CEBPB	IL1B	True	True	False	True	True	False	A
Q04206	P00749	RELA	PLAU	True	True	False	True	True	False	A
Q13351	P68871	KLF1	HBB	True	True	False	True	True	False	B
Q04864	P13500	REL	CCL2	True	True	False	True	True	False	A
Q04206	P13500	RELA	CCL2	True	True	False	True	True	False	A
P04637	O15151	TP53	MDM4	True	True	False	True	True	False	A
O15350	O15151	TP73	MDM4	True	True	False	True	True	False	C
P19544	P04198	WT1	MYCN	True	False	True	True	False	True	A
P16220	P05412	CREB1	JUN	True	False	True	True	False	True	A
P08047	P52926	SP1	HMGA2	True	True	False	True	True	False	A
Q02447	P52926	SP3	HMGA2	True	True	False	True	True	False	A
Q04206	P10145	RELA	CXCL8	True	True	True	True	True	False	A
P23760	O75030	PAX3	MITF	True	True	True	True	True	False	A
Q04206	P01375	RELA	TNF	True	True	False	True	True	False	A
P19838	P01375	NFKB1	TNF	True	True	False	True	True	False	A
P08651	P04798	NFIC	CYP1A1	True	False	True	True	False	True	A
Q01094	P06400	E2F1	RB1	True	True	False	True	True	False	A
P08047	P22888	SP1	LHCGR	True	True	False	True	True	False	A
P11474	P11511	ESRRA	CYP19A1	True	True	False	True	True	False	A
P22415	P30613	USF1	PKLR	True	True	False	True	True	False	A
P40763	P17275	STAT3	JUNB	True	True	False	True	True	False	A
P08047	P24385	SP1	CCND1	True	True	False	True	True	False	A
P05549	P03372	TFAP2A	ESR1	True	True	False	True	True	False	B
P03372	Q92754	ESR1	TFAP2C	True	True	False	False	False	False	A
Q92754	P03372	TFAP2C	ESR1	True	True	False	True	True	False	A
Q06710	P01266	PAX8	TG	True	True	True	True	True	False	A
P19544	P08069	WT1	IGF1R	True	False	True	True	False	True	A
P03372	P24385	ESR1	CCND1	True	True	False	True	True	False	A
P08047	P06756	SP1	ITGAV	True	True	True	True	True	False	A
Q02447	P06756	SP3	ITGAV	True	True	False	True	True	False	A
Q01094	P24864	E2F1	CCNE1	True	True	False	True	True	False	A
Q01094	P24385	E2F1	CCND1	True	True	False	True	True	False	A
P25490	P04637	YY1	TP53	True	True	True	True	True	False	A
P10914	P33076	IRF1	CIITA	True	True	False	True	True	False	A
P08047	P08253	SP1	MMP2	True	True	False	True	True	False	A
Q02447	P08253	SP3	MMP2	True	True	False	True	True	False	A
P05549	P08253	TFAP2A	MMP2	True	True	False	True	True	False	A
P43268	P08253	ETV4	MMP2	True	True	False	True	True	False	A
P15336	P38936	ATF2	CDKN1A	True	True	False	True	True	False	A
P01106	P30279	MYC	CCND2	True	True	False	True	True	False	A
P18146	P25445	EGR1	FAS	True	False	True	True	False	True	A
Q01543	P37173	FLI1	TGFBR2	True	True	True	True	True	False	A
P08047	Q07812	SP1	BAX	True	True	False	True	True	False	A
P15036	P04637	ETS2	TP53	True	True	False	True	True	False	A
P14921	P04637	ETS1	TP53	True	True	False	True	True	False	A
P18146	Q15742	EGR1	NAB2	True	True	False	True	True	False	A
P04637	P06493	TP53	CDK1	True	False	True	True	False	True	A
Q96RI1	P51161	NR1H4	FABP6	True	True	False	True	True	False	A
P04637	P46527	TP53	CDKN1B	True	True	False	True	True	False	A
P04637	P27816	TP53	MAP4	True	False	True	True	False	True	A
Q07869	P25874	PPARA	UCP1	True	True	True	True	True	False	A
P37231	P25874	PPARG	UCP1	True	True	False	True	True	False	A
Q06413	P05412	MEF2C	JUN	True	True	True	True	True	False	A
P05549	P12830	TFAP2A	CDH1	True	True	True	True	True	False	A
P42226	P10914	STAT6	IRF1	True	True	False	True	True	False	A
P10914	P42224	IRF1	STAT1	True	True	False	False	False	False	B
P42224	P10914	STAT1	IRF1	True	True	True	True	True	False	A
Q99814	P15692	EPAS1	VEGFA	True	True	False	True	True	False	A
P01100	P17676	FOS	CEBPB	True	True	False	False	False	False	C
P18846	P22301	ATF1	IL10	True	True	False	True	True	False	A
P17676	P01100	CEBPB	FOS	True	True	False	True	True	False	A
P16220	P22301	CREB1	IL10	True	True	False	True	True	False	A
Q04206	P05231	RELA	IL6	True	True	True	True	True	False	A
P17947	P05107	SPI1	ITGB2	True	True	False	True	True	False	A
P20823	P02768	HNF1A	ALB	True	True	False	True	True	False	A
P22415	P14635	USF1	CCNB1	True	True	False	True	True	False	A
P10275	P01106	AR	MYC	True	True	False	True	True	False	A
P08047	P13726	SP1	F3	True	True	False	True	True	False	A
P19838	P05362	NFKB1	ICAM1	True	True	False	True	True	False	A
P19838	P19320	NFKB1	VCAM1	True	True	False	True	True	False	A
Q04206	P05362	RELA	ICAM1	True	True	False	True	True	False	A
Q04206	P19320	RELA	VCAM1	True	True	False	True	True	False	A
P04637	Q9UK53	TP53	ING1	True	True	False	True	True	False	A
P14921	P17948	ETS1	FLT1	True	True	False	True	True	False	A
Q15744	P02788	CEBPE	LTF	True	True	False	True	True	False	A
P14316	P33076	IRF2	CIITA	True	True	False	True	True	False	A
P22415	P51587	USF1	BRCA2	True	True	False	True	True	False	A
P32519	P51587	ELF1	BRCA2	True	True	False	True	True	False	A
Q15853	P51587	USF2	BRCA2	True	True	False	True	True	False	A
P08047	P01375	SP1	TNF	True	True	True	True	True	False	A
P84022	O15105	SMAD3	SMAD7	True	True	True	True	True	False	A
Q13485	O15105	SMAD4	SMAD7	True	True	False	True	True	False	A
P15407	P15502	FOSL1	ELN	True	False	True	True	False	True	A
P05412	P15502	JUN	ELN	True	False	True	True	False	True	A
Q16665	P38936	HIF1A	CDKN1A	True	True	False	True	True	False	A
P05549	P29372	TFAP2A	MPG	True	True	False	True	True	False	A
P18850	P11021	ATF6	HSPA5	True	True	False	True	True	False	A
P18846	P61812	ATF1	TGFB2	True	True	False	True	True	False	A
P01106	P27708	MYC	CAD	True	True	False	True	True	False	A
Q02556	P19878	IRF8	NCF2	True	True	False	True	True	False	A
P18146	O15350	EGR1	TP73	True	True	False	True	True	False	A
P11308	P13598	ERG	ICAM2	True	True	False	True	True	False	A
P08047	P29474	SP1	NOS3	True	True	False	True	True	False	A
P49711	P05067	CTCF	APP	True	True	True	True	True	False	A
P19838	Q07817	NFKB1	BCL2L1	True	True	True	True	True	False	A
Q04206	Q07817	RELA	BCL2L1	True	True	True	True	True	False	A
P36956	P49327	SREBF1	FASN	True	True	False	True	True	False	A
Q03060	P60568	CREM	IL2	True	True	True	True	True	False	A
O75030	P14679	MITF	TYR	True	True	False	True	True	False	A
Q16665	P05121	HIF1A	SERPINE1	True	True	False	True	True	False	A
P10242	P78396	MYB	CCNA1	True	True	False	True	True	False	A
Q01094	Q8N726	E2F1	CDKN2A	True	True	False	True	True	False	A
Q01094	P42771	E2F1	CDKN2A	True	True	False	True	True	False	A
Q01094	P20248	E2F1	CCNA2	True	True	False	True	True	False	A
P41212	Q01196	ETV6	RUNX1	True	False	False	False	False	False	C
Q01196	P41212	RUNX1	ETV6	True	True	False	True	True	False	B
P04637	O14763	TP53	TNFRSF10B	True	True	False	True	True	False	A
P04637	P38398	TP53	BRCA1	True	False	True	True	False	True	A
P19544	O14746	WT1	TERT	True	False	True	True	False	True	A
P01106	P09601	MYC	HMOX1	True	True	False	True	True	False	A
P84022	P38936	SMAD3	CDKN1A	True	True	False	True	True	False	A
P01100	P60568	FOS	IL2	True	True	False	True	True	False	A
P10275	P38936	AR	CDKN1A	True	True	True	True	True	False	A
P04637	Q9H3D4	TP53	TP63	True	False	True	True	False	True	A
P18146	P01344	EGR1	IGF2	True	True	False	True	True	False	A
P19544	P01344	WT1	IGF2	True	False	True	True	False	True	A
P01106	P19338	MYC	NCL	True	True	False	True	True	False	A
P14921	P12272	ETS1	PTHLH	True	True	False	True	True	False	A
P08047	Q06787	SP1	FMR1	True	True	False	True	True	False	A
P05549	Q06787	TFAP2A	FMR1	True	True	False	True	True	False	A
P04637	P01137	TP53	TGFB1	True	True	False	True	True	False	A
P04637	Q99988	TP53	GDF15	True	True	False	True	True	False	A
P08047	P12931	SP1	SRC	True	True	False	True	True	False	A
Q15797	P10451	SMAD1	SPP1	True	True	False	True	True	False	A
P49711	P01106	CTCF	MYC	True	True	True	True	False	True	A
P41235	P22680	HNF4A	CYP7A1	True	False	True	True	False	True	A
P10276	P10826	RARA	RARB	True	True	False	True	True	False	A
P17676	P35354	CEBPB	PTGS2	True	True	True	True	True	False	A
Q07869	P06858	PPARA	LPL	True	True	False	True	True	False	A
Q13562	P01308	NEUROD1	INS	True	True	False	True	True	False	A
Q13127	Q05586	REST	GRIN1	True	False	True	True	False	True	A
P08047	P13500	SP1	CCL2	True	True	False	True	True	False	A
P05549	P04626	TFAP2A	ERBB2	True	True	False	True	True	False	A
P17676	P01236	CEBPB	PRL	True	True	False	True	True	False	A
Q04206	P02751	RELA	FN1	True	True	True	True	True	False	A
P19838	P02751	NFKB1	FN1	True	True	True	True	True	False	A
P06401	P01106	PGR	MYC	True	False	True	True	False	True	A
P42224	P33076	STAT1	CIITA	True	True	False	True	True	False	A
P14921	P01236	ETS1	PRL	True	True	False	True	True	False	A
Q9Y261	P52945	FOXA2	PDX1	True	True	False	True	True	False	A
P05412	P16070	JUN	CD44	True	True	False	True	True	False	A
O95863	P12830	SNAI1	CDH1	True	False	True	True	False	True	A
P08047	P22301	SP1	IL10	True	True	False	True	True	False	A
P42226	P16050	STAT6	ALOX15	True	True	False	True	True	False	A
P01100	P16070	FOS	CD44	True	True	False	True	True	False	B
P05412	P35354	JUN	PTGS2	True	True	False	True	True	False	A
P10275	P13796	AR	LCP1	True	True	False	True	True	False	C
P18146	P17948	EGR1	FLT1	True	True	False	True	True	False	A
P08047	P04179	SP1	SOD2	True	True	True	True	True	False	A
P08047	P11597	SP1	CETP	True	True	True	True	False	True	A
P41235	P01241	HNF4A	GH1	True	False	True	True	False	True	A
Q99626	P09848	CDX2	LCT	True	True	False	True	True	False	A
P17947	P24158	SPI1	PRTN3	True	True	False	True	True	False	A
Q13285	P03971	NR5A1	AMH	True	True	False	True	True	False	A
P11473	P02818	VDR	BGLAP	True	True	False	True	True	False	A
Q16665	P35228	HIF1A	NOS2	True	True	False	True	True	False	A
P04637	Q03135	TP53	CAV1	True	True	False	True	True	False	A
P01100	P03956	FOS	MMP1	True	True	False	True	True	False	A
P08047	Q03405	SP1	PLAUR	True	True	False	True	True	False	A
Q00613	P04792	HSF1	HSPB1	True	True	False	True	True	False	C
Q01094	P05121	E2F1	SERPINE1	True	False	True	True	False	True	A
P04637	P36952	TP53	SERPINB5	True	True	False	True	True	False	A
P10242	P10415	MYB	BCL2	True	True	True	True	True	False	A
Q13285	Q01860	NR5A1	POU5F1	True	True	False	True	True	False	A
P10276	Q01860	RARA	POU5F1	True	True	False	True	True	False	C
P18146	P36544	EGR1	CHRNA7	True	True	False	True	True	False	A
P01100	P0DP23	FOS	CALM1	True	True	False	True	True	False	C
Q06710	P07202	PAX8	TPO	True	True	False	True	True	False	A
P14921	P07858	ETS1	CTSB	True	True	False	True	True	False	A
Q02447	P07858	SP3	CTSB	True	True	False	True	True	False	A
P10914	P01574	IRF1	IFNB1	True	True	False	True	True	False	A
P27540	P15692	ARNT	VEGFA	True	True	False	True	True	False	A
Q14765	P01106	STAT4	MYC	True	True	False	True	True	False	A
P01106	P60568	MYC	IL2	True	True	False	True	True	False	A
Q9Y4X4	P05549	KLF12	TFAP2A	True	False	True	True	False	True	A
P49715	P59666	CEBPA	DEFA3	True	True	False	True	True	False	A
Q04864	P05362	REL	ICAM1	True	True	False	True	True	False	A
