source,cutoff,background,panel,background_n,query_n,panel_n,overlap_n,overlap_genes,raw_p,fdr_within_background
OpenTargets,top500,available_ranked_universe,PGE2_synthesis_core,15611,8,6,2,PTGS1;PTGS2,3.4435026229411063e-06,2.0661015737646637e-05
OpenTargets,top500,available_ranked_universe,prostaglandin_synthesis,15611,8,14,2,PTGS1;PTGS2,2.084778807674134e-05,6.254336423022401e-05
OpenTargets,top500,available_ranked_universe,arachidonate,15611,8,59,2,PTGS1;PTGS2,0.0003874869186671083,0.0007749738373342166
OpenTargets,top500,available_ranked_universe,eicosanoid,15611,8,26,0,,1.0,1.0
OpenTargets,top500,available_ranked_universe,PPAR,15611,8,118,2,PPARG;RXRA,0.001539815983351227,0.0023097239750268406
OpenTargets,top500,available_ranked_universe,inflammatory_response,15611,8,198,0,,1.0,1.0
OpenTargets,top1000,cutoff_universe,PGE2_synthesis_core,1000,11,2,2,PTGS1;PTGS2,0.0001101101101101101,0.0003303303303303303
OpenTargets,top1000,cutoff_universe,prostaglandin_synthesis,1000,11,2,2,PTGS1;PTGS2,0.0001101101101101101,0.0003303303303303303
OpenTargets,top1000,cutoff_universe,arachidonate,1000,11,4,2,PTGS1;PTGS2,0.0006527407482577602,0.0013054814965155204
OpenTargets,top1000,cutoff_universe,eicosanoid,1000,11,2,1,PTGER4,0.021889889889889887,0.026267867867867868
OpenTargets,top1000,cutoff_universe,PPAR,1000,11,15,2,PPARG;RXRA,0.010689916086685708,0.016034874130028562
OpenTargets,top1000,cutoff_universe,inflammatory_response,1000,11,22,1,PTGER4,0.21803691494166522,0.21803691494166522
OpenTargets,top1000,available_ranked_universe,PGE2_synthesis_core,15611,11,6,2,PTGS1;PTGS2,6.760556224467265e-06,4.0563337346803586e-05
OpenTargets,top1000,available_ranked_universe,prostaglandin_synthesis,15611,11,14,2,PTGS1;PTGS2,4.088808642074601e-05,0.00012266425926223804
OpenTargets,top1000,available_ranked_universe,arachidonate,15611,11,59,2,PTGS1;PTGS2,0.0007555995870794157,0.0015111991741588316
OpenTargets,top1000,available_ranked_universe,eicosanoid,15611,11,26,1,PTGER4,0.018174385650436466,0.02180926278052376
OpenTargets,top1000,available_ranked_universe,PPAR,15611,11,118,2,PPARG;RXRA,0.002980084739464115,0.004470127109196172
OpenTargets,top1000,available_ranked_universe,inflammatory_response,15611,11,198,1,PTGER4,0.13103689621923356,0.13103689621923356
OpenTargets,top2000,cutoff_universe,PGE2_synthesis_core,2000,29,2,2,PTGS1;PTGS2,0.0002031015507753877,0.0006093046523261631
OpenTargets,top2000,cutoff_universe,prostaglandin_synthesis,2000,29,2,2,PTGS1;PTGS2,0.0002031015507753877,0.0006093046523261631
OpenTargets,top2000,cutoff_universe,arachidonate,2000,29,8,2,PTGS1;PTGS2,0.005386851032757175,0.010773702065514349
OpenTargets,top2000,cutoff_universe,eicosanoid,2000,29,3,1,PTGER4,0.04289343996322486,0.06434015994483729
OpenTargets,top2000,cutoff_universe,PPAR,2000,29,36,2,PPARG;RXRA,0.09445008281124198,0.09445008281124197
OpenTargets,top2000,cutoff_universe,inflammatory_response,2000,29,73,3,CCL20;PTGER4;TIMP1,0.08653585063724484,0.09445008281124197
OpenTargets,top2000,available_ranked_universe,PGE2_synthesis_core,15611,29,6,2,PTGS1;PTGS2,4.9751882143718883e-05,0.0002985112928623133
OpenTargets,top2000,available_ranked_universe,prostaglandin_synthesis,15611,29,14,2,PTGS1;PTGS2,0.00029905679808479776,0.0008971703942543933
OpenTargets,top2000,available_ranked_universe,arachidonate,15611,29,59,2,PTGS1;PTGS2,0.005339334795686754,0.008640207228532409
OpenTargets,top2000,available_ranked_universe,eicosanoid,15611,29,26,1,PTGER4,0.04723117615978584,0.04723117615978584
OpenTargets,top2000,available_ranked_universe,PPAR,15611,29,118,2,PPARG;RXRA,0.020135456844016363,0.024162548212819636
OpenTargets,top2000,available_ranked_universe,inflammatory_response,15611,29,198,3,CCL20;PTGER4;TIMP1,0.005760138152354939,0.008640207228532409

