sample_id,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
TCGA-F4-6570-01,5.487,4.11,6.063,6.543,5.527,-5.012,5.571,-9.966,0.7832,0.9191,-5.574,5.494,-1.781,4.084,4.438,6.127,-9.966,-2.635,-9.966,6.689,5.731,7.121,3.23,2.105,-4.035,3.456,3.981,4.4,2.167,3.192,6.7,3.309,0.044,5.982,5.092,0.0854,2.671,8.866,5.454,9.981,6.849
TCGA-CM-6679-01,6.172,4.401,6.558,1.276,5.964,-5.574,4.681,-9.966,-4.608,-1.392,-2.466,5.608,-2.727,3.853,5.363,7.424,-4.293,-1.994,-9.966,8.286,5.825,7.325,5.578,1.956,-3.171,3.351,4.036,5.567,1.527,3.884,5.88,1.828,-0.5973,5.992,4.082,1.74,2.941,8.46,5.842,9.588,7.717
TCGA-A6-4105-01,4.268,4.601,5.94,5.414,6.89,-5.574,4.786,-9.966,-2.053,-2.635,-2.635,6.936,-2.178,4.602,2.876,6.866,-9.966,1.455,-9.966,7.106,4.925,6.669,4.674,1.787,-3.171,2.088,4.534,5.4,1.501,3.074,6.638,3.52,3.82,5.908,4.044,0.7748,2.744,8.028,6.272,9.303,6.264
TCGA-D5-5538-01,6.49,5.371,6.293,5.925,7.266,-9.966,5.149,-9.966,-1.595,-1.639,1.449,5.197,-2.727,3.541,3.891,4.643,-0.5125,3.3,-9.966,6.53,6.611,5.724,4.078,2.23,-3.626,3.698,4.498,6.04,-0.1828,2.685,6.202,3.21,2.499,5.97,3.96,1.183,3.043,8.356,6.023,9.305,6.957
TCGA-NH-A50U-01,7.56,4.368,6.181,3.763,6.909,-9.966,4.658,-9.966,-4.035,-4.608,2.245,5.163,-4.035,4.491,2.521,7.036,-1.283,0.8327,-9.966,4.709,5.476,8.965,4.866,0.1388,-4.035,3.65,5.174,5.457,-1.086,1.373,7.18,1.779,-2.315,5.661,4.823,-2.932,2.602,8.513,5.072,8.544,5.116
TCGA-D5-6924-01,5.034,4.593,6.785,4.518,5.236,-9.966,4.896,-9.966,0.9789,-2.053,-2.727,6.99,-1.831,3.977,3.43,5.751,-5.012,-1.994,-9.966,8.78,6.169,6.907,5.599,2.509,-3.171,3.75,3.852,5.978,0.8246,2.98,6.255,2.757,2.26,5.586,4.276,2.556,3.551,8.311,5.869,9.039,7.441
TCGA-D5-6931-01,5.747,4.015,6.078,8.262,4.563,-9.966,4.719,-9.966,0.9716,-5.012,-3.171,5.49,-2.114,5.785,4.902,5.689,-9.966,-0.3566,-9.966,7.204,3.562,7.496,4.719,2.043,-2.727,3.574,5.592,6.475,1.701,3.632,6.75,2.199,1.749,5.834,4.099,-0.9686,2.892,8.083,6.086,8.441,6.642
TCGA-A6-5656-01,5.788,4.128,5.838,-0.452,4.245,-3.458,2.743,-7.027,-1.732,-1.639,-3.406,4.208,0.1475,3.758,4.271,4.458,-2.291,-0.7506,-9.966,5.222,4.419,8.572,4.247,2.533,-0.5684,3.928,2.414,3.814,-0.1665,1.71,5.02,1.668,2.678,3.572,2.947,0.5271,2.814,7.007,5.043,7.361,5.158
TCGA-A6-6649-01,6.575,4.383,6.2,2.917,4.196,-6.506,5.173,-9.966,-0.6643,-0.8339,-1.51,5.735,-2.178,5.571,6.187,7.058,-1.595,-0.4521,-9.966,7.612,4.18,7.564,4.657,2.345,-1.831,3.659,4.823,6.004,3.927,3.82,6.274,3.73,3.699,5.769,5.302,2.954,3.236,8.26,5.992,8.642,7.061
TCGA-AA-3518-11,7.516,4.365,6.127,-1.552,3.802,-9.966,3.703,-9.966,-0.4921,1.491,-4.293,6.191,-1.639,3.262,6.643,7.146,-9.966,-5.574,-9.966,6.195,3.356,5.782,4.992,2.977,-1.639,3.542,5.457,6.496,2.337,4.341,5.962,4.286,-0.6873,5.442,5.524,-3.047,2.995,7.895,5.527,6.023,6.59
TCGA-DM-A0X9-01,4.76,3.795,5.797,4.917,2.89,-9.966,2.362,-9.966,-0.8339,-4.293,-2.053,3.949,-4.293,3.765,0.8647,4.227,-9.966,-1.994,-9.966,5.753,0.7916,6.578,4.452,-0.3752,-5.012,2.751,3.121,5.348,1.836,2.239,6.615,0.5069,-3.171,5.084,3.461,-0.1665,2.382,7.912,5.144,8.35,4.886
TCGA-DM-A28G-01,5.996,3.951,5.858,2.72,6.858,-9.966,3.582,-9.966,-2.466,-3.458,-0.6416,3.619,-3.626,3.883,1.481,5.258,-9.966,0.537,-9.966,4.676,3.555,7.812,4.496,-0.5332,-4.608,2.778,3.28,5.992,1.476,3.219,6.222,1.812,-3.816,5.061,3.595,-2.932,2.803,7.147,4.858,7.467,4.283
TCGA-F4-6703-01,6.77,4.202,5.843,6.353,4.168,-5.574,6.104,-9.966,-2.053,-6.506,3.864,7.463,-0.2498,6.376,2.987,6.527,-0.8084,4.334,-9.966,10.08,7.391,6.754,-0.394,3.492,-2.932,2.205,5.185,4.06,1.66,2.546,6.134,4.052,1.938,5.681,4.521,2.316,2.651,8.05,6.718,9.777,8.558
TCGA-AA-3492-01,8.066,4.722,6.308,8.28,6.782,-9.966,2.536,-9.966,-1.685,-0.8599,-5.574,4.574,-4.293,4.224,4.966,3.776,-3.816,-0.1665,-9.966,5.905,3.898,4.772,4.971,0.6239,-3.626,2.941,4.048,5.803,-0.013,2.033,6.821,1.651,0.4865,5.471,4.425,0.3231,2.63,7.697,5.607,8.416,5.492
TCGA-G4-6293-01,6.277,4.335,6.158,3.191,9.613,-4.293,4.099,-9.966,1.876,-3.626,2.791,5.135,-3.308,5.906,4.978,4.221,-5.574,0.2998,-9.966,5.652,4.479,7.548,5.195,1.749,-4.293,2.987,4.573,5.668,0.9115,3.167,6.754,2.681,1.239,5.713,4.507,-1.732,2.37,7.805,6.398,7.3,5.103
TCGA-AA-3531-11,7.095,4.481,6.346,-1.595,5.927,-3.308,4.361,-5.574,-0.4521,1.581,-3.458,7.995,-2.245,4.575,7.621,6.746,-4.035,-1.884,-9.966,5.595,3.546,7.227,5.577,2.328,-3.047,3.503,5.531,6.758,1.227,4.41,5.867,2.982,0.1519,5.421,5.41,-2.053,2.725,8.616,5.834,6.28,5.96
TCGA-DM-A28E-01,7.077,4.199,6.214,2.284,3.984,-9.966,2.208,-9.966,-1.884,-4.035,-5.012,3.937,-9.966,4.312,2.401,6.466,-4.035,-0.7588,-9.966,3.67,-2.114,8.049,5.655,-1.283,-6.506,4.156,3.706,4.731,-1.392,3.025,6.767,-0.2159,-0.2159,5.568,5.126,-1.994,2.698,8.584,5.598,7.147,3.403
TCGA-CK-6747-01,4.529,4.724,6.333,6.978,7.496,-9.966,3.902,-9.966,-1.595,-1.781,-3.816,6.714,-3.047,5.418,2.909,4.262,-5.012,1.071,-9.966,6.26,3.269,5.687,5.005,0.9862,-3.308,3.421,5.014,6.497,1.439,3.926,6.599,1.328,-0.2328,5.945,4.695,-1.994,3.014,7.567,5.96,7.707,5.696
TCGA-CK-4947-01,4.237,4.788,6.478,4.509,6.003,-5.012,5.451,-9.966,-1.431,-2.114,-1.47,5.717,-2.388,5.021,4.81,3.8,-9.966,-0.2498,-9.966,7.28,3.585,6.407,5.03,2.108,-2.245,3.58,4.678,5.843,1.512,2.694,6.297,2.039,0.5271,5.522,4.485,1.506,3.101,7.661,5.845,7.885,6.635
TCGA-AD-6888-01,7.985,4.288,6.635,4.995,8.023,-1.884,1.692,-9.966,-1.47,-2.388,-4.293,3.823,-9.966,3.638,3.66,4.741,-4.293,-0.7346,-9.966,3.141,1.27,7.283,4.877,-1.392,-9.966,2.653,4.084,4.775,-2.178,1.299,6.942,0.3346,-0.8599,5.312,4.153,-4.608,2.328,9.231,5.485,8.961,4.524
TCGA-F4-6809-01,5.374,3.989,5.112,4.327,5.181,-3.816,6.111,-9.966,-3.458,-2.548,0.099,7.91,-1.938,4.624,1.915,6.632,-4.608,-0.8084,-9.966,6.371,4.747,7.326,4.698,2.029,-2.466,3.184,4.509,5.22,-0.1504,2.37,6.383,2.308,2.269,5.8,4.367,1.532,2.766,8.599,5.038,9.459,6.535
TCGA-CK-5914-01,6.186,5.257,6.207,4.273,6.902,-9.966,2.6,-9.966,-2.466,-4.035,-3.458,6.842,-4.035,4.029,2.551,3.034,-9.966,0.2881,-9.966,6.759,4.07,7.253,5.234,0.5069,-3.816,3.129,3.591,5.585,-0.2159,2.892,6.903,1.979,1.856,5.566,4.029,0.3685,2.698,7.179,5.577,7.753,5.495
TCGA-AZ-4313-01,6.875,4.407,5.398,6.56,6.344,-9.966,3.964,-9.966,-4.035,-2.932,2.884,3.747,-9.966,5.441,3.916,3.605,-6.506,-0.3752,-9.966,4.837,3.326,4.84,-0.0574,-0.2498,-3.047,1.993,3.677,4.69,1.537,2.78,7.219,1.39,-0.3383,5.129,4.244,-2.466,3.125,7.004,4.756,8.067,4.016
TCGA-G4-6588-01,2.958,4.103,6.082,7.123,6.456,-9.966,6.641,-9.966,-0.7834,-3.308,-4.608,4.465,-2.178,5.162,2.878,4.116,-9.966,0.9419,-9.966,6.12,6.215,7.266,2.88,0.1648,-5.012,2.947,5.144,5.063,3.308,2.409,7.093,1.656,4.438,5.672,4.726,0.044,3.511,7.646,6.035,8.817,6.038
TCGA-G4-6309-01,5.173,5.086,6.278,7.168,7.098,-9.966,3.138,-9.966,1.795,-1.938,4.363,5.565,-3.458,5.084,4.593,6.456,-5.012,0.7233,-9.966,5.171,2.731,7.879,4.405,-0.1345,-5.574,3.461,4.809,4.872,2.454,1.96,7.353,2.148,1.749,5.72,4.714,-0.8863,2.89,8.186,5.595,9.048,4.87
TCGA-CM-5868-01,4.96,3.621,6.71,6.385,6.984,-5.012,3.346,-9.966,-9.966,-5.012,-1.685,4.759,-4.035,3.653,3.082,4.875,-6.506,-2.932,-9.966,5.986,4.856,7.49,4.658,0.9789,-3.308,2.882,3.627,6.404,0.434,1.967,6.752,0.3573,-2.466,5.602,3.686,-3.171,3.101,8.814,5.568,9.275,6.474
TCGA-F4-6855-01,4.83,4.531,6.198,4.817,4.705,-9.966,4.98,-9.966,-9.966,-4.293,2.064,7.33,-2.466,2.894,1.727,7.356,-9.966,-1.994,-9.966,8.397,4.653,6.672,4.744,1.848,-2.178,3.203,3.566,5.27,2.637,3.424,5.962,2.128,0.4865,5.41,3.768,-0.7108,3.277,8.165,5.382,9.121,7.816
