comparison,gene,paired_n,tumor_median,normal_median,median_delta_tumor_minus_normal,wilcoxon_statistic,p_value,BH_FDR_within_41_gene_family,DINP_evidence_profile,DINP_source_family_count,DINP_multi_family_support,pathway_anchor_class,original_biological_priority_rank
COAD_patient_paired_primary_tumor_vs_solid_normal,DKK1,26,-1.1129499999999999,-2.0835,1.0400999999999998,124.0,0.19873619079589844,0.2328052520751953,CTD,1,0,cross-resource_pathway_supported,30
COAD_patient_paired_primary_tumor_vs_solid_normal,DUSP1,26,5.4175,6.7975,-1.1340000000000003,12.0,2.086162567138672e-06,1.2218952178955078e-05,CTD,1,0,cross-resource_pathway_supported,32
COAD_patient_paired_primary_tumor_vs_solid_normal,ESR1,26,-2.5115,-1.732,-0.9064999999999999,83.5,0.01945436621976523,0.03467952239175541,CTD,1,0,strong_cross-resource_pathway_anchor,15
COAD_patient_paired_primary_tumor_vs_solid_normal,F3,26,4.473,4.2059999999999995,0.25450000000000017,131.0,0.26870664954185486,0.30602701753377914,CompTox,1,0,cross-resource_pathway_supported,29
COAD_patient_paired_primary_tumor_vs_solid_normal,HPGD,26,3.682,6.6235,-3.186,0.0,2.9802322387695312e-08,9.164214134216309e-07,CTD,1,0,strong_cross-resource_pathway_anchor,10
COAD_patient_paired_primary_tumor_vs_solid_normal,HSPA1A,26,5.7105,6.938,-0.9695,40.0,0.0002480149269104004,0.0007263294288090297,CTD,1,0,strong_cross-resource_pathway_anchor,20
COAD_patient_paired_primary_tumor_vs_solid_normal,IGFBP1,26,-3.637,-5.012,2.6799999999999997,81.0,0.016368539230025455,0.030505004928683802,CTD,1,0,single-resource_or_nonconcordant_pathway_context,34
COAD_patient_paired_primary_tumor_vs_solid_normal,IL1A,26,-0.63045,-2.879,1.6741,32.0,8.156895637512207e-05,0.00027869393428166706,CompTox,1,0,cross-resource_pathway_supported,26
COAD_patient_paired_primary_tumor_vs_solid_normal,MIR675,26,-9.966,-9.966,0.0,1.0,0.6547208460185769,0.6882962740195295,CTD,1,0,single-resource_or_nonconcordant_pathway_context,41
COAD_patient_paired_primary_tumor_vs_solid_normal,MMP2,26,6.452,6.38,0.6739999999999999,134.0,0.3031630218029022,0.33593740253835114,CTD,1,0,cross-resource_pathway_supported,18
COAD_patient_paired_primary_tumor_vs_solid_normal,MMP9,26,4.3455,2.9765,1.2280000000000004,67.0,0.00468936562538147,0.010681332813368903,CTD,1,0,strong_cross-resource_pathway_anchor,16
COAD_patient_paired_primary_tumor_vs_solid_normal,NEAT1,26,7.324999999999999,7.0015,0.3714999999999997,124.0,0.19873619079589844,0.2328052520751953,CTD,1,0,single-resource_or_nonconcordant_pathway_context,40
COAD_patient_paired_primary_tumor_vs_solid_normal,NR1I2,26,4.1515,4.4615,-0.19800000000000018,147.0,0.48335155844688416,0.5215108920084802,CTD; CompTox; T3DB,3,1,single-resource_or_nonconcordant_pathway_context,39
COAD_patient_paired_primary_tumor_vs_solid_normal,NR3C1,26,1.5535,3.096,-1.4465,1.0,5.960464477539063e-08,9.164214134216309e-07,CTD,1,0,cross-resource_pathway_supported,21
COAD_patient_paired_primary_tumor_vs_solid_normal,PGR,26,-3.308,-1.5815000000000001,-1.9629999999999999,25.0,2.6941299438476562e-05,0.00012273258633083769,CTD,1,0,strong_cross-resource_pathway_anchor,19
COAD_patient_paired_primary_tumor_vs_solid_normal,PPARA,26,3.0905,3.3819999999999997,-0.35350000000000015,92.0,0.03341016173362732,0.05698035857282982,CTD,1,0,strong_cross-resource_pathway_anchor,6
COAD_patient_paired_primary_tumor_vs_solid_normal,PPARD,26,4.106,4.7010000000000005,-0.6890000000000003,34.0,0.00010919570922851562,0.000344386467566857,CTD,1,0,strong_cross-resource_pathway_anchor,9
COAD_patient_paired_primary_tumor_vs_solid_normal,PPARG,26,4.918,5.7515,-0.9260000000000006,56.0,0.0016040503978729248,0.0043844044208526615,CTD,1,0,strong_cross-resource_pathway_anchor,3
COAD_patient_paired_primary_tumor_vs_solid_normal,PTGER2,26,1.1795,2.4395,-1.3575000000000002,65.0,0.0039003193378448486,0.009406652520684636,CTD,1,0,cross-resource_pathway_supported,24
COAD_patient_paired_primary_tumor_vs_solid_normal,PTGER4,26,2.8085,4.4275,-1.821,3.0,1.4901161193847656e-07,1.2218952178955078e-06,CTD,1,0,cross-resource_pathway_supported,23
COAD_patient_paired_primary_tumor_vs_solid_normal,PTGES2,26,6.2675,6.0925,0.15649999999999986,93.0,0.03613388592423354,0.05698035857282982,CTD,1,0,strong_cross-resource_pathway_anchor,12
COAD_patient_paired_primary_tumor_vs_solid_normal,PTGS1,26,2.2625,4.1745,-2.0700000000000003,2.0,8.940696716308594e-08,9.164214134216309e-07,CTD,1,0,strong_cross-resource_pathway_anchor,11
COAD_patient_paired_primary_tumor_vs_solid_normal,PTGS2,26,1.3735,1.127,0.11795000000000011,172.0,0.9402996003627777,0.9402996003627777,CTD,1,0,strong_cross-resource_pathway_anchor,7
COAD_patient_paired_primary_tumor_vs_solid_normal,RELA,26,5.7379999999999995,5.4605,0.20150000000000023,93.0,0.035724371671676636,0.05698035857282982,CTD,1,0,strong_cross-resource_pathway_anchor,13
COAD_patient_paired_primary_tumor_vs_solid_normal,RXRA,26,4.26,4.8695,-0.756,18.0,7.539987564086914e-06,3.8642436265945435e-05,CTD,1,0,strong_cross-resource_pathway_anchor,1
COAD_patient_paired_primary_tumor_vs_solid_normal,SELE,26,0.0641,-1.8595,1.7416,82.0,0.016333162784576416,0.030505004928683802,CompTox,1,0,cross-resource_pathway_supported,33
COAD_patient_paired_primary_tumor_vs_solid_normal,SIRT1,26,2.9545000000000003,3.0,-0.14500000000000002,113.0,0.11648222804069519,0.16468177067822423,CTD,1,0,cross-resource_pathway_supported,27
COAD_patient_paired_primary_tumor_vs_solid_normal,SQSTM1,26,8.0745,7.9385,0.2400000000000002,94.0,0.03816831111907959,0.057959287254898635,CTD,1,0,cross-resource_pathway_supported,17
COAD_patient_paired_primary_tumor_vs_solid_normal,STAT3,26,5.6875,5.883,-0.27849999999999975,118.0,0.14990898966789246,0.20487561921278635,CTD,1,0,strong_cross-resource_pathway_anchor,14
COAD_patient_paired_primary_tumor_vs_solid_normal,TIMP1,26,8.7165,6.8375,1.9174999999999995,4.0,2.086162567138672e-07,1.4255444208780925e-06,CTD,1,0,cross-resource_pathway_supported,22
COAD_patient_paired_primary_tumor_vs_solid_normal,TIMP2,26,6.372,6.541499999999999,-0.2160000000000002,123.0,0.18238497151211042,0.2328052520751953,CTD,1,0,single-resource_or_nonconcordant_pathway_context,35
