background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,precision,recall,raw_p_hypergeom,gprofiler_fdr,gprofiler_significant,parents,source_order,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source,BH_FDR_all_GO_KEGG_significant,BH_FDR_within_source_significant
sensitivity_crc_union,KEGG,KEGG:04062,Chemokine signaling pathway,Chemokine signaling pathway,184,16307,81,5,0.06172839506172839,0.02717391304347826,0.0022205735892377866,0.011687229417040973,True,KEGG:00000,262,586,0.12456752613864011,0.03424358219193008,False,True
sensitivity_crc_union,KEGG,KEGG:05134,Legionellosis,Legionellosis,55,16307,81,3,0.037037037037037035,0.05454545454545454,0.002571989553111557,0.013189690015956693,True,KEGG:00000,447,586,0.13912093148082377,0.03864579174675314,False,True
sensitivity_crc_union,KEGG,KEGG:00910,Nitrogen metabolism,Nitrogen metabolism,16,16307,81,2,0.024691358024691357,0.125,0.002795179908837494,0.013975899544187457,True,KEGG:00000,141,586,0.14813700099073532,0.04094938566446929,False,True
sensitivity_crc_union,KEGG,KEGG:04926,Relaxin signaling pathway,Relaxin signaling pathway,123,16307,81,4,0.04938271604938271,0.032520325203252036,0.0032783064804085224,0.015367593240340436,True,KEGG:00000,397,586,0.16764125362234686,0.04502704819419758,False,True
sensitivity_crc_union,KEGG,KEGG:05204,Chemical carcinogenesis - DNA adducts,Chemical carcinogenesis - DNA adducts,60,16307,81,3,0.037037037037037035,0.05,0.0032956885097179685,0.015367593240340436,True,KEGG:00000,472,586,0.1678653434953191,0.04502704819419758,False,True
sensitivity_crc_union,KEGG,KEGG:04010,MAPK signaling pathway,MAPK signaling pathway,292,16307,81,6,0.07407407407407407,0.02054794520547945,0.0033040325466732016,0.015367593240340436,True,KEGG:00000,250,586,0.1678653434953191,0.04502704819419758,False,True
sensitivity_crc_union,KEGG,KEGG:05205,Proteoglycans in cancer,Proteoglycans in cancer,203,16307,81,5,0.06172839506172839,0.024630541871921183,0.0033915945805262564,0.015416339002392058,True,KEGG:00000,473,586,0.17164873267003153,0.045169873277008776,False,True
sensitivity_crc_union,KEGG,KEGG:05131,Shigellosis,Shigellosis,215,16307,81,5,0.06172839506172839,0.023255813953488372,0.004328474251516385,0.01884206340674763,True,KEGG:00000,444,586,0.2092704363769671,0.05520724578177045,False,False
sensitivity_crc_union,KEGG,KEGG:05162,Measles,Measles,133,16307,81,4,0.04938271604938271,0.03007518796992481,0.004333674583551946,0.01884206340674763,True,KEGG:00000,459,586,0.2092704363769671,0.05520724578177045,False,False
sensitivity_crc_union,KEGG,KEGG:05221,Acute myeloid leukemia,Acute myeloid leukemia,67,16307,81,3,0.037037037037037035,0.04477611940298507,0.004500385320985516,0.019150575833980915,True,KEGG:00000,488,586,0.21453770196158434,0.056111187193564095,False,False
sensitivity_crc_union,KEGG,KEGG:00980,Metabolism of xenobiotics by cytochrome P450,Metabolism of xenobiotics by cytochrome P450,68,16307,81,3,0.037037037037037035,0.04411764705882353,0.004691417401120275,0.019547572504667814,True,KEGG:00000,157,586,0.21751654603902323,0.05727438743867669,False,False
sensitivity_crc_union,KEGG,KEGG:05223,Non-small cell lung cancer,Non-small cell lung cancer,72,16307,81,3,0.037037037037037035,0.041666666666666664,0.00550432190562445,0.02246662002295694,True,KEGG:00000,490,586,0.23630126049866362,0.06582719666726383,False,False
sensitivity_crc_union,KEGG,KEGG:04934,Cushing syndrome,Cushing syndrome,148,16307,81,4,0.04938271604938271,0.02702702702702703,0.006313251037925767,0.02475784720755199,True,KEGG:00000,405,586,0.26326859365365096,0.07254049231812745,False,False
sensitivity_crc_union,KEGG,KEGG:05160,Hepatitis C,Hepatitis C,148,16307,81,4,0.04938271604938271,0.02702702702702703,0.006313251037925767,0.02475784720755199,True,KEGG:00000,457,586,0.26326859365365096,0.07254049231812745,False,False
sensitivity_crc_union,KEGG,KEGG:05022,Pathways of neurodegeneration - multiple diseases,Pathways of neurodegeneration - multiple diseases,444,16307,81,7,0.08641975308641975,0.015765765765765764,0.006512634390799327,0.025048593810766667,True,KEGG:00000,433,586,0.2698660008259144,0.07339237986554627,False,False
sensitivity_crc_union,KEGG,KEGG:05161,Hepatitis B,Hepatitis B,160,16307,81,4,0.04938271604938271,0.025,0.008272785588526448,0.03121805882462815,True,KEGG:00000,458,586,0.3266255225735081,0.09146891235616035,False,False
sensitivity_crc_union,KEGG,KEGG:01523,Antifolate resistance,Antifolate resistance,28,16307,81,2,0.024691358024691357,0.07142857142857142,0.008471858493412724,0.03137725367930637,True,KEGG:00000,202,586,0.333147363394962,0.09193535328036771,False,False
sensitivity_crc_union,KEGG,KEGG:04136,Autophagy - other,Autophagy - other,30,16307,81,2,0.024691358024691357,0.06666666666666667,0.009687084808840486,0.035225762941238165,True,KEGG:00000,282,586,0.35818142949545084,0.10321148541782774,False,False
