gene_symbol,CTD,ToxCast,ChEMBL,exposure_support_count,CTD_direction,CTD_action,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_assay_count,ChEMBL_record_count
PTGFR,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0
PTGS1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0
PTGS2,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0
PTX3,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0
RELA,1,0,0,1,increases,increases^phosphorylation,1,1,1,1,0,0,0
RGS2,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,1,1,1,0,1,0,0
RPS2,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
RXRA,1,0,0,1,affects,affects^binding,1,1,2,1,0,0,0
RXRB,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0
SCGN,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
SIRT1,1,0,0,1,decreases,decreases^expression,2,1,1,1,0,0,0
SIRT2,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0
SIRT3,1,0,0,1,decreases,decreases^expression,2,1,1,1,0,0,0
SIRT5,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0
SLCO2A1,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0
SNHG25,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
SNORA13,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
SNORA50C,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
SNORA64,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
SNORA65,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
SNORA72,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
SPP2,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
SQSTM1,1,0,0,1,decreases;increases,decreases^expression;increases^expression;increases^reaction,3,1,1,1,0,0,0
STAR,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,1,1,1,0,1,0,0
STAT3,1,0,0,1,increases,increases^phosphorylation,1,1,1,1,0,0,0
SUSD2,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
TIMP1,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0
TIMP2,1,0,0,1,affects,affects^expression,1,1,1,1,0,0,0
TNC,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0
