dtxsid,source_class,assay_source,assay_name,assay_component,endpoint_name,organism,human_label,active_hit_call,hit_call_continuous,ac50_uM,bmd_uM,scaled_top,intended_target_family,intended_target_type,intended_target_subtype,biological_process_target,cell_or_tissue,gene_symbols,entrez_gene_ids,uniprot_accessions,flags
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_MMP_ratio,TOX21_MMP_ratio,human,1,0,0,0.0014258961350923501,,-0.0892135963195398,cell morphology,cellular,mitochondria,mitochondrial depolarization,HepG2,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_VDR_BLA_Antagonist_viability,TOX21_VDR_BLA_Antagonist_viability,human,1,0,0.0002289812355731,38.29310344827585,53.15040964791567,-0.4790112937952144,cell cycle,cellular,cellular,cell proliferation,HEK293T,,,,"Bmd > ac50, indication of high baseline variability"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_DT40_LUC,TOX21_DT40_LUC,chicken,0,0,3.43219471937e-05,46.05760368663594,188.45280520982004,-0.22505560917303818,cell cycle,pathway,pathway-specified,cell proliferation,DT40,,,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HSE_BLA_agonist_viability,TOX21_HSE_BLA_agonist_viability,human,1,0,0,0.003071678491907904,,-0.17673071842456173,cell cycle,cellular,cellular,cell proliferation,HeLa,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p1_viability,TOX21_p53_BLA_p1_viability,human,1,0,0,0.0007522090403357777,,0.07607250106263502,cell cycle,cellular,cellular,cell proliferation,HCT116,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_VDR_BLA_Antagonist_ch1,TOX21_VDR_BLA_Antagonist_ch1,human,1,0,-9.6661e-12,38.29310344827585,131.32749265996978,-0.1986055775675808,channel 1,protein,receptor,regulation of transcription factor activity,HEK293T,,,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_VDR_BLA_Antagonist_ch2,TOX21_VDR_BLA_Antagonist_ch2,human,1,0,2.467152e-10,38.29310344827585,99.99604933121664,-0.2943433994898785,channel 2,protein,receptor,regulation of transcription factor activity,HEK293T,,,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p2_ch1,TOX21_p53_BLA_p2_ch1,human,1,0,-2e-16,13.461675603263814,14.145652030311961,0.5534257841889156,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p2_ch2,TOX21_p53_BLA_p2_ch2,human,1,0,-1e-16,46.05760368663595,134.40670823537943,-0.18767180389687954,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p2_ratio,TOX21_p53_BLA_p2_ratio,human,1,0,0,2.761915749961141,,-0.14410104898682552,dna binding,pathway,pathway-specified,regulation of transcription factor activity,HCT116,TP53,7157,P04637,Average number of replicates per conc < 2 | No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p2_viability,TOX21_p53_BLA_p2_viability,human,1,0,2.4434975e-09,46.05760368663595,222.0830035281505,-0.12717546782511135,cell cycle,cellular,cellular,cell proliferation,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p3_ch1,TOX21_p53_BLA_p3_ch1,human,1,0,-1.8e-15,46.05760368663595,604.3388375326124,0.04576912542205708,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p3_ch2,TOX21_p53_BLA_p3_ch2,human,1,0,-9.94e-14,46.05760368663595,655.3954965839757,-0.032683443325522726,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p3_ratio,TOX21_p53_BLA_p3_ratio,human,1,0,-2.792e-13,85.46966427713274,91.68116445841076,-0.1721680704433773,dna binding,pathway,pathway-specified,regulation of transcription factor activity,HCT116,TP53,7157,P04637,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p3_viability,TOX21_p53_BLA_p3_viability,human,1,0,-3.17548e-11,46.05760368663595,264.98015670024216,0.10363142324324266,cell cycle,cellular,cellular,cell proliferation,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p4_ch1,TOX21_p53_BLA_p4_ch1,human,1,0,0,16.646065668089797,18.7120123290442,0.41681939784156646,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p4_ch2,TOX21_p53_BLA_p4_ch2,human,1,0,-5e-16,46.05760368663595,310.97374459472223,-0.08902265018624815,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p4_ratio,TOX21_p53_BLA_p4_ratio,human,1,0,0,18.30473021966494,22.0015279192834,-0.2545653535335311,dna binding,pathway,pathway-specified,regulation of transcription factor activity,HCT116,TP53,7157,P04637,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p4_viability,TOX21_p53_BLA_p4_viability,human,1,0,5.57012562367e-05,46.05760368663595,72.04724774754588,-0.38754121243793815,cell cycle,cellular,cellular,cell proliferation,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p5_ch1,TOX21_p53_BLA_p5_ch1,human,1,0,-8.044279796e-07,46.05760368663595,68.35739086512623,0.3930104636280377,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p5_ch2,TOX21_p53_BLA_p5_ch2,human,1,0,0,46.05760368663595,257.0475296396557,-0.09974133282191501,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p5_ratio,TOX21_p53_BLA_p5_ratio,human,1,0,0,46.05760368663595,183.02536722233188,-0.10338790292865233,dna binding,pathway,pathway-specified,regulation of transcription factor activity,HCT116,TP53,7157,P04637,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p5_viability,TOX21_p53_BLA_p5_viability,human,1,0,0,0.2495440201293795,0.5422224076906939,0.2907477814805399,cell cycle,cellular,cellular,cell proliferation,HCT116,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_VDR_BLA_Agonist_viability,TOX21_VDR_BLA_Agonist_viability,human,1,0,0.050601698551424656,38.29310344827585,37.392267377746734,-0.7012383561686973,cell cycle,cellular,cellular,cell proliferation,HEK293T,,,,
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_NFkB_BLA_agonist_ch1,TOX21_NFkB_BLA_agonist_ch1,human,1,0,7e-16,3.139853332765258,4.40069649637851,-0.550122322532651,channel 1,pathway,pathway-specified,regulation of transcription factor activity,ME-180,,,,"Bmd > ac50, indication of high baseline variability"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_NFkB_BLA_agonist_ch2,TOX21_NFkB_BLA_agonist_ch2,human,1,0,0,0.394084386006376,,-0.044714669430763555,channel 2,pathway,pathway-specified,regulation of transcription factor activity,ME-180,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_NFkB_BLA_agonist_ratio,TOX21_NFkB_BLA_agonist_ratio,human,1,0,0,13.183160386831961,,0.05274923354002174,dna binding,pathway,pathway-specified,regulation of transcription factor activity,ME-180,NFKB1,4790,P19838,Inactive with multiple concs above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_NFkB_BLA_agonist_viability,TOX21_NFkB_BLA_agonist_viability,human,1,0,1e-16,38.29310344827585,250.33749130196628,-0.14407487968706872,cell cycle,cellular,cellular,cell proliferation,ME-180,,,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RORg_LUC_CHO_Antagonist,TOX21_RORg_LUC_CHO_Antagonist,chinese hamster,0,0,-3.76747035e-08,46.05760368663595,232.89445595430595,0.13800896425012651,nuclear receptor,protein,receptor,regulation of transcription factor activity,CHO-K1,RORC,6097,P51449,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RORg_LUC_CHO_Antagonist_viability,TOX21_RORg_LUC_CHO_Antagonist_viability,chinese hamster,0,0,0,0.00011790751008901236,,0.043613367734426325,cell cycle,cellular,cellular,cell proliferation,CHO-K1,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RXR_BLA_Agonist_ch1,TOX21_RXR_BLA_Agonist_ch1,human,1,0,0,0.0016533925714710745,,0.08342043111421703,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RXR_BLA_Agonist_ch2,TOX21_RXR_BLA_Agonist_ch2,human,1,0,-9.33332e-11,38.29310344827585,800,-0.016126941207352814,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,,,,"Bmd > ac50, indication of high baseline variability | Model directionality questionable | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RXR_BLA_Agonist_ratio,TOX21_RXR_BLA_Agonist_ratio,human,1,0,0,7.380820261149685,,-0.3561860014861705,dna binding,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,RXRA,6256,P19793,Model directionality questionable | No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RXR_BLA_Agonist_viability,TOX21_RXR_BLA_Agonist_viability,human,1,0,-2.575294e-10,38.29310344827585,800,0.037703105293117725,cell cycle,cellular,cellular,cell proliferation,HEK293T,,,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_H2AX_HTRF_CHO_Agonist_ch1,TOX21_H2AX_HTRF_CHO_Agonist_ch1,chinese hamster,0,0,0,76.88076923076899,,0.02621315913112262,channel 1,pathway,pathway-specified,detection of DNA damage,CHO-K1,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_H2AX_HTRF_CHO_Agonist_ch2,TOX21_H2AX_HTRF_CHO_Agonist_ch2,chinese hamster,0,0,0,15.255087949399956,,0.26715038203425434,channel 2,pathway,pathway-specified,regulation of transcription factor activity,CHO-K1,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_H2AX_HTRF_CHO_Agonist_ratio,TOX21_H2AX_HTRF_CHO_Agonist_ratio,chinese hamster,0,0,0,15.255078283824833,,-0.11949238829587472,dna binding,pathway,pathway-specified,regulation of transcription factor activity,CHO-K1,H2AFX,3014,P16104,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_HTRF_Agonist_ch1,TOX21_TSHR_HTRF_Agonist_ch1,human,1,0,0,9.138999203836727,,0.29317739942771937,background measurement,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_HTRF_Agonist_ch2,TOX21_TSHR_HTRF_Agonist_ch2,human,1,0,0,0.09898921689570597,,0.08739980981723768,background measurement,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_HTRF_Agonist_ratio,TOX21_TSHR_HTRF_Agonist_ratio,human,1,0,-7.47987e-11,46.05760368663595,442.80001006619915,-0.07252988286158736,gpcr,protein,receptor,regulation of transcription factor activity,HEK293T,TSHR,7253,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_HTRF_Antagonist_ch1,TOX21_TSHR_HTRF_Antagonist_ch1,human,1,0,0,0.054170563206311355,,0.10221518178490059,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,,,,
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_HTRF_Antagonist_ch2,TOX21_TSHR_HTRF_Antagonist_ch2,human,1,0,0,0.04198977739813138,,0.09471349289794692,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_HTRF_Antagonist_ratio,TOX21_TSHR_HTRF_Antagonist_ratio,human,1,0,0,46.05760368663595,,-0.0033388634116127284,gpcr,protein,receptor,regulation of transcription factor activity,HEK293T,TSHR,7253,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_wt_HTRF_Agonist_ch1,TOX21_TSHR_wt_HTRF_Agonist_ch1,human,1,0,3.828e-13,46.05760368663595,182.67027021689566,-0.17338926770116214,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,,,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_wt_HTRF_Agonist_ch2,TOX21_TSHR_wt_HTRF_Agonist_ch2,human,1,0,0,9.1389969997564,,0.14251851582244981,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_TSHR_wt_HTRF_Agonist_ratio,TOX21_TSHR_wt_HTRF_Agonist_ratio,human,1,0,0,0.9105107756681586,,0.10632940460288245,gpcr,pathway,pathway-specified,regulation of transcription factor activity,HEK293T,TSHR,7253,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_CAR_LUC_Agonist,TOX21_CAR_LUC_Agonist,human,1,0,0,0.00011790746693276708,,-0.04235875561875192,nuclear receptor,protein,receptor,regulation of transcription factor activity,HepG2,NR1I3,9970,Q14994,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_CAR_LUC_Agonist_viability,TOX21_CAR_LUC_Agonist_viability,human,1,0,0,0.0009308484549279906,,-0.1814300682117244,cell cycle,cellular,cellular,cell proliferation,HepG2,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_CAR_LUC_Antagonist,TOX21_CAR_LUC_Antagonist,human,1,0,5.61e-14,46.05760368663595,137.63815629148817,-0.2723094468262759,nuclear receptor,protein,receptor,regulation of transcription factor activity,HepG2,NR1I3,9970,Q14994,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_CAR_LUC_Antagonist_viability,TOX21_CAR_LUC_Antagonist_viability,human,1,0,0,0.007192064696852829,,-0.12325187611404334,cell cycle,cellular,cellular,cell proliferation,HepG2,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_H2AX_HTRF_CHO_viability,TOX21_H2AX_HTRF_CHO_viability,chinese hamster,0,0,0,76.880769230769,,-0.0679733274187435,cell cycle,cellular,cellular,cell proliferation,CHO-K1,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HDAC_LUC_Antagonist,TOX21_HDAC_LUC_Antagonist,human,1,0,0,46.05760368663595,,0.12081886848231001,hydrolase,pathway,pathway-specified,regulation of transcription factor activity,HCT116,HDAC1,3065,Q13547,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HDAC_LUC_Antagonist_viability,TOX21_HDAC_LUC_Antagonist_viability,human,1,0,0,46.05760368663595,427.73574743508397,0.04056912510819949,cell cycle,cellular,cellular,cell proliferation,HCT116,,,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HRE_BLA_Agonist_ch1,TOX21_HRE_BLA_Agonist_ch1,human,1,0,0,9.803036500263045e-05,,0.08089773562680054,channel 1,pathway,pathway-specified,regulation of transcription factor activity,ME-180,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HRE_BLA_Agonist_ch2,TOX21_HRE_BLA_Agonist_ch2,human,1,0,0,38.29310344827585,,0.01858062499690724,channel 2,pathway,pathway-specified,regulation of transcription factor activity,ME-180,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HRE_BLA_Agonist_ratio,TOX21_HRE_BLA_Agonist_ratio,human,1,0,0,2.3480796035955766e-06,,-0.01913833503885142,dna binding,pathway,pathway-specified,regulation of transcription factor activity,ME-180,HIF1A,3091,Q16665,Gain AC50 < lowest conc & loss AC50 < mean conc | No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HRE_BLA_Agonist_viability,TOX21_HRE_BLA_Agonist_viability,human,1,0,-8.030412e-10,38.29310344827585,599.738681824092,0.052105937967418324,cell cycle,cellular,cellular,cell proliferation,ME-180,,,,"Bmd > ac50, indication of high baseline variability"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_LUC_Biochem,TOX21_LUC_Biochem,firefly,0,0,0,18.900271949818315,,-0.13396069192716914,enzyme,protein,enzyme,artifact detection,NA,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_PGC_ERR_LUC_Agonist,TOX21_PGC_ERR_LUC_Agonist,human,1,0,0,46.05760368663595,,0.005669766697878246,nuclear receptor,protein,receptor,regulation of transcription factor activity,PGC/ERR HEK293T,ESRRA,2101,P11474,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_PGC_ERR_LUC_Antagonist,TOX21_PGC_ERR_LUC_Antagonist,human,1,0,0,46.05760368663595,900,0.02664570371772821,nuclear receptor,protein,receptor,regulation of transcription factor activity,PGC/ERR HEK293T,ESRRA,2101,P11474,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_PGC_ERR_LUC_viability,TOX21_PGC_ERR_LUC_viability,human,1,0,0,0.0269811039400914,,-0.13709650715777894,cell cycle,cellular,cellular,cell proliferation,PGC/ERR HEK293T,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_FLO_00hr_viability,TOX21_RT_HEK293_FLO_00hr_viability,human,1,0,-5.09382891321e-05,7.598427712560018,320.1543730197831,-0.5087738488017174,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_FLO_08hr_viability,TOX21_RT_HEK293_FLO_08hr_viability,human,1,0,-0.0024292345027191863,7.598469379407233,14.795908425837192,-0.6121015446011282,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | Model directionality questionable"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_FLO_16hr_viability,TOX21_RT_HEK293_FLO_16hr_viability,human,1,0,-0.0004025384558606,38.29310344827585,135.83205106195865,-0.33124717333804393,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | Model directionality questionable"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_FLO_24hr_viability,TOX21_RT_HEK293_FLO_24hr_viability,human,1,0,-0.02706830290951302,38.29310344827585,65.94420384576796,-0.5249972707668125,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | Model directionality questionable"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_FLO_32hr_viability,TOX21_RT_HEK293_FLO_32hr_viability,human,1,0,-0.01560373146906421,38.29310344827585,78.04826286837152,-0.4338774796658859,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | Model directionality questionable"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_FLO_40hr_viability,TOX21_RT_HEK293_FLO_40hr_viability,human,1,0,-0.003814735864232336,38.29310344827585,135.1249152357892,-0.24358927481582254,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | Model directionality questionable"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_GLO_00hr_viability,TOX21_RT_HEK293_GLO_00hr_viability,human,1,0,9.1e-15,38.29310344827585,800,-0.019796170404847803,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_GLO_08hr_viability,TOX21_RT_HEK293_GLO_08hr_viability,human,1,0,0,0.13756791955041242,,-0.2025988874034944,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,Average number of replicates per conc < 2 | No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_RT_HEK293_GLO_16hr_viability,TOX21_RT_HEK293_GLO_16hr_viability,human,1,0,0,0.05296152089677812,,-0.21257550546973014,cell cycle,cellular,cellular,cell proliferation,HEK293,,,,Average number of replicates per conc < 2 | No median responses above baseline (3*bmad)
