gene_symbol,CTD,ToxCast,ChEMBL,exposure_support_count,CTD_direction,CTD_action,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_assay_count,ChEMBL_record_count,GeneCards,DisGeNET,OpenTargets,disease_support_count,GeneCards_score,DisGeNET_score,OpenTargets_score,total_support_count
FLG,1,0,0,1,affects,affects^abundance;affects^response to substance,1,1,1,1,0,0,0,0,0,1,1,,,0.010491494971534189,2
GSTA2,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04003159305842688,2
HPGD,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,1,0,1,2,8.1,,0.0872684514166338,3
HSD3B2,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.0461294127075778,2
HSPA1A,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,1,0,1,2,6.8,,0.10248523410290747,3
HSPA1L,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,0,0,1,1,,,0.03436871251611191,2
IGFBP1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,3.9,,0.0860665440824603,3
LUM,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.05716535208768435,2
MAP1LC3B,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,7.4,,0.09243324016806351,3
MMP2,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,22.1,,0.12397873112343949,3
MMP9,1,0,0,1,affects,affects^expression,1,1,1,1,0,0,0,1,0,1,2,23.7,,0.12616035305467896,3
NEAT1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,19.6,,0.11881408426664597,3
NR1I2,1,0,0,1,affects;increases,affects^binding;increases^activity,3,1,3,1,0,0,0,1,0,1,2,9.7,,0.10921251303596125,3
NR1I3,1,0,0,1,affects;increases,affects^binding;increases^activity,2,1,2,1,0,0,0,0,0,1,1,,,0.03060859687083273,2
NR3C1,1,0,0,1,affects;increases,affects^cotreatment;increases^activity;increases^reaction,2,1,1,1,1,0,0,0,0,1,1,,,0.3861902214325396,2
OMD,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.2639929434226974,2
PARP10,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,0,0,1,1,,,0.05299118085325851,2
PGR,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,4.3,,0.06159327306149363,3
PLA2G4A,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,3.7,,0.0476348116572022,3
PLAC8,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.09950989803805872,2
PPARA,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0,1,0,1,2,9.6,,0.09750255771859456,3
PPARD,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0,1,0,1,2,15.8,,0.12561597067540708,3
PPARG,1,0,0,1,affects;increases,affects^activity;affects^binding;increases^activity,3,1,3,1,0,0,0,1,0,1,2,36.7,,0.5893755515633613,3
PTGER1,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.02818355480039779,2
PTGER2,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,1,0,1,2,4.8,,0.04431235795898724,3
PTGER3,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.02050863188675833,2
PTGER4,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,1,1,1,0,1,0,0,1,0,1,2,8.0,,0.3775381472857955,3
PTGES,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,7.0,,0.025968696366343684,3
PTGES2,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,2,1,1,0,1,0,0,1,0,1,2,6.8,,0.018482258328419744,3
PTGES3,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.019640483768194866,2
PTGFR,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.008551667193121016,2
PTGS1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,1,0,1,2,15.6,,0.44140332898538487,3
PTGS2,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,39.9,,0.45032373358330563,3
PTX3,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.1077380923003705,2
RELA,1,0,0,1,increases,increases^phosphorylation,1,1,1,1,0,0,0,1,0,1,2,13.4,,0.10351441479600511,3
RGS2,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.03148189555576462,2
RPS2,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.05946599810345295,2
RXRA,1,0,0,1,affects,affects^binding,1,1,2,1,0,0,0,1,0,1,2,6.7,,0.5133977025410836,3
RXRB,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0,0,0,1,1,,,0.004506821005738447,2
SCGN,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.025202015132017364,2
SIRT1,1,0,0,1,decreases,decreases^expression,2,1,1,1,0,0,0,1,0,1,2,14.7,,0.11964360569781919,3
SIRT2,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,4.0,,0.1044224063383827,3
SIRT3,1,0,0,1,decreases,decreases^expression,2,1,1,1,0,0,0,1,0,1,2,4.0,,0.10525772281685455,3
SIRT5,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,3.2,,0.10368165702455345,3
SLCO2A1,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,3.4,,0.45374262687452843,3
SNHG25,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.08755346757480587,2
SNORA13,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.077283254057401,2
SNORA65,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.0036957985468470188,2
SPP2,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.03173645692379893,2
SQSTM1,1,0,0,1,decreases;increases,decreases^expression;increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,8.7,,0.11049178605110838,3
STAR,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.015963796500964206,2
STAT3,1,0,0,1,increases,increases^phosphorylation,1,1,1,1,0,0,0,1,0,1,2,30.7,,0.4404197366317531,3
SUSD2,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.06888988522447713,2
TIMP1,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,10.8,,0.12427138586533426,3
TIMP2,1,0,0,1,affects,affects^expression,1,1,1,1,0,0,0,1,0,1,2,7.9,,0.1120919548524406,3
TNC,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,0,0,1,1,,,0.29737789127719705,2
