gene_symbol,GeneCards,DisGeNET,OpenTargets,disease_support_count,GeneCards_score,DisGeNET_score,OpenTargets_score
ACOT9,0,0,1,1,,,0.0036957985468470188
ACOX1,0,0,1,1,,,0.10036500814223208
ACOX2,0,0,1,1,,,0.008929049289182396
ACOX3,0,0,1,1,,,0.0
ACOXL,0,0,1,1,,,0.0
ACP1,0,0,1,1,,,0.08868408824658225
ACP2,0,0,1,1,,,0.08096365344363612
ACP3,0,0,1,1,,,0.01687686316667893
ACP5,0,0,1,1,,,0.08095562185563561
ACP6,0,0,1,1,,,0.04287126314342542
ACR,0,0,1,1,,,0.0042501683288740716
ACRBP,0,0,1,1,,,0.019166187085692107
ACSBG1,0,0,1,1,,,0.0029361066233284643
ACSBG2,0,0,1,1,,,0.0014783194187388072
ACSF2,0,0,1,1,,,0.008661205034111451
ACSF3,0,0,1,1,,,0.007761176948378739
ACSL1,0,0,1,1,,,0.05209553483838203
ACSL3,0,0,1,1,,,0.2858666427053475
ACSL4,0,0,1,1,,,0.10830787354995942
ACSL5,0,0,1,1,,,0.08188767897348503
ACSL6,0,0,1,1,,,0.2787628833545324
ACSM1,0,0,1,1,,,0.00875698933461252
ACSM2A,0,0,1,1,,,0.04244255051199115
ACSM2B,0,0,1,1,,,0.04263473203642721
ACSM3,0,0,1,1,,,0.011826555349910457
ACSM4,0,0,1,1,,,0.0014783194187388072
ACSM5,0,0,1,1,,,0.030106811488692785
ACSS1,0,0,1,1,,,0.028922292816917307
ACSS2,0,0,1,1,,,0.08621689713504371
ACSS3,0,0,1,1,,,0.0036957985468470188
ACTA1,0,0,1,1,,,0.09664725821447413
ACTA2,0,0,1,1,,,0.09602602485544899
ACTA2-AS1,1,0,0,1,15.4,,
ACTB,1,0,1,2,7.7,,0.03149352421413565
ACTBL2,0,0,1,1,,,0.028106137304488587
ACTC1,1,0,1,2,3.6,,0.013530456173824056
ACTG1,0,0,1,1,,,0.0828766834641681
ACTG1P22,0,0,1,1,,,0.0036957985468470188
ACTG2,0,0,1,1,,,0.06614679621175733
ACTL6A,0,0,1,1,,,0.1048472404159517
ACTL6B,0,0,1,1,,,0.03972983437860544
ACTL7B,0,0,1,1,,,0.0036957985468470188
ACTL8,0,0,1,1,,,0.07759602151871554
ACTL9,0,0,1,1,,,0.0036957985468470188
ACTN1,0,0,1,1,,,0.01938118915956175
ACTN2,0,0,1,1,,,0.028129133384335637
ACTN3,0,0,1,1,,,0.0018478992734235094
ACTN4,0,0,1,1,,,0.03239884689712148
ACTR10,0,0,1,1,,,0.0
ACTR1B,0,0,1,1,,,0.43344718272341065
ACTR2,0,0,1,1,,,0.026398996765388646
ACTR3,1,0,1,2,3.9,,0.008970113717480695
ACTR3B,0,0,1,1,,,0.0109552561104659
ACTR5,0,0,1,1,,,0.0
ACTR6,0,0,1,1,,,0.0037559836667516015
ACTR8,0,0,1,1,,,0.00406537840153172
ACVR1,0,0,1,1,,,0.42864004296464187
ACVR1B,1,0,1,2,16.1,,0.5517298224438566
ACVR1C,0,0,1,1,,,0.029552028169188588
ACVR2A,1,0,1,2,7.2,,0.6409395609372494
ACVR2B,0,0,1,1,,,0.19873761135039222
ACVRL1,0,0,1,1,,,0.10057281002619184
ACY1,0,0,1,1,,,0.08440883376762051
ACYP1,0,0,1,1,,,0.0036957985468470188
ACYP2,0,0,1,1,,,0.022599568255951993
ADA,0,0,1,1,,,0.05861848431973387
ADA2,0,0,1,1,,,0.014160125292917075
ADAD1,0,0,1,1,,,0.009337024384326006
ADAM10,1,0,1,2,7.2,,0.10109985044571064
ADAM11,0,0,1,1,,,0.005689455094928528
ADAM12,0,0,1,1,,,0.1185602356178728
ADAM15,0,0,1,1,,,0.07936740066480384
ADAM17,1,0,1,2,9.4,,0.11361742476819459
ADAM19,0,0,1,1,,,0.04094656959293636
ADAM1A,0,0,1,1,,,0.0073915970936940375
ADAM20,0,0,1,1,,,0.0036957985468470188
ADAM21,0,0,1,1,,,0.0014783194187388072
ADAM22,0,0,1,1,,,0.0036957985468470188
ADAM23,0,0,1,1,,,0.024153686080777195
ADAM28,0,0,1,1,,,0.07944674549816887
ADAM29,0,0,1,1,,,0.019990151124869182
ADAM33,0,0,1,1,,,0.03468069428023638
ADAM8,0,0,1,1,,,0.10055892927075048
ADAM9,0,0,1,1,,,0.0956115329972585
ADAMDEC1,0,0,1,1,,,0.05568226301385853
ADAMTS1,0,0,1,1,,,0.055856668597497126
ADAMTS10,0,0,1,1,,,0.03653604846770515
ADAMTS12,0,0,1,1,,,0.09695325594109937
ADAMTS13,0,0,1,1,,,0.047305923925717246
ADAMTS14,0,0,1,1,,,0.02305644365914863
ADAMTS15,0,0,1,1,,,0.016920913709767567
ADAMTS16,0,0,1,1,,,0.04353433842862886
ADAMTS18,0,0,1,1,,,0.027767115913010086
ADAMTS19,0,0,1,1,,,0.05174774996438597
ADAMTS2,0,0,1,1,,,0.020852000436342243
ADAMTS20,0,0,1,1,,,0.022144198281999875
ADAMTS4,0,0,1,1,,,0.026076700088191178
ADAMTS5,0,0,1,1,,,0.2623420582687109
ADAMTS6,0,0,1,1,,,0.08135777248109206
ADAMTS7,0,0,1,1,,,0.0073915970936940375
ADAMTS8,0,0,1,1,,,0.019165472524678862
ADAMTS9,0,0,1,1,,,0.4239499537996097
ADAMTS9-AS1,1,0,1,2,15.9,,0.0241684832287332
ADAMTS9-AS2,1,0,1,2,17.3,,0.019275383740061935
ADAMTSL1,0,0,1,1,,,0.00406537840153172
ADAMTSL2,0,0,1,1,,,0.08308254651697
ADAMTSL3,0,0,1,1,,,0.02231793258415785
ADAMTSL4,0,0,1,1,,,0.005756822203138704
ADAP1,0,0,1,1,,,0.0255533545485814
ADAR,1,0,1,2,21.3,,0.3596262121647566
ADARB1,0,0,1,1,,,0.0030876343637491924
ADARB2,0,0,1,1,,,0.01337673751817129
ADAT2,0,0,1,1,,,0.01452305103411834
ADAT3,0,0,1,1,,,0.0014783194187388072
ADCK1,0,0,1,1,,,0.07505304495652029
ADCK2,0,0,1,1,,,0.0
ADCK5,0,0,1,1,,,0.0036957985468470188
ADCY1,0,0,1,1,,,0.05710104033704833
ADCY10,0,0,1,1,,,0.023069097325161925
ADCY2,0,0,1,1,,,0.0206648997205171
ADCY3,0,0,1,1,,,0.017732854801514777
ADCY4,0,0,1,1,,,0.009450760279968943
ADCY5,0,0,1,1,,,0.03628428282747344
ADCY6,0,0,1,1,,,0.0014783194187388072
ADCY7,0,0,1,1,,,0.004599215969409622
ADCY8,0,0,1,1,,,0.0036957985468470188
ADCY9,0,0,1,1,,,0.26186618340626744
ADCYAP1,0,0,1,1,,,0.03578204120091559
ADCYAP1R1,0,0,1,1,,,0.0137259970044031
ADD1,0,0,1,1,,,0.03726431353283215
ADD2,0,0,1,1,,,0.027961179872595582
ADD3,0,0,1,1,,,0.009609076221802246
ADGRA2,0,0,1,1,,,0.02477745474662837
ADGRA3,0,0,1,1,,,0.08317498256834864
ADGRB1,0,0,1,1,,,0.020421818113783782
ADGRB2,0,0,1,1,,,0.0
ADGRB3,0,0,1,1,,,0.0094292169647034
ADGRB3-DT,0,0,1,1,,,0.015980246601116698
ADGRD1,0,0,1,1,,,0.0042501683288740716
ADGRE1,0,0,1,1,,,0.08205256595279496
ADGRE2,0,0,1,1,,,0.014923827283566395
ADGRE3,0,0,1,1,,,0.017555043097523336
ADGRE5,0,0,1,1,,,0.01724085855135503
ADGRF1,0,0,1,1,,,0.004506821005738447
ADGRF4,0,0,1,1,,,0.0014783194187388072
ADGRF5,0,0,1,1,,,0.09843156622769016
ADGRG1,0,0,1,1,,,0.08764016927816101
ADGRG2,0,0,1,1,,,0.0036957985468470188
ADGRG3,0,0,1,1,,,0.008315546730405791
ADGRG4,0,0,1,1,,,0.004229636114724921
ADGRG5,0,0,1,1,,,0.005030392466541775
ADGRG6,0,0,1,1,,,0.07744934558575851
ADGRG7,0,0,1,1,,,0.0
ADGRL1,0,0,1,1,,,0.03172494004827629
ADGRL2,0,0,1,1,,,0.04177920937884487
ADGRL3,0,0,1,1,,,0.01293396369552225
ADGRL4,0,0,1,1,,,0.07986821055014207
ADGRV1,0,0,1,1,,,0.009087545411670478
ADH1A,0,0,1,1,,,0.041311850220898866
ADH1B,1,0,1,2,3.9,,0.06544638155271029
ADH1C,0,0,1,1,,,0.04649137715911015
ADH4,0,0,1,1,,,0.045755882097089036
ADH5,0,0,1,1,,,0.019652087321405456
ADH6,0,0,1,1,,,0.012760371631261742
ADH7,0,0,1,1,,,0.004804538110901123
ADHFE1,0,0,1,1,,,0.10908398079038685
ADI1,0,0,1,1,,,0.0044349582562164215
ADIPOQ,1,0,1,2,23.8,,0.12052227341476264
ADIPOR1,0,0,1,1,,,0.0946294073542191
ADIPOR2,0,0,1,1,,,0.08492151819750594
ADIRF,0,0,1,1,,,0.017873292416835163
ADISSP,0,0,1,1,,,0.029085318597261555
ADK,0,0,1,1,,,0.06319600914836002
ADM,0,0,1,1,,,0.10894957344005325
ADM2,0,0,1,1,,,0.0014783194187388072
ADNP,0,0,1,1,,,0.03668097469481574
ADO,0,0,1,1,,,0.029719353370187315
ADORA1,0,0,1,1,,,0.018034408550117873
ADORA2A,0,0,1,1,,,0.12062037097883084
ADORA2B,0,0,1,1,,,0.10197035761920833
ADORA3,0,0,1,1,,,0.026380989072741633
ADPGK,0,0,1,1,,,0.04431499596329676
ADPGK-AS1,1,0,0,1,15.4,,
ADPRH,0,0,1,1,,,0.005245980715107851
ADPRH-AS1,0,0,1,1,,,0.002807736572461429
ADPRM,0,0,1,1,,,0.0073915970936940375
ADRA1A,0,0,1,1,,,0.01257671736579413
ADRA1B,0,0,1,1,,,0.03958610887956139
ADRA1D,0,0,1,1,,,0.00406537840153172
ADRA2A,0,0,1,1,,,0.01610326978271877
ADRA2B,0,0,1,1,,,0.0052665129292570004
ADRA2C,0,0,1,1,,,0.009868398086506013
ADRB1,0,0,1,1,,,0.3446093726168403
ADRB2,0,0,1,1,,,0.365978919951648
ADRB3,0,0,1,1,,,0.07656862562991106
ADRM1,0,0,1,1,,,0.12663364240776376
ADSL,0,0,1,1,,,0.08527354586652344
ADSS1,0,0,1,1,,,0.0
ADSS2,0,0,1,1,,,0.00406537840153172
ADTRP,0,0,1,1,,,0.020762568749778124
AEBP1,0,0,1,1,,,0.10452653147633063
AEBP2,0,0,1,1,,,0.044505175103861656
AEN,0,0,1,1,,,0.004804538110901123
AFAP1,1,0,1,2,5.2,,0.10631740729101734
AFAP1-AS1,1,0,1,2,16.9,,0.018078912776999127
AFAP1L1,0,0,1,1,,,0.06616376251557195
AFAP1L2,0,0,1,1,,,0.021279176099896185
AFDN,0,0,1,1,,,0.5310311447364087
AFF1,0,0,1,1,,,0.2678453001024317
AFF3,0,0,1,1,,,0.4130490680207947
AFF4,0,0,1,1,,,0.5174374618262689
AFG2A,0,0,1,1,,,0.0014783194187388072
AFG3L1P,0,0,1,1,,,0.0014783194187388072
AFG3L2,0,0,1,1,,,0.029176276305942293
AFM,0,0,1,1,,,0.03509014235259865
AFMID,0,0,1,1,,,0.017386461048615458
AFP,0,0,1,1,,,0.10626770808809795
AGA,0,0,1,1,,,0.04994420027352464
AGAP1,0,0,1,1,,,0.0014783194187388072
AGAP2,0,0,1,1,,,0.09822025777111772
AGAP2-AS1,1,0,1,2,16.2,,0.0055128994990468
AGAP3,0,0,1,1,,,0.022257854596603083
AGAP4,0,0,1,1,,,0.0036957985468470188
AGAP9,0,0,1,1,,,0.00406537840153172
AGBL4,0,0,1,1,,,0.00871346104061632
AGBL5,0,0,1,1,,,0.0022174791281082107
AGER,1,0,1,2,8.2,,0.10461993759344582
AGFG1,0,0,1,1,,,0.021993183817870906
AGFG2,0,0,1,1,,,0.0014783194187388072
AGGF1,0,0,1,1,,,0.09490367942960776
AGK,0,0,1,1,,,0.024783919484191064
AGL,0,0,1,1,,,0.006652437384324632
AGMAT,0,0,1,1,,,0.06839164067472615
AGMO,0,0,1,1,,,0.013304874768649264
AGO1,0,0,1,1,,,0.018567452041341893
AGO2,1,0,1,2,18.1,,0.10334778173577555
AGO3,0,0,1,1,,,0.007371064879544886
AGO4,0,0,1,1,,,0.006282857529639931
AGPAT1,0,0,1,1,,,0.042218441600913405
AGPAT2,0,0,1,1,,,0.050064922764154425
AGPAT3,0,0,1,1,,,0.018181275629072416
AGPAT4,0,0,1,1,,,0.07710394685142691
AGPAT5,0,0,1,1,,,0.07695473863101457
AGPS,0,0,1,1,,,0.07658463290023278
AGR2,1,0,1,2,3.7,,0.11288235738721254
AGR3,0,0,1,1,,,0.015285841915099735
AGRN,0,0,1,1,,,0.07558696900573303
AGRP,0,0,1,1,,,0.008572199407270168
AGT,0,0,1,1,,,0.0966879141176948
AGTPBP1,0,0,1,1,,,0.004760752402186472
AGTR1,0,0,1,1,,,0.060407795521188884
AGTR2,0,0,1,1,,,0.04846826315023506
AGTRAP,0,0,1,1,,,0.009908230581955361
AGXT,0,0,1,1,,,0.04709470540568202
AGXT2,0,0,1,1,,,0.004602550476557724
AHCTF1,0,0,1,1,,,0.010083548491959658
AHCY,0,0,1,1,,,0.07517188098282683
AHCYL1,0,0,1,1,,,0.07671615430260145
AHCYL2,0,0,1,1,,,0.029548988735032557
AHNAK,0,0,1,1,,,0.017280190603183435
AHNAK2,0,0,1,1,,,0.07859382322508551
AHR,1,0,1,2,10.7,,0.12081992372543568
AHRR,0,0,1,1,,,0.005851155156410693
AHSA1,0,0,1,1,,,0.09398630035806196
AHSG,0,0,1,1,,,0.0487603582840481
AICDA,0,0,1,1,,,0.03776380382205843
AIDA,0,0,1,1,,,0.0036957985468470188
AIF1,0,0,1,1,,,0.03830312833696504
AIF1L,0,0,1,1,,,0.04233126591130276
AIFM1,1,0,1,2,6.6,,0.028738042459602573
AIFM2,0,0,1,1,,,0.06403457506343689
AIFM3,0,0,1,1,,,0.03475691596079611
AIG1,0,0,1,1,,,0.005728487747612879
AIM2,1,0,1,2,9.8,,0.11370701887734126
AIMP1,0,0,1,1,,,0.03919364099883217
AIMP2,0,0,1,1,,,0.04140956440072583
AIP,0,0,1,1,,,0.02354504918522393
AJAP1,0,0,1,1,,,0.0014783194187388072
AJUBA,0,0,1,1,,,0.11220729345057756
AK1,0,0,1,1,,,0.022337610841786894
AK2,0,0,1,1,,,0.003158868576103386
AK3,0,0,1,1,,,0.004989328038243475
AK4,0,0,1,1,,,0.03311280249294474
AK5,0,0,1,1,,,0.07936749901935818
AK6,0,0,1,1,,,0.08521986062639357
AK7,0,0,1,1,,,0.0014783194187388072
AK9,0,0,1,1,,,0.0
AKAP1,0,0,1,1,,,0.018183944816911803
AKAP10,0,0,1,1,,,0.032198064102095754
AKAP11,0,0,1,1,,,0.0077627597980290996
AKAP12,0,0,1,1,,,0.09286407455713334
AKAP13,0,0,1,1,,,0.017538809180104174
AKAP17A,0,0,1,1,,,0.008315546730405791
AKAP19,0,0,1,1,,,0.038949146680174566
AKAP3,0,0,1,1,,,0.006282857529639931
AKAP4,0,0,1,1,,,0.06035390324959034
AKAP6,0,0,1,1,,,0.010815306157645959
AKAP7,0,0,1,1,,,0.0017358124610239358
AKAP8,0,0,1,1,,,0.05789341063382327
AKAP8L,0,0,1,1,,,0.07722165741495352
AKAP9,1,0,1,2,4.7,,0.2800015248856791
AKIP1,0,0,1,1,,,0.07774655512284917
AKNA,0,0,1,1,,,0.0
AKR1A1,1,0,1,2,6.5,,0.021907548268176553
AKR1B1,1,0,1,2,7.1,,0.08724997730984038
AKR1B10,1,0,1,2,4.4,,0.1110583351909698
AKR1B15,0,0,1,1,,,0.004049432113984934
AKR1C1,0,0,1,1,,,0.09116565514266925
AKR1C2,0,0,1,1,,,0.009301298331706488
AKR1C3,0,0,1,1,,,0.04592312525950439
AKR1C4,0,0,1,1,,,0.0408739109221755
AKR1D1,0,0,1,1,,,0.04173252529209731
AKR1E2,0,0,1,1,,,0.0073915970936940375
AKR7A2,0,0,1,1,,,0.016815883388153933
AKR7A3,0,0,1,1,,,0.003936471794549097
AKT1,1,0,1,2,46.4,,0.7030840856285392
AKT1S1,0,0,1,1,,,0.0912564122427242
AKT2,1,0,1,2,10.9,,0.4747427702996509
AKT3,1,0,1,2,11.5,,0.37396697109533905
AKTIP,0,0,1,1,,,0.006230738180121428
ALAD,0,0,1,1,,,0.009427661539051148
ALAS1,0,0,1,1,,,0.07786595829495387
ALAS2,0,0,1,1,,,0.004588949862335047
ALB,1,0,1,2,19.4,,0.12135916564327497
ALCAM,1,0,1,2,9.7,,0.1114693429578428
ALDH16A1,0,0,1,1,,,0.0
ALDH18A1,0,0,1,1,,,0.006344247952447913
ALDH1A1,1,0,1,2,8.9,,0.11302815124557537
ALDH1A2,0,0,1,1,,,0.0050587269220676015
ALDH1A3,0,0,1,1,,,0.10113842701111637
ALDH1B1,0,0,1,1,,,0.10446124089597604
ALDH1L1,0,0,1,1,,,0.012575949739496045
ALDH1L2,0,0,1,1,,,0.10074108907594852
ALDH2,1,0,1,2,10.6,,0.4628184160374501
ALDH3A1,0,0,1,1,,,0.00539695432892714
ALDH3A2,0,0,1,1,,,0.005615560569792552
ALDH3B1,0,0,1,1,,,0.003860056260040219
ALDH3B2,0,0,1,1,,,0.02537225013783591
ALDH4A1,0,0,1,1,,,0.0049862356353777455
ALDH5A1,0,0,1,1,,,0.10828367699496426
ALDH6A1,0,0,1,1,,,0.029153280226095247
ALDH7A1,0,0,1,1,,,0.07821962942459185
ALDH8A1,0,0,1,1,,,0.04061682602984872
ALDH9A1,0,0,1,1,,,0.0036957985468470188
ALDOA,1,0,1,2,3.5,,0.10977191815985049
ALDOB,0,0,1,1,,,0.09073206673924503
ALDOC,0,0,1,1,,,0.08575946893977192
ALG1,0,0,1,1,,,0.008818585977059966
ALG10,0,0,1,1,,,0.08414236086939213
ALG10B,0,0,1,1,,,0.003916038778030596
ALG11,0,0,1,1,,,0.0073915970936940375
ALG12,0,0,1,1,,,0.0073915970936940375
ALG13,0,0,1,1,,,0.016631093460811583
ALG14,0,0,1,1,,,0.01293529491396456
ALG1L2,0,0,1,1,,,0.0044349582562164215
ALG2,0,0,1,1,,,0.00794596687572109
ALG3,0,0,1,1,,,0.008726191013388791
ALG5,0,0,1,1,,,0.0073915970936940375
ALG6,0,0,1,1,,,0.009054706439775195
ALG8,0,0,1,1,,,0.05252920603490263
ALG9,0,0,1,1,,,0.014783194187388075
ALK,1,0,1,2,15.0,,0.49699728517333547
ALKAL1,0,0,1,1,,,0.08106196873935878
ALKAL2,0,0,1,1,,,0.017034683324184837
ALKBH1,0,0,1,1,,,0.09662838144696807
ALKBH2,0,0,1,1,,,0.07650545924955514
ALKBH3,0,0,1,1,,,0.07220637554723999
ALKBH4,0,0,1,1,,,0.07652075490065764
ALKBH5,1,0,1,2,9.3,,0.11567621930882933
ALKBH7,0,0,1,1,,,0.004619748183558772
ALKBH8,0,0,1,1,,,0.06793349970030249
ALLC,0,0,1,1,,,0.0035110086195046675
ALMS1,0,0,1,1,,,0.09375189659992005
ALMS1-IT1,1,0,1,2,14.6,,0.0014783194187388072
ALOX12,0,0,1,1,,,0.2014735576234261
ALOX12B,0,0,1,1,,,0.009261465836257136
ALOX15,1,0,1,2,11.4,,0.056952021329759496
ALOX15B,0,0,1,1,,,0.020925179990057406
ALOX5,1,0,1,2,8.7,,0.27951200625228595
ALOX5AP,0,0,1,1,,,0.025522389025000286
ALOXE3,0,0,1,1,,,0.09000269189823944
ALPG,0,0,1,1,,,0.014783194187388075
ALPI,0,0,1,1,,,0.04051741096237357
ALPK1,0,0,1,1,,,0.05415605407466324
ALPK2,0,0,1,1,,,0.02266590927278642
ALPK3,0,0,1,1,,,0.0051741179655858255
ALPL,0,0,1,1,,,0.04575523246589555
ALPP,0,0,1,1,,,0.0836633373707457
ALS2,0,0,1,1,,,0.0
ALS2CL,0,0,1,1,,,0.0036957985468470188
ALX1,0,0,1,1,,,0.03096340022548432
ALX3,0,0,1,1,,,0.014115897227540695
ALX4,0,0,1,1,,,0.03831670151309964
ALYREF,0,0,1,1,,,0.08687520873976584
AMACR,1,0,1,2,5.5,,0.06837121639282182
AMBP,0,0,1,1,,,0.04586844996116175
AMBRA1,0,0,1,1,,,0.08026719398315263
AMD1,0,0,1,1,,,0.009467555025884936
AMDHD1,0,0,1,1,,,0.033299144907091634
AMDHD2,0,0,1,1,,,0.0036957985468470188
AMELX,0,0,1,1,,,0.041991663089275814
AMELY,0,0,1,1,,,0.04079052856155053
