compartment,group,gene_symbol,n_cells,mean_expression,fraction_detected
endothelial,colon adenocarcinoma,PTGS2,4912,0.09603790938854218,0.08122964169381107
endothelial,colon adenocarcinoma,RELA,4912,0.39448869228363037,0.36319218241042345
endothelial,colon adenocarcinoma,RXRA,4912,0.25284522771835327,0.25346091205211724
endothelial,colon adenocarcinoma,SELE,4912,0.5425239205360413,0.21539087947882737
endothelial,colon adenocarcinoma,SIRT1,4912,0.11650282144546509,0.1353827361563518
endothelial,colon adenocarcinoma,SQSTM1,4912,0.9256888031959534,0.5812296416938111
endothelial,colon adenocarcinoma,STAT3,4912,1.004785180091858,0.6158387622149837
endothelial,colon adenocarcinoma,TIMP1,4912,2.049241065979004,0.813314332247557
endothelial,colon adenocarcinoma,TIMP2,4912,0.8350070714950562,0.5333876221498371
endothelial,normal,AKR1C3,2608,0.5054826736450195,0.25690184049079756
endothelial,normal,ATG5,2608,0.1826576590538025,0.13611963190184048
endothelial,normal,BECN1,2608,0.2992558479309082,0.2066717791411043
endothelial,normal,CA9,2608,0.0,0.0
endothelial,normal,CCL20,2608,0.006707114167511463,0.003067484662576687
endothelial,normal,CRP,2608,0.001112210564315319,0.0007668711656441718
endothelial,normal,CXCR4,2608,0.22647333145141602,0.11196319018404909
endothelial,normal,CYP1A2,2608,0.0,0.0
endothelial,normal,CYP2C9,2608,0.0008723466307856143,0.0003834355828220859
endothelial,normal,CYP3A4,2608,0.00034291527117602527,0.0003834355828220859
endothelial,normal,DKK1,2608,0.0008752235444262624,0.0003834355828220859
endothelial,normal,DUSP1,2608,3.432204484939575,0.8976226993865031
endothelial,normal,ESR1,2608,0.0021423795260488987,0.0011503067484662577
endothelial,normal,F3,2608,0.011102186515927315,0.009202453987730062
endothelial,normal,HPGD,2608,0.013178999535739422,0.0072852760736196315
endothelial,normal,HSPA1A,2608,2.0370266437530518,0.6595092024539877
endothelial,normal,IGFBP1,2608,0.0005378381465561688,0.0003834355828220859
endothelial,normal,IL1A,2608,0.0,0.0
endothelial,normal,MMP2,2608,0.1343226432800293,0.07822085889570553
endothelial,normal,MMP9,2608,0.0003340709372423589,0.0003834355828220859
endothelial,normal,NEAT1,2608,3.8828635215759277,0.9167944785276073
endothelial,normal,NR1I2,2608,0.00309387338347733,0.0019171779141104294
endothelial,normal,NR3C1,2608,0.4613952040672302,0.28680981595092025
endothelial,normal,PGR,2608,0.0012332304613664746,0.0015337423312883436
endothelial,normal,PPARA,2608,0.07879260927438736,0.06441717791411043
endothelial,normal,PPARD,2608,0.05463747680187225,0.03949386503067485
endothelial,normal,PPARG,2608,0.11254548281431198,0.08282208588957055
endothelial,normal,PTGER2,2608,0.003252339782193303,0.0026840490797546013
endothelial,normal,PTGER4,2608,0.05145050585269928,0.031825153374233126
endothelial,normal,PTGES2,2608,0.1901223063468933,0.1388036809815951
endothelial,normal,PTGS1,2608,0.13253635168075562,0.07937116564417178
endothelial,normal,PTGS2,2608,0.05985746905207634,0.036042944785276074
endothelial,normal,RELA,2608,0.313630074262619,0.2151073619631902
endothelial,normal,RXRA,2608,0.21785469353199005,0.15567484662576686
endothelial,normal,SELE,2608,0.029274309054017067,0.017254601226993866
endothelial,normal,SIRT1,2608,0.0862560123205185,0.062116564417177916
endothelial,normal,SQSTM1,2608,1.2752413749694824,0.5927914110429447
endothelial,normal,STAT3,2608,1.0310927629470825,0.522239263803681
endothelial,normal,TIMP1,2608,1.803427815437317,0.691717791411043
endothelial,normal,TIMP2,2608,0.7575139999389648,0.3937883435582822
epithelial,colon adenocarcinoma,AKR1C3,113216,0.35903432965278625,0.35912768513284343
epithelial,colon adenocarcinoma,ATG5,113216,0.28007829189300537,0.39727600339174673
epithelial,colon adenocarcinoma,BECN1,113216,0.364261656999588,0.4562605992085924
epithelial,colon adenocarcinoma,CA9,113216,0.1572457104921341,0.15118887789711702
epithelial,colon adenocarcinoma,CCL20,113216,0.6994481086730957,0.36533705483323914
epithelial,colon adenocarcinoma,CRP,113216,2.3173870431492105e-05,5.2996042962125494e-05
epithelial,colon adenocarcinoma,CXCR4,113216,0.07494746148586273,0.10171707179197287
epithelial,colon adenocarcinoma,CYP1A2,113216,4.0507016819901764e-05,7.949406444318825e-05
epithelial,colon adenocarcinoma,CYP2C9,113216,0.006696220487356186,0.011614966082532504
epithelial,colon adenocarcinoma,CYP3A4,113216,0.005169600713998079,0.00568824194460147
epithelial,colon adenocarcinoma,DKK1,113216,0.013232016004621983,0.015448346523459581
epithelial,colon adenocarcinoma,DUSP1,113216,0.8685626983642578,0.5449141464104014
epithelial,colon adenocarcinoma,ESR1,113216,0.0011546746827661991,0.002278829847371396
epithelial,colon adenocarcinoma,F3,113216,0.21728380024433136,0.23046212549462974
epithelial,colon adenocarcinoma,HPGD,113216,0.23896567523479462,0.252102176370831
epithelial,colon adenocarcinoma,HSPA1A,113216,0.5623611807823181,0.2979879169022046
epithelial,colon adenocarcinoma,IGFBP1,113216,0.0023885827977210283,0.002932447710570944
epithelial,colon adenocarcinoma,IL1A,113216,0.007501564919948578,0.013231345392877332
epithelial,colon adenocarcinoma,MMP2,113216,0.004670949652791023,0.009168315432447711
epithelial,colon adenocarcinoma,MMP9,113216,0.01098049059510231,0.019122738835500284
epithelial,colon adenocarcinoma,NEAT1,113216,2.8721747398376465,0.7989153476540418
epithelial,colon adenocarcinoma,NR1I2,113216,0.06156175211071968,0.12040700960994913
epithelial,colon adenocarcinoma,NR3C1,113216,0.01971486210823059,0.033202020915771624
epithelial,colon adenocarcinoma,PGR,113216,8.53234450914897e-05,0.0001678208027133974
epithelial,colon adenocarcinoma,PPARA,113216,0.19013330340385437,0.30568117580553983
epithelial,colon adenocarcinoma,PPARD,113216,0.08680199831724167,0.1582726823063878
epithelial,colon adenocarcinoma,PPARG,113216,0.24762171506881714,0.34087938100621823
epithelial,colon adenocarcinoma,PTGER2,113216,0.03134932741522789,0.06116626625211984
epithelial,colon adenocarcinoma,PTGER4,113216,0.1391349583864212,0.21415700960994913
epithelial,colon adenocarcinoma,PTGES2,113216,0.4679386615753174,0.5055999152063313
epithelial,colon adenocarcinoma,PTGS1,113216,0.0178188718855381,0.01641110797060486
epithelial,colon adenocarcinoma,PTGS2,113216,0.046779051423072815,0.06567976257772754
epithelial,colon adenocarcinoma,RELA,113216,0.22035916149616241,0.3468591011871114
epithelial,colon adenocarcinoma,RXRA,113216,0.1470276564359665,0.25703964104013566
epithelial,colon adenocarcinoma,SELE,113216,0.0009039535070769489,0.002225833804409271
epithelial,colon adenocarcinoma,SIRT1,113216,0.09754849970340729,0.18925770209157716
epithelial,colon adenocarcinoma,SQSTM1,113216,1.1718087196350098,0.7149961136235161
epithelial,colon adenocarcinoma,STAT3,113216,0.48846304416656494,0.5154571791972866
epithelial,colon adenocarcinoma,TIMP1,113216,1.2539323568344116,0.6659924392312041
epithelial,colon adenocarcinoma,TIMP2,113216,0.11600305140018463,0.14694036178631995
epithelial,normal,AKR1C3,55079,0.580462634563446,0.37090361117667353
epithelial,normal,ATG5,55079,0.21055670082569122,0.20733855008260862
epithelial,normal,BECN1,55079,0.33144551515579224,0.29878901214619
epithelial,normal,CA9,55079,0.0040005892515182495,0.0032135659688810616
epithelial,normal,CCL20,55079,0.18827155232429504,0.10032861889286297
epithelial,normal,CRP,55079,2.20454439840978e-05,3.631147987436228e-05
epithelial,normal,CXCR4,55079,0.026560695841908455,0.021913978104177636
epithelial,normal,CYP1A2,55079,5.1835727390425745e-06,1.815573993718114e-05
epithelial,normal,CYP2C9,55079,0.014729715883731842,0.017084551280887452
epithelial,normal,CYP3A4,55079,0.019521676003932953,0.014397501770184644
epithelial,normal,DKK1,55079,0.002372192684561014,0.0021423773125873744
epithelial,normal,DUSP1,55079,1.2325756549835205,0.5564915848145391
epithelial,normal,ESR1,55079,0.0001993021578527987,0.0002723360990577171
epithelial,normal,F3,55079,0.09770266711711884,0.08545906788431162
epithelial,normal,HPGD,55079,0.7396722435951233,0.3726465622106429
epithelial,normal,HSPA1A,55079,0.6851817965507507,0.3977559505437644
epithelial,normal,IGFBP1,55079,0.0002934756048489362,0.00012709017956026797
epithelial,normal,IL1A,55079,0.000563379842787981,0.0005991394179269776
epithelial,normal,MMP2,55079,0.003640504088252783,0.0027778282103887142
epithelial,normal,MMP9,55079,0.0008621434681117535,0.000780696817298789
epithelial,normal,NEAT1,55079,3.130615711212158,0.8330579712776194
epithelial,normal,NR1I2,55079,0.07909960299730301,0.08355271519090761
epithelial,normal,NR3C1,55079,0.04779340699315071,0.05047295702536357
epithelial,normal,PGR,55079,0.000632024253718555,0.0005446721981154342
epithelial,normal,PPARA,55079,0.22274918854236603,0.22213547813141124
epithelial,normal,PPARD,55079,0.14482010900974274,0.13097550790682475
epithelial,normal,PPARG,55079,0.3314281404018402,0.28433704315619385
epithelial,normal,PTGER2,55079,0.027373600751161575,0.02979356923691425
epithelial,normal,PTGER4,55079,0.2436724752187729,0.2120953539461501
epithelial,normal,PTGES2,55079,0.29903295636177063,0.26826921331178855
epithelial,normal,PTGS1,55079,0.0659213662147522,0.02452840465513172
epithelial,normal,PTGS2,55079,0.0008203141624107957,0.0008714755169846947
epithelial,normal,RELA,55079,0.12980252504348755,0.13685796764647143
epithelial,normal,RXRA,55079,0.22918272018432617,0.22271646180940105
epithelial,normal,SELE,55079,0.0009577021701261401,0.00143430345503731
epithelial,normal,SIRT1,55079,0.07145679742097855,0.08102906733963942
epithelial,normal,SQSTM1,55079,1.0377260446548462,0.566295684380617
epithelial,normal,STAT3,55079,0.3725963532924652,0.3213565968881062
epithelial,normal,TIMP1,55079,0.1342916488647461,0.10777247226710725
epithelial,normal,TIMP2,55079,0.15447095036506653,0.10475861943753517
fibroblast,colon adenocarcinoma,AKR1C3,3031,0.14042732119560242,0.12966017815902342
fibroblast,colon adenocarcinoma,ATG5,3031,0.2103291004896164,0.22500824810293632
fibroblast,colon adenocarcinoma,BECN1,3031,0.262152761220932,0.2612999010227648
fibroblast,colon adenocarcinoma,CA9,3031,0.03135187178850174,0.020125371164632134
fibroblast,colon adenocarcinoma,CCL20,3031,0.17433640360832214,0.08116133289343451
fibroblast,colon adenocarcinoma,CRP,3031,0.0,0.0
fibroblast,colon adenocarcinoma,CXCR4,3031,0.35257577896118164,0.18640712636093698
fibroblast,colon adenocarcinoma,CYP1A2,3031,0.0,0.0
fibroblast,colon adenocarcinoma,CYP2C9,3031,0.00028508907416835427,0.0003299241174529858
fibroblast,colon adenocarcinoma,CYP3A4,3031,0.0001669973717071116,0.0003299241174529858
fibroblast,colon adenocarcinoma,DKK1,3031,0.008964339271187782,0.0059386341141537445
fibroblast,colon adenocarcinoma,DUSP1,3031,2.7237493991851807,0.8317387000989772
fibroblast,colon adenocarcinoma,ESR1,3031,0.011835594661533833,0.01583635763774332
fibroblast,colon adenocarcinoma,F3,3031,1.4460186958312988,0.5440448696799736
fibroblast,colon adenocarcinoma,HPGD,3031,0.05993735045194626,0.05278785879247773
fibroblast,colon adenocarcinoma,HSPA1A,3031,2.0338144302368164,0.7073573078192016
fibroblast,colon adenocarcinoma,IGFBP1,3031,0.0008174167014658451,0.0006598482349059716
fibroblast,colon adenocarcinoma,IL1A,3031,0.00473233126103878,0.00395908940943583
fibroblast,colon adenocarcinoma,MMP2,3031,2.8450043201446533,0.8650610359617288
fibroblast,colon adenocarcinoma,MMP9,3031,0.10169334709644318,0.06400527878587925
fibroblast,colon adenocarcinoma,NEAT1,3031,4.271236896514893,0.9280765423952491
fibroblast,colon adenocarcinoma,NR1I2,3031,0.00256223208270967,0.003629165291982844
fibroblast,colon adenocarcinoma,NR3C1,3031,0.6024261116981506,0.4787198944242824
fibroblast,colon adenocarcinoma,PGR,3031,0.046250119805336,0.051798086440118775
fibroblast,colon adenocarcinoma,PPARA,3031,0.10226214677095413,0.11382382052128011
fibroblast,colon adenocarcinoma,PPARD,3031,0.06933221220970154,0.08050148465852854
fibroblast,colon adenocarcinoma,PPARG,3031,0.04039547219872475,0.04289013526888816
fibroblast,colon adenocarcinoma,PTGER2,3031,0.35476773977279663,0.26426921807984166
fibroblast,colon adenocarcinoma,PTGER4,3031,0.1588694304227829,0.1326294952161003
fibroblast,colon adenocarcinoma,PTGES2,3031,0.2742931544780731,0.27284724513361924
fibroblast,colon adenocarcinoma,PTGS1,3031,0.2420126348733902,0.16925107225338173
fibroblast,colon adenocarcinoma,PTGS2,3031,0.24329867959022522,0.15704387990762125
fibroblast,colon adenocarcinoma,RELA,3031,0.28962045907974243,0.2847245133619268
fibroblast,colon adenocarcinoma,RXRA,3031,0.20078906416893005,0.20026393929396238
fibroblast,colon adenocarcinoma,SELE,3031,0.0014187643537297845,0.0013196964698119432
fibroblast,colon adenocarcinoma,SIRT1,3031,0.10634835064411163,0.11778290993071594
fibroblast,colon adenocarcinoma,SQSTM1,3031,1.457055687904358,0.7360607060376113
fibroblast,colon adenocarcinoma,STAT3,3031,0.9549610614776611,0.6219069613988782
fibroblast,colon adenocarcinoma,TIMP1,3031,4.251960754394531,0.9416034312108215
fibroblast,colon adenocarcinoma,TIMP2,3031,2.0809431076049805,0.8277796106895414
fibroblast,normal,AKR1C3,2200,0.32321697473526,0.18818181818181817
fibroblast,normal,ATG5,2200,0.13453494012355804,0.0890909090909091
fibroblast,normal,BECN1,2200,0.17129911482334137,0.10772727272727273
fibroblast,normal,CA9,2200,0.0,0.0
fibroblast,normal,CCL20,2200,0.0023145407903939486,0.0013636363636363637
fibroblast,normal,CRP,2200,0.0,0.0
fibroblast,normal,CXCR4,2200,0.3867626190185547,0.1359090909090909
fibroblast,normal,CYP1A2,2200,0.0,0.0
fibroblast,normal,CYP2C9,2200,0.0,0.0
fibroblast,normal,CYP3A4,2200,0.0006944049964658916,0.00045454545454545455
fibroblast,normal,DKK1,2200,0.0013263118453323841,0.00045454545454545455
fibroblast,normal,DUSP1,2200,2.750248670578003,0.785
fibroblast,normal,ESR1,2200,0.042962696403265,0.025454545454545455
fibroblast,normal,F3,2200,1.177962303161621,0.3377272727272727
fibroblast,normal,HPGD,2200,0.16247084736824036,0.09272727272727273
fibroblast,normal,HSPA1A,2200,1.2094873189926147,0.4959090909090909
fibroblast,normal,IGFBP1,2200,0.0014266149373725057,0.00045454545454545455
fibroblast,normal,IL1A,2200,0.0,0.0
fibroblast,normal,MMP2,2200,2.9995012283325195,0.8690909090909091
fibroblast,normal,MMP9,2200,0.001291369553655386,0.00045454545454545455
fibroblast,normal,NEAT1,2200,3.5211963653564453,0.8986363636363637
fibroblast,normal,NR1I2,2200,0.003786415560171008,0.0022727272727272726
fibroblast,normal,NR3C1,2200,0.717440664768219,0.36954545454545457
fibroblast,normal,PGR,2200,0.052494339644908905,0.031363636363636364
fibroblast,normal,PPARA,2200,0.07434174418449402,0.04363636363636364
fibroblast,normal,PPARD,2200,0.03736158087849617,0.02181818181818182
fibroblast,normal,PPARG,2200,0.039630938321352005,0.025454545454545455
fibroblast,normal,PTGER2,2200,0.2761232554912567,0.12772727272727272
fibroblast,normal,PTGER4,2200,0.2799435555934906,0.15
fibroblast,normal,PTGES2,2200,0.17949846386909485,0.11272727272727273
fibroblast,normal,PTGS1,2200,0.12773625552654266,0.05863636363636364
fibroblast,normal,PTGS2,2200,0.11680730432271957,0.06409090909090909
fibroblast,normal,RELA,2200,0.15887068212032318,0.0959090909090909
fibroblast,normal,RXRA,2200,0.220970019698143,0.12272727272727273
fibroblast,normal,SELE,2200,0.0,0.0
fibroblast,normal,SIRT1,2200,0.07445070892572403,0.04681818181818182
fibroblast,normal,SQSTM1,2200,1.4823204278945923,0.6077272727272728
fibroblast,normal,STAT3,2200,0.8076387047767639,0.3831818181818182
fibroblast,normal,TIMP1,2200,3.7962982654571533,0.9090909090909091
fibroblast,normal,TIMP2,2200,2.221837043762207,0.7436363636363637
myeloid,colon adenocarcinoma,AKR1C3,39167,0.026505380868911743,0.020272167896443434
myeloid,colon adenocarcinoma,ATG5,39167,0.1939539611339569,0.1688155845482166
myeloid,colon adenocarcinoma,BECN1,39167,0.28354692459106445,0.23057676104884214
myeloid,colon adenocarcinoma,CA9,39167,0.0030384936835616827,0.0024765746674496386
myeloid,colon adenocarcinoma,CCL20,39167,0.571750283241272,0.17644956213138613
myeloid,colon adenocarcinoma,CRP,39167,0.0,0.0
myeloid,colon adenocarcinoma,CXCR4,39167,1.6000943183898926,0.5767865805397401
myeloid,colon adenocarcinoma,CYP1A2,39167,6.358150858432055e-05,2.5531697602573594e-05
myeloid,colon adenocarcinoma,CYP2C9,39167,0.00037640961818397045,0.00028084867362830954
myeloid,colon adenocarcinoma,CYP3A4,39167,7.262728468049318e-05,7.659509280772079e-05
myeloid,colon adenocarcinoma,DKK1,39167,0.00035222945734858513,0.0003829754640386039
myeloid,colon adenocarcinoma,DUSP1,39167,3.3922433853149414,0.8574310005872291
myeloid,colon adenocarcinoma,ESR1,39167,0.01770518533885479,0.019838129037199684
myeloid,colon adenocarcinoma,F3,39167,0.04514293745160103,0.029004008476523603
myeloid,colon adenocarcinoma,HPGD,39167,0.027211422100663185,0.021395562590956672
myeloid,colon adenocarcinoma,HSPA1A,39167,1.5336048603057861,0.5250848928945285
myeloid,colon adenocarcinoma,IGFBP1,39167,7.677136454731226e-05,7.659509280772079e-05
myeloid,colon adenocarcinoma,IL1A,39167,0.1792515218257904,0.07151428498480863
myeloid,colon adenocarcinoma,MMP2,39167,0.03292139619588852,0.031659305027191255
myeloid,colon adenocarcinoma,MMP9,39167,0.9092473983764648,0.30094211964153494
myeloid,colon adenocarcinoma,NEAT1,39167,4.093334197998047,0.8790052850614037
myeloid,colon adenocarcinoma,NR1I2,39167,0.0011614087270572782,0.0012255214849235326
myeloid,colon adenocarcinoma,NR3C1,39167,0.45034244656562805,0.30666121990451145
myeloid,colon adenocarcinoma,PGR,39167,6.400319398380816e-05,5.106339520514719e-05
myeloid,colon adenocarcinoma,PPARA,39167,0.0727849155664444,0.07031429519748768
myeloid,colon adenocarcinoma,PPARD,39167,0.11788391321897507,0.10912247555339954
myeloid,colon adenocarcinoma,PPARG,39167,0.058591898530721664,0.05073148313631373
myeloid,colon adenocarcinoma,PTGER2,39167,0.10492485761642456,0.08216100288508182
myeloid,colon adenocarcinoma,PTGER4,39167,0.3041919767856598,0.21873005336124798
myeloid,colon adenocarcinoma,PTGES2,39167,0.24605515599250793,0.2044833660990119
myeloid,colon adenocarcinoma,PTGS1,39167,0.2361772358417511,0.19766640283912476
myeloid,colon adenocarcinoma,PTGS2,39167,0.7235339283943176,0.2722955549314474
myeloid,colon adenocarcinoma,RELA,39167,0.1729714274406433,0.15147956187606915
myeloid,colon adenocarcinoma,RXRA,39167,0.290591299533844,0.21701942962187556
myeloid,colon adenocarcinoma,SELE,39167,0.0009183890069834888,0.0006638241376669135
myeloid,colon adenocarcinoma,SIRT1,39167,0.10707880556583405,0.09464600301274032
myeloid,colon adenocarcinoma,SQSTM1,39167,1.0031739473342896,0.5110424592131131
myeloid,colon adenocarcinoma,STAT3,39167,0.6030564308166504,0.38887328618479844
myeloid,colon adenocarcinoma,TIMP1,39167,2.4089479446411133,0.6964281155054
myeloid,colon adenocarcinoma,TIMP2,39167,1.00128972530365,0.4776725304465494
myeloid,normal,AKR1C3,2947,0.016583453863859177,0.009501187648456057
myeloid,normal,ATG5,2947,0.15454734861850739,0.1011197828299966
myeloid,normal,BECN1,2947,0.23344601690769196,0.14794706481167288
myeloid,normal,CA9,2947,0.0,0.0
myeloid,normal,CCL20,2947,0.06638871878385544,0.02477095351204615
myeloid,normal,CRP,2947,0.0,0.0
myeloid,normal,CXCR4,2947,1.5109546184539795,0.49338310145911096
myeloid,normal,CYP1A2,2947,0.0,0.0
myeloid,normal,CYP2C9,2947,0.0006691557355225086,0.00033932813030200206
myeloid,normal,CYP3A4,2947,0.00026639463612809777,0.00033932813030200206
myeloid,normal,DKK1,2947,0.0003241784870624542,0.00033932813030200206
myeloid,normal,DUSP1,2947,2.6923162937164307,0.7108924329826942
myeloid,normal,ESR1,2947,0.008019712753593922,0.005429250084832033
myeloid,normal,F3,2947,0.011135522276163101,0.007125890736342043
myeloid,normal,HPGD,2947,0.026626933366060257,0.013912453342382083
myeloid,normal,HSPA1A,2947,0.9333479404449463,0.3586698337292161
myeloid,normal,IGFBP1,2947,0.0,0.0
myeloid,normal,IL1A,2947,0.007411921862512827,0.004411265693926026
myeloid,normal,MMP2,2947,0.011715560220181942,0.00848320325755005
myeloid,normal,MMP9,2947,0.1759098619222641,0.06447234475738038
myeloid,normal,NEAT1,2947,2.7356534004211426,0.7071598235493722
myeloid,normal,NR1I2,2947,0.0013968473067507148,0.0006786562606040041
myeloid,normal,NR3C1,2947,0.34047409892082214,0.20359687818120123
myeloid,normal,PGR,2947,0.001120581990107894,0.00033932813030200206
myeloid,normal,PPARA,2947,0.05538354441523552,0.037326094333220226
myeloid,normal,PPARD,2947,0.033857885748147964,0.024431625381744145
myeloid,normal,PPARG,2947,0.010491626337170601,0.006447234475738039
myeloid,normal,PTGER2,2947,0.1407022327184677,0.08754665761791652
myeloid,normal,PTGER4,2947,0.25019311904907227,0.15100101798439092
myeloid,normal,PTGES2,2947,0.24604254961013794,0.1516796742449949
myeloid,normal,PTGS1,2947,0.14596016705036163,0.09602986087546658
myeloid,normal,PTGS2,2947,0.3284238874912262,0.164234815066169
myeloid,normal,RELA,2947,0.10855381190776825,0.07533084492704445
myeloid,normal,RXRA,2947,0.21452024579048157,0.12792670512385476
myeloid,normal,SELE,2947,0.0,0.0
myeloid,normal,SIRT1,2947,0.14365020394325256,0.09060061079063454
myeloid,normal,SQSTM1,2947,0.6608726978302002,0.340006786562606
myeloid,normal,STAT3,2947,0.3734508156776428,0.22701051917203935
myeloid,normal,TIMP1,2947,1.5436341762542725,0.5432643366135053
myeloid,normal,TIMP2,2947,0.5768377184867859,0.28944689514760774
