donor_id,group,compartment,subtype,program_score,sd_cell_score,n_cells
C150,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.1273033297667608,0.12330566506187768,1767
C150,colon adenocarcinoma,myeloid,dendritic,0.054589902901128126,0.18513054811656465,23
C150,colon adenocarcinoma,myeloid,granulocyte,-0.11010104883755915,0.1214403649509638,9
C150,colon adenocarcinoma,myeloid,macrophage,0.11229226333520541,0.1990065152800684,99
C150,colon adenocarcinoma,myeloid,monocyte,0.06435023096817508,0.16328323671317022,66
C151,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.11685056784733261,,1
C151,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.010275512386988645,0.18084431862414352,328
C151,colon adenocarcinoma,myeloid,dendritic,-0.21685830422990807,,1
C151,colon adenocarcinoma,myeloid,granulocyte,-0.05282060832524974,0.1588647652765858,8
C151,colon adenocarcinoma,myeloid,macrophage,0.01207693129062052,0.20032179056453586,8
C151,colon adenocarcinoma,myeloid,monocyte,0.18744724499826773,0.24406168775669856,27
C151,normal,epithelial,normal_epithelial,-0.02749682290612026,0.1874609696773871,2616
C151,normal,myeloid,dendritic,-0.11229987871912309,0.11905831124261965,13
C151,normal,myeloid,macrophage,-0.0866391014727118,0.1710135707818002,16
C151,normal,myeloid,monocyte,-0.020012267724171973,0.15256042427232364,32
C152,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.04716907152274531,0.1865842656491686,164
C152,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.10544689954918976,0.14433704028032054,913
C152,colon adenocarcinoma,myeloid,dendritic,0.06295026999474501,0.20314856266698023,18
C152,colon adenocarcinoma,myeloid,macrophage,0.0693525205212612,0.19878118320114235,76
C152,colon adenocarcinoma,myeloid,monocyte,0.009246057668460872,0.1459262616503237,50
C152,normal,epithelial,normal_epithelial,-0.07300669270553438,0.19283370800921715,1226
C152,normal,myeloid,dendritic,0.31246017820411803,,1
C152,normal,myeloid,monocyte,0.1799545609753716,0.10644427592269062,2
C153,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.19980931982737438,0.12401796771657446,24
C153,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.14443292338324887,0.16256090423639075,2590
C153,colon adenocarcinoma,myeloid,dendritic,-0.05712999786915904,0.16934961043397365,143
C153,colon adenocarcinoma,myeloid,granulocyte,-0.12884502372777784,0.26945043873688596,2
C153,colon adenocarcinoma,myeloid,macrophage,0.03569703657195272,0.18743000536538226,459
C153,colon adenocarcinoma,myeloid,monocyte,0.017638647221825773,0.18304807959111907,192
C154,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.012249463937888028,0.16372216989528277,41
C154,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.024845436755973435,0.15095675727158123,1870
C154,colon adenocarcinoma,myeloid,dendritic,0.13170212907474055,0.14868876638351178,49
C154,colon adenocarcinoma,myeloid,macrophage,0.2899614897546108,0.21379691477736282,67
C154,colon adenocarcinoma,myeloid,monocyte,0.34763821337479744,0.2750274951217053,63
C155,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.0037645749560219466,0.17475190498159598,103
C155,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.05340060992993081,0.1617505002809407,1351
C155,colon adenocarcinoma,myeloid,dendritic,0.08729882761029803,0.1790592580415832,46
C155,colon adenocarcinoma,myeloid,granulocyte,0.17711740441010176,0.22614279603685036,40
C155,colon adenocarcinoma,myeloid,macrophage,0.3548466075366066,0.2543574136751352,178
C155,colon adenocarcinoma,myeloid,monocyte,0.3362158531211563,0.2025581241642941,92
C155,normal,epithelial,normal_epithelial,-0.020497033873453203,0.2070872652179153,1719
C155,normal,myeloid,dendritic,-0.03938363897430537,0.14431671085686654,11
C155,normal,myeloid,macrophage,0.0880850660877976,0.21104353132098091,8
C155,normal,myeloid,monocyte,0.062438313037528226,0.174870348693781,14
C156,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.007719537859413378,0.24347695394906246,72
C156,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.0050431870094284495,0.4209900584683121,568
C156,colon adenocarcinoma,myeloid,dendritic,0.08180013353714759,0.20983136419328252,94
C156,colon adenocarcinoma,myeloid,granulocyte,-0.09229277210735808,0.20368839759824084,3
C156,colon adenocarcinoma,myeloid,macrophage,0.05359680941943817,0.3168252145477685,185
C156,colon adenocarcinoma,myeloid,monocyte,0.17209922499580677,0.2592372310751179,71
C157,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.07146879679524823,0.19911541547480802,545
C157,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.020590662008500165,0.13879676452520712,1985
C157,colon adenocarcinoma,myeloid,dendritic,0.15598169967588152,0.15007506764276538,55
C157,colon adenocarcinoma,myeloid,granulocyte,0.262696212187765,0.25317976529477226,6
C157,colon adenocarcinoma,myeloid,macrophage,0.35638371342156827,0.21408585732298202,632
C157,colon adenocarcinoma,myeloid,monocyte,0.33251430050453556,0.19394148307901665,82
C157,normal,epithelial,normal_epithelial,0.09541223123081176,0.21964107390279217,2024
C157,normal,myeloid,dendritic,0.08390440022900665,0.17913093542448946,29
C157,normal,myeloid,macrophage,0.17846306415610272,0.23876606484775537,74
C157,normal,myeloid,monocyte,0.18521321774966004,0.14100871730323875,12
C158,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.03503815423212092,0.025901564774530945,2
C158,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.0007826749711088106,0.15905856005984187,813
C158,colon adenocarcinoma,myeloid,dendritic,0.0950648048816437,0.22187672567541272,85
C158,colon adenocarcinoma,myeloid,granulocyte,0.27842800281378405,0.238604669991726,131
C158,colon adenocarcinoma,myeloid,macrophage,0.39010830973612676,0.2255074068069897,505
C158,colon adenocarcinoma,myeloid,monocyte,0.3857342355329022,0.22858430366995447,414
C159,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.004648202032718148,0.17853957303012585,17
C159,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.028909328953868305,0.1762673474611781,967
C159,colon adenocarcinoma,myeloid,dendritic,0.1379859718309274,0.15358088859591906,48
C159,colon adenocarcinoma,myeloid,granulocyte,0.36402101301418843,0.2722503133436748,19
C159,colon adenocarcinoma,myeloid,macrophage,0.36903221185385027,0.2515164785490281,243
C159,colon adenocarcinoma,myeloid,monocyte,0.32462699373601434,0.23994017007531773,115
C160,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.09733256876853685,0.20023170066479712,82
C160,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.09201833935742991,0.20514526083852377,2191
C160,colon adenocarcinoma,myeloid,dendritic,0.19122990129821754,0.1668179766274039,37
C160,colon adenocarcinoma,myeloid,granulocyte,0.27546319168461314,0.3045203989507365,5
C160,colon adenocarcinoma,myeloid,macrophage,0.3357794291975123,0.2184851037544285,326
C160,colon adenocarcinoma,myeloid,monocyte,0.46014217331986745,0.25857820003147247,168
C161,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.16934846277722718,0.16832601186280438,64
C161,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.011948435916570027,0.1528645323839143,2360
C161,colon adenocarcinoma,myeloid,dendritic,0.12483898315333758,0.18546716172742617,94
C161,colon adenocarcinoma,myeloid,macrophage,0.31091822330194013,0.18616571998601414,176
C161,colon adenocarcinoma,myeloid,monocyte,0.25343196795357775,0.16849846126533027,123
C162,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.055375128283877785,0.1587871343842208,1004
C162,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.030626657950495573,0.12884877981761403,7402
C162,colon adenocarcinoma,myeloid,dendritic,0.05236167153634394,0.1848384493778992,219
C162,colon adenocarcinoma,myeloid,granulocyte,0.05914077583569629,0.3751437632355689,7
C162,colon adenocarcinoma,myeloid,macrophage,0.21176922150054703,0.23182735831324833,1531
C162,colon adenocarcinoma,myeloid,monocyte,0.18558412787221473,0.23369509123583695,691
C162,normal,epithelial,normal_epithelial,-0.05504350556432786,0.1625825346356009,973
C162,normal,myeloid,dendritic,-0.02603768402379155,0.19950693836646563,115
C162,normal,myeloid,macrophage,0.024414785481915703,0.2148439552940249,128
C162,normal,myeloid,monocyte,0.06366370938636993,0.19720301101143264,30
C163,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.040967139726139655,0.21674485975369467,197
C163,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.0033284262665976973,0.17466968079952705,2019
C163,colon adenocarcinoma,myeloid,dendritic,0.13553149848790355,0.2404174382263504,55
C163,colon adenocarcinoma,myeloid,granulocyte,0.0825889205086857,0.23331261039076698,3
C163,colon adenocarcinoma,myeloid,macrophage,0.27990210342009875,0.28952306027430275,86
C163,colon adenocarcinoma,myeloid,monocyte,0.39202320658728196,0.29054077217840124,47
C164,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.1048487198326425,0.2788125580099302,90
C164,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.07106890277401612,0.27486310841676687,1483
C164,colon adenocarcinoma,myeloid,dendritic,0.11329192032694325,0.11800296078694955,18
C164,colon adenocarcinoma,myeloid,macrophage,0.22564565590276567,0.30161312794037176,110
C164,colon adenocarcinoma,myeloid,monocyte,0.40473499991872447,0.18567628209555084,103
C165,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.02336699909122459,0.07635619803458729,8
C165,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.0031101123604771706,0.08637517039429793,1092
C165,colon adenocarcinoma,myeloid,dendritic,0.09633759836330703,0.10712174789637331,29
C165,colon adenocarcinoma,myeloid,granulocyte,0.12986498436918553,0.2184474811925073,80
C165,colon adenocarcinoma,myeloid,macrophage,0.23983256121481614,0.17127410878033514,692
C165,colon adenocarcinoma,myeloid,monocyte,0.32772554580754554,0.23687768930351377,719
C165,normal,epithelial,normal_epithelial,0.012422172760616119,0.21298976139634043,390
C165,normal,myeloid,dendritic,-0.09202665276952347,0.2455885388139326,42
C165,normal,myeloid,macrophage,0.025415676813942054,0.23918431939504237,33
C165,normal,myeloid,monocyte,0.09448194560652336,0.23300601207780294,41
C166,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.011264306767407854,0.2001557253264994,31
C166,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.010825299267936569,0.13750531161442484,4699
C166,colon adenocarcinoma,myeloid,dendritic,0.16639548198521684,0.15118731911589245,18
C166,colon adenocarcinoma,myeloid,granulocyte,0.3095972519894052,,1
C166,colon adenocarcinoma,myeloid,macrophage,0.31947974605341944,0.2128603671451175,114
C166,colon adenocarcinoma,myeloid,monocyte,0.3534279326133172,0.3023460999400907,148
C167,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.05139951885636141,0.19123404626051402,286
C167,colon adenocarcinoma,myeloid,dendritic,0.038396055377579036,0.28452052025776836,30
C167,colon adenocarcinoma,myeloid,granulocyte,0.0972001318258132,0.23081312098123435,30
C167,colon adenocarcinoma,myeloid,macrophage,-0.035667547823611596,0.3043514979151548,155
C167,colon adenocarcinoma,myeloid,monocyte,0.23627289323674508,0.26081560905060075,77
C168,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.0025952941876922196,0.16467330908723835,766
C168,colon adenocarcinoma,myeloid,dendritic,0.10582926032442218,0.1548340790900531,37
C168,colon adenocarcinoma,myeloid,macrophage,0.37409239393827526,0.17173471952583938,421
C168,colon adenocarcinoma,myeloid,monocyte,0.45627344829651845,0.26796489353722164,238
C169,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.16713886222656305,0.253544190543533,6
C169,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.0015347934208569888,0.2577511207895096,631
C169,colon adenocarcinoma,myeloid,dendritic,0.10068794375349871,0.22778665875189655,27
C169,colon adenocarcinoma,myeloid,granulocyte,0.17017719123444966,0.22911986016251534,21
C169,colon adenocarcinoma,myeloid,macrophage,0.21578693651856456,0.3211415260258147,139
C169,colon adenocarcinoma,myeloid,monocyte,0.4217203949304735,0.29370085346019953,279
C170,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.16707654846133077,0.17405224901098634,11
C170,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.023510484695565728,0.18090326789095076,3713
C170,colon adenocarcinoma,myeloid,dendritic,0.1028703084700475,0.18782630004241962,153
C170,colon adenocarcinoma,myeloid,granulocyte,0.1379461667412134,0.2261382774305074,1099
C170,colon adenocarcinoma,myeloid,macrophage,0.3479467641689661,0.23103756972324221,1048
C170,colon adenocarcinoma,myeloid,monocyte,0.5128159966107967,0.3316913057259963,894
C170,normal,epithelial,normal_epithelial,-0.06431932309806195,0.15919953989194782,208
C170,normal,myeloid,dendritic,-0.06440804057171653,0.1732422682730841,13
C170,normal,myeloid,macrophage,0.08722476492786353,0.30728047857072033,16
C170,normal,myeloid,monocyte,0.10082937621659377,0.1394639399263027,15
C171,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.04159191337879762,0.1588393392011865,126
C171,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.006471582980225335,0.14930597199955942,4739
C171,colon adenocarcinoma,myeloid,dendritic,0.04746621721704529,0.1858672213593955,176
C171,colon adenocarcinoma,myeloid,granulocyte,0.06880961268357029,0.2166846653041244,2
C171,colon adenocarcinoma,myeloid,macrophage,0.26781121877492575,0.24783865157537255,318
C171,colon adenocarcinoma,myeloid,monocyte,0.25417683270411084,0.19846609874753907,126
C172,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.13346438630538937,0.22155631557341243,9
C172,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.15613720825403857,0.19738281550300307,365
C172,colon adenocarcinoma,myeloid,dendritic,0.10340256700053853,0.1655683295121799,31
C172,colon adenocarcinoma,myeloid,granulocyte,0.1439409151209016,0.13734112154857017,21
C172,colon adenocarcinoma,myeloid,macrophage,0.2108983844733559,0.232244802820786,290
C172,colon adenocarcinoma,myeloid,monocyte,0.2948231685843485,0.24054113723093937,112
C173,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.12564798117158624,0.13466874075076196,3
C173,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.03390031016444965,0.16864653159153226,996
C173,colon adenocarcinoma,myeloid,dendritic,0.08126849484523983,0.19143546693188546,25
C173,colon adenocarcinoma,myeloid,granulocyte,0.16988138719625587,0.2420721482700209,34
C173,colon adenocarcinoma,myeloid,macrophage,0.25058911070244416,0.21314984771032855,194
C173,colon adenocarcinoma,myeloid,monocyte,0.33751709301778965,0.28649837745218887,156
