contrast,family,target,donor_id,tumor_score,normal_score,tumor_minus_normal
myeloid tumor vs normal,compartment,myeloid,C140,0.027804647853358254,-0.12910693365070203,0.1569115815040603
myeloid tumor vs normal,compartment,myeloid,C142,-0.053027774892605115,-0.14584452063352674,0.09281674574092162
myeloid tumor vs normal,compartment,myeloid,C143,0.017257959005910692,-0.1765371310136823,0.193795090019593
myeloid tumor vs normal,compartment,myeloid,C151,-0.01753868406656739,-0.07298374930533562,0.05544506523876823
myeloid tumor vs normal,compartment,myeloid,C152,0.047182949394822364,0.24620736958974482,-0.19902442019492245
myeloid tumor vs normal,compartment,myeloid,C155,0.23886967316954066,0.03704658005034015,0.20182309311920052
myeloid tumor vs normal,compartment,myeloid,C157,0.2768939814474376,0.14919356071158982,0.12770042073584778
myeloid tumor vs normal,compartment,myeloid,C162,0.1272139491862005,0.02068027028149803,0.10653367890470246
myeloid tumor vs normal,compartment,myeloid,C165,0.19844017243871356,0.009290323216980645,0.18914984922173292
myeloid tumor vs normal,compartment,myeloid,C170,0.2753948089977559,0.04121536685758025,0.23417944214017566
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C106,-0.10066555775421361,-0.044627806633634415,-0.056037751120579196
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C107,0.007149665993595694,-0.1315209645852278,0.1386706305788235
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C109,-0.13094555554387355,-0.06508713652954085,-0.0658584190143327
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C110,-0.005656197778254406,-0.06578320109108561,0.060127003312831204
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C111,-0.022966009074433597,-0.0015703728181723645,-0.021395636256261234
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C112,-0.15595121927960265,-0.028833835869564384,-0.12711738341003825
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C113,-0.10277809665307895,-0.12473508815525206,0.021956991502173104
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C114,-0.06236520583544543,-0.03528208735097346,-0.027083118484471966
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C115,-0.06898714185189582,-0.07714546769368376,0.008158325841787939
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C116,-0.10104839442012942,-0.06425162852572518,-0.03679676589440424
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C119,-0.14026750860874485,0.05150213959868433,-0.19176964820742917
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C122,-0.05477936172486226,-0.07293883317782279,0.018159471452960534
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C123,-0.10131264010493576,-0.11490066392620844,0.01358802382127268
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C124,-0.0624454838282264,0.005310165462285105,-0.0677556492905115
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C125,-0.03305184652457657,-0.09478219139323958,0.06173034486866301
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C126,0.006669588686823872,-0.06172092136814923,0.0683905100549731
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C129,-0.06562854790385703,-0.15239684954485358,0.08676830164099655
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C130,-0.03424477792424032,-0.11657966089714843,0.08233488297290811
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C132,-0.05011031070429786,-0.2068952676840646,0.15678495697976674
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C133,0.0657394911739758,-0.0013183562573512377,0.06705784743132705
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C134,-0.10736535529436642,0.04275414667708218,-0.1501195019714486
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C135,-0.13923254452448316,-0.10848419151050871,-0.030748353013974453
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C136,-0.059321743218523564,-0.09489869340769812,0.035576950189174554
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C137,-0.06743611346233351,-0.07627613957821482,0.008840026115881305
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C138,-0.10883469858492266,0.012295079658385664,-0.12112977824330833
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C139,0.02138218002769678,-0.09157311149236633,0.1129552915200631
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C140,-0.11013154443084189,-0.16911034352861964,0.05897879909777776
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C142,-0.04909907671387407,-0.08323490763303991,0.03413583091916584
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C143,-0.07609855044137678,-0.11870795988655247,0.04260940944517569
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C151,-0.010275512386988645,-0.02749682290612026,0.017221310519131616
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C152,-0.10544689954918976,-0.07300669270553438,-0.03244020684365538
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C155,-0.05340060992993081,-0.020497033873453203,-0.032903576056477604
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C157,0.020590662008500165,0.09541223123081176,-0.07482156922231159
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C162,-0.030626657950495573,-0.05504350556432786,0.02441684761383229
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C165,0.0031101123604771706,0.012422172760616119,-0.009312060400138948
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,C170,-0.023510484695565728,-0.06431932309806195,0.04080883840249622
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C106,-0.06651109767992729,-0.044627806633634415,-0.02188329104629287
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C107,-0.05462117988863628,-0.1315209645852278,0.07689978469659152
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C109,-0.22806014601630645,-0.06508713652954085,-0.1629730094867656
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C110,-0.08836503797423219,-0.06578320109108561,-0.022581836883146578
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C111,-0.11514670785097043,-0.0015703728181723645,-0.11357633503279807
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C112,-0.09838147964388377,-0.028833835869564384,-0.06954764377431939
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C113,-0.06014292859182676,-0.12473508815525206,0.06459215956342529
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C114,-0.07377635518291165,-0.03528208735097346,-0.038494267831938184
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C115,-0.14370093426200872,-0.07714546769368376,-0.06655546656832496
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C116,-0.12138555590735782,-0.06425162852572518,-0.05713392738163264
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C119,-0.17635666122846513,0.05150213959868433,-0.22785880082714946
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C122,-0.006157894447783614,-0.07293883317782279,0.06678093873003918
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C123,-0.06625197045425968,-0.11490066392620844,0.048648693471948765
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C124,-0.06034835004609556,0.005310165462285105,-0.06565851550838067
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C125,-0.08840856288764154,-0.09478219139323958,0.006373628505598042
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C126,-0.11842852482216173,-0.06172092136814923,-0.0567076034540125
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C129,-0.047355191873387444,-0.15239684954485358,0.10504165767146614
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C130,-0.1505320462313612,-0.11657966089714843,-0.033952385334212784
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C132,-0.11138696928372296,-0.2068952676840646,0.09550829840034164
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C133,-0.13056912685475836,-0.0013183562573512377,-0.1292507705974071
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C134,-0.056143965057801636,0.04275414667708218,-0.09889811173488382
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C135,-0.22005479013476026,-0.10848419151050871,-0.11157059862425155
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C136,-0.23952045886837053,-0.09489869340769812,-0.1446217654606724
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C137,-0.3718026725443905,-0.07627613957821482,-0.29552653296617565
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C138,-0.08891517706676898,0.012295079658385664,-0.10121025672515464
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C139,-0.02185155658715211,-0.09157311149236633,0.06972155490521421
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C140,-0.11782048424020068,-0.16911034352861964,0.05128985928841896
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C142,0.023435732551222048,-0.08323490763303991,0.10667064018426195
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C143,-0.2328688679153151,-0.11870795988655247,-0.11416090802876264
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C151,-0.11685056784733261,-0.02749682290612026,-0.08935374494121234
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C152,-0.04716907152274531,-0.07300669270553438,0.025837621182789067
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C155,-0.0037645749560219466,-0.020497033873453203,0.016732458917431258
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C157,0.07146879679524823,0.09541223123081176,-0.02394343443556353
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C162,-0.055375128283877785,-0.05504350556432786,-0.0003316227195499233
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C165,-0.02336699909122459,0.012422172760616119,-0.03578917185184071
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,C170,-0.16707654846133077,-0.06431932309806195,-0.10275722536326883
macrophage tumor vs normal,subtype,macrophage,C106,-0.024324961220251642,-0.24213148839503076,0.2178065271747791
macrophage tumor vs normal,subtype,macrophage,C107,0.06421430156065874,0.00021045314706011342,0.06400384841359863
macrophage tumor vs normal,subtype,macrophage,C109,0.06027996594440658,-0.30784487370639174,0.36812483965079834
macrophage tumor vs normal,subtype,macrophage,C110,0.13493683357655473,-0.2573554589294719,0.39229229250602665
macrophage tumor vs normal,subtype,macrophage,C111,0.1574344293203453,-0.17780136717917744,0.33523579649952273
macrophage tumor vs normal,subtype,macrophage,C112,0.1035696401086851,-0.04131014538422579,0.1448797854929109
macrophage tumor vs normal,subtype,macrophage,C113,-0.12741257408673673,-0.28934767725300414,0.1619351031662674
macrophage tumor vs normal,subtype,macrophage,C114,-0.05488376177293713,-0.16753705838670674,0.1126532966137696
macrophage tumor vs normal,subtype,macrophage,C115,0.09167449297420514,-0.06472033476313897,0.15639482773734412
macrophage tumor vs normal,subtype,macrophage,C116,-0.0005310850951181987,0.008071055510087131,-0.00860214060520533
macrophage tumor vs normal,subtype,macrophage,C119,0.014836633690207502,-0.09566038023448498,0.11049701392469248
macrophage tumor vs normal,subtype,macrophage,C122,-0.03824233083892524,-0.18230776452440778,0.14406543368548252
macrophage tumor vs normal,subtype,macrophage,C123,0.07125871099945219,-0.18849270326519077,0.259751414264643
macrophage tumor vs normal,subtype,macrophage,C124,0.10764696523557651,0.04951446160601669,0.05813250362955982
macrophage tumor vs normal,subtype,macrophage,C125,0.0976977921104703,-0.013343607804503117,0.11104139991497342
macrophage tumor vs normal,subtype,macrophage,C126,0.1262889573567508,-0.055781330937210834,0.18207028829396163
macrophage tumor vs normal,subtype,macrophage,C129,0.06715882697246688,-0.07250066163093795,0.13965948860340482
macrophage tumor vs normal,subtype,macrophage,C130,0.09377905514373645,-0.0190868561881601,0.11286591133189655
macrophage tumor vs normal,subtype,macrophage,C132,0.12301428593063558,-0.35565076320450884,0.4786650491351444
macrophage tumor vs normal,subtype,macrophage,C133,0.15859283146805278,0.1738804870417856,-0.015287655573732822
macrophage tumor vs normal,subtype,macrophage,C134,-0.003070776726534074,0.03887238557410172,-0.04194316230063579
macrophage tumor vs normal,subtype,macrophage,C135,0.038738384707985817,-0.04662278365575738,0.08536116836374319
macrophage tumor vs normal,subtype,macrophage,C136,0.1362155875996102,0.026200816086769798,0.11001477151284039
macrophage tumor vs normal,subtype,macrophage,C137,0.12327091433949942,-0.02800346152253141,0.15127437586203082
macrophage tumor vs normal,subtype,macrophage,C138,0.13003767049782528,-0.12238424523178026,0.25242191572960554
macrophage tumor vs normal,subtype,macrophage,C139,-0.015354671324390662,-0.07299923616983442,0.05764456484544376
macrophage tumor vs normal,subtype,macrophage,C140,0.07531253682306847,-0.20241524434320832,0.2777277811662768
macrophage tumor vs normal,subtype,macrophage,C142,-0.0593887315072269,-0.1569292463142064,0.0975405148069795
macrophage tumor vs normal,subtype,macrophage,C143,0.0749674745965791,-0.16086817447923263,0.23583564907581173
macrophage tumor vs normal,subtype,macrophage,C151,0.01207693129062052,-0.0866391014727118,0.09871603276333232
macrophage tumor vs normal,subtype,macrophage,C155,0.3548466075366066,0.0880850660877976,0.266761541448809
macrophage tumor vs normal,subtype,macrophage,C157,0.35638371342156827,0.17846306415610272,0.17792064926546555
macrophage tumor vs normal,subtype,macrophage,C162,0.21176922150054703,0.024414785481915703,0.18735443601863133
macrophage tumor vs normal,subtype,macrophage,C165,0.23983256121481614,0.025415676813942054,0.21441688440087409
macrophage tumor vs normal,subtype,macrophage,C170,0.3479467641689661,0.08722476492786353,0.26072199924110256
monocyte tumor vs normal,subtype,monocyte,C106,0.06858335661670806,0.015410243137110508,0.05317311347959755
monocyte tumor vs normal,subtype,monocyte,C107,0.15280038077456395,0.08797869094239887,0.06482168983216509
monocyte tumor vs normal,subtype,monocyte,C109,0.08994816201485514,-0.002453450680518477,0.09240161269537361
monocyte tumor vs normal,subtype,monocyte,C110,0.2420721145639775,-0.0788878529616012,0.3209599675255787
monocyte tumor vs normal,subtype,monocyte,C111,0.2421621169590151,0.06628063381023651,0.1758814831487786
monocyte tumor vs normal,subtype,monocyte,C112,0.12649461293946876,-0.10974389605692025,0.236238508996389
monocyte tumor vs normal,subtype,monocyte,C113,0.05480339183933584,-0.04828269045645841,0.10308608229579425
monocyte tumor vs normal,subtype,monocyte,C114,0.03340676039545776,0.09088646229957592,-0.05747970190411816
monocyte tumor vs normal,subtype,monocyte,C115,0.20409230032079437,0.012965111570624192,0.19112718875017018
monocyte tumor vs normal,subtype,monocyte,C116,-0.0019819154225737007,0.11417027919024457,-0.11615219461281827
monocyte tumor vs normal,subtype,monocyte,C122,0.11557921821698272,-0.05109858102792725,0.16667779924490997
monocyte tumor vs normal,subtype,monocyte,C123,0.06075298883259653,-0.16454859598110116,0.2253015848136977
monocyte tumor vs normal,subtype,monocyte,C124,0.10073274460794189,0.09375203683538719,0.006980707772554703
monocyte tumor vs normal,subtype,monocyte,C125,0.051044859719598296,-0.0062846488392888445,0.05732950855888714
monocyte tumor vs normal,subtype,monocyte,C126,0.1315284877821289,0.10298864031684142,0.02853984746528747
monocyte tumor vs normal,subtype,monocyte,C129,0.012916631645832097,-0.07772161474828619,0.09063824639411829
monocyte tumor vs normal,subtype,monocyte,C130,0.126528820760504,0.13794030642354735,-0.011411485663043341
monocyte tumor vs normal,subtype,monocyte,C133,0.12209346168411198,0.1892083993911657,-0.06711493770705373
monocyte tumor vs normal,subtype,monocyte,C134,0.23960746834802316,0.10071336767637112,0.13889410067165203
monocyte tumor vs normal,subtype,monocyte,C136,0.07618580831041442,0.07276290545005243,0.0034229028603619954
monocyte tumor vs normal,subtype,monocyte,C137,0.23394718407022977,0.013853773816031943,0.22009341025419782
monocyte tumor vs normal,subtype,monocyte,C138,0.09548101481105771,-0.07349935277347336,0.16898036758453105
monocyte tumor vs normal,subtype,monocyte,C139,0.07581734944392202,-0.028541187252880157,0.10435853669680217
monocyte tumor vs normal,subtype,monocyte,C140,0.07288206162373792,0.049262433500323756,0.023619628123414164
monocyte tumor vs normal,subtype,monocyte,C142,0.034615895116764266,-0.0712810477654574,0.10589694288222168
monocyte tumor vs normal,subtype,monocyte,C143,0.10495424454782004,-0.15236736328867456,0.2573216078364946
monocyte tumor vs normal,subtype,monocyte,C151,0.18744724499826773,-0.020012267724171973,0.2074595127224397
monocyte tumor vs normal,subtype,monocyte,C152,0.009246057668460872,0.1799545609753716,-0.17070850330691073
monocyte tumor vs normal,subtype,monocyte,C155,0.3362158531211563,0.062438313037528226,0.2737775400836281
monocyte tumor vs normal,subtype,monocyte,C157,0.33251430050453556,0.18521321774966004,0.14730108275487552
monocyte tumor vs normal,subtype,monocyte,C162,0.18558412787221473,0.06366370938636993,0.1219204184858448
monocyte tumor vs normal,subtype,monocyte,C165,0.32772554580754554,0.09448194560652336,0.2332436002010222
monocyte tumor vs normal,subtype,monocyte,C170,0.5128159966107967,0.10082937621659377,0.4119866203942029
dendritic tumor vs normal,subtype,dendritic,C106,0.018100010192476916,-0.13016339728291138,0.1482634074753883
dendritic tumor vs normal,subtype,dendritic,C107,0.04784243684637325,-0.09613053593898457,0.1439729727853578
dendritic tumor vs normal,subtype,dendritic,C110,0.057753115138500705,-0.18278930316394384,0.24054241830244455
dendritic tumor vs normal,subtype,dendritic,C111,0.021661863852632288,-0.15466004569386155,0.17632190954649385
dendritic tumor vs normal,subtype,dendritic,C112,-0.011794311370983433,0.04782401294186356,-0.05961832431284699
dendritic tumor vs normal,subtype,dendritic,C113,-0.05411960490334491,-0.2562194591332314,0.2020998542298865
dendritic tumor vs normal,subtype,dendritic,C114,-0.02779360350108882,-0.14233910944980074,0.11454550594871192
dendritic tumor vs normal,subtype,dendritic,C115,0.05764098822928896,-0.06604387331846241,0.12368486154775138
dendritic tumor vs normal,subtype,dendritic,C116,-0.079500892765356,-0.041754752715483325,-0.03774614004987268
dendritic tumor vs normal,subtype,dendritic,C122,-0.06618096098000134,-0.1433577026750733,0.07717674169507197
dendritic tumor vs normal,subtype,dendritic,C123,-0.011094360113071636,-0.04880041827251845,0.03770605815944682
dendritic tumor vs normal,subtype,dendritic,C124,-0.018944939643440423,0.11572079613222368,-0.1346657357756641
dendritic tumor vs normal,subtype,dendritic,C125,0.012260532697690594,-0.0637197248132073,0.07598025751089789
dendritic tumor vs normal,subtype,dendritic,C126,0.00970136038472948,-0.03437934944191317,0.04408070982664265
dendritic tumor vs normal,subtype,dendritic,C129,-0.020598118802096763,-0.1413139996816236,0.12071588087952682
dendritic tumor vs normal,subtype,dendritic,C130,-0.034036077699630275,0.010056167505960115,-0.044092245205590394
dendritic tumor vs normal,subtype,dendritic,C132,0.1518260850416973,-0.20549434162783747,0.3573204266695348
dendritic tumor vs normal,subtype,dendritic,C133,0.05701878802024386,0.12177066738935384,-0.06475187936910998
dendritic tumor vs normal,subtype,dendritic,C134,-0.046033472639368,0.011742640115832701,-0.057776112755200705
dendritic tumor vs normal,subtype,dendritic,C135,-0.009654867259707253,-0.022074344386949926,0.012419477127242673
dendritic tumor vs normal,subtype,dendritic,C136,0.027859243572257955,0.0005321872957716665,0.027327056276486288
dendritic tumor vs normal,subtype,dendritic,C137,-0.022715471229058,-0.07130908979182585,0.04859361856276785
dendritic tumor vs normal,subtype,dendritic,C138,0.03714208170221738,-0.07260880765615665,0.10975088935837404
dendritic tumor vs normal,subtype,dendritic,C139,-0.07670613641022818,-0.13597877970564287,0.05927264329541469
dendritic tumor vs normal,subtype,dendritic,C140,0.0036840791685049,-0.2341679901092215,0.23785206927772642
dendritic tumor vs normal,subtype,dendritic,C142,-0.0751653344227265,-0.20932326782091637,0.13415793339818988
dendritic tumor vs normal,subtype,dendritic,C143,-0.014048486380581697,-0.21637585527313974,0.20232736889255803
dendritic tumor vs normal,subtype,dendritic,C151,-0.21685830422990807,-0.11229987871912309,-0.10455842551078498
dendritic tumor vs normal,subtype,dendritic,C152,0.06295026999474501,0.31246017820411803,-0.24950990820937302
dendritic tumor vs normal,subtype,dendritic,C155,0.08729882761029803,-0.03938363897430537,0.12668246658460341
dendritic tumor vs normal,subtype,dendritic,C157,0.15598169967588152,0.08390440022900665,0.07207729944687487
dendritic tumor vs normal,subtype,dendritic,C162,0.05236167153634394,-0.02603768402379155,0.0783993555601355
