outcome_id,outcome_name,cycle,available,male_cases,female_cases,male_controls,female_controls,eligible_n,male_eligible_n,female_eligible_n,source_component,source_variables,operational_definition,eligibility_note,source_file(s),unavailability_reason
chronic_bronchitis,Chronic bronchitis,1999-2000,True,88,211,2177,2396,4872,2265,2607,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2001-2002,True,97,194,2431,2672,5394,2528,2866,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2003-2004,True,103,228,2310,2388,5029,2413,2616,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2005-2006,True,108,182,2272,2404,4966,2380,2586,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2007-2008,True,137,238,2770,2781,5926,2907,3019,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2009-2010,True,107,204,2887,3004,6202,2994,3208,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2011-2012,True,99,198,2637,2616,5550,2736,2814,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2013-2014,True,93,227,2660,2781,5761,2753,3008,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2015-2016,True,115,189,2628,2772,5704,2743,2961,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
chronic_bronchitis,Chronic bronchitis,2017-2018,True,169,226,2530,2638,5563,2699,2864,MCQ,MCQ160K,Age >=20. Case: MCQ160K=Yes. Control: MCQ160K=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,1999-2000,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2001-2002,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2003-2004,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2005-2006,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2007-2008,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2009-2010,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2011-2012,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2013-2014,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2015-2016,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
clinically_relevant_depressive_symptoms,Clinically relevant depressive symptoms,2017-2018,False,0,0,0,0,0,0,0,DPQ,PHQ-9 items DPQ010-DPQ090,Age >=20. PHQ-9 total >=10 vs <10 with complete PHQ-9.,Primary audit age >=20 years; source module unavailable or variable absent.,,DPQ depression questionnaire absent locally
congestive_heart_failure,Congestive heart failure,1999-2000,True,89,78,2168,2521,4856,2257,2599,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2001-2002,True,99,88,2424,2776,5387,2523,2864,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2003-2004,True,102,95,2305,2517,5019,2407,2612,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2005-2006,True,106,74,2272,2510,4962,2378,2584,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2007-2008,True,123,94,2766,2927,5910,2889,3021,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2009-2010,True,100,74,2895,3130,6199,2995,3204,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2011-2012,True,90,97,2642,2715,5544,2732,2812,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2013-2014,True,87,95,2666,2913,5761,2753,3008,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2015-2016,True,125,89,2614,2880,5708,2739,2969,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
congestive_heart_failure,Congestive heart failure,2017-2018,True,120,81,2571,2780,5552,2691,2861,MCQ,MCQ160B,Age >=20. Case: MCQ160B=Yes. Control: MCQ160B=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,1999-2000,True,132,71,2124,2520,4847,2256,2591,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2001-2002,True,152,88,2364,2767,5371,2516,2855,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2003-2004,True,169,95,2234,2514,5012,2403,2609,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2005-2006,True,138,62,2235,2518,4953,2373,2580,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2007-2008,True,171,82,2719,2934,5906,2890,3016,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2009-2010,True,179,75,2809,3127,6190,2988,3202,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2011-2012,True,128,68,2600,2742,5538,2728,2810,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2013-2014,True,139,93,2609,2910,5751,2748,3003,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2015-2016,True,159,85,2569,2880,5693,2728,2965,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
coronary_heart_disease,Coronary heart disease,2017-2018,True,193,72,2500,2788,5553,2693,2860,MCQ,MCQ160C,Age >=20. Case: MCQ160C=Yes. Control: MCQ160C=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
emphysema,Emphysema,1999-2000,True,51,44,2214,2565,4874,2265,2609,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
emphysema,Emphysema,2001-2002,True,54,42,2479,2828,5403,2533,2870,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
emphysema,Emphysema,2003-2004,True,72,46,2342,2571,5031,2414,2617,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
emphysema,Emphysema,2005-2006,True,60,38,2319,2553,4970,2379,2591,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
