cycle,cycle_begin_year,laboratory_title,doc_url,data_url,data_file,environmental_domain,catalog_source
2003-2004,2003,Non-dioxin-like Polychlorinated Biphenyls,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28NPB_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28NPB_C.xpt,L28NPB_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L26OPD_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L26OPD_C.xpt,L26OPD_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L26UPP_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L26UPP_C.xpt,L26UPP_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Pesticides - Environmental - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24PP_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24PP_C.xpt,L24PP_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Pesticides - Organochlorine Metabolites - Serum (Surplus),https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28OCP_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28OCP_C.xpt,L28OCP_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Phthalates - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24PH_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24PH_C.xpt,L24PH_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Polyaromatic Hydrocarbons (PAHs) - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.xpt,L31PAH_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Polyfluoroalkyl Chemicals,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24PFC_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24PFC_C.xpt,L24PFC_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L04VOC_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L04VOC_C.xpt,L04VOC_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2005-2006,2005,Brominated Flame Retardants (BFRs) - Pooled Samples,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/BFRPOL_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/BFRPOL_D.xpt,BFRPOL_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Cotinine - Serum,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/COT_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/COT_D.xpt,COT_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Environmental Phenols & Parabens,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/EPH_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/EPH_D.xpt,EPH_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Metals - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/UHM_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/UHM_D.xpt,UHM_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PCBPOL_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PCBPOL_D.xpt,PCBPOL_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/OPD_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/OPD_D.xpt,OPD_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Pesticides - Carbamates & Organophosphorus Metabolites - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/CARB_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/CARB_D.xpt,CARB_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/UPP_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/UPP_D.xpt,UPP_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Pesticides - Environmental - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PP_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PP_D.xpt,PP_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
