database,signature_size,scoring_method,DRUG_NAME,drug_key,background,n_trajectory_values,n_positive_trajectory_values,median_rho,min_rho,max_rho,median_n,median_p
GDSC1,100,weighted,GW441756,GW441756,HCT116,3,0,-0.19369369369369369,-0.23470839260312942,-0.11640587956377428,37.0,0.2506908842056828
GDSC1,100,weighted,Gefitinib,GEFITINIB,HCT116,3,0,-0.07064959696538642,-0.20649596965386435,-0.018492176386913226,37.0,0.6777651499498442
GDSC1,100,weighted,Gemcitabine,GEMCITABINE,HCT116,3,0,-0.2239851187219608,-0.409782251887515,-0.18918918918918917,38.0,0.1764193633497441
GDSC1,100,weighted,Genentech Cpd 10,GENENTECHCPD10,HCT116,3,0,-0.11640587956377428,-0.2164532954006638,-0.04030346135609294,37.0,0.4926470657320496
GDSC1,100,weighted,HG-5-113-01,HG511301,HCT116,3,2,0.07586206896551724,-0.14972191323692993,0.13637374860956616,30.0,0.4724006694910636
GDSC1,100,weighted,HG-5-88-01,HG58801,HCT116,3,3,0.12124582869855395,0.026918798665183537,0.3050055617352614,30.0,0.5233214598378129
GDSC1,100,weighted,HG6-64-1,HG6641,HCT116,3,0,-0.29521690767519465,-0.37842046718576194,-0.14482758620689654,30.0,0.11324061439723034
GDSC1,100,weighted,I-BET-151,IBET151,HCT116,3,0,-0.1817485501696028,-0.30626983258562207,-0.17846591530802056,38.0,0.274800605175872
GDSC1,100,weighted,I-BET-762,IBET762,HCT116,3,1,-0.27335229966808916,-0.2994310099573257,0.10953058321479373,37.0,0.10162727241527407
GDSC1,100,weighted,I-CBP112,ICBP112,HCT116,3,0,-0.2271062271062271,-0.2588522588522589,-0.1684981684981685,27.0,0.2546187040937105
GDSC1,100,weighted,IAP_5620,IAP5620,HCT116,3,0,-0.25790567895831057,-0.34784987416566365,-0.2130430025166867,38.0,0.11798022670247961
GDSC1,100,weighted,IAP_7638,IAP7638,HCT116,3,1,-0.12446657183499286,-0.2785680417259364,0.10787102892366049,37.0,0.4629630815112325
GDSC1,100,weighted,IC-87114,IC87114,HCT116,3,0,-0.3679468942626837,-0.43764817449027965,-0.018492176386913226,37.0,0.0250539609734862
GDSC1,100,weighted,ICL1100013,ICL1100013,HCT116,3,0,-0.15030820293978187,-0.31531531531531526,-0.10360360360360359,37.0,0.3745578964053356
GDSC1,100,weighted,IGFR_3801,IGFR3801,HCT116,3,0,-0.08305066199803042,-0.1366670314038735,-0.04234598971441077,38.0,0.6200958703033606
GDSC1,100,weighted,IMD-0354,IMD0354,HCT116,3,1,-0.12707444286391653,-0.17235656709340916,0.18871503082029395,37.0,0.30769066521128763
GDSC1,100,weighted,IOX2,IOX2,HCT116,3,0,-0.3058321479374111,-0.44589123536491954,-0.0955246744720429,38.0,0.061856979147293656
GDSC1,100,weighted,IPA-3,IPA3,HCT116,3,0,-0.2925472747497219,-0.34282536151279197,-0.16262513904338155,30.0,0.1166931132500915
GDSC1,100,weighted,Idelalisib,IDELALISIB,HCT116,3,1,-0.27927927927927926,-0.3423423423423423,0.04646752015173067,37.0,0.09413504820470893
GDSC1,100,weighted,Ispinesib Mesylate,ISPINESIBMESYLATE,HCT116,3,0,-0.3250355618776671,-0.33712660028449504,-0.0040303461356092935,37.0,0.04965547910807285
GDSC1,100,weighted,JAK1_3715,JAK13715,HCT116,3,1,-0.1283510230878652,-0.2856986541197067,0.01783564941459678,38.0,0.4425091519040889
GDSC1,100,weighted,JAK3_7406,JAK37406,HCT116,3,0,-0.16183389867600392,-0.2287996498522814,-0.16073968705547653,38.0,0.3316954374004725
GDSC1,100,weighted,JNJ38877605,JNJ38877605,HCT116,3,1,-0.10526315789473684,-0.11166429587482217,0.26908487434803224,37.0,0.5105527838986047
GDSC1,100,weighted,JNK Inhibitor VIII,JNKINHIBITORVIII,HCT116,3,0,-0.2283140283140283,-0.46795366795366794,-0.027027027027027032,36.0,0.18047070121657438
GDSC1,100,weighted,JNK-9L,JNK9L,HCT116,3,0,-0.41401557285873186,-0.5208008898776418,-0.15506117908787542,30.0,0.022939131729780775
GDSC1,100,weighted,JQ1,JQ1,HCT116,3,1,-0.37432979538242694,-0.41065762118393695,0.0953058321479374,38.0,0.02059477252502319
GDSC1,100,weighted,JQ12,JQ12,HCT116,3,1,-0.08520578420467186,-0.1604004449388209,0.03626251390433815,30.0,0.654386663517159
GDSC1,100,weighted,JW-7-24-1,JW7241,HCT116,3,1,-0.2413466097676624,-0.31507823613086766,0.005452821242294926,37.0,0.1501394680816527
GDSC1,100,weighted,KIN001-042,KIN001042,HCT116,3,0,-0.19701280227596016,-0.4082503556187766,-0.021100047415836886,37.0,0.2425049046516836
GDSC1,100,weighted,KIN001-236,KIN001236,HCT116,3,1,-0.32788051209103836,-0.3300142247510668,0.04551920341394025,37.0,0.047578550661597996
GDSC1,100,weighted,KIN001-244,KIN001244,HCT116,3,1,-0.30749170222854433,-0.3345187292555713,0.0045045045045045045,37.0,0.06412043966541968
GDSC1,100,weighted,KIN001-260,KIN001260,HCT116,3,1,-0.2996680891417733,-0.30464675201517305,0.04291133238501659,37.0,0.07155942893282057
GDSC1,100,weighted,KIN001-266,KIN001266,HCT116,3,1,-0.2825983878615457,-0.30915125651967756,0.058795637743006154,37.0,0.09012859164427901
GDSC1,100,weighted,KIN001-270,KIN001270,HCT116,3,0,-0.3997155049786628,-0.4027975343764817,-0.12162162162162161,37.0,0.014243252664201261
