dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3,target_gene_total_counts,PPAR_nuclear_receptor_score,PPAR_nuclear_receptor_score_n_genes,RELA_STAT3_score,RELA_STAT3_score_n_genes,DINP_axis_9_gene_score,DINP_axis_9_gene_score_n_genes
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,tumor,epithelial,407,101.0,38.0,85.0,23.0,1.0,112.0,18.0,41.0,177.0,596.0,0.3904439289720027,7,-0.20102554898441735,2,0.2590062672039093,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,normal,epithelial,2335,473.0,346.0,1030.0,253.0,0.0,609.0,319.0,235.0,607.0,3872.0,0.20737054105097738,7,-1.373568591640872,2,-0.14394926621387802,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,tumor,epithelial,220,57.0,57.0,101.0,23.0,1.0,63.0,19.0,35.0,137.0,493.0,0.43567691076228654,7,-0.2700683328825501,2,0.2788446343967673,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C126,C126,normal,epithelial,2018,797.0,458.0,1334.0,353.0,4.0,564.0,437.0,233.0,1046.0,5226.0,0.4604748449160764,7,-1.3483222226621168,2,0.05851994100981122,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C126,C126,tumor,epithelial,120,20.0,30.0,24.0,3.0,0.0,24.0,3.0,18.0,74.0,196.0,-0.04283779114316318,7,0.5267229133996543,2,0.08373125431079624,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C129,C129,normal,epithelial,706,48.0,33.0,103.0,16.0,0.0,107.0,22.0,53.0,113.0,495.0,0.10323477980281723,7,-0.09721539450078698,2,0.058690296624238525,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C129,C129,tumor,epithelial,555,91.0,54.0,114.0,43.0,2.0,127.0,19.0,69.0,257.0,776.0,0.37905917180415793,7,0.2784051879830858,2,0.3566916198439197,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C130,C130,normal,epithelial,1006,217.0,117.0,437.0,57.0,1.0,268.0,127.0,140.0,357.0,1721.0,0.41046544155260234,7,-0.5769295681390059,2,0.1910443282878005,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C130,C130,tumor,epithelial,233,25.0,34.0,47.0,10.0,0.0,53.0,4.0,34.0,106.0,313.0,-0.0054264814377243875,7,0.5519060738542788,2,0.11842519751605411,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C132,C132,normal,epithelial,455,18.0,5.0,46.0,4.0,0.0,35.0,19.0,9.0,52.0,188.0,0.04971832623991634,7,-0.7455022877775047,2,-0.126997365763955,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C132,C132,tumor,epithelial,19,4.0,8.0,29.0,6.0,0.0,8.0,1.0,7.0,19.0,82.0,0.015349383215780475,7,-0.34238337120773077,2,-0.06414678443388869,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C133,C133,normal,epithelial,534,90.0,129.0,120.0,73.0,4.0,119.0,41.0,43.0,204.0,823.0,0.5160901413314468,7,-0.8173234425317769,2,0.2197760115840637,9
