ChemicalID,ChemicalName,canonical_name,synonyms,CasRN,PubChemCID,DTXSID,chemical_class,entity_type,parent_compound,metabolite_of,exposure_family
C034171,di-n-pentyl phthalate,di n pentyl phthalate,di-n-pentyl phthalate;131-18-0;phthalate;plasticizer,131-18-0,CID:8561,DTXSID5031131,phthalates,phthalate parent or monoester metabolite,,,phthalates
C042080,diisodecyl phthalate,diisodecyl phthalate,diisodecyl phthalate;26761-40-0;phthalate;plasticizer,26761-40-0,CID:33599,DTXSID4025082,phthalates,phthalate parent or monoester metabolite,,,phthalates
C017557,nickel subsulfide,nickel subsulfide,nickel subsulfide,,CID:25199732,,heavy_metals,elemental species or metal compound,,,heavy_metals
C029891,lead chloride,lead chloride,lead chloride;7758-95-4,7758-95-4,CID:24459,DTXSID1041059,heavy_metals,elemental species or metal compound,,,heavy_metals
C479228,perfluorohexanoic acid,perfluorohexanoic acid,perfluorohexanoic acid;PFAS;PFhexanoic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C000720111,perfluorotetradecanoic acid,perfluorotetradecanoic acid,perfluorotetradecanoic acid;PFAS;PFtetradecanoic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C060728,cobalt oxide,cobalt oxide,cobalt oxide;11104-61-3,11104-61-3,CID:6432046,DTXSID801014561,heavy_metals,elemental species or metal compound,,,heavy_metals
C010715,di-n-octyl phthalate,di n octyl phthalate,di-n-octyl phthalate;117-84-0;phthalate;plasticizer,117-84-0,,DTXSID1021956,phthalates,phthalate parent or monoester metabolite,,,phthalates
C586085,perfluoroundecanoic acid,perfluoroundecanoic acid,perfluoroundecanoic acid;PFAS;PFundecanoic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C026305,cobalt sulfate,cobalt sulfate,cobalt sulfate;10124-43-3,10124-43-3,,DTXSID1031042,heavy_metals,elemental species or metal compound,,,heavy_metals
C063900,perfluorooctanesulfonamide,perfluorooctanesulfonamide,perfluorooctanesulfonamide;754-91-6;PFAS;PFoctanesulfonamide,754-91-6,,DTXSID3038939,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C025605,diisobutyl phthalate,diisobutyl phthalate,diisobutyl phthalate;84-69-5;phthalate;plasticizer,84-69-5,CID:6782,DTXSID9022522,phthalates,phthalate parent or monoester metabolite,,,phthalates
C033094,perfluorobutyric acid,perfluorobutyric acid,perfluorobutyric acid;375-22-4;PFAS;PFbutyric acid,375-22-4,,DTXSID4059916,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
D019216,"Metals, Heavy",metals heavy,"Metals, Heavy",,,,heavy_metals,elemental species or metal compound,,,heavy_metals
C000720114,perfluorodecanesulfonic acid,perfluorodecanesulfonic acid,perfluorodecanesulfonic acid;PFAS;PFdecanesulfonic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C015559,trimellitic anhydride,trimellitic anhydride,trimellitic anhydride;552-30-7,552-30-7,,DTXSID7026235,phthalates,CTD entity,,,phthalates
C101815,perfluoro-n-heptanoic acid,perfluoro n heptanoic acid,perfluoro-n-heptanoic acid;375-85-9;PFAS;PF n heptanoic acid,375-85-9,CID:67818,DTXSID1037303,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
D014639,Vanadium,vanadium,Vanadium;7440-62-2,7440-62-2,,DTXSID2040282,heavy_metals,elemental species or metal compound,,,heavy_metals
D001464,Barium,barium,Barium;7440-39-3,7440-39-3,CID:5355457,DTXSID8023894,heavy_metals,elemental species or metal compound,,,heavy_metals
C522391,perfluorododecanoic acid,perfluorododecanoic acid,perfluorododecanoic acid;PFAS;PFdodecanoic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
D000965,Antimony,antimony,Antimony;7440-36-0,7440-36-0,,DTXSID5023879,heavy_metals,elemental species or metal compound,,,heavy_metals
C423915,T0901317,t0901317,T0901317,,CID:447912,,pfas_perfluoro,CTD entity,,,pfas_perfluoro
D006540,Herbicides,herbicides,Herbicides,,,,pesticides,CTD entity,,,pesticides
C000595304,bis(2-propylheptyl)phthalate,bis 2 propylheptyl phthalate,bis(2-propylheptyl)phthalate;phthalate;plasticizer,,,,phthalates,phthalate parent or monoester metabolite,,,phthalates
C000614989,Cesium-137,cesium 137,Cesium-137,,CID:5486527,,heavy_metals,elemental species or metal compound,,,heavy_metals
C000619812,perfluoropentanoic acid,perfluoropentanoic acid,perfluoropentanoic acid;PFAS;PFpentanoic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C000705689,"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",1 1 bis 4 hydroxyphenyl 2 2 dichloroethylene,"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",,,,bisphenols,CTD entity,,,bisphenols
C000705701,bisphenol E,bisphenol e,bisphenol E,,CID:608116,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C000720090,"4,8-dioxa-3H-perfluorononanoic acid",4 8 dioxa 3h perfluorononanoic acid,"4,8-dioxa-3H-perfluorononanoic acid;PFAS;4 8 dioxa 3h PFnonanoic acid",,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C000720141,perfluorotridecanoic acid,perfluorotridecanoic acid,perfluorotridecanoic acid;PFAS;PFtridecanoic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C000720151,"perfluoro-3,5,7,9-butaoxadecanoic acid",perfluoro 3 5 7 9 butaoxadecanoic acid,"perfluoro-3,5,7,9-butaoxadecanoic acid;PFAS;PF 3 5 7 9 butaoxadecanoic acid",,CID:57358057,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C000720250,perfluoro-2-methoxyacetic acid,perfluoro 2 methoxyacetic acid,perfluoro-2-methoxyacetic acid;PFAS;PF 2 methoxyacetic acid,,CID:5125273,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C000730470,bisphenol P,bisphenol p,bisphenol P,,CID:630355,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C000730511,"3,3'-dimethylbisphenol A",3 3 dimethylbisphenol a,"3,3'-dimethylbisphenol A;BPA",,CID:6620,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C002462,"4,4'-isopropylidenediphenol dimethacrylate",4 4 isopropylidenediphenol dimethacrylate,"4,4'-isopropylidenediphenol dimethacrylate",,CID:76739,,bisphenols,CTD entity,,,bisphenols
C002615,benzo(c)phenanthrene,benzo c phenanthrene,benzo(c)phenanthrene;195-19-7,195-19-7,CID:9136,DTXSID4075459,pahs,CTD entity,,,pahs
C006710,benzotriphenylene,benzotriphenylene,benzotriphenylene;215-58-7,215-58-7,CID:9164,DTXSID9049245,pahs,CTD entity,,,pahs
C008422,5-methylchrysene,5 methylchrysene,5-methylchrysene;3697-24-3,3697-24-3,CID:19427,DTXSID6063143,pahs,CTD entity,,,pahs
C009005,potassium mercuric thiocyanate,potassium mercuric thiocyanate,potassium mercuric thiocyanate;14099-12-8,14099-12-8,CID:11615,DTXSID70930966,heavy_metals,elemental species or metal compound,,,heavy_metals
C009590,triphenylene,triphenylene,triphenylene;217-59-4,217-59-4,CID:9170,DTXSID9059757,pahs,CTD entity,,,pahs
C013707,thallium sulfate,thallium sulfate,thallium sulfate;10031-59-1,10031-59-1,CID:24833,DTXSID401014795,heavy_metals,elemental species or metal compound,,,heavy_metals
C014844,tetrahydrophthalamic acid,tetrahydrophthalamic acid,tetrahydrophthalamic acid;2028-12-8,2028-12-8,CID:99725,DTXSID90942400,phthalates,CTD entity,,,phthalates
C015428,perrhenate,perrhenate,perrhenate;14333-24-5,14333-24-5,,DTXSID301318427,heavy_metals,elemental species or metal compound,,,heavy_metals
C021146,"dibenzo(a,i)pyrene",dibenzo a i pyrene,"dibenzo(a,i)pyrene;189-55-9",189-55-9,CID:9106,DTXSID9059751,pahs,CTD entity,,,pahs
C023389,"9,10-dihydrobenzo(a)pyrene",9 10 dihydrobenzo a pyrene,"9,10-dihydrobenzo(a)pyrene;17573-15-8",17573-15-8,CID:28597,DTXSID60170011,pahs,CTD entity,,,pahs
C024687,sodium molybdate(VI),sodium molybdate vi,sodium molybdate(VI);7631-95-0,7631-95-0,CID:61424,DTXSID2052788,heavy_metals,elemental species or metal compound,,,heavy_metals
C025700,strontium chloride,strontium chloride,strontium chloride;10476-85-4,10476-85-4,,DTXSID6040616,heavy_metals,elemental species or metal compound,,,heavy_metals
C025968,1-methylnaphthalene,1 methylnaphthalene,1-methylnaphthalene;90-12-0,90-12-0,CID:7002,DTXSID9020877,pahs,CTD entity,,,pahs
C027384,2-methylnaphthalene,2 methylnaphthalene,2-methylnaphthalene;91-57-6,91-57-6,CID:7055,DTXSID4020878,pahs,CTD entity,,,pahs
C027704,benzo(j)fluoranthene,benzo j fluoranthene,benzo(j)fluoranthene;205-82-3,205-82-3,CID:9152,DTXSID8052691,pahs,CTD entity,,,pahs
C028019,cesium chloride,cesium chloride,cesium chloride;7647-17-8,7647-17-8,CID:24293,DTXSID3040435,heavy_metals,elemental species or metal compound,,,heavy_metals
C028044,epoxy resin AH-26,epoxy resin ah 26,epoxy resin AH-26;55599-25-2,55599-25-2,,DTXSID001059973,heavy_metals,elemental species or metal compound,,,heavy_metals
C028519,"2,6-dimethylnaphthalene",2 6 dimethylnaphthalene,"2,6-dimethylnaphthalene;581-42-0",581-42-0,CID:11387,DTXSID0029187,pahs,CTD entity,,,pahs
C029126,"9,10-dimethylanthracene",9 10 dimethylanthracene,"9,10-dimethylanthracene;781-43-1",781-43-1,CID:13076,DTXSID8073928,pahs,CTD entity,,,pahs
C029823,mercuric acetate,mercuric acetate,mercuric acetate;1600-27-7,1600-27-7,CID:15337,DTXSID4042123,heavy_metals,elemental species or metal compound,,,heavy_metals
C030174,tetrachloropalladium,tetrachloropalladium,tetrachloropalladium;14349-67-8,14349-67-8,,DTXSID30276493,heavy_metals,elemental species or metal compound,,,heavy_metals
C031195,"dibenzo(a,h)pyrene",dibenzo a h pyrene,"dibenzo(a,h)pyrene;189-64-0",189-64-0,CID:9108,DTXSID4059752,pahs,CTD entity,,,pahs
C031895,lead chromate,lead chromate,lead chromate;11119-70-3,11119-70-3,CID:24460,DTXSID201015373,heavy_metals,elemental species or metal compound,,,heavy_metals
C031969,"1,4-dimethylnaphthalene",1 4 dimethylnaphthalene,"1,4-dimethylnaphthalene;571-58-4",571-58-4,CID:11304,DTXSID8035423,pahs,CTD entity,,,pahs
C033093,perfluoropropionic acid,perfluoropropionic acid,perfluoropropionic acid;422-64-0;PFAS;PFpropionic acid,422-64-0,CID:62356,DTXSID8059970,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C036042,dicyclohexyl phthalate,dicyclohexyl phthalate,dicyclohexyl phthalate;84-61-7;phthalate;plasticizer,84-61-7,CID:6777,DTXSID5025021,phthalates,phthalate parent or monoester metabolite,,,phthalates
C037431,phthalimide,phthalimide,phthalimide;85-41-6,85-41-6,,DTXSID3026514,phthalates,CTD entity,,,phthalates
C037554,antimony trioxide,antimony trioxide,antimony trioxide;1309-64-4,1309-64-4,CID:14794,DTXSID4023880,heavy_metals,elemental species or metal compound,,,heavy_metals
C041507,1-methylphenanthrene,1 methylphenanthrene,1-methylphenanthrene;832-69-9,832-69-9,CID:13257,DTXSID6025648,pahs,CTD entity,,,pahs
C041509,fluorene,fluorene,fluorene;86-73-7,86-73-7,CID:6853,DTXSID8024105,pahs,CTD entity,,,pahs
C041511,benzo(a)fluorene,benzo a fluorene,benzo(a)fluorene;238-84-6,238-84-6,CID:9195,DTXSID3075204,pahs,CTD entity,,,pahs
C041512,benzo(b)fluorene,benzo b fluorene,benzo(b)fluorene;243-17-4,243-17-4,CID:9201,DTXSID1022477,pahs,CTD entity,,,pahs
C041513,benzo(c)fluorene,benzo c fluorene,benzo(c)fluorene;205-12-9,205-12-9,CID:9150,DTXSID30874039,pahs,CTD entity,,,pahs
C042552,acenaphthene,acenaphthene,acenaphthene;83-32-9,83-32-9,CID:6734,DTXSID3021774,pahs,CTD entity,,,pahs
C042553,acenaphthylene,acenaphthylene,acenaphthylene;208-96-8,208-96-8,CID:9161,DTXSID3023845,pahs,CTD entity,,,pahs
C042881,1-ethynylpyrene,1 ethynylpyrene,1-ethynylpyrene;34993-56-1,34993-56-1,CID:154905,DTXSID30188527,pahs,CTD entity,,,pahs
C043103,phthalic anhydride,phthalic anhydride,phthalic anhydride;85-44-9,85-44-9,CID:6811,DTXSID2021159,phthalates,CTD entity,,,phthalates
C044659,molybdate,molybdate,molybdate;14259-85-9,14259-85-9,CID:24621,DTXSID401015698,heavy_metals,elemental species or metal compound,,,heavy_metals
C045076,Fenton's reagent,fenton s reagent,Fenton's reagent,,CID:160257,,heavy_metals,elemental species or metal compound,,,heavy_metals
C046962,9-methylanthracene,9 methylanthracene,9-methylanthracene;779-02-2,779-02-2,CID:13068,DTXSID3061134,pahs,CTD entity,,,pahs
C047249,6-methylchrysene,6 methylchrysene,6-methylchrysene;1705-85-7,1705-85-7,CID:15564,DTXSID3074814,pahs,CTD entity,,,pahs
C049051,ferric pyrophosphate,ferric pyrophosphate,ferric pyrophosphate;10058-44-3,10058-44-3,,DTXSID6047600,heavy_metals,elemental species or metal compound,,,heavy_metals
C050718,dentinol,dentinol,dentinol,,,,heavy_metals,elemental species or metal compound,,,heavy_metals
C051070,"4-methylcyclohexyl-1,6-dicarboxylic acid anhydride",4 methylcyclohexyl 1 6 dicarboxylic acid anhydride,"4-methylcyclohexyl-1,6-dicarboxylic acid anhydride;19438-60-9",19438-60-9,,DTXSID8044333,phthalates,CTD entity,,,phthalates
C051446,3-methylcholanthrylene,3 methylcholanthrylene,3-methylcholanthrylene;3343-10-0,3343-10-0,CID:18761,DTXSID90187076,pahs,CTD entity,,,pahs
C053035,1-methylpyrene,1 methylpyrene,1-methylpyrene;2381-21-7,2381-21-7,CID:16932,DTXSID0025654,pahs,CTD entity,,,pahs
C053036,1-methylfluorene,1 methylfluorene,1-methylfluorene;1730-37-6,1730-37-6,CID:15604,DTXSID4061919,pahs,CTD entity,,,pahs
C054672,antimony trichloride,antimony trichloride,antimony trichloride;10025-91-9,10025-91-9,CID:24814,DTXSID4044161,heavy_metals,elemental species or metal compound,,,heavy_metals
C058039,hexafluoron,hexafluoron,hexafluoron,,CID:91741,,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C059768,isophthalate,isophthalate,isophthalate;121-91-5;phthalate;plasticizer,121-91-5,CID:8496,DTXSID3021485,phthalates,phthalate parent or monoester metabolite,,,phthalates
C063006,norflurane,norflurane,norflurane,,CID:13129,,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C065011,1-vinylpyrene,1 vinylpyrene,1-vinylpyrene;17088-21-0,17088-21-0,CID:146322,DTXSID90168961,pahs,CTD entity,,,pahs
C065012,2-ethynylnaphthalene,2 ethynylnaphthalene,2-ethynylnaphthalene;2949-26-0,2949-26-0,CID:115017,DTXSID50183690,pahs,CTD entity,,,pahs
C082290,molybdenum trioxide,molybdenum trioxide,molybdenum trioxide;1313-27-5,1313-27-5,CID:14802,DTXSID7020899,heavy_metals,elemental species or metal compound,,,heavy_metals
C086511,RU 58668,ru 58668,RU 58668;151555-47-4,151555-47-4,CID:6918261,DTXSID60934291,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C091696,antimony oxide,antimony oxide,antimony oxide;1332-81-6,1332-81-6,CID:74002,DTXSID9061677,heavy_metals,elemental species or metal compound,,,heavy_metals
C093581,indene,indene,indene;95-13-6,95-13-6,CID:7219,DTXSID8042052,pahs,CTD entity,,,pahs
C093582,indan,indan,indan;496-11-7,496-11-7,CID:10326,DTXSID4052132,pahs,CTD entity,,,pahs
C095210,tetralin,tetralin,tetralin;119-64-2,119-64-2,CID:8404,DTXSID1026118,pahs,CTD entity,,,pahs
C096666,9-ethynylphenanthrene,9 ethynylphenanthrene,9-ethynylphenanthrene,,CID:182098,,pahs,CTD entity,,,pahs
C098123,"3,3-bis(trifluoromethyl)bicyclo(2.2.1)heptane-2,2-dicarbonitrile",3 3 bis trifluoromethyl bicyclo 2 2 1 heptane 2 2 dicarbonitrile,"3,3-bis(trifluoromethyl)bicyclo(2.2.1)heptane-2,2-dicarbonitrile;82947-63-5",82947-63-5,CID:134125,DTXSID501003018,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C099343,cuprous sulfide,cuprous sulfide,cuprous sulfide;1308-78-7,1308-78-7,CID:10130093,DTXSID0041804,heavy_metals,elemental species or metal compound,,,heavy_metals
C100422,benzo(g)chrysene,benzo g chrysene,benzo(g)chrysene;196-78-1,196-78-1,CID:9140,DTXSID40173267,pahs,CTD entity,,,pahs
C110144,benzo(c)chrysene,benzo c chrysene,benzo(c)chrysene;194-69-4,194-69-4,CID:9135,DTXSID3073894,pahs,CTD entity,,,pahs
C113497,dimethyl-W84,dimethyl w84,dimethyl-W84,,CID:10350027,,phthalates,CTD entity,,,phthalates
C115112,CC 3052,cc 3052,CC 3052,,CID:112500503,,phthalates,CTD entity,,,phthalates
C115612,single bond,single bond,single bond,,,,bisphenols,CTD entity,,,bisphenols
C116689,"heptane-1,7-bis-(dimethyl-3'-phthalimidopropyl)ammonium bromide",heptane 1 7 bis dimethyl 3 phthalimidopropyl ammonium bromide,"heptane-1,7-bis-(dimethyl-3'-phthalimidopropyl)ammonium bromide",,,,phthalates,CTD entity,,,phthalates
C117619,"1,2-dimethylnaphthalene",1 2 dimethylnaphthalene,"1,2-dimethylnaphthalene;573-98-8",573-98-8,CID:11317,DTXSID1058717,pahs,CTD entity,,,pahs
C402363,1-(1-propynyl)pyrene,1 1 propynyl pyrene,1-(1-propynyl)pyrene,,CID:54377632,,pahs,CTD entity,,,pahs
C434863,corannulene,corannulene,corannulene,,CID:11831840,,pahs,CTD entity,,,pahs
C447880,retene,retene,retene,,CID:10222,,pahs,CTD entity,,,pahs
C466921,"1,6-dimethylnaphthalene",1 6 dimethylnaphthalene,"1,6-dimethylnaphthalene",,CID:11328,,pahs,CTD entity,,,pahs
C501268,"naphtho(2,3-a)pyrene",naphtho 2 3 a pyrene,"naphtho(2,3-a)pyrene",,CID:9137,,pahs,CTD entity,,,pahs
C502587,"(N-N'-bis-(2-(1H-indol-3-yl)-ethyl)-N,N'-bis-(3-thiomorpholin-4-yl-propyl)-phthalamide)",n n bis 2 1h indol 3 yl ethyl n n bis 3 thiomorpholin 4 yl propyl phthalamide,"(N-N'-bis-(2-(1H-indol-3-yl)-ethyl)-N,N'-bis-(3-thiomorpholin-4-yl-propyl)-phthalamide)",,,,phthalates,CTD entity,,,phthalates
C508802,NSC 401077,nsc 401077,NSC 401077,,CID:344265,,phthalates,CTD entity,,,phthalates
C512161,bisphenol A glucuronide,bisphenol a glucuronide,bisphenol A glucuronide;BPA,,CID:71309820,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C516433,copper(II) nitrate,copper ii nitrate,copper(II) nitrate,,CID:18616,,heavy_metals,elemental species or metal compound,,,heavy_metals
C522458,"2-hydroxy-4-(2,2,3,3,3-pentafluoropropoxy)benzoic acid",2 hydroxy 4 2 2 3 3 3 pentafluoropropoxy benzoic acid,"2-hydroxy-4-(2,2,3,3,3-pentafluoropropoxy)benzoic acid",,CID:9795862,,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C523076,CuFe2O4,cufe2o4,CuFe2O4,,CID:16217788,,heavy_metals,elemental species or metal compound,,,heavy_metals
C523456,CEP 8983,cep 8983,CEP 8983,,CID:23584940,,phthalates,CTD entity,,,phthalates
C524826,tetraconazole,tetraconazole,tetraconazole,,CID:80277,,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C529617,3-methylchrysene,3 methylchrysene,3-methylchrysene,,CID:18781,,pahs,CTD entity,,,pahs
C529618,4-methylchrysene,4 methylchrysene,4-methylchrysene,,CID:18780,,pahs,CTD entity,,,pahs
C532828,potassium hexachloropalladate(IV),potassium hexachloropalladate iv,potassium hexachloropalladate(IV),,CID:61852,,heavy_metals,elemental species or metal compound,,,heavy_metals
C533806,"1,1,1,2,2-pentafluoro-7-phenylheptan-3-one",1 1 1 2 2 pentafluoro 7 phenylheptan 3 one,"1,1,1,2,2-pentafluoro-7-phenylheptan-3-one",,CID:24995215,,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C534679,"3,3'-dichlorobisphenol A",3 3 dichlorobisphenol a,"3,3'-dichlorobisphenol A;BPA",,CID:66238,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C535034,2-ethynylpyrene,2 ethynylpyrene,2-ethynylpyrene,,CID:10846871,,pahs,CTD entity,,,pahs
