database,DRUG_NAME,drug_key,n_trajectory_rows,n_trajectories_n20,n_trajectories_n30,max_crc_n,median_crc_n,any_trajectory_n20,any_trajectory_n30,three_trajectories_n20,three_trajectories_n30,all_four_trajectories_n20,primary_discovery_gate,SYNONYMS,TARGET,TARGET_PATHWAY,prism_name,prism_disease_area,prism_indication,prism_phase,prism_name_count_by_key,clinical_status,clinical_context,approved_nononcology_high_confidence,annotation_source
GDSC1,GSK690693,GSK690693,6,6,6,38,37.0,True,True,True,True,True,none,"GSK 690693, GSK-690693","AKT1, AKT2, AKT3",PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,GW-2580,GW2580,6,6,6,38,37.0,True,True,True,True,True,none,"GX2580, CFMS receptor tyrosine kinase inhibitor",CSF1R,RTK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,GW441756,GW441756,6,6,6,38,37.0,True,True,True,True,True,none,GW 441756,NTRK1,RTK signaling,GW-441756,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,GW843682X,GW843682X,6,0,0,13,13.0,False,False,False,False,False,,GW843682X (AN-13),PLK1,Cell cycle,GW-843682X,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Gefitinib,GEFITINIB,6,6,6,38,37.0,True,True,True,True,True,none,"ZD-1839, Iressa",EGFR,EGFR signaling,gefitinib,oncology,non-small cell lung cancer (NSCLC),Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Gemcitabine,GEMCITABINE,6,6,6,39,38.0,True,True,True,True,True,none,"Gemzar, LY-188011",Pyrimidine antimetabolite,DNA replication,gemcitabine,oncology,"ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC), pancreatic cancer",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Genentech Cpd 10,GENENTECHCPD10,6,6,6,38,37.0,True,True,True,True,True,none,,"AURKA, AURKB",Mitosis,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,HG-5-113-01,HG511301,6,6,6,31,30.0,True,True,True,True,True,none,,AURKA,Mitosis,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,HG-5-88-01,HG58801,6,6,6,31,30.0,True,True,True,True,True,none,,"TAK1, M4K2","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,HG-6-71-01,HG67101,6,0,0,18,17.0,False,False,False,False,False,,,"DDR1, DDR2, SRC","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
