drug_key,platforms_tested,n_platforms_tested,GDSC1_DRUG_NAME,GDSC1_status,GDSC2_DRUG_NAME,GDSC2_status,PRISM_DRUG_NAME,PRISM_status,PRISM_median_background_rho,PRISM_global_empirical_q_value,PRISM_n_backgrounds_available,PRISM_n_positive_backgrounds,PRISM_n_positive_nonHCT116_backgrounds,PRISM_leave_HCT116_out_median_rho,PRISM_n_models_direction_consistent_ge3of4,PRISM_signature_robust_flag,PRISM_strict_database_gate,CTRPv2_DRUG_NAME,CTRPv2_status,strict_platforms,n_strict_gdsc_platforms,n_strict_external_platforms,replication_level,external_replication_flag,GDSC2_median_background_rho,GDSC2_global_empirical_q_value,GDSC2_n_backgrounds_available,GDSC2_n_positive_backgrounds,GDSC2_n_positive_nonHCT116_backgrounds,GDSC2_leave_HCT116_out_median_rho,GDSC2_n_models_direction_consistent_ge3of4,GDSC2_signature_robust_flag,GDSC2_strict_database_gate,CTRPv2_median_background_rho,CTRPv2_global_empirical_q_value,CTRPv2_n_backgrounds_available,CTRPv2_n_positive_backgrounds,CTRPv2_n_positive_nonHCT116_backgrounds,CTRPv2_leave_HCT116_out_median_rho,CTRPv2_n_models_direction_consistent_ge3of4,CTRPv2_signature_robust_flag,CTRPv2_strict_database_gate,GDSC1_median_background_rho,GDSC1_global_empirical_q_value,GDSC1_n_backgrounds_available,GDSC1_n_positive_backgrounds,GDSC1_n_positive_nonHCT116_backgrounds,GDSC1_leave_HCT116_out_median_rho,GDSC1_n_models_direction_consistent_ge3of4,GDSC1_signature_robust_flag,GDSC1_strict_database_gate
VISMODEGIB,GDSC1;GDSC2;PRISM,3,Vismodegib,tested,Vismodegib,tested,vismodegib,tested,0.10399261024861836,0.0003439312137572485,4.0,3.0,3.0,0.1353306368524992,6.0,True,True,,not_tested_or_name_unmatched,GDSC1;PRISM,1,1,Level1_GDSC_plus_independent_external,True,-0.1733723602144655,0.0511897620475904,4.0,1.0,1.0,-0.1647773279352226,0.0,False,False,,,,,,,,,,0.0749261407156143,0.0002492038905651,4.0,3.0,3.0,0.1230440967283072,6.0,True,True
ABIRATERONE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,abiraterone,tested,0.09980237154150197,0.0003439312137572485,4.0,3.0,3.0,0.09980237154150197,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDPP,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,ACDPP,tested,0.17049689440993793,0.0003439312137572485,4.0,3.0,3.0,0.18571428571428572,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACETYLSALICYLSALICYLICACID,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,acetylsalicylsalicylic-acid,tested,0.1048829431438127,0.0003439312137572485,4.0,3.0,3.0,0.13846153846153847,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG14361,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AG-14361,tested,0.2344444444444444,0.03450223660851586,4.0,3.0,3.0,0.2784615384615384,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGK2,CTRPv2;GDSC2,2,,not_tested_or_name_unmatched,AGK2,tested,,not_tested_or_name_unmatched,,,,,,,,,,AGK2,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,-0.0535315680052522,0.0965058270397202,4.0,0.0,0.0,-0.0439271255060728,0.0,False,False,0.1728369457431609,0.00019996000799840029,4.0,4.0,3.0,0.18287697862876395,6.0,True,True,,,,,,,,,
AJMALINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,ajmaline,tested,0.10300751879699246,0.0003439312137572485,4.0,3.0,2.0,0.12330827067669171,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALISERTIB,CTRPv2;GDSC1;GDSC2;PRISM,4,Alisertib,tested,Alisertib,tested,alisertib,tested,-0.05666666666666666,0.6510626104444183,4.0,1.0,1.0,-0.021367521367521368,0.0,False,False,Alisertib,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,0.0044929396662387,0.9609413910575818,4.0,2.0,2.0,0.0279352226720647,2.0,False,False,0.06384615384615384,0.00019996000799840029,4.0,3.0,2.0,0.01769230769230769,5.0,True,True,0.0187021608074239,0.0002492038905651,4.0,2.0,2.0,0.1734877734877735,1.0,True,False
ALVESPIMYCIN,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,alvespimycin,tested,0.1610931280358356,0.06751242344123769,4.0,4.0,3.0,0.22886812889792077,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM580,CTRPv2;PRISM,2,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AM-580,tested,-0.06828063241106719,0.0003439312137572485,4.0,2.0,1.0,-0.23221343873517786,0.0,False,False,AM-580,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.03506493506493506,0.00019996000799840029,4.0,3.0,2.0,0.03766233766233767,5.0,True,True,,,,,,,,,
AMG208,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AMG-208,tested,0.233201581027668,0.0003439312137572485,4.0,3.0,3.0,0.274703557312253,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMG458,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AMG458,tested,0.2021739130434782,0.0003439312137572485,4.0,3.0,3.0,0.2695652173913043,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTEMISININ,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,artemisinin,tested,0.3639316239316239,0.010634423951760483,4.0,3.0,3.0,0.4123076923076923,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRIN,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,aspirin,tested,0.05324675324675325,0.0003439312137572485,4.0,3.0,2.0,0.011688311688311687,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ3146,CTRPv2;PRISM,2,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AZ3146,tested,0.02905982905982906,0.8179938347228832,4.0,2.0,2.0,0.08444444444444445,1.0,False,False,AZ-3146,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.13663393125000528,0.00019996000799840029,4.0,3.0,2.0,0.25049554062500967,6.0,True,True,,,,,,,,,
AZD1480,GDSC1;PRISM,2,AZD1480,tested,,not_tested_or_name_unmatched,AZD1480,tested,0.11801242236024846,0.0003439312137572485,4.0,3.0,3.0,0.14059853190287974,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,0.05109968267863,0.0622330079438657,4.0,2.0,2.0,0.1189408031513294,2.0,True,False
AZD2461,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AZD2461,tested,0.10608695652173912,0.0003439312137572485,4.0,3.0,3.0,0.1243478260869565,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZD6482,CTRPv2;GDSC1;PRISM,3,AZD6482,tested,,not_tested_or_name_unmatched,AZD6482,tested,-0.014835164835164838,0.9088205242246745,4.0,2.0,2.0,0.14188034188034188,1.0,False,False,AZD6482,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.1232112332112332,0.00019996000799840029,4.0,3.0,2.0,0.15445665445665446,6.0,True,True,-0.0847375715796768,0.0002492038905651,4.0,1.0,1.0,-0.0473793631688368,0.0,True,False
AZD7545,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,AZD-7545,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.14721027633723582,0.00019996000799840029,4.0,4.0,3.0,0.18255187386999377,6.0,True,True,,,,,,,,,
B02,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,B02,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.08561547148503672,0.00019996000799840029,4.0,3.0,2.0,0.03853754940711463,4.0,True,True,,,,,,,,,
BAM7,CTRPv2;GDSC1;PRISM,3,BAM7,tested,,not_tested_or_name_unmatched,BAM7,tested,0.0934782608695652,0.0003439312137572485,4.0,3.0,3.0,0.11304347826086956,6.0,True,True,BAM7,tested,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,-0.31533907377563625,0.00019996000799840029,4.0,1.0,0.0,-0.40647993325907317,0.0,False,False,0.0486486486486486,0.0002492038905651,4.0,2.0,2.0,0.112998712998713,0.0,True,False
BAY117082,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,BAY-11-7082,tested,0.10695652173913042,0.0003439312137572485,4.0,3.0,3.0,0.12956521739130433,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELINOSTAT,GDSC1;PRISM,2,Belinostat,tested,,not_tested_or_name_unmatched,belinostat,tested,0.08719937766797123,0.09799090557022573,4.0,3.0,2.0,0.035770209414874916,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,0.0558287610919189,0.0002492038905651,4.0,3.0,3.0,0.068983268983269,3.0,True,False
BENFOTIAMINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,benfotiamine,tested,0.07848673066064371,0.0003439312137572485,4.0,3.0,2.0,0.13721061547148505,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTAZEPAM,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,bentazepam,tested,0.12623931623931622,0.08449256556898427,4.0,3.0,3.0,0.15555555555555553,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENZYDAMINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,benzydamine,tested,0.22720214568040656,0.0003439312137572485,4.0,3.0,2.0,0.25395256916996045,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALAPACHONE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,beta-lapachone,tested,0.09525641025641027,0.09817137214955296,4.0,4.0,3.0,0.04205128205128204,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEXAROTENE,CTRPv2;GDSC1;PRISM,3,Bexarotene,tested,,not_tested_or_name_unmatched,bexarotene,tested,0.1653511821147874,0.1528138621617204,4.0,4.0,3.0,0.1335927087232207,6.0,True,False,Bexarotene,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.09172633847142214,0.00019996000799840029,4.0,3.0,2.0,0.08752970860671654,6.0,True,True,0.0641198553948832,0.0002492038905651,4.0,2.0,2.0,0.1528364849833147,1.0,True,False
BISINDOLYLMALEIMIDEIX,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,bisindolylmaleimide-ix,tested,0.1467094017094017,0.07395333211988063,4.0,3.0,2.0,0.18495726495726494,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLEBBISTATIN,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,blebbistatin-(-),tested,0.1490133779264214,0.0003439312137572485,4.0,3.0,3.0,0.18956521739130433,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNC105,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,BNC105,tested,0.12756410256410255,0.08541609859846212,4.0,3.0,3.0,0.13435897435897434,6.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSENTAN,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,bosentan,tested,0.051383399209486175,0.0003439312137572485,4.0,3.0,2.0,0.0852625635234331,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRD1835,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,BRD1835,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.10235333646277973,0.00019996000799840029,4.0,4.0,3.0,0.15507437317144349,6.0,True,True,,,,,,,,,
BRD8958,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,BRD8958,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.09479356372847446,0.00019996000799840029,4.0,3.0,3.0,0.15567822824384253,4.0,True,True,,,,,,,,,
BRDA02303741,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,BRD-A02303741,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.10646742875539955,0.00019996000799840029,4.0,3.0,3.0,0.12326309137995034,5.0,True,True,,,,,,,,,
BRDA02303741CARBOPLATIN11MOLMOL,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,BRD-A02303741:carboplatin (1:1 mol/mol),tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.08738887379443988,0.00019996000799840029,4.0,3.0,2.0,0.08498996353341604,4.0,True,True,,,,,,,,,
BRDK45681478,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,BRD-K45681478,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.09630188406202135,0.00019996000799840029,4.0,3.0,2.0,0.05569246610355724,5.0,True,True,,,,,,,,,
BRDK51490254,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,BRD-K51490254,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.08479372293177428,0.00019996000799840029,4.0,3.0,2.0,0.07857551658344417,6.0,True,True,,,,,,,,,
BRDK64610608,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,BRD-K64610608,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.12287400629566957,0.00019996000799840029,4.0,3.0,2.0,0.08095358275945849,5.0,True,True,,,,,,,,,
BRIVARACETAM,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,brivaracetam,tested,0.08391304347826087,0.0003439312137572485,4.0,3.0,3.0,0.15565217391304348,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROXALDINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,broxaldine,tested,0.2005982905982906,0.053045756732460675,4.0,3.0,3.0,0.21504273504273502,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAY10594,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,CAY10594,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.07906435516033004,0.00019996000799840029,4.0,4.0,3.0,0.12596693873001735,5.0,True,True,,,,,,,,,
CAY10618,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,CAY10618,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.1422263755653316,0.00019996000799840029,4.0,3.0,3.0,0.23497198441517927,4.0,True,True,,,,,,,,,
CB10277,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,CB-10-277,tested,0.24847543760587243,0.0003439312137572485,4.0,3.0,3.0,0.3709768492377189,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERULENIN,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,Cerulenin,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.12902660952217185,0.00019996000799840029,4.0,3.0,2.0,0.1407833945552062,5.0,True,True,,,,,,,,,
CHLORAMBUCIL,CTRPv2;PRISM,2,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,chlorambucil,tested,0.014969241285030759,0.0003439312137572485,4.0,2.0,2.0,0.03896103896103896,3.0,True,False,Chlorambucil,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.08213675213675213,0.00019996000799840029,4.0,3.0,3.0,0.09811965811965812,4.0,True,True,,,,,,,,,
CHLORQUINALDOL,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,chlorquinaldol,tested,0.1280769230769231,0.07956155574924503,4.0,3.0,3.0,0.15461538461538463,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID5951923,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,CID-5951923,tested,CTRPv2,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,0.06851564286212444,0.00019996000799840029,4.0,3.0,2.0,0.014148769414553323,4.0,True,True,,,,,,,,,
CLOFIBRATE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,clofibrate,tested,0.27707509881422926,0.0003439312137572485,4.0,3.0,3.0,0.43986448334274425,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLONAZEPAM,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,clonazepam,tested,0.11153846153846153,0.08734807092635527,4.0,3.0,2.0,0.09538461538461539,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOTRIMAZOLE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,clotrimazole,tested,0.11820158102766799,0.0003439312137572485,4.0,3.0,3.0,0.15118577075098816,5.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUDC907,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,CUDC-907,tested,0.221025641025641,0.04621035591876599,4.0,3.0,2.0,0.19589743589743588,4.0,True,True,,not_tested_or_name_unmatched,PRISM,0,1,Level2_single_external_platform_candidate,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
