database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit
PRISM,500,weighted,xilobam,XILOBAM,4,1,1,-0.27865612648221344,0.2623913043478261,-0.5060869565217391,0.14624505928853757,-0.3448616600790514,none,tested,1320.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,xylazine,XYLAZINE,4,3,3,0.17652173913043476,0.4232905138339921,-0.1926877470355731,0.5039525691699606,0.3426086956521739,TierA_strong_collateral,tested,75.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,zaldaride,ZALDARIDE,4,3,3,0.12243589743589743,0.24826923076923077,-0.09846153846153846,0.2569230769230769,0.2287179487179487,TierB_moderate_candidate,tested,161.0,0.060387922415516895,0.0893419540287281,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,zardaverine,ZARDAVERINE,4,1,1,-0.06043478260869564,0.09906354515050167,-0.15538461538461537,0.2278260869565217,-0.0626086956521739,none,tested,848.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,ziprasidone,ZIPRASIDONE,4,1,0,-0.12252964426877472,0.1537972896668549,-0.20609824957651046,0.17786561264822137,-0.16106719367588934,none,tested,1073.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,zolmitriptan,ZOLMITRIPTAN,4,2,2,-0.0020757020757020787,0.1735409035409035,-0.2608547008547008,0.22598290598290596,0.032478632478632474,none,tested,595.0,0.8434313137372526,0.87087059737549,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,2'-MeCCPA,2MECCPA,4,2,1,-0.022419685577580315,0.2219753930280246,-0.5142857142857143,0.04060150375939849,-0.07792207792207792,none,tested,683.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,AZD1480,AZD1480,4,3,3,0.06662902315076229,0.11496329757199322,-0.005194805194805195,0.187012987012987,0.11123658949745907,none,tested,308.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,BAY-11-7085,BAY117085,4,2,2,0.07140316205533598,0.29037549407114627,-0.3616600790513834,0.2618577075098814,0.16106719367588934,none,tested,298.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,CL-218872,CL218872,4,2,2,0.04333561175666438,0.5107826384142173,-0.22857142857142856,0.4324675324675325,0.27368421052631575,none,tested,392.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,GS-39783,GS39783,4,2,1,-0.013551665725578772,0.14998588368153587,-0.1981931112365895,0.2628458498023716,-0.03670242800677584,none,tested,639.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,GS-9973,GS9973,4,2,2,0.06747600225861097,0.23627188029361945,-0.05632411067193676,0.34500282326369286,0.158102766798419,none,tested,305.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,GW-441756,GW441756,4,2,2,0.049110671936758894,0.22821146245059287,-0.07213438735177866,0.1808300395256917,0.1590909090909091,none,tested,370.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,NVP-AEW541,NVPAEW541,4,2,2,0.1258361204013378,0.38592809364548497,-0.17391304347826084,0.42173913043478256,0.28384615384615386,none,tested,152.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,NVP-BVU972,NVPBVU972,4,1,0,-0.06252136752136751,0.1605128205128205,-0.2530769230769231,0.10153846153846155,-0.11042735042735041,none,tested,856.0,0.09818036392721456,0.12254159654960395,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
