module,tier,drug,n_pairs,n_datasets,n_trajectories,median_rho_state_vs_lnIC50,mean_rho_state_vs_lnIC50,fraction_negative_rho,min_pairwise_p,putative_target,pathway,drug_sensitivity_score,within_module_min_p_BH
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,JNJ38877605,5,1,5,0.028777765619870888,-0.024926140715614397,0.4,0.32445617309039254,MET,RTK signaling,-0.011511106247948356,0.34385664529579746
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,EHT-1864,10,2,5,0.029352226720647773,-0.08807692307692308,0.4,0.006174508450598419,"RAC1, RAC2, RAC3",Cytoskeleton,-0.01174089068825911,0.028118640075422825
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,FH535,5,1,5,0.029435483870967744,0.016290322580645167,0.4,0.026267652844579107,"PPARgamma, PPARdelta",Other,-0.011774193548387098,0.06292190146170232
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Bexarotene,5,1,5,0.029838709677419358,0.013145161290322583,0.4,0.24742969772518977,Retinioic X receptor (RXR) agonist,Other,-0.011935483870967744,0.27587606210574306
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,PHA-793887,5,1,5,0.03009081956450377,-0.021906116642958752,0.4,0.07823075753473101,"CDK2, CDK7, CDK5",Cell cycle,-0.01203632782580151,0.12372495191646687
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,GSK2256098C,5,1,5,0.03097165991902834,-0.029757085020242918,0.4,0.05826772732721235,FAK1,Cytoskeleton,-0.012388663967611338,0.10363187490030155
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Refametinib,10,2,5,0.02591093117408907,0.017388663967611337,0.5,0.21184500675005546,"MEK1, MEK2",ERK MAPK signaling,-0.012955465587044536,0.24532415509173702
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AGI-5198,5,1,5,0.06532443374548638,0.06646241383083488,0.2,0.34715217120750325,IDH1 (R132H),Metabolism,-0.013064886749097277,0.36341388187506446
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,"MetAP2 Inhibitor, A832234",5,1,5,0.03295400663821716,-0.008440018966334754,0.4,0.1844307979432141,MetAP2,Other,-0.013181602655286865,0.22252917873899541
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Venetoclax,5,1,5,0.06598096071780282,0.050355618776671406,0.2,0.3894951610305335,BCL2,Apoptosis regulation,-0.013196192143560565,0.4028179331382178
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AZD4547,10,2,5,0.03326997136368125,0.02757331885059741,0.4,0.07487515987576174,"FGRF1, FGFR2, FGFR3",RTK signaling,-0.0133079885454725,0.12102462948472181
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,CT7033-2,5,1,5,0.03423423423423424,-0.008700128700128708,0.4,0.18198952932967472,"KDM4A, KDM4C, KDM4E, KDM3A, KDM6B",Chromatin histone methylation,-0.013693693693693696,0.22061938225342642
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,BPTES,5,1,5,0.03441295546558705,-0.08983805668016195,0.4,0.00837064221396503,GLS,Other,-0.01376518218623482,0.034420080783824206
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Mitomycin-C,5,1,5,0.03508064516129032,0.07443548387096774,0.4,0.1428351954856655,DNA crosslinker,DNA replication,-0.014032258064516129,0.1887333945491827
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Afatinib,10,2,5,0.04831144465290807,0.030393008788387483,0.3,0.20544219736393465,"EGFR, ERBB2",EGFR signaling,-0.01449343339587242,0.24125533581428182
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,OTX015,5,1,5,0.07448405253283302,0.07332082551594747,0.2,0.32795195202005434,"BRD2, BRD3, BRD4",Chromatin other,-0.014896810506566605,0.34613409309714155
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,FY026,5,1,5,0.03765182186234818,0.027206477732793527,0.4,0.21980404344884297,,Unclassified,-0.015060728744939272,0.25162422791248396
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Linsitinib,10,2,5,0.05037523452157599,0.048125340434545784,0.3,0.08611735202782234,IGF1R,IGF1R signaling,-0.015112570356472796,0.1313481274252246
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,BAY-HDAC11_2,5,1,5,0.03831417624521073,-0.024630541871921187,0.4,0.06059202057177509,HDAC11,Chromatin histone acetylation,-0.015325670498084294,0.106081348190703
