module,collection,full_direction,full_consistency,full_median_nes,full_n_fdr_qval_025,trajectory_loo_GSE77932|HCT116_consistency,trajectory_loo_GSE77932|HCT116_direction,trajectory_loo_GSE77932|DLD1_consistency,trajectory_loo_GSE77932|DLD1_direction,trajectory_loo_GSE42387|HCT116_consistency,trajectory_loo_GSE42387|HCT116_direction,trajectory_loo_GSE42387|HT29_consistency,trajectory_loo_GSE42387|HT29_direction,trajectory_loo_GSE42387|LoVo_consistency,trajectory_loo_GSE42387|LoVo_direction,trajectory_loo_GSE119603|HCT116_consistency,trajectory_loo_GSE119603|HCT116_direction,trajectory_loo_min_consistency,trajectory_loo_all_same_direction,dataset_loo_GSE119603_n,dataset_loo_GSE119603_consistency,dataset_loo_GSE119603_direction,dataset_loo_GSE42387_n,dataset_loo_GSE42387_consistency,dataset_loo_GSE42387_direction,dataset_loo_GSE77932_n,dataset_loo_GSE77932_consistency,dataset_loo_GSE77932_direction,dataset_loo_min_consistency,dataset_loo_all_same_direction,robust_positive_or_negative
COESSENTIALITY::1026::biological process:transcription by RNA polymerase III,COESSENTIALITY,positive,0.6666666666666666,0.826809753366627,0,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1027::cellular component:dendrite cytoplasm,COESSENTIALITY,positive,0.5,0.16512413367152662,1,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1028::biological process:negative regulation of insulin receptor signaling pathway,COESSENTIALITY,positive,0.6666666666666666,0.8175381049368622,0,0.6,positive,0.8,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1029::,COESSENTIALITY,positive,0.5,0.16639167268815036,0,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::102::biological process:canonical glycolysis,COESSENTIALITY,positive,0.6666666666666666,0.983896846534358,1,0.8,positive,0.6,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
"COESSENTIALITY::1030::molecular function:transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding",COESSENTIALITY,negative,0.6666666666666666,-1.3087812393540064,0,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1031::,COESSENTIALITY,negative,0.6666666666666666,-0.7505757896737444,0,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1033::biological process:cellular response to gamma radiation,COESSENTIALITY,positive,0.6666666666666666,1.0360752219009128,1,0.8,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1034::biological process:cholesterol efflux,COESSENTIALITY,negative,0.6666666666666666,-0.9757268389177941,0,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.6,False,5,0.8,negative,3,0.6666666666666666,positive,4,0.75,negative,0.6666666666666666,False,False
COESSENTIALITY::1036::,COESSENTIALITY,negative,0.6666666666666666,-1.220905565928893,0,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1037::,COESSENTIALITY,positive,0.6666666666666666,0.798902528185115,0,0.6,positive,0.8,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1038::biological process:negative regulation of cell differentiation,COESSENTIALITY,positive,0.8333333333333334,0.9543294145786573,1,0.8,positive,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1039::biological process:antibacterial humoral response,COESSENTIALITY,negative,0.6666666666666666,-1.0056872960027592,0,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::103::biological process:glycogen metabolic process,COESSENTIALITY,negative,0.8333333333333334,-0.7667469468750001,0,0.8,negative,0.8,negative,1.0,negative,0.8,negative,0.8,negative,0.8,negative,0.8,False,5,0.8,negative,3,1.0,negative,4,0.75,negative,0.75,False,False
COESSENTIALITY::1040::biological process:regulation of immune response,COESSENTIALITY,positive,0.5,0.039730294013349376,0,0.6,negative,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1041::,COESSENTIALITY,negative,0.6666666666666666,-1.2755857893223426,2,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
