platform,DRUG_NAME,drug_key,median_background_rho,global_empirical_q_value,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,leave_HCT116_out_median_rho,n_models_direction_consistent_ge3of4,signature_robust_flag,strict_database_gate
GDSC1,Apitolisib,APITOLISIB,-0.0642119852646168,0.0002492038905651,4,1,1,-0.0591968486705328,0,False,False
GDSC1,Ara-G,ARAG,0.1791200975411501,0.0002492038905651,4,3,3,0.189900426742532,5,True,True
GDSC1,Avagacestat,AVAGACESTAT,0.0468277871037819,0.5876422313134971,4,3,3,0.0799595141700404,5,True,False
GDSC1,Axitinib,AXITINIB,0.0470510996826786,0.0002492038905651,4,2,2,0.1209103840682788,3,True,False
GDSC1,BAM7,BAM7,0.0486486486486486,0.0002492038905651,4,2,2,0.112998712998713,0,True,False
GDSC1,BAY ACCi,BAYACCI,0.1376784135404825,0.0002492038905651,4,3,3,0.1538461538461538,3,True,False
GDSC1,BAY AKT1,BAYAKT1,-0.0029577701991495,0.0002492038905651,4,2,2,0.0909645909645909,0,True,False
GDSC1,BAY-61-3606,BAY613606,-0.0497844827586206,0.0002492038905651,4,2,2,0.0540600667408231,0,False,False
GDSC1,BAY-HDAC11_1,BAYHDAC111,0.0289566755083996,0.0002492038905651,4,2,2,0.3217338217338217,0,False,False
GDSC1,BAY-HDAC11_2,BAYHDAC112,0.0521241210896383,0.0002492038905651,4,2,2,0.3199023199023199,0,False,False
GDSC1,BAY-HDAC11_4,BAYHDAC114,0.0580186097427476,0.0002492038905651,4,2,2,0.1877394636015325,2,True,False
GDSC1,BAY-MPS-combo 2 (paclitaxel 1 uM),BAYMPSCOMBO2PACLITAXEL1UM,0.1758893280632411,0.0002492038905651,4,3,3,0.2875494071146245,2,True,False
GDSC1,BAY-MPS-combo-1 (paclitaxel 5 uM),BAYMPSCOMBO1PACLITAXEL5UM,0.1437747035573122,0.0002492038905651,4,2,2,0.350790513833992,0,True,False
