gene,effect_size,logFC_low_minus_high,P,n_donor_group_pairs,direction,analysis_level,BH_FDR
SP5,0.0,0.5498482200020827,0.006848047504925522,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026510139276167057
CAD,0.5038183324242085,0.7084692605309194,0.006880805613713711,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026583302073406843
BPHL,-0.18733270263768942,-0.3046341077173696,0.006887840123290377,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026583302073406843
STIL,0.3020495484897818,0.5382052266638137,0.006887840123290377,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026583302073406843
EMP3,0.46034689927513295,0.5567273626677335,0.007083308546595579,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.0272825315059085
GALT,0.36012167358914837,0.35109953824628937,0.007083308546595579,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.0272825315059085
CSE1L,0.29543525867873877,0.42146668423310035,0.0071415170789198386,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
PARD3B,0.2566620668937061,0.35622775794317846,0.0071415170789198386,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
AFG3L2,-0.27673521736801465,-0.39883880829479285,0.0071616245368204545,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
EIF2S2,-0.07492423073628096,-0.24929820784679407,0.0071616245368204545,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
FHL2,-0.2568365807330606,-0.18932227057637502,0.0071616245368204545,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
IL13RA1,0.19721085651171943,0.10005018469012107,0.0071616245368204545,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
NSUN5,0.4101146550056698,0.1778132400852096,0.0071616245368204545,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
PARP12,-0.33364804352584176,-0.10857485998350122,0.0071616245368204545,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
PDCD4,-0.22355285859688312,-0.15068197194233168,0.0071616245368204545,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
TMEM245,-0.31640729500674114,-0.45650083493017773,0.0071616245368204545,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.027308612244798875
NBEA,0.0,0.4927914342064841,0.007398655365388617,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.028184298931824704
ABCE1,0.5446366806108691,0.42745150963930595,0.0074103977166755375,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.028200885428265727
PRKAG2,0.1836819665170375,0.29960136629490475,0.007458006961248678,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02834005288943672
ADD1,-0.21136408466530288,-0.5247744232133502,0.007491515159927076,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02834005288943672
CCNK,-0.20571570061275768,-0.5674575818072884,0.007491515159927076,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02834005288943672
ENAH,0.49501503760561283,0.3579733007721055,0.007491515159927076,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02834005288943672
HDHD5,-0.22121756794144387,-0.5768989014877087,0.007491515159927076,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02834005288943672
ZBTB38,-0.1477988050259622,-0.27897277444828034,0.007491515159927076,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02834005288943672
ASF1B,0.0747319264320252,0.644842294710985,0.007574619027472914,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02859774562597835
CX3CL1,0.058376681311296474,0.6474241808613566,0.007574619027472914,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02859774562597835
HAS2,0.0,0.3319808121512116,0.00764908205529392,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02885034209985859
RRM2,0.2559423000165888,0.5331480068839566,0.007658294877486018,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.028856576058602305
BRMS1L,0.35894430994733817,0.6176340200380579,0.007695853766602555,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02896950081570212
EIF3C,0.37994481531694024,0.5523893489600122,0.007787018853117895,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.029254971419636816
RDH10,-0.3644393245984121,-0.4338838491873847,0.007787018853117895,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.029254971419636816
APOL6,-0.2413509795352713,-0.1282399598749649,0.00783459429294453,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.029347052420185742
HLA-A,0.131885212150177,0.15789877361171079,0.00783459429294453,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.029347052420185742
PTPN11,-0.22798931629702368,-0.38826450701235365,0.00783459429294453,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.029347052420185742
ALPI,-0.43037568528377923,-0.41046303862040173,0.007848746349488211,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.029371240015682847
E2F2,-0.5244402208699768,-0.5207381784116965,0.007924978037083185,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02961271861192157
RTP4,0.23867796580057998,0.4100286886965154,0.007928791831643658,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02961271861192157
ETV1,0.0,0.522055685208279,0.00803442885556667,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.02997792271915736
FOSL1,-0.3307445852788111,-0.40152228271648954,0.00807680479016726,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030106605355535575
CCDC66,0.4515057481888807,0.3192372285159501,0.008105503603764871,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030153841017334156
ME3,0.2350001342321688,0.5529481692809588,0.008105503603764871,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030153841017334156
POM121,-0.16517696085748446,-0.4171719780262582,0.008128976265872896,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030153841017334156
STAM2,-0.25928717405117085,-0.35577849041004656,0.008128976265872896,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030153841017334156
TNFAIP8,0.2802641552249958,0.2937201878027617,0.008128976265872896,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030153841017334156
ALAD,-0.22714587752958604,-0.635315150656539,0.008191296496079303,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030238083873824664
ATF3,-0.17269299243423486,-0.1258766686112607,0.008191296496079303,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030238083873824664
BMPR2,-0.245891226123216,-0.313106116141897,0.008191296496079303,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030238083873824664
HIF1A,-0.2184999741889797,-0.42417009305471975,0.008191296496079303,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030238083873824664
SDHA,-0.26306539081199354,-0.08709410857807133,0.008191296496079303,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030238083873824664
