gene,effect_size,logFC_low_minus_high,P,n_donor_group_pairs,direction,analysis_level,BH_FDR
SLC7A2,0.0,-0.07123795731030214,0.23672357063785732,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.3978748873292388
TACC3,0.0,0.20977600866135182,0.2369361866168309,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.3980569649280121
ASF1A,-0.07395262864603369,-0.47339193124830314,0.23723130750598986,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.39837743103843526
PHLDA3,0.09930515000202167,0.27172651570768985,0.23878336784992327,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4008074384710454
NRP1,0.0,-0.24110552231419438,0.23910573224440745,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4011721230667707
CCR7,0.0,0.16163892407489838,0.23931654122149526,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4013494015124988
STAB1,0.0,-0.12252208518963273,0.24112136827741826,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40357233451365077
KPNB1,-0.1426141412680355,-0.1351596180848402,0.24127641272207256,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40357233451365077
MRPS11,-0.1796544041141228,-0.17425915241739257,0.24127641272207256,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40357233451365077
NFAT5,0.09407969982049291,0.08721436060464956,0.24127641272207256,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40357233451365077
USP6NL,0.26767780583112133,0.05496161370068163,0.24127641272207256,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40357233451365077
WDR45,-0.05668464024817954,-0.25443683220383395,0.24127641272207256,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40357233451365077
ST3GAL5,0.0,0.2606012921771071,0.24142655338204444,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40364658530848163
RGS16,0.1757468417800232,0.23291549937330813,0.24155404796562074,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4036829251684651
ARTN,0.0,0.25663989305842017,0.24181965823701845,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40394994988652055
BEST1,0.12694181957051187,0.07124353477796132,0.24232823970568196,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40462243698888367
EXOC4,-0.04719800658668172,-0.0935836506968354,0.24303547341118348,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4052714731369539
RALGDS,-0.09728706648351437,-0.2550363930021678,0.24303547341118348,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4052714731369539
TYK2,0.020117604606116668,0.24178598340338991,0.24303547341118348,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4052714731369539
SLAMF7,0.0,-0.2478136707732444,0.24320097107575667,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40537035222539874
RAD54L,0.0,0.22528220822955283,0.2442695329700293,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4069737264716725
NCALD,0.2540948006891446,0.31108677880434604,0.2449989161927575,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40801084777825275
TPX2,0.08670569611580414,0.2795924633277822,0.24519030932096386,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40815150923598736
STBD1,0.0,-0.24311458071832162,0.24550260452144101,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4084932177237752
LOXL2,0.0,0.1318173349843091,0.24613691576742636,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.40937019933954966
EFNA1,-0.11090247193904723,-0.06609712291346136,0.24694968035328202,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41000736403152566
NDUFAF4,-0.22567329135327663,0.01767956259754713,0.24694968035328202,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41000736403152566
PABPC1,0.024384611055209504,0.0365857646053775,0.24694968035328202,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41000736403152566
ZNF561,-0.14260583713208907,-0.3527474123389665,0.24694968035328202,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41000736403152566
C1R,0.0,0.18340081257724655,0.2471446025403431,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.410152586041952
CFH,0.0,0.141820112831732,0.24774620591207197,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41097230246257227
LTA4H,-0.07731146208534145,-0.2466094794843231,0.2484588215897754,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41151978136401124
MYB,-0.0097361649512413,-0.33777010199293106,0.2484588215897754,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41151978136401124
CD83,0.0,0.23128176327183825,0.2488283231255456,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41151978136401124
PTPRM,0.0,0.24673980619969876,0.2488283231255456,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41151978136401124
ABCA4,0.0,0.1633482832248962,0.24886387493792206,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41151978136401124
MTTP,0.0,-0.14624202753181456,0.24886387493792206,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41151978136401124
CIC,-0.0721914467545024,-0.2285906389110616,0.24893874120238457,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41151978136401124
TM7SF3,-0.06601416853667441,-0.3268339836487753,0.24893874120238457,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41151978136401124
CHAC1,0.5306946942052706,0.12247382322701156,0.24912594537385946,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.411650966879663
TFB2M,0.019702958292727057,0.20702223318940022,0.2514345388960957,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.415285865411682
BCKDHB,-0.04722179713370256,-0.2862697664053962,0.25271353702191846,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4168572043269934
PCK1,-0.17928674417609614,-0.03217628578049583,0.25271353702191846,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4168572043269934
S100A11,-0.06685076067682516,-0.14679314064926685,0.25271353702191846,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4168572043269934
MTRR,-0.08821622435982146,-0.2912433166250015,0.25469707620729154,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41976629528636955
TRIM26,-0.03820152709545166,-0.12455729324261242,0.25469707620729154,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41976629528636955
KPNA1,-0.11344910030618971,-0.04389023198226678,0.2549415403764369,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41980666937742
SERPINB5,-0.16290185691794568,-0.46419280542186825,0.2549415403764369,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.41980666937742
CDC45,0.0,0.2028075607542552,0.25598851167013814,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4213489215372649
ATP5MC2,0.04864250795851355,0.008263725302811303,0.2585682743010693,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42467947633699726
DCK,-0.022343640295192202,-0.43386964508213594,0.2585682743010693,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42467947633699726
GLO1,-0.11709332854115218,-0.23427700522480918,0.2585682743010693,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42467947633699726
PSMB8,0.03376307059896444,0.07281015014584882,0.2585682743010693,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42467947633699726
TIMM13,-0.10525857764779634,-0.19358673182348815,0.2585682743010693,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42467947633699726
CACNA1H,0.0,0.12934128639331513,0.26039294361048326,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42727528355596434
TP73,0.0,-0.13351696548238776,0.26039294361048326,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42727528355596434
EXOSC7,0.1533027995711418,0.0597422309028404,0.2610434500912957,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42727528355596434
CCDC32,-0.020656058832962287,-0.10402675469633706,0.26104426545782256,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42727528355596434
EIF4A3,-0.027617974719855276,-0.045043108730176355,0.26104426545782256,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42727528355596434
NFKBIE,0.05642014770987647,0.017824668259257336,0.26104426545782256,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42727528355596434
SI,-0.14837700613239324,-0.22407494116992013,0.26104426545782256,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42727528355596434
TNFRSF10B,-0.08953600205299805,-0.44469734706477154,0.26104426545782256,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42727528355596434
E2F1,0.0,0.27830826129715597,0.2622987191194901,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4291445395966968
CBS,0.0,0.10196751113734746,0.2626182904425206,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42922637643943046
SFRP1,0.0,0.12081279494210385,0.2626182904425206,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42922637643943046
COL7A1,0.0,0.2688583156306467,0.2626860925759784,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.42922637643943046
ABHD2,-0.07706573581298493,0.10880249350669341,0.26451415395422373,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.431290271526387
DAP3,-0.06733580959370578,-0.14758772546001245,0.26451415395422373,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.431290271526387
PCNA,0.016716070082338774,0.16680400680715401,0.26451415395422373,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.431290271526387
PMVK,-0.1295514628524952,-0.10063615572916557,0.26451415395422373,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.431290271526387
PPP4R3A,-0.08175324966880293,-0.07167904631166185,0.26451415395422373,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.431290271526387
MYBL2,0.0,0.22922639410262433,0.265156633625956,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4321532325150615
SDK2,0.0,0.16182602434546978,0.2659466461059248,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4332558037500277
ERN1,-0.1363898221205022,-0.44100550315336917,0.26724727516181646,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4344856144061517
PRKDC,0.2301793166939512,0.15070733402241068,0.26724727516181646,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4344856144061517
CCNT1,0.03080062309944953,0.08833043555641742,0.2674983478790821,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4344856144061517
COL4A2,-0.09908831827649012,-0.19043384794729418,0.2674983478790821,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4344856144061517
CSRNP2,0.0,0.16640834313429714,0.2674983478790821,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4344856144061517
LONRF3,-0.19649169287764323,-0.09357758055186628,0.2674983478790821,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4344856144061517
UQCC1,-0.2030662136591812,-0.010551637641490821,0.2674983478790821,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4344856144061517
PTPRG,-0.31055431993429794,-0.03328210795657132,0.27055140661468613,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4392576431511089
SERPINE2,0.0,-0.14319208289397975,0.27144531440365094,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4405215837919795
HMCN1,0.0,0.11324105111634161,0.2719476239947354,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4411492056047195
PRICKLE2,0.0,-0.12402039530323473,0.272095182736126,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4412010673338117
ADGRF2P,0.0,-0.07360407638639375,0.27332167829229814,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
AQP9,0.0,0.07829138831592544,0.27332167829229814,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
CRLF1,0.0,0.04997326598226971,0.27332167829229814,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
ECM2,0.0,-0.030015484207314744,0.27332167829229814,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
FAM13C,0.0,-0.02819297392594593,0.27332167829229814,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
KCNQ3,0.0,0.09372661575860776,0.27332167829229814,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
LRRC43,0.0,-0.03515235358606191,0.27332167829229814,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
MPO,0.0,-0.12312425801956325,0.27332167829229814,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
RGS7,0.0,0.10573038498382538,0.27332167829229814,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
MGRN1,0.04007223952171213,0.14693074359577754,0.2735508915740811,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
RHOT1,-0.0912170116692721,-0.2428799619498409,0.2735508915740811,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44149841570328435
PLB1,0.0,-0.16777970863580913,0.2758321294656614,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
CHRNB1,0.15853727359691838,0.3088620405682506,0.2766802325968456,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
COPS5,-0.040533019929028136,-0.14263489928626408,0.2766802325968456,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
GBP2,-0.1408306655138012,0.0868982150515477,0.2766802325968456,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
MBNL2,0.0572306638883644,0.014039525527649994,0.2766802325968456,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
MDM2,0.18785067065520256,0.022794231375840763,0.2766802325968456,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
PLA2G2A,-0.2420726141513212,-0.16224209804683534,0.2766802325968456,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
RAN,-0.08315884967705234,-0.045664876922888564,0.2766802325968456,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
TOP1,-0.11656844576418202,-0.1794195836252253,0.2766802325968456,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
GINS1,0.0,0.25735551029624504,0.27677204744647677,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
KRT80,0.0,0.21393105401028178,0.27677204744647677,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44462916881447884
RRAGD,0.0,-0.18520803992483734,0.2772406362261136,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44519457655661576
EGF,0.0,-0.17638933751988065,0.27760541836356367,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4455928855734746
RGS6,0.0,0.17385791669836834,0.2787073832496024,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4471736367649149
ADAM12,0.0,0.1863615437863138,0.2789649507806645,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44721092697597503
NNMT,0.0,0.1616167785998072,0.2789649507806645,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.44721092697597503
CALU,0.08647923157646353,-0.009290899831482121,0.2799553993478423,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4482339594424136
GCDH,0.16424377673465784,0.2622562684107378,0.2799553993478423,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4482339594424136
SLC9A8,-0.0929964854348877,-0.2036869147146834,0.2799553993478423,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4482339594424136
EPS8L2,-0.0273772945049906,0.11836581759666466,0.28290080075748847,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45143493164353404
ITGA2,0.16109397001069148,-0.14115763137354756,0.28290080075748847,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45143493164353404
OPTN,-0.032014002889924065,-0.04078434546366875,0.28290080075748847,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45143493164353404
SOCS1,-0.16290835821781346,-0.37578618962078914,0.28290080075748847,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45143493164353404
SSBP1,-0.060622731491337234,-0.17931516817887042,0.28290080075748847,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45143493164353404
THRAP3,-0.04181267930948618,-0.1504421120947036,0.28290080075748847,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45143493164353404
YTHDC1,0.0397955203742022,-0.06192802704957675,0.28290080075748847,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45143493164353404
ZBTB20,0.07616819942183106,-0.010328652482309067,0.28290080075748847,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45143493164353404
CHST3,0.0,-0.15872766559446624,0.2845026979112075,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
KLK8,0.0,0.17999828265946435,0.2845026979112075,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
STC2,0.0,-0.18628741932809004,0.2845026979112075,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
COL25A1,0.0,0.06932219169412121,0.28504940740261275,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
CSF3,0.0,0.07114545880269844,0.28504940740261275,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
FOXC2,0.0,0.06064151038308925,0.28504940740261275,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
FXYD2,0.0,0.06687237460427543,0.28504940740261275,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
IL6,0.0,0.07870748849578811,0.28504940740261275,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
NOS1,0.0,-0.017064116654023513,0.28504940740261275,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
PADI4,0.0,0.10666661978973277,0.28504940740261275,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
TNFAIP6,0.0,0.07216163237014477,0.28504940740261275,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45278135166698835
DCUN1D3,-0.15861673683737232,-0.1890243726685766,0.2853765978030359,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4531125099060682
CHST2,0.0,0.18155096722458464,0.2860033840207056,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.453541718656848
IGF1,0.0,-0.08302037872650718,0.2860033840207056,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.453541718656848
NAV3,0.0,-0.07672003948981002,0.2860033840207056,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.453541718656848
SURF6,0.052704415940983296,0.10261474249852721,0.2864610449197851,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4540788241108055
PADI1,0.0,-0.15685587583091745,0.28682732924443755,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4544706997617344
ASAP1,0.09809260123236996,0.22008196086260398,0.28751758176228515,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45456481734822557
INTS7,-0.09908831827649012,-0.0964554222549818,0.28751758176228515,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45456481734822557
ZC3H12D,-0.24565126780832935,-0.20793770931869623,0.28751758176228515,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45456481734822557
ADGRF1,0.07589263212265873,0.033277317420031066,0.28772035596366596,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45456481734822557
ARSB,0.37632694708329995,0.15918728254985703,0.28772035596366596,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45456481734822557
HLA-DQA1,0.037445144595515734,0.2842666807519463,0.28772035596366596,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45456481734822557
LIF,-0.2580336131644394,-0.13272280794125932,0.28772035596366596,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.45456481734822557
ARF1,-0.039563231820177513,-0.016473482976095053,0.289213247175212,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4559797457529055
DDR1,-0.07937707227926882,-0.03939871957955152,0.289213247175212,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4559797457529055
EREG,0.11573361512824132,0.2050943834639622,0.289213247175212,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4559797457529055
PPP1R7,-0.06536103730091991,-0.15572500479467777,0.289213247175212,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4559797457529055
RAD21,-0.10458109476838029,-0.05219124986316979,0.289213247175212,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4559797457529055
ACSM3,-0.027392805913830642,-0.22124346453765042,0.29252045056087816,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.46100353418285384
RSAD2,-0.20527967364919641,-0.17780960703220205,0.29306803574580065,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.46167589452815566
BCKDHA,0.0,0.2583265538827212,0.29430458645671864,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.46340701539793316
DHCR7,-0.1527050253320721,-0.08507638107423368,0.2944097491066251,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.46340701539793316
KCNAB2,0.0,0.2349441793166408,0.29487572721167077,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4639491553037705
HSPA1B,0.08640338756962151,0.1436903747491223,0.29561767606355716,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.46492487413868877
EGR2,0.0,-0.2774705102703295,0.2958991206765912,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4651758416896823
AMH,0.0,0.23077120063685988,0.29894375201959067,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4696370022196794
WIPF1,0.05642014770987647,0.13168148985725028,0.2989829487539484,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4696370022196794
CBX1,0.02679538414695193,0.1049663816690353,0.29977653955771355,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4699166535900586
FAR2,-0.16984639889256137,-0.22917329610868092,0.29977653955771355,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4699166535900586
LRPPRC,-0.07805204077697514,-0.3232167207083529,0.29977653955771355,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4699166535900586
SMARCA2,-0.05969869134324313,-0.12145367919641117,0.29977653955771355,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4699166535900586
TUBB,0.06579406586353098,-0.08541692802193,0.29977653955771355,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4699166535900586
SNAI1,0.0,0.1990292078743867,0.3002412845490545,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.47045196351549307
RAB4B,-0.16946537994073352,-0.27904092138831277,0.30097763353400153,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.47131865797506933
MMP7,0.0,0.09194655627475126,0.3010541816225988,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.47131865797506933
ORC5,0.0,-0.31216683894036096,0.30141180092144204,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.47131865797506933
RABEPK,-0.04477651277479078,-0.2297837236096731,0.30141180092144204,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.47131865797506933
TINF2,0.03116316262464114,0.17617033510962868,0.30141180092144204,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.47131865797506933
UGT1A1,0.0,-0.15879658374480948,0.3015688217495123,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4713710862481115
CCNG1,0.05574625584257209,0.005538619740855384,0.30211415864687297,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.4720301856549792
