database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations,strict_database_gate
PRISM,250,weighted,GSK923295,GSK923295,4,0,0,-0.08448616600790515,0.14600790513833994,-0.38241106719367585,-0.014782608695652172,-0.048418972332015815,none,tested,958.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,0,0,0,0,-0.09363636363636364,1010.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GTP-14564,GTP14564,4,3,3,0.09964882943143812,0.26270066889632104,-0.3417391304347826,0.3834782608695652,0.15391304347826085,none,tested,223.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,1,3,5,0.1260953177257525,121.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
PRISM,250,weighted,GW-3965,GW3965,4,3,2,0.1025974025974026,0.2158949745906268,-0.033766233766233764,0.3077357425183513,0.18961038961038962,TierB_moderate_candidate,tested,213.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,5,0,1,4,0.13733766233766234,107.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
PRISM,250,weighted,GW-405833,GW405833,4,2,1,-0.009881422924901188,0.17478260869565215,-0.11652173913043477,0.3217391304347825,-0.05335968379446641,none,tested,664.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,0,0,0,0,-0.024456521739130436,698.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GW-583340,GW583340,4,2,1,0.07846153846153844,0.1967307692307692,-0.09615384615384616,0.20153846153846153,-0.0030769230769230765,none,tested,285.0,0.07458508298340331,0.1026025960958479,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,1,0,0,1,-0.044615384615384626,771.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GW-788388,GW788388,4,1,0,-0.19660079051383395,0.10596837944664028,-0.3043478260869565,0.07826086956521738,-0.20347826086956516,none,tested,1267.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.11477272727272725,1029.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GW-842166,GW842166,4,0,0,-0.18086956521739128,0.1626254180602007,-0.3738461538461539,-0.06769230769230769,-0.23826086956521736,none,tested,1238.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.11710702341137122,1074.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GW-843682X,GW843682X,4,1,1,-0.12269230769230771,0.32134615384615384,-0.27692307692307694,0.2907692307692308,-0.0030769230769230765,none,tested,1093.0,0.0595880823835233,0.08845313342676676,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.17053418803418802,1218.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GZD824,GZD824,4,2,1,-0.029059829059829057,0.20231990231990227,-0.11355311355311355,0.2731623931623931,-0.09948717948717947,none,tested,738.0,0.7886422715456909,0.82193913054762,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.047185592185592186,800.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,HA14-1,HA141,4,4,3,0.07788537549407115,0.12942687747035575,0.001976284584980237,0.18873517786561267,0.13304347826086957,none,tested,288.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,5,0,0,2,0.08954545454545454,230.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
PRISM,250,weighted,HMN-214,HMN214,4,3,3,0.017435897435897435,0.11865384615384615,-0.3923076923076923,0.06999999999999999,0.019487179487179485,none,tested,524.0,0.10157968406318736,0.12377122381739375,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,1,0,0,0,-0.056688034188034184,839.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,I-BET-762,IBET762,4,0,0,-0.18762310754566128,0.19208072920392608,-0.3413473584425343,-0.09574377127046695,-0.27474299581960077,none,tested,1250.0,0.07278544291141771,0.10127661315336098,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.18391823706088783,1248.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,I-BET151,IBET151,4,3,2,0.043227424749163884,0.10701505016722405,-0.2869565217391304,0.13739130434782607,0.04384615384615385,none,tested,405.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,2,0,0,0,-0.0005267558528428123,569.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,ICG-001,ICG001,4,3,2,0.03038461538461538,0.10258547008547007,-0.06803418803418802,0.16923076923076924,0.059230769230769226,none,tested,459.0,0.09978004399120176,0.1229458905266917,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,0,1,3,0.10512820512820512,198.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,ICI-162846,ICI162846,4,3,3,0.12309429700734051,0.10982495765104462,-0.05590062111801244,0.19706380575945792,0.15415019762845852,TierB_moderate_candidate,tested,162.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,3,0,0,2,0.052900903444381704,363.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
