dataset,DRUG_NAME,n_overlap,n_OXA_R_like,n_OXA_S_like,spearman_r,spearman_p,pearson_r,pearson_p,median_LN_IC50_R,median_LN_IC50_S,delta_R_minus_S,mannwhitney_p,collateral_sensitivity_direction,spearman_p_BH,pearson_p_BH,mannwhitney_p_BH
GDSC2,AZD5438,45,23,22,0.5491436100131751,9.368743413179522e-05,0.6468731458932305,1.5776879292508703e-06,2.903529,2.1087735,0.7947555,0.008163697300907097,no,0.0005539778713880065,1.650504295216295e-05,0.029607008877956406
GDSC2,AZD5582,46,23,23,0.13191489361702127,0.38217501347517996,0.19027983135453772,0.20528625253649702,3.934801,2.947614,0.987187,0.281708239251961,no,0.3952532458754713,0.2155901957140046,0.3246806825276838
GDSC2,AZD5991,45,23,22,0.25494071146245056,0.09100420384763172,0.3394822135714297,0.022521646078661507,5.681722,5.0554285,0.6262935000000001,0.2707963988995815,no,0.10313809769398262,0.027844944242708773,0.31612283476689346
GDSC2,AZD6738,44,22,22,0.4876673713883016,0.0007859519767835754,0.5510368633743145,0.00010609598228944085,2.7975250000000003,1.3824815,1.4150435000000003,0.01417138825401233,no,0.0025449873533944347,0.00037971193661484094,0.04189801744664515
GDSC2,AZD7762,46,23,23,0.2857230958988591,0.054244800259283577,0.3843225765345545,0.008364393729403032,0.426646,-0.183844,0.61049,0.11369957401633143,no,0.06557593631344504,0.011490480274735478,0.1606113891819576
GDSC2,AZD8055,46,23,23,0.3811902559358618,0.008956451492138444,0.48258855086893404,0.000682347489633416,0.739774,-0.294397,1.0341710000000002,0.018738017827943133,no,0.016241032039077712,0.0015466543098357427,0.049482920866024585
GDSC2,AZD8186,44,22,22,0.344045102184637,0.02221090862204817,0.361265420432516,0.01597998519326821,3.960122,3.096016,0.864106,0.044759294575572275,no,0.032134931623388846,0.02031100921761193,0.08886516879237708
GDSC2,Acetalax,45,23,22,-0.0051383399209486156,0.9732764573412778,0.049040100295947325,0.7490394005928743,3.509098,4.0943305,-0.5852325,0.5625909134281957,yes,0.9732764573412778,0.7602190931390366,0.5885566478941123
GDSC2,Afatinib,46,23,23,0.5518963922294172,7.010385699481767e-05,0.5017867515972858,0.0003811423637497922,1.749621,1.130759,0.618862,0.010158287246707833,no,0.0004663612510263084,0.0009648062738467653,0.03411177939635223
GDSC2,Afuresertib,44,22,22,0.3730796335447498,0.012621589281398957,0.5199372190687364,0.0002977318258309923,2.6952425,1.933863,0.7613794999999999,0.12418143107063691,no,0.020806498694184945,0.0008098305662602991,0.1688867462560662
GDSC2,Alisertib,46,23,23,0.3634289238359543,0.013042793691372517,0.39443776540743297,0.006677187159313109,2.662515,1.485267,1.177248,0.14103840489970726,no,0.02137132460273087,0.009609496864196643,0.18693908171177825
GDSC2,Alpelisib,46,23,23,0.4975023126734505,0.0004353335093660356,0.5510572844206382,7.22823845876671e-05,4.22002,3.180765,1.0392549999999998,0.041039195674426314,no,0.0017941017355691165,0.000284939255186166,0.08586662479572274
GDSC2,Avagacestat,45,22,23,0.2330698287220026,0.12336800712679534,0.311568188045062,0.037212867713424067,5.3160845000000005,4.887107,0.42897750000000023,0.2610401055325573,no,0.13585464752424428,0.04307191497043126,0.307371899155219
