module,subtype,members,n_members,mean_nes_subtype,mean_nes_other,delta_nes_subtype_vs_other,subtype_direction
COESSENTIALITY::1037::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.9171120778529079,-0.2617855236101329,1.1788976014630408,higher_vulnerability
COESSENTIALITY::1037::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.2617855236101329,0.9171120778529079,-1.1788976014630408,lower_vulnerability
COESSENTIALITY::1038::biological process:negative regulation of cell differentiation,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.0314835858291131,0.5908904023695273,0.44059318345958587,higher_vulnerability
COESSENTIALITY::1038::biological process:negative regulation of cell differentiation,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.5908904023695273,1.0314835858291131,-0.44059318345958587,lower_vulnerability
COESSENTIALITY::1039::biological process:antibacterial humoral response,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.4592700927405489,-1.3276424021970916,1.7869124949376405,higher_vulnerability
COESSENTIALITY::1039::biological process:antibacterial humoral response,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-1.3276424021970916,0.4592700927405489,-1.7869124949376405,lower_vulnerability
COESSENTIALITY::103::biological process:glycogen metabolic process,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.20909019087014988,-0.7367621112025523,0.5276719203324024,higher_vulnerability
COESSENTIALITY::103::biological process:glycogen metabolic process,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.7367621112025523,-0.20909019087014988,-0.5276719203324024,lower_vulnerability
COESSENTIALITY::1040::biological process:regulation of immune response,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.4704276115107348,0.6330425097578358,-1.1034701212685707,lower_vulnerability
COESSENTIALITY::1040::biological process:regulation of immune response,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.6330425097578358,-0.4704276115107348,1.1034701212685707,higher_vulnerability
COESSENTIALITY::1041::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.3605161776977848,0.093452173433151,-1.4539683511309358,lower_vulnerability
COESSENTIALITY::1041::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.093452173433151,-1.3605161776977848,1.4539683511309358,higher_vulnerability
COESSENTIALITY::1042::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.46129555506722547,-0.23414672820278182,0.6954422832700073,higher_vulnerability
COESSENTIALITY::1042::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.23414672820278182,0.46129555506722547,-0.6954422832700073,lower_vulnerability
COESSENTIALITY::1043::biological process:protein heterooligomerization,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.5877291467671164,1.1772877946717886,-2.7650169414389048,lower_vulnerability
COESSENTIALITY::1043::biological process:protein heterooligomerization,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.1772877946717886,-1.5877291467671164,2.7650169414389048,higher_vulnerability
COESSENTIALITY::1044::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.25448854646079594,0.23694004634162347,0.017548500119172472,higher_vulnerability
COESSENTIALITY::1044::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.23694004634162347,0.25448854646079594,-0.017548500119172472,lower_vulnerability
COESSENTIALITY::1045::biological process:positive regulation of protein serine/threonine kinase activity,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.34312612150423627,-0.44824020363152567,0.7913663251357619,higher_vulnerability
COESSENTIALITY::1045::biological process:positive regulation of protein serine/threonine kinase activity,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.44824020363152567,0.34312612150423627,-0.7913663251357619,lower_vulnerability
COESSENTIALITY::1046::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.30190053445762616,-1.0864816553380292,0.784581120880403,higher_vulnerability
COESSENTIALITY::1046::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-1.0864816553380292,-0.30190053445762616,-0.784581120880403,lower_vulnerability
COESSENTIALITY::1047::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.4366446546845158,-0.09536014541856197,0.5320048001030777,higher_vulnerability
COESSENTIALITY::1047::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.09536014541856197,0.4366446546845158,-0.5320048001030777,lower_vulnerability
COESSENTIALITY::1048::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.05603229905432746,0.5241017857589066,-0.5801340848132341,lower_vulnerability
COESSENTIALITY::1048::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.5241017857589066,-0.05603229905432746,0.5801340848132341,higher_vulnerability
COESSENTIALITY::1049::cellular component:perikaryon,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.5021253825323218,0.44845837589071413,1.0536670066416076,higher_vulnerability
COESSENTIALITY::1049::cellular component:perikaryon,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.44845837589071413,1.5021253825323218,-1.0536670066416076,lower_vulnerability
COESSENTIALITY::104::cellular component:basal plasma membrane,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.3300432661691168,0.38962556047106817,-0.7196688266401849,lower_vulnerability
COESSENTIALITY::104::cellular component:basal plasma membrane,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.38962556047106817,-0.3300432661691168,0.7196688266401849,higher_vulnerability
COESSENTIALITY::1050::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.3070090989890208,0.08673910873598167,0.22026999025303912,higher_vulnerability
COESSENTIALITY::1050::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.08673910873598167,0.3070090989890208,-0.22026999025303912,lower_vulnerability
COESSENTIALITY::1051::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.4579035846152794,0.5904445788197088,-1.0483481634349883,lower_vulnerability
COESSENTIALITY::1051::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.5904445788197088,-0.4579035846152794,1.0483481634349883,higher_vulnerability
COESSENTIALITY::1052::biological process:endoplasmic reticulum unfolded protein response,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.5621559234895493,0.3995261044205966,-0.9616820279101459,lower_vulnerability
COESSENTIALITY::1052::biological process:endoplasmic reticulum unfolded protein response,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.3995261044205966,-0.5621559234895493,0.9616820279101459,higher_vulnerability
COESSENTIALITY::1053::biological process:ion transport,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.1948429092760529,-0.9605345165153616,2.1553774257914142,higher_vulnerability
COESSENTIALITY::1053::biological process:ion transport,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.9605345165153616,1.1948429092760529,-2.1553774257914142,lower_vulnerability
COESSENTIALITY::1054::biological process:response to organic substance,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.0373559523289326,0.4215388945371732,-1.4588948468661058,lower_vulnerability
