dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,tumor,endothelial,16,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,9.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,tumor,epithelial,224,31.0,52.0,65.0,3.0,0.0,81.0,6.0,55.0,149.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,tumor,fibroblast,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,tumor,myeloid,1001,34.0,111.0,101.0,0.0,3.0,239.0,559.0,148.0,533.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,normal,endothelial,150,14.0,7.0,21.0,1.0,0.0,88.0,11.0,49.0,242.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,normal,epithelial,484,189.0,141.0,247.0,58.0,3.0,163.0,41.0,96.0,397.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,normal,fibroblast,22,0.0,0.0,3.0,0.0,0.0,2.0,5.0,2.0,23.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,normal,myeloid,253,8.0,3.0,1.0,0.0,1.0,51.0,22.0,18.0,119.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,tumor,endothelial,19,3.0,3.0,5.0,0.0,0.0,12.0,0.0,10.0,36.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,tumor,epithelial,91,15.0,30.0,19.0,5.0,0.0,26.0,3.0,22.0,56.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,tumor,fibroblast,73,9.0,12.0,0.0,0.0,1.0,53.0,6.0,32.0,114.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,tumor,myeloid,736,35.0,71.0,25.0,1.0,1.0,195.0,390.0,77.0,286.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,normal,endothelial,141,6.0,6.0,10.0,0.0,0.0,89.0,28.0,48.0,181.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,normal,epithelial,467,156.0,257.0,231.0,119.0,3.0,215.0,73.0,116.0,302.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,normal,fibroblast,58,1.0,2.0,1.0,0.0,0.0,9.0,8.0,8.0,69.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,normal,myeloid,116,4.0,4.0,1.0,0.0,0.0,27.0,19.0,10.0,41.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,tumor,endothelial,94,3.0,4.0,2.0,1.0,0.0,67.0,3.0,32.0,97.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,tumor,epithelial,45,12.0,19.0,13.0,13.0,0.0,15.0,1.0,12.0,31.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,tumor,fibroblast,48,3.0,8.0,0.0,0.0,0.0,26.0,10.0,29.0,48.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,tumor,myeloid,1275,103.0,199.0,182.0,4.0,3.0,693.0,1335.0,294.0,1047.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,normal,endothelial,6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,normal,epithelial,266,36.0,19.0,32.0,19.0,1.0,54.0,20.0,32.0,43.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,normal,fibroblast,31,3.0,0.0,1.0,0.0,0.0,11.0,2.0,3.0,12.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,normal,myeloid,28,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,tumor,endothelial,14,1.0,2.0,1.0,0.0,0.0,7.0,1.0,3.0,19.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,tumor,epithelial,512,58.0,91.0,104.0,46.0,0.0,108.0,16.0,66.0,240.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,tumor,fibroblast,12,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,tumor,myeloid,206,4.0,5.0,1.0,0.0,0.0,51.0,24.0,20.0,88.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,normal,endothelial,46,4.0,2.0,7.0,0.0,1.0,44.0,7.0,20.0,111.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,normal,epithelial,287,152.0,68.0,209.0,41.0,0.0,113.0,40.0,55.0,253.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,normal,fibroblast,9,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,12.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,normal,myeloid,82,1.0,1.0,0.0,0.0,1.0,10.0,9.0,10.0,41.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,tumor,endothelial,21,4.0,3.0,2.0,0.0,0.0,16.0,2.0,16.0,42.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,tumor,epithelial,299,66.0,48.0,82.0,25.0,0.0,80.0,7.0,55.0,201.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,tumor,fibroblast,13,4.0,0.0,3.0,0.0,0.0,5.0,2.0,7.0,13.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,tumor,myeloid,184,10.0,21.0,1.0,1.0,0.0,51.0,113.0,29.0,144.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,normal,endothelial,3,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,normal,epithelial,201,65.0,69.0,113.0,39.0,0.0,102.0,31.0,22.0,107.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,normal,fibroblast,21,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,13.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,normal,myeloid,47,4.0,2.0,0.0,0.0,0.0,12.0,12.0,2.0,33.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,tumor,endothelial,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,tumor,epithelial,85,13.0,8.0,11.0,0.0,0.0,17.0,5.0,13.0,62.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,tumor,fibroblast,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,tumor,myeloid,215,12.0,19.0,3.0,0.0,0.0,60.0,51.0,33.0,92.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,normal,endothelial,27,3.0,0.0,2.0,0.0,0.0,6.0,5.0,6.0,39.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,normal,epithelial,626,302.0,273.0,514.0,117.0,2.0,227.0,113.0,95.0,379.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,normal,fibroblast,28,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,16.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,normal,myeloid,31,2.0,1.0,1.0,0.0,0.0,6.0,5.0,3.0,8.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,tumor,endothelial,9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,tumor,epithelial,154,33.0,21.0,40.0,17.0,0.0,30.0,9.0,26.0,114.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,tumor,fibroblast,2,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,tumor,myeloid,426,24.0,34.0,8.0,0.0,1.0,94.0,270.0,34.0,240.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C118,C118,tumor,endothelial,13,4.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,11.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C118,C118,tumor,epithelial,261,59.0,61.0,70.0,30.0,0.0,60.0,5.0,61.0,240.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C118,C118,tumor,fibroblast,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C118,C118,tumor,myeloid,544,40.0,80.0,24.0,3.0,1.0,228.0,309.0,83.0,443.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,normal,epithelial,22,5.0,2.0,7.0,5.0,0.0,6.0,1.0,2.0,14.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,normal,fibroblast,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,normal,myeloid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,tumor,epithelial,36,6.0,1.0,11.0,3.0,0.0,4.0,3.0,1.0,9.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,tumor,fibroblast,2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,tumor,myeloid,39,0.0,3.0,0.0,0.0,0.0,8.0,14.0,6.0,11.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,normal,endothelial,100,7.0,1.0,14.0,0.0,0.0,35.0,8.0,28.0,96.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,normal,epithelial,1497,440.0,249.0,636.0,117.0,2.0,341.0,268.0,147.0,588.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,normal,fibroblast,97,2.0,3.0,3.0,0.0,0.0,24.0,11.0,7.0,63.0
