gene_symbol,ml_rank,stable_ml_flag,ml_priority_score,expression_measured,cross_rank,cross_support_flag,ppi_pathway_candidate,independent_datasets_significant_fdr_lt_0_05,representative_term_count,hub_rank,cross_rank_score,candidate_tier,consensus_direction,stable_ml,tier1,ppi_pathway_candidate_flag,transcriptomic_replicated_ge2,crossrank_top20,overlap_group_stable_vs_tier1
CD86,80,False,0.324552373926584,True,34,False,False,2,10,21.0,0.6040109283637607,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
CEBPA,56,False,0.43244181144896376,True,28,False,False,2,16,26.0,0.637624162565851,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
COPS5,53,False,0.43244181144896376,True,67,False,False,3,6,64.0,0.3920185620479922,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
CXCR4,92,False,0.20482828920545848,True,54,False,False,1,14,28.0,0.4760051336469252,Tier 4: other,normal_high,False,False,False,False,False,neither
CYP11B1,76,False,0.324552373926584,True,78,False,False,1,9,73.0,0.2444360818725842,Tier 4: other,mixed_or_flat,False,False,False,False,False,neither
CYP17A1,61,False,0.4317353681451079,True,76,False,False,1,7,59.0,0.2482698407597105,Tier 4: other,mixed_or_flat,False,False,False,False,False,neither
CYP3A4,44,False,0.6156564374541913,True,40,False,False,3,11,61.0,0.56639463432995,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
DUSP1,25,False,0.6981581732769347,True,65,False,False,3,7,71.0,0.39753096803616617,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
FABP1,36,False,0.6159318101168869,True,47,False,False,3,9,62.0,0.503695415482141,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
FDPS,73,False,0.324552373926584,True,52,False,False,3,9,66.0,0.4837257587733267,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
G6PD,27,False,0.6981581732769347,True,32,False,False,3,11,51.0,0.6146165362577758,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
GATA2,65,False,0.4317353681451079,True,29,False,False,3,21,69.0,0.637095452404198,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
GJB2,84,False,0.20482828920545848,True,85,False,False,1,4,83.0,0.14695985674836348,Tier 4: other,tumor_high,False,False,False,False,False,neither
GPX1,62,False,0.4317353681451079,True,92,False,False,2,0,,0.0,"Tier 2b: replicated, no representative pathway",tumor_high,False,False,False,True,False,neither
GRN,29,False,0.6981581732769347,True,59,False,False,3,14,84.0,0.4505198128149029,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
GSR,34,False,0.6981581732769347,True,74,False,False,1,7,57.0,0.2779685592785346,Tier 4: other,normal_high,False,False,False,False,False,neither
GUCY2C,51,False,0.5274645876605155,True,84,False,False,2,3,85.0,0.150904550833032,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
HMGCR,48,False,0.5274645876605155,True,44,False,False,2,12,41.0,0.5261622442848308,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
HSPA9,77,False,0.324552373926584,True,56,False,False,3,9,68.0,0.47309095972358484,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
IL33,70,False,0.324552373926584,True,55,False,False,1,15,35.0,0.4751434407789193,Tier 4: other,normal_high,False,False,False,False,False,neither
IL4,69,False,0.3321666731095637,True,26,False,True,1,24,11.0,0.651916909875006,Tier 3: PPI/pathway only,normal_high,False,False,True,False,False,neither
IL5,42,False,0.6156564374541913,True,45,False,False,2,10,25.0,0.5182277658140549,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
LDLR,30,False,0.6981581732769347,True,63,False,False,3,18,87.0,0.44398832190564963,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
LEPR,49,False,0.5274645876605155,True,15,False,False,3,14,43.0,0.7242091887528062,Tier 2: replicated + pathway,normal_high,False,False,False,True,True,neither
MIR143,52,False,0.5274645876605155,True,97,False,False,0,0,88.0,0.0,Tier 4: other,mixed_or_flat,False,False,False,False,False,neither
MMP2,67,False,0.4317353681451079,True,93,False,False,0,13,31.0,0.0,Tier 4: other,normal_high,False,False,False,False,False,neither
MUC2,31,False,0.6981581732769347,True,87,False,False,1,4,89.0,0.1395992623373357,Tier 4: other,normal_high,False,False,False,False,False,neither
NFE2L2,39,False,0.6159318101168869,True,48,False,False,1,15,24.0,0.5017281426034634,Tier 4: other,tumor_high,False,False,False,False,False,neither
NLRP3,93,False,0.20482828920545848,True,27,False,False,3,10,36.0,0.6425604096088339,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
NOS3,22,False,0.7759040422874461,True,8,False,False,3,21,45.0,0.7831043009378256,Tier 2: replicated + pathway,tumor_high,False,False,False,True,True,neither
NR1I2,88,False,0.20482828920545848,True,80,False,False,1,5,60.0,0.22557789088719177,Tier 4: other,normal_high,False,False,False,False,False,neither
NR3C1,19,False,0.7761734969179244,True,49,False,False,3,6,29.0,0.49885189033395994,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
NR4A1,71,False,0.324552373926584,True,33,False,False,3,14,50.0,0.6040436324045612,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
PGR,47,False,0.5274645876605155,True,50,False,False,3,7,47.0,0.4943522536782844,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
PPARD,20,False,0.7761734969179244,True,43,False,False,2,11,52.0,0.5329977574693783,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
RBFOX1,46,False,0.5274645876605155,True,89,False,False,1,3,90.0,0.11455877371635881,Tier 4: other,normal_high,False,False,False,False,False,neither
RYR1,68,False,0.4317353681451079,True,79,False,False,2,8,91.0,0.22911754743271762,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
SIRT1,94,False,0.20482828920545848,True,25,False,True,1,23,10.0,0.6520011259862484,Tier 3: PPI/pathway only,normal_high,False,False,True,False,False,neither
SIRT3,95,False,0.20482828920545848,True,75,False,False,3,5,78.0,0.2605279020787816,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
SLC2A1,26,False,0.6981581732769347,True,18,False,False,3,17,53.0,0.72002172448698,Tier 2: replicated + pathway,tumor_high,False,False,False,True,True,neither
SLC2A3,45,False,0.5286689871320777,True,90,False,False,1,4,92.0,0.10426679947573583,Tier 4: other,tumor_high,False,False,False,False,False,neither
SORBS1,41,False,0.6156564374541913,True,82,False,False,3,6,93.0,0.1940090467517625,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
SQSTM1,89,False,0.20482828920545848,True,53,False,False,1,17,38.0,0.48092188492980315,Tier 4: other,tumor_high,False,False,False,False,False,neither
STAT6,74,False,0.324552373926584,True,60,False,False,1,12,27.0,0.44986239088824465,Tier 4: other,tumor_high,False,False,False,False,False,neither
TIMP2,59,False,0.43244181144896376,True,68,False,False,3,5,56.0,0.3853849469811033,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
TNC,90,False,0.20482828920545848,True,86,False,False,1,10,94.0,0.14259586508960093,Tier 4: other,normal_high,False,False,False,False,False,neither
TNF,79,False,0.324552373926584,True,23,False,True,1,39,2.0,0.6885627726879282,Tier 3: PPI/pathway only,normal_high,False,False,True,False,False,neither
TPM1,24,False,0.7759040422874461,True,83,False,False,3,8,95.0,0.181850717909535,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
TXN,75,False,0.324552373926584,True,46,False,False,3,7,42.0,0.5103100015031348,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
WNT4,91,False,0.20482828920545848,True,88,False,False,2,10,96.0,0.12456896209444802,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
