external_priority_rank,model_id,model_number,selector_name,classifier_name,feature_normalization,cv_grouping,requested_features,selective_selector,full_train_selected_feature_count,full_train_selected_features,internal_cv_folds,internal_roc_auc_mean,internal_roc_auc_sd,internal_pr_auc_mean,internal_pr_auc_sd,internal_balanced_accuracy_mean,internal_balanced_accuracy_sd,internal_f1_mean,internal_f1_sd,internal_sensitivity_mean,internal_sensitivity_sd,internal_specificity_mean,internal_specificity_sd,GSE10950_roc_auc,GSE10950_pr_auc,GSE10950_balanced_accuracy,GSE10950_f1,GSE10950_sensitivity,GSE10950_specificity,GSE74602_roc_auc,GSE74602_pr_auc,GSE74602_balanced_accuracy,GSE74602_f1,GSE74602_sensitivity,GSE74602_specificity,external_mean_roc_auc,external_mean_pr_auc,external_mean_balanced_accuracy,external_auc_ge_0_75_both_datasets,external_validation_qualified
15,M055_f_classif_top95__logistic_l2,55,f_classif_top95,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,95,True,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9965277777777778,0.9965972222222222,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,0.9977777777777778,0.9978136200716845,0.95,0.9523809523809523,1.0,0.9,0.9971527777777778,0.9972054211469534,0.9645833333333333,True,True
16,M075_mutual_info_top20__linear_svm,75,mutual_info_top20,linear_svm,within_sample_rank_percentile_0_to_1,patient_group,20,True,20,ACACA;ACLY;ADIPOQ;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FAS;IL1A;INHBA;MKI67;NOS3;RXRA;TIMP1;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9965277777777778,0.9965972222222222,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,0.9966666666666667,0.9968055555555555,0.9333333333333333,0.9375,1.0,0.8666666666666667,0.9965972222222222,0.9967013888888889,0.95625,True,True
17,M020_f_classif_top20__logistic_l1,20,f_classif_top20,logistic_l1,within_sample_rank_percentile_0_to_1,patient_group,20,True,20,ACLY;AGTR1;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FAS;FASN;IL1A;INHBA;MKI67;NR3C1;PPARD;RXRA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9965277777777777,0.9967948717948718,0.5416666666666666,0.15384615384615385,0.08333333333333333,1.0,0.9966666666666667,0.9966641947843282,0.9,0.8888888888888888,0.8,1.0,0.9965972222222221,0.9967295332896,0.7208333333333333,True,True
18,M073_mutual_info_top20__logistic_l2,73,mutual_info_top20,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,20,True,20,ACACA;ACLY;ADIPOQ;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FAS;IL1A;INHBA;MKI67;NOS3;RXRA;TIMP1;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9930555555555556,0.9928916886253842,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,1.0,1.0,0.9833333333333334,0.9836065573770492,1.0,0.9666666666666667,0.9965277777777778,0.9964458443126921,0.9812500000000001,True,True
19,M010_f_classif_top10__logistic_l2,10,f_classif_top10,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,10,True,10,ANGPT2;BMP2;CD36;CNR1;EPAS1;FASN;INHBA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9930555555555556,0.9928916886253842,0.9375,0.9361702127659575,0.9166666666666666,0.9583333333333334,0.9988888888888889,0.9989247311827957,0.9833333333333334,0.9830508474576272,0.9666666666666667,1.0,0.9959722222222223,0.9959082099040899,0.9604166666666667,True,True
20,M087_mutual_info_top40__extra_trees,87,mutual_info_top40,extra_trees,within_sample_rank_percentile_0_to_1,patient_group,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BMP2;CAT;CD36;CD80;CEBPB;CNR1;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GRN;GSR;IL13;IL18;IL1A;IL1B;INHBA;LDLR;MKI67;MUC2;NFE2L2;NOS3;NR3C1;PPARD;RXRA;SLC2A1;STAT3;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.990451388888889,0.9853159310496267,0.5,0.6666666666666666,1.0,0.0,1.0,0.9999999999999999,0.6,0.7142857142857143,1.0,0.2,0.9952256944444444,0.9926579655248133,0.55,True,True
21,M029_f_classif_top40__logistic_l1,29,f_classif_top40,logistic_l1,within_sample_rank_percentile_0_to_1,patient_group,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BMP2;CAT;CD36;CD80;CEBPB;CNR1;CYP3A4;DUSP1;EPAS1;FAS;FASN;G6PD;GRN;GSR;IL13;IL18;IL1A;IL5;INHBA;LDLR;MKI67;MUC2;NOS3;NR3C1;PPARD;PPARG;RXRA;SLC2A1;SLC2A3;SORBS1;TIMP1;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9947916666666666,0.9950587606837608,0.5208333333333334,0.08,0.041666666666666664,1.0,0.9955555555555555,0.995473718593852,0.9166666666666667,0.9090909090909091,0.8333333333333334,1.0,0.9951736111111111,0.9952662396388063,0.71875,True,True
22,M083_mutual_info_top40__logistic_l1,83,mutual_info_top40,logistic_l1,within_sample_rank_percentile_0_to_1,patient_group,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BMP2;CAT;CD36;CD80;CEBPB;CNR1;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GRN;GSR;IL13;IL18;IL1A;IL1B;INHBA;LDLR;MKI67;MUC2;NFE2L2;NOS3;NR3C1;PPARD;RXRA;SLC2A1;STAT3;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9947916666666666,0.9950587606837608,0.5208333333333334,0.08,0.041666666666666664,1.0,0.9955555555555555,0.995473718593852,0.9166666666666667,0.9090909090909091,0.8333333333333334,1.0,0.9951736111111111,0.9952662396388063,0.71875,True,True
23,M012_f_classif_top10__linear_svm,12,f_classif_top10,linear_svm,within_sample_rank_percentile_0_to_1,patient_group,10,True,10,ANGPT2;BMP2;CD36;CNR1;EPAS1;FASN;INHBA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9913194444444444,0.9913532270869228,0.8958333333333334,0.8888888888888888,0.8333333333333334,0.9583333333333334,0.9988888888888889,0.9989247311827957,0.8666666666666667,0.8461538461538461,0.7333333333333333,1.0,0.9951041666666667,0.9951389791348593,0.8812500000000001,True,True
24,M093_mutual_info_top60__linear_svm,93,mutual_info_top60,linear_svm,within_sample_rank_percentile_0_to_1,patient_group,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;ATF4;BECN1;BMP2;BSCL2;CAT;CD36;CD80;CEBPB;CNR1;CYP17A1;CYP3A4;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GATA2;GPX1;GRN;GSR;GUCY2C;HMGCR;IL13;IL18;IL1A;IL1B;IL4;IL5;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;PPARG;RBFOX1;RXRA;RYR1;SLC2A1;SORBS1;SREBF1;STAT3;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9895833333333334,0.9888242283079239,0.9583333333333333,0.96,1.0,0.9166666666666666,1.0,1.0,0.9833333333333334,0.9836065573770492,1.0,0.9666666666666667,0.9947916666666667,0.9944121141539619,0.9708333333333333,True,True
25,M047_f_classif_top80__logistic_l1,47,f_classif_top80,logistic_l1,within_sample_rank_percentile_0_to_1,patient_group,80,True,80,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ANGPT2;AR;ATF4;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NOS3;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RXRA;RYR1;SLC2A1;SLC2A3;SORBS1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNF;TP53;TPM1;TXN;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9930555555555555,0.9932471664808622,0.5416666666666666,0.15384615384615385,0.08333333333333333,1.0,0.9955555555555555,0.995473718593852,0.9166666666666667,0.9090909090909091,0.8333333333333334,1.0,0.9943055555555556,0.9943604425373571,0.7291666666666667,True,True
26,M092_mutual_info_top60__logistic_l1,92,mutual_info_top60,logistic_l1,within_sample_rank_percentile_0_to_1,patient_group,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;ATF4;BECN1;BMP2;BSCL2;CAT;CD36;CD80;CEBPB;CNR1;CYP17A1;CYP3A4;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GATA2;GPX1;GRN;GSR;GUCY2C;HMGCR;IL13;IL18;IL1A;IL1B;IL4;IL5;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;PPARG;RBFOX1;RXRA;RYR1;SLC2A1;SORBS1;SREBF1;STAT3;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9930555555555555,0.9932471664808622,0.5416666666666666,0.15384615384615385,0.08333333333333333,1.0,0.9955555555555555,0.995473718593852,0.9166666666666667,0.9090909090909091,0.8333333333333334,1.0,0.9943055555555556,0.9943604425373571,0.7291666666666667,True,True
27,M038_f_classif_top60__logistic_l1,38,f_classif_top60,logistic_l1,within_sample_rank_percentile_0_to_1,patient_group,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;BECN1;BMP2;CAT;CCR7;CD36;CD80;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GRN;GSR;GUCY2C;HMGCR;IFNG;IL13;IL18;IL1A;IL1B;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP9;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;PPARG;RBFOX1;RXRA;SLC2A1;SLC2A3;SORBS1;STAT3;TIMP1;TIMP2;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9930555555555555,0.9932471664808622,0.5208333333333334,0.08,0.041666666666666664,1.0,0.9955555555555555,0.995473718593852,0.9166666666666667,0.9090909090909091,0.8333333333333334,1.0,0.9943055555555556,0.9943604425373571,0.71875,True,True
