database,DRUG_NAME,drug_key,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations
GDSC1,TAK-715,TAK715,6,5,1,0,0,2,0.03914542072436808,201.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,TANK_1366,TANK1366,6,6,6,6,6,6,0.24499124630703578,7.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,THZ-2-102-1,THZ21021,6,5,5,0,2,5,0.0804833028517239,143.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,THZ-2-49,THZ249,6,6,4,0,4,5,0.12384000541895279,78.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,TL-1-85,TL185,6,6,6,3,5,6,0.15015774884195934,47.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,TL-2-105,TL2105,6,6,6,5,6,6,0.19268154794470582,18.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,TPCA-1,TPCA1,6,5,3,0,0,4,0.06271200350147718,163.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,TTK_3146,TTK3146,6,6,6,4,6,6,0.15650873545610386,42.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,TW 37,TW37,6,6,3,3,4,6,0.13250446803078383,67.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,TWS119,TWS119,6,5,2,0,1,4,0.07179851916694022,151.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Talazoparib,TALAZOPARIB,6,5,4,0,0,5,0.08082368082368081,142.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Tamoxifen,TAMOXIFEN,6,6,1,0,2,5,0.0596427399058978,152.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Tanespimycin,TANESPIMYCIN,6,4,1,0,0,3,0.03755881387460335,176.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Temozolomide,TEMOZOLOMIDE,6,6,1,0,0,3,0.03568497647445016,197.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Temsirolimus,TEMSIROLIMUS,6,4,2,0,0,3,0.030587774008826632,214.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Tenovin-6,TENOVIN6,6,6,6,4,4,6,0.13553634606266185,44.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Thapsigargin,THAPSIGARGIN,6,0,0,0,0,0,-0.06926793659621802,310.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Tipifarnib,TIPIFARNIB,6,0,0,0,0,0,-0.016852057842046714,276.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Tivozanib,TIVOZANIB,6,5,0,0,0,3,0.0486878578983842,196.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Torin 2,TORIN2,6,1,0,0,0,0,-0.12279127867363163,328.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Trametinib,TRAMETINIB,6,6,6,0,1,6,0.05935186198344093,137.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Tretinoin,TRETINOIN,6,3,2,0,0,2,-0.017604822867980763,285.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Trichostatin A,TRICHOSTATINA,6,6,6,0,2,6,0.0750965250965251,137.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Tubastatin A,TUBASTATINA,6,6,6,0,1,6,0.08849436481015427,121.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,UNC0638,UNC0638,6,6,0,0,0,2,0.022612817221289622,231.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,UNC0642,UNC0642,6,5,5,2,3,5,0.12428842504743834,89.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,UNC1215,UNC1215,6,6,6,6,6,6,0.18245066929277456,20.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,VNLG/124,VNLG124,6,5,5,3,4,5,0.14634168581537,67.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,VX-11e,VX11E,6,6,4,0,1,4,0.06937301674143778,149.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
