definition,n_paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,p_value,direction,donor_consistency,gene,in_frozen_core,in_kegg_ppar,in_reactome_pparalpha,in_peroxisomal_lipid,PPAR_family,pathway_membership,module,median_delta,P,BH_FDR
ACAT2,36,-0.493613150459494,-0.14775627276760073,0.1568159700545948,down,0.5555555555555556,ACAT2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism;Hallmark cholesterol homeostasis,other_ppar_pathway,-0.14775627276760073,0.1568159700545948,0.2157954278184911
ACO2,36,-0.6198379351361175,-0.6462734826948968,3.987224772572517e-09,down,0.9444444444444444,ACO2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.6462734826948968,3.987224772572517e-09,4.428667515250189e-08
ACOT2,36,-0.224044763451244,-0.20350557240940859,0.2030111110652797,down,0.5833333333333334,ACOT2,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.20350557240940859,0.2030111110652797,0.27331798935628565
ACOT7,36,-0.45921124443463923,-0.3485577453885562,3.049665247090161e-05,down,0.8611111111111112,ACOT7,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation,other_ppar_pathway,-0.3485577453885562,3.049665247090161e-05,0.00010656695413989213
ACOT8,36,-0.8050524530415448,-0.5976284909696732,1.2977689038962126e-06,down,0.8611111111111112,ACOT8,False,False,False,True,PPAR_related,Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,peroxisome,-0.5976284909696732,1.2977689038962126e-06,6.306345767370658e-06
ACOX1,36,-1.3608197116692178,-1.1861886258442143,2.0372681319713593e-09,down,0.9444444444444444,ACOX1,False,True,True,True,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,fatty_acid_oxidation,-1.1861886258442143,2.0372681319713593e-09,2.5343615561723708e-08
ACOX2,36,-0.6121119050846602,-0.3129028393358584,0.007968038174457988,down,0.6388888888888888,ACOX2,False,True,False,True,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome peroxisomal lipid metabolism,fatty_acid_oxidation,-0.3129028393358584,0.007968038174457988,0.015585282215449272
ACSL1,36,-0.13252277065969575,-0.05778364047750584,0.5706635903334245,down,0.5555555555555556,ACSL1,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.05778364047750584,0.5706635903334245,0.6407089407714622
ACSL3,36,0.024677667641449692,0.16709455043750943,0.07973560818936676,up,0.6388888888888888,ACSL3,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,other_ppar_pathway,0.16709455043750943,0.07973560818936676,0.11808463879472886
ACSL4,36,0.46003457062686465,0.540794171503094,0.03483076274278574,up,0.75,ACSL4,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Hallmark fatty acid metabolism,other_ppar_pathway,0.540794171503094,0.03483076274278574,0.05671396446600191
ACSL5,36,-0.646142857931249,-0.2755735580338934,0.002339415514143184,down,0.7222222222222222,ACSL5,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Hallmark fatty acid metabolism,other_ppar_pathway,-0.2755735580338934,0.002339415514143184,0.0053893201844335565
ACSM3,36,-0.8877226133642547,-0.5482044267244799,0.0011259853781666607,down,0.6944444444444444,ACSM3,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.5482044267244799,0.0011259853781666607,0.0027357925985143083
ACSS1,36,-0.3862446535990405,-0.09427023248385602,0.2203658460348379,down,0.5833333333333334,ACSS1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.09427023248385602,0.2203658460348379,0.29163309836950885
ACSS2,36,-0.5781213057226756,-0.5198284233299462,4.316098056733608e-08,down,0.9166666666666666,ACSS2,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.5198284233299462,4.316098056733608e-08,3.3557662391103806e-07
ACTG1,36,0.11806989174516744,0.09754820286949162,0.049643930775346234,up,0.6944444444444444,ACTG1,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.09754820286949162,0.049643930775346234,0.07719631235566339
ADH1C,36,-2.7708645259070446,-1.7714178850521054,9.604264050722122e-10,down,0.9166666666666666,ADH1C,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-1.7714178850521054,9.604264050722122e-10,1.4223457713212284e-08
ADH4,36,-0.21452470980865726,0.0,0.012274756174561622,flat,0.4166666666666667,ADH4,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.0,0.012274756174561622,0.0224555833546392
ADH7,36,-0.012294189382556893,0.0,0.31731050786291415,flat,0.027777777777777776,ADH7,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.31731050786291415,0.39368489309481547
ADIPOQ,36,0.01704261586169446,0.0,0.31731050786291415,flat,0.0,ADIPOQ,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,other_ppar_pathway,0.0,0.31731050786291415,0.39368489309481547
ADIPOR2,36,-0.34907138759800926,-0.1917089930595539,0.003492006682790816,down,0.7222222222222222,ADIPOR2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.1917089930595539,0.003492006682790816,0.0077022275060137846
ADSL,36,-0.27312753440881343,-0.10941143670404507,0.30986427603817557,down,0.5833333333333334,ADSL,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.10941143670404507,0.30986427603817557,0.39173898312143335
AGT,36,0.2631233115412385,0.0,0.05462393825457164,flat,0.08333333333333333,AGT,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.0,0.05462393825457164,0.08409923166916723
AHR,36,0.43930784153448155,0.3961027984145382,0.0006687742134090513,up,0.8333333333333334,AHR,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.3961027984145382,0.0006687742134090513,0.0017930067273294393
ALAD,36,-0.2652315489505685,-0.36963598299774403,0.02287787271779962,down,0.6666666666666666,ALAD,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.36963598299774403,0.02287787271779962,0.03866857834367218
ALAS1,36,-0.452097074733498,-0.2467553603141419,0.0031202131940517575,down,0.6111111111111112,ALAS1,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,-0.2467553603141419,0.0031202131940517575,0.006981196426979112
ALCAM,36,0.7640256382311983,0.6898203412779627,7.36583024263382e-06,up,0.8611111111111112,ALCAM,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.6898203412779627,7.36583024263382e-06,3.05436427394549e-05
ALDH1A1,36,-0.5580718990338442,-0.18029883781401734,0.13066144444746897,down,0.5833333333333334,ALDH1A1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.18029883781401734,0.13066144444746897,0.183871987435126
ALDH3A1,36,-0.48395542080988957,-0.28800359357417304,0.04749308708837739,down,0.5833333333333334,ALDH3A1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.28800359357417304,0.04749308708837739,0.07459772769942107
ALDH3A2,36,-0.6256011889702527,-0.29456448681309766,8.995091775432229e-06,down,0.8333333333333334,ALDH3A2,False,False,False,True,PPAR_related,Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,peroxisome,-0.29456448681309766,8.995091775432229e-06,3.58650454123003e-05
ALDH9A1,36,-0.496228675088813,-0.11936549357219572,0.03626942803384736,down,0.6388888888888888,ALDH9A1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.11936549357219572,0.03626942803384736,0.05844451874884212
ALDOA,36,0.2201675064845956,0.26290702416258127,0.03343982470687479,up,0.6944444444444444,ALDOA,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.26290702416258127,0.03343982470687479,0.05473571307283189
ALDOC,36,0.2362700432923542,0.5098386815291951,0.10447610821574926,up,0.6111111111111112,ALDOC,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.5098386815291951,0.10447610821574926,0.14904619107843128
ALPI,36,-1.2813871890392852,-0.8702292191646284,4.886940587311983e-06,down,0.8333333333333334,ALPI,False,False,False,False,PPAR_related,Enterocyte metabolic differentiation,other_ppar_pathway,-0.8702292191646284,4.886940587311983e-06,2.0819705789781188e-05
ANGPTL4,36,1.3667451579529188,1.3577133617037762,9.082723408937454e-07,up,0.8888888888888888,ANGPTL4,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation,other_ppar_pathway,1.3577133617037762,9.082723408937454e-07,4.870218931344048e-06
ANKRD1,36,0.026819738665942963,0.0,0.31731050786291415,flat,0.0,ANKRD1,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.0,0.31731050786291415,0.39368489309481547
ANTXR2,36,-0.398843841284897,-0.19804664284337292,0.05156775642535649,down,0.6111111111111112,ANTXR2,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.19804664284337292,0.05156775642535649,0.07978891665813866
ANXA13,36,0.35655368436547796,0.7694377254333213,0.05987912529963069,up,0.6666666666666666,ANXA13,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.7694377254333213,0.05987912529963069,0.09128631356953502
ANXA5,36,0.96436648940504,0.946682849717646,3.304739948362112e-07,up,0.8888888888888888,ANXA5,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.946682849717646,3.304739948362112e-07,1.9391964602653147e-06
AOC3,36,-0.020362194707454026,0.0,0.5076243443095237,flat,0.16666666666666666,AOC3,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.5076243443095237,0.5890715338815742
APEX1,36,0.5064581955895038,0.534829660385145,0.0004440157790668309,up,0.7777777777777778,APEX1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.534829660385145,0.0004440157790668309,0.0012440442098178776
APOA1,36,-0.05377687815177197,0.0,0.55060588584296,flat,0.4722222222222222,APOA1,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Enterocyte metabolic differentiation,other_ppar_pathway,0.0,0.55060588584296,0.6272469981580973
APOA4,36,-0.06424888311501456,0.0,0.892738400944348,flat,0.08333333333333333,APOA4,False,False,False,False,PPAR_related,Enterocyte metabolic differentiation,other_ppar_pathway,0.0,0.892738400944348,0.9132948772818823
APOA5,36,0.026484851516637636,0.0,0.28504940740261275,flat,0.027777777777777776,APOA5,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.0,0.28504940740261275,0.36551630758170667
APOC3,36,-0.15237359272383777,0.0,0.5939546753269146,flat,0.16666666666666666,APOC3,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,other_ppar_pathway,0.0,0.5939546753269146,0.6597139429523944
AQP7,36,-1.3750859894013685,-1.2618536152820852,6.283225957304239e-07,down,0.8333333333333334,AQP7,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Hallmark fatty acid metabolism,other_ppar_pathway,-1.2618536152820852,6.283225957304239e-07,3.4894344155743184e-06
AR,36,-0.20187174671687955,0.0,0.03625691238502455,flat,0.4722222222222222,AR,False,False,False,False,PPAR_related,Reactome nuclear receptor transcription,other_ppar_pathway,0.0,0.03625691238502455,0.05844451874884212
ARNT,36,-0.29970012085518893,-0.13688068353634808,0.11150411100243218,down,0.6111111111111112,ARNT,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,-0.13688068353634808,0.11150411100243218,0.15834602064728956
ATF3,36,0.3212383464828001,0.33440645361518806,0.00995898013934493,up,0.6944444444444444,ATF3,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.33440645361518806,0.00995898013934493,0.018658089297206467
ATF5,36,0.15867494807946958,0.23033513719086973,0.009480974142206833,up,0.75,ATF5,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.23033513719086973,0.009480974142206833,0.017870199746826212
ATXN2,36,0.024069654725713714,0.07839619263612141,0.5706635903334245,up,0.6111111111111112,ATXN2,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.07839619263612141,0.5706635903334245,0.6407089407714622
AUH,36,-0.21873098634765267,-0.24707677916766868,0.02096025293576531,down,0.6944444444444444,AUH,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.24707677916766868,0.02096025293576531,0.035620976300672194
AVPR1A,36,-0.005022626772048525,0.0,0.6547208460185769,flat,0.027777777777777776,AVPR1A,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.0,0.6547208460185769,0.7070075802492272
BCKDHB,36,-0.13717836199610223,0.017992147103047973,0.5812918253068347,up,0.5,BCKDHB,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.017992147103047973,0.5812918253068347,0.6502940923396604
BLVRA,36,0.9629741093426958,1.0120202007151393,0.0003075035789712032,up,0.6666666666666666,BLVRA,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,1.0120202007151393,0.0003075035789712032,0.0009022038967928699
BMPR1B,36,0.2224424038136954,0.0,0.046399461870904594,flat,0.027777777777777776,BMPR1B,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.046399461870904594,0.0732499118875702
BPHL,36,-0.054630616103962616,0.018498198027492085,0.5444959675538346,up,0.5277777777777778,BPHL,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.018498198027492085,0.5444959675538346,0.6225670805486858
CA1,36,-4.401201593930783,-3.967317264371176,5.820766091346741e-11,down,0.9722222222222222,CA1,False,False,False,False,PPAR_related,Enterocyte metabolic differentiation,other_ppar_pathway,-3.967317264371176,5.820766091346741e-11,2.2628228180110455e-09
CA2,36,-2.777181132269715,-1.8565090595862315,2.9103830456733704e-11,down,1.0,CA2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism;Enterocyte metabolic differentiation,other_ppar_pathway,-1.8565090595862315,2.9103830456733704e-11,1.5085485453406968e-09
CA4,36,-2.780902103679692,-1.9405059309382935,2.9103830456733704e-11,down,1.0,CA4,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-1.9405059309382935,2.9103830456733704e-11,1.5085485453406968e-09
CA6,36,-0.01051060094409851,0.0,0.7150006546880893,flat,0.05555555555555555,CA6,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.7150006546880893,0.7641415931546246
CBR1,36,-0.35687791154305437,-0.2827694366807809,0.0011259853781666607,down,0.7222222222222222,CBR1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.2827694366807809,0.0011259853781666607,0.0027357925985143083
CBR3,36,0.9657029231393194,1.1432716758977484,0.0007093136988715628,up,0.75,CBR3,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,1.1432716758977484,0.0007093136988715628,0.0018841196293054717
CBS,36,-0.19343247424489027,0.0,0.01570686359758342,flat,0.4444444444444444,CBS,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.0,0.01570686359758342,0.02775474192527525
CD1D,36,-1.0561900053448543,-1.3771103934965354,8.459527287040822e-05,down,0.75,CD1D,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-1.3771103934965354,8.459527287040822e-05,0.00026884080684145113
CD36,36,0.057078808112524144,0.0,0.7547935522345166,flat,0.3888888888888889,CD36,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,fatty_acid_uptake,0.0,0.7547935522345166,0.795731507609948
CD9,36,-0.25137738284945654,-0.2071112877482042,0.004852354526519775,down,0.7222222222222222,CD9,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.2071112877482042,0.004852354526519775,0.01012806884394396
CEL,36,-0.11634468038475683,0.0,0.5011381853247657,flat,0.4166666666666667,CEL,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.5011381853247657,0.5837227551910192
CHD9,36,-0.3081955689908764,-0.11036605116574938,0.026030924898805097,down,0.5833333333333334,CHD9,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,-0.11036605116574938,0.026030924898805097,0.04306179597621482
CHKA,36,-1.0107439341216553,-0.6663090057919501,6.283225957304239e-07,down,0.8611111111111112,CHKA,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.6663090057919501,6.283225957304239e-07,3.4894344155743184e-06
CIDEA,36,0.0,0.0,1.0,flat,0.0,CIDEA,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,1.0,1.0
CLU,36,0.5765793120673259,0.734812721371802,0.012787623926933053,up,0.7222222222222222,CLU,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.734812721371802,0.012787623926933053,0.023257023633194034
CPEB2,36,-0.5055550802657477,-0.22417254754853277,0.042525613389443606,down,0.6388888888888888,CPEB2,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.22417254754853277,0.042525613389443606,0.06782290135444596
CPOX,36,0.24406285866159017,0.1991271564775996,0.02096025293576531,up,0.6666666666666666,CPOX,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.1991271564775996,0.02096025293576531,0.035620976300672194
CPT1A,36,-1.7034460716253632,-1.301495397660208,3.2014213502407074e-09,down,0.9444444444444444,CPT1A,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,fatty_acid_oxidation,-1.301495397660208,3.2014213502407074e-09,3.8293924612494614e-08
CPT1B,36,-0.38392367458248433,-0.20316276604878303,0.0884874648758046,down,0.5277777777777778,CPT1B,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,fatty_acid_oxidation,-0.20316276604878303,0.0884874648758046,0.12859626904848237
CPT2,36,-1.0710731432034661,-0.7321024082703886,5.820766091346741e-11,down,0.9722222222222222,CPT2,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,fatty_acid_oxidation,-0.7321024082703886,5.820766091346741e-11,2.2628228180110455e-09
CRAT,36,-0.58315503578939,-0.4827669486959727,4.721074947156012e-05,down,0.8611111111111112,CRAT,False,False,False,True,PPAR_related,Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,peroxisome,-0.4827669486959727,4.721074947156012e-05,0.00015787680737263654
CREBBP,36,-0.25555115569373066,-0.04341174538977888,0.24508141286787577,down,0.5833333333333334,CREBBP,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,-0.04341174538977888,0.24508141286787577,0.318913470300876
CRYZ,36,1.0230884048416555,0.9727821131598609,2.892629709094763e-07,up,0.9444444444444444,CRYZ,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.9727821131598609,2.892629709094763e-07,1.7300150760162908e-06
CTNNB1,36,-0.024750741045249436,0.027630928399666743,0.6921731745242141,up,0.5,CTNNB1,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.027630928399666743,0.6921731745242141,0.7422960595759676
CXCL16,36,0.7832584882284022,0.7097321657442777,8.143309969455004e-06,up,0.8333333333333334,CXCL16,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.7097321657442777,8.143309969455004e-06,3.289051169481177e-05
CYP1A1,36,-0.00862943698373067,0.0,0.17971249487899976,flat,0.05555555555555555,CYP1A1,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.17971249487899976,0.2440636939186416
CYP27A1,36,-1.153693630700789,-0.9534096331842334,1.935995533131063e-05,down,0.8055555555555556,CYP27A1,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,other_ppar_pathway,-0.9534096331842334,1.935995533131063e-05,7.167792985759054e-05
CYP4A11,36,0.0,0.0,1.0,flat,0.0,CYP4A11,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,other_ppar_pathway,0.0,1.0,1.0
CYP4A22,36,-0.011299360500801747,0.0,0.6547208460185769,flat,0.027777777777777776,CYP4A22,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.6547208460185769,0.7070075802492272
CYP51A1,36,0.012354362055420225,-0.00346042628268739,0.7859226790606044,down,0.5,CYP51A1,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.00346042628268739,0.7859226790606044,0.8174647263807624
CYP7A1,36,0.01442464742762687,0.0,0.6547208460185769,flat,0.027777777777777776,CYP7A1,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.0,0.6547208460185769,0.7070075802492272
D2HGDH,36,-0.29205990738127074,-0.18693935873195988,0.14491119493216345,down,0.6388888888888888,D2HGDH,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.18693935873195988,0.14491119493216345,0.20300622353109385
DBI,36,-0.40804665467218104,-0.47206535941594563,2.297310857102275e-06,down,0.8333333333333334,DBI,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome mitochondrial fatty-acid beta oxidation,other_ppar_pathway,-0.47206535941594563,2.297310857102275e-06,1.050681877292364e-05
DECR1,36,-0.3568660165455659,-0.2084290424437607,0.005999622109811753,down,0.7222222222222222,DECR1,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.2084290424437607,0.005999622109811753,0.012275542606259574
DHCR24,36,-0.75504240535196,-0.448236984648847,3.6395329516381025e-05,down,0.7777777777777778,DHCR24,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.448236984648847,3.6395329516381025e-05,0.00012576608310660556
DHCR7,36,0.5950268746806329,0.7713564237115462,0.006321071618003771,up,0.6944444444444444,DHCR7,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.7713564237115462,0.006321071618003771,0.012765280994799823
DLD,36,-0.4716672607566945,-0.5472967758833036,1.763927866704762e-05,down,0.8333333333333334,DLD,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.5472967758833036,1.763927866704762e-05,6.654717200117564e-05
DLST,36,-0.08210409521453184,-0.13792456034125378,0.2203658460348379,down,0.6388888888888888,DLST,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.13792456034125378,0.2203658460348379,0.29163309836950885
EBP,36,0.2528283313334608,0.17420050705504142,0.008164219470927492,up,0.6944444444444444,EBP,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.17420050705504142,0.008164219470927492,0.015673285527521296
ECH1,36,-0.46304290891307087,-0.24417636470218085,9.186950046569109e-05,down,0.7777777777777778,ECH1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism;Hallmark cholesterol homeostasis,other_ppar_pathway,-0.24417636470218085,9.186950046569109e-05,0.00028860014792757505
ECHS1,36,-0.5978853561169515,-0.5905850511963862,9.604264050722122e-10,down,0.9444444444444444,ECHS1,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.5905850511963862,9.604264050722122e-10,1.4223457713212284e-08
