cohort,patient,sample,side,n_malignant_epithelial_cells,selected_cells_total_UMI,GCH1_UMI,GCH1_CPM,GCH1_log2_CPM_plus1,GCH1_detection_fraction,PLA2G4A_UMI,PLA2G4A_CPM,PLA2G4A_log2_CPM_plus1,PLA2G4A_detection_fraction,PTGS2_UMI,PTGS2_CPM,PTGS2_log2_CPM_plus1,PTGS2_detection_fraction,PTGES_UMI,PTGES_CPM,PTGES_log2_CPM_plus1,PTGES_detection_fraction,GCH1_z,PLA2G4A_z,PTGS2_z,PTGES_z,AA_routing_proxy_core,AA_routing_proxy_core_high,compartment
GSE200997,Patient 12,T_cac12,Right,300,1162930,17,14.61824873380169,3.9651607887831144,0.05333333333333334,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,1.7197939686825519,1.4434973677925182,0.006666666666666667,0.03649301719405588,-0.9842819405738105,-0.5773998690929961,-0.5036029083641472,-0.6884282393436513,False,malignant_epithelial_like
GSE200997,Patient 13,T_cac13,Right,25,142543,1,7.015426923805448,3.002779364354102,0.04,2,14.030853847610896,3.909855060676906,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.4614369069440418,1.5634146640180646,-0.5773998690929961,-1.3680314002472374,-0.12733886844072295,False,malignant_epithelial_like
GSE200997,Patient 3,T_cac3,Right,684,4076634,74,18.152230492116782,4.259440514845789,0.09210526315789473,0,0.0,0.0,0.0,0,0.0,0.0,0.0,48,11.774419778670344,3.6751858595183604,0.05701754385964912,0.1887514440030576,-0.9842819405738105,-0.5773998690929961,0.8328284286777524,-0.24295112699635138,False,malignant_epithelial_like
GSE200997,Patient 5,T_cac5,Right,1,2740,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-2.0150555275272266,-0.9842819405738105,-0.5773998690929961,-1.3680314002472374,-0.976571069971348,False,malignant_epithelial_like
GSE200997,Patient 7,T_cac7,Right,938,1951949,88,45.083145102664055,5.52616727671049,0.08635394456289978,18,9.221552407363102,3.3535424183958837,0.01812366737739872,7,3.5861592695300955,2.197286458139661,0.007462686567164179,6,3.0738508024543676,2.0263931451293633,0.005330490405117271,0.8441476771683142,1.200916359647284,1.7769975829244014,-0.1545397725588766,0.941124723337603,True,malignant_epithelial_like
GSE200997,Patient 8,T_cac8,Right,300,2486367,36,14.478956646384061,3.9522363252962625,0.09333333333333334,10,4.02193240177335,2.3282426091982775,0.03333333333333333,0,0.0,0.0,0.0,11,4.424125641950685,2.4393905967854326,0.03333333333333333,0.029805983383784637,0.5328218134189637,-0.5773998690929961,0.09278091693609028,0.016067620420685963,False,malignant_epithelial_like
GSE200997,Patient 10,T_cac10,Left,631,2272060,27,11.883488992368159,3.687451439143831,0.04120443740095087,0,0.0,0.0,0.0,2,0.8802584438791229,0.9109309757735736,0.003169572107765452,0,0.0,0.0,0.0,-0.30224868523505,-0.824342578743099,-0.8797262088946177,-0.4879103435843686,-0.7306597104073619,False,immune_like
GSE200997,Patient 14,T_cac14,Left,2976,11548598,338,29.267621922591815,4.919703424322433,0.10618279569892473,2,0.1731811948082356,0.23042585110152428,0.0006720430107526882,29,2.511127324719416,1.811934313908966,0.004032258064516129,3,0.25977179221235336,0.3331624130409553,0.0010080645161290322,1.1241100137823006,-0.5708101810354188,-0.4071390530485251,-0.04240337055933627,-0.3401175348810934,True,immune_like
GSE200997,Patient 15,T_cac15,Left,3590,13033840,369,28.310919882398434,4.873366340599889,0.09136490250696379,3,0.2301700803447027,0.2988577928870032,0.0008356545961002785,23,1.7646372826427208,1.467090212879997,0.0025069637883008357,1,0.07672336011490091,0.10664762940232199,0.0002785515320334262,1.0704738230926443,-0.49551604976617725,-0.5880139577440436,-0.3453004311346011,-0.47627681288160734,False,immune_like
GSE200997,Patient 16,T_cac16,Left,1273,7457125,197,26.4176877818194,4.77703500421169,0.13747054202670855,7,0.9386995658514508,0.9550892508719843,0.0054988216810683424,121,16.226092495432223,4.106523577832088,0.0408483896307934,36,4.827597767236033,2.542901303064725,0.009426551453260016,0.9589681884513999,0.22652071042716954,0.7964007876767453,2.9124740271775047,1.3117985084271397,True,immune_like
GSE200997,Patient 2,T_cac2,Left,265,492516,9,18.273518017688765,4.268548027363414,0.033962264150943396,1,2.030390890854307,1.5995038992838149,0.0037735849056603774,15,30.455863362814608,4.975257054949797,0.04150943396226415,0,0.0,0.0,0.0,0.3703833604387669,0.93555569998578,1.2520620108515381,-0.4879103435843686,0.5665691224176499,True,immune_like
GSE200997,Patient 4,T_cac4,Left,1524,4971256,128,25.748020218632877,4.741360207841865,0.07677165354330709,0,0.0,0.0,0.0,3,0.6034692238742081,0.6811966637326902,0.0013123359580052493,1,0.20115640795806936,0.2644240230614004,0.0006561679790026247,0.9176738292214589,-0.824342578743099,-1.0002246360728588,-0.13432079837146227,-0.6529626710624734,False,immune_like
GSE200997,Patient 6,T_cac6,Left,1588,8454034,69,8.161784066636118,3.195628560491331,0.04093198992443325,6,0.7097203536205319,0.7737603733934643,0.003778337531486146,32,3.7851752193095036,2.258571753008197,0.011964735516372796,1,0.11828672560342199,0.16129013860265087,0.0006297229219143577,-0.8715444541033555,0.0270086120189226,-0.17287231051336047,-0.27223210794011615,-0.139365268811518,True,immune_like
GSE200997,Patient 9,T_cac9,Left,1421,6458929,239,37.00303873908507,5.248042876562841,0.1330049261083744,8,1.2385954389651908,1.1625938265669713,0.005629838142153413,243,37.622336458567666,5.271363537664495,0.043631245601688955,3,0.4644732896119465,0.5503818802805777,0.00211118930330753,1.504170131004037,0.4548333427111472,1.4073734448616766,0.24806393170545482,0.7034235730927595,True,immune_like
GSE200997,Patient 1,T_cac1,Right,286,1131645,11,9.720362834634537,3.4222818300551996,0.038461538461538464,1,0.8836693486031396,0.9135457425537175,0.0034965034965034965,20,17.673386972062794,4.222911721681688,0.038461538461538464,0,0.0,0.0,0.0,-0.6091883235459425,0.1808113196501836,0.8574477777910292,-0.4879103435843686,0.1834495846189481,True,immune_like
GSE200997,Patient 11,T_cac11,Right,2014,10419229,152,14.588411484189473,3.962402014542895,0.0660377358490566,0,0.0,0.0,0.0,38,3.6471028710473683,2.216331581562047,0.005958291956305859,0,0.0,0.0,0.0,0.016012636099675667,-0.824342578743099,-0.1950277916767252,-0.4879103435843686,-0.5024269046680643,False,immune_like
GSE200997,Patient 12,T_cac12,Right,3685,12533389,147,11.728671311486462,3.670009925566244,0.037991858887381276,3,0.2393606390099278,0.30959605544014757,0.0008141112618724559,6,0.4787212780198556,0.5643501466135891,0.0013568521031207597,0,0.0,0.0,0.0,-0.32243761973436397,-0.48370098023600644,-1.0615120485147647,-0.4879103435843686,-0.6777077907783798,False,immune_like
GSE200997,Patient 13,T_cac13,Right,2573,7199909,21,2.9167035305585114,1.9696399296212483,0.008161678973960357,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-2.2906531831385597,-0.824342578743099,-1.3575205308377947,-0.4879103435843686,-0.8899244843884206,False,immune_like
GSE200997,Patient 3,T_cac3,Right,204,373329,6,16.07161511696118,4.093527650675535,0.024509803921568627,3,8.03580755848059,3.175653545035759,0.014705882352941176,27,72.3222680263253,6.196179507329881,0.058823529411764705,1,2.6786025194935297,1.879157798589966,0.004901960784313725,0.16779343581562517,2.6697578171672314,1.8924506141535122,2.0249118413818743,2.1957067575675393,True,immune_like
GSE200997,Patient 5,T_cac5,Right,171,347927,4,11.496664530203175,3.643471173145193,0.023391812865497075,0,0.0,0.0,0.0,1,2.8741661325507937,1.953885821124471,0.005847953216374269,0,0.0,0.0,0.0,-0.3531568077187493,-0.824342578743099,-0.33268376945116196,-0.4879103435843686,-0.5483122305928766,False,immune_like
GSE200997,Patient 7,T_cac7,Right,417,873550,12,13.73704996851926,3.8813758525810353,0.026378896882494004,3,3.434262492129815,2.148694175005631,0.007194244604316547,11,12.592295804475988,3.764717249741592,0.011990407673860911,0,0.0,0.0,0.0,-0.07777692346474738,1.5398174472501827,0.6171192316541297,-0.4879103435843686,0.5563421117733146,True,immune_like
GSE200997,Patient 8,T_cac8,Right,643,5923434,36,6.077555688136307,2.8232511956932993,0.05132192846034215,2,0.33764198267423934,0.4196920330677928,0.003110419906687403,6,1.0129259480227177,1.0092940990424153,0.00933125972006221,0,0.0,0.0,0.0,-1.302579420965142,-0.36256484445751797,-0.8281335602347797,-0.4879103435843686,-0.5595362494255555,False,immune_like
GSE200997,Patient 10,T_cac10,Left,1,5108,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.6052002328561481,-0.8003456074888248,-1.0399902837864667,-1.4584694350906744,-1.099601775455322,False,stromal_like
GSE200997,Patient 14,T_cac14,Left,43,200035,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,14.997375459294624,3.9997633298472515,0.06976744186046512,-0.6052002328561481,-0.8003456074888248,-1.0399902837864667,0.19968020983103815,-0.5468852271480844,False,stromal_like
GSE200997,Patient 15,T_cac15,Left,10,53603,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,18.655672257149785,4.296873802097375,0.1,-0.6052002328561481,-0.8003456074888248,-1.0399902837864667,0.32285090355377866,-0.5058283292405042,False,stromal_like
GSE200997,Patient 16,T_cac16,Left,14,69193,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,14.452328992817193,3.9497523940630566,0.07142857142857142,0,0.0,0.0,0.0,-0.6052002328561481,-0.8003456074888248,1.0292892700412377,-1.4584694350906744,-0.4098419241794205,False,stromal_like
GSE200997,Patient 2,T_cac2,Left,345,744709,9,12.085257462982185,3.709870405739752,0.02318840579710145,3,4.028419154327395,2.3301049136138885,0.008695652173913044,16,21.484902156412772,4.490884700986121,0.028985507246376812,15,20.142095771636974,4.402046490031941,0.04057971014492753,1.6640615939030643,0.8698287717905444,1.3127890712729902,0.36645149708210184,0.8496897800485455,True,stromal_like
GSE200997,Patient 6,T_cac6,Left,43,259212,0,0.0,0.0,0.0,1,3.8578460873724985,2.2803167813484153,0.023255813953488372,2,7.715692174744997,3.123615243515408,0.023255813953488372,5,19.289230436862493,4.3426422401210445,0.11627906976744186,-0.6052002328561481,0.8341415963264164,0.5964751227910651,0.3418247560043104,0.5908138250405973,True,stromal_like
GSE200997,Patient 9,T_cac9,Left,26,131968,1,7.5775945683802135,3.100573126650731,0.038461538461538464,0,0.0,0.0,0.0,1,7.5775945683802135,3.100573126650731,0.038461538461538464,10,75.77594568380214,6.262582472520671,0.038461538461538464,1.2913652715609725,-0.8003456074888248,0.5844033328285718,1.1377589031244422,0.30727220948806305,False,stromal_like
GSE200997,Patient 1,T_cac1,Right,127,510280,4,7.838833581563063,3.143855996638846,0.031496062992125984,2,3.9194167907815314,2.2984872905807867,0.015748031496062992,3,5.879125186172297,2.7822251100121003,0.015748031496062992,34,66.63008544328603,6.079593271338229,0.16535433070866143,1.317840634275705,0.8471658678092389,0.4176204623827937,1.0618985449125076,0.7755616250348467,True,stromal_like
GSE200997,Patient 11,T_cac11,Right,8,50588,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,19.767533802482802,4.376257997532195,0.125,2,39.535067604965604,5.341098644107076,0.125,-0.6052002328561481,-0.8003456074888248,1.2527360172799318,0.755746779686265,0.4027123964924573,True,stromal_like
GSE200997,Patient 12,T_cac12,Right,6,23808,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.6052002328561481,-0.8003456074888248,-1.0399902837864667,-1.4584694350906744,-1.099601775455322,False,stromal_like
GSE200997,Patient 13,T_cac13,Right,14,33925,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.6052002328561481,-0.8003456074888248,-1.0399902837864667,-1.4584694350906744,-1.099601775455322,False,stromal_like
GSE200997,Patient 3,T_cac3,Right,271,719370,10,13.90105230965984,3.897342312039249,0.033210332103321034,2,2.780210461931968,1.9184665582381666,0.007380073800738007,12,16.68126277159181,4.144149408601814,0.02952029520295203,11,15.291157540625825,4.026017210647071,0.033210332103321034,1.7787348288217377,0.5747743170917932,1.1311340763422213,0.21056406958373505,0.6388241543392498,True,stromal_like
GSE200997,Patient 7,T_cac7,Right,24,110893,0,0.0,0.0,0.0,1,9.01770174853237,3.324479659677412,0.041666666666666664,0,0.0,0.0,0.0,5,45.08850874266185,5.5263351829270295,0.125,-0.6052002328561481,1.5825774615917823,-1.0399902837864667,0.8325387985486818,0.45837532545133247,True,stromal_like
GSE200997,Patient 8,T_cac8,Right,44,393686,0,0.0,0.0,0.0,4,10.160381623933795,3.4803144551676777,0.09090909090909091,1,2.5400954059834486,1.8237882416315625,0.022727272727272728,12,30.481144871801387,4.976416103040142,0.20454545454545456,-0.6052002328561481,1.6942768453008246,-0.08450565022001041,0.6045632780358369,0.7381114910388837,True,stromal_like
GSE132465,SMC01,SMC01-T,Left,1093,22967787,158,6.879199985614634,2.9780491531107023,0.12900274473924978,58,2.525275944086385,1.8177361901592737,0.05123513266239707,33,1.4367949337043224,1.2849848474601477,0.020128087831655993,160,6.9662784664452,2.9939059109270403,0.11253430924062215,-2.1789341608088066,0.849662680312517,-0.599390578012695,0.3838090892736791,0.21136039719116706,True,tumor_epithelial
GSE132465,SMC02,SMC02-T,Left,352,8162628,99,12.128446867846973,3.7146243463359756,0.23011363636363635,0,0.0,0.0,0.0,62,7.595592987944569,3.103597170972313,0.14772727272727273,68,8.330650373874688,3.221977644684981,0.14488636363636365,-0.6188690785661406,-0.8251731287204489,0.37112220659415196,0.5456595478009543,0.03053620855821911,True,tumor_epithelial
GSE132465,SMC04,SMC04-T,Left,307,6586600,109,16.548750493426045,4.133296406265478,0.2996742671009772,0,0.0,0.0,0.0,31,4.7065253696899765,2.512612574356566,0.0749185667752443,35,5.313818965779006,2.6585128952854955,0.09446254071661238,0.2678776753485881,-0.8251731287204489,0.05573992357210146,0.1457983876667789,-0.20787827249385618,False,tumor_epithelial
GSE132465,SMC08,SMC08-T,Left,320,6089548,60,9.852948034895201,3.440015076508728,0.1625,0,0.0,0.0,0.0,10,1.6421580058158667,1.4017167449309973,0.03125,38,6.240200422100294,2.856029634320645,0.1,-1.2004910732490643,-0.8251731287204489,-0.5370959386317817,0.2859655809130049,-0.3587678288130753,False,tumor_epithelial
GSE132465,SMC09,SMC09-T,Left,1887,36648007,569,15.526083041841812,4.046672917173655,0.24907260201377848,1,0.02728661343030195,0.038838750386808625,0.0005299417064122947,28,0.7640251760484547,0.8188711510887813,0.01483836777954425,56,1.5280503520969093,1.338025198482215,0.02702702702702703,0.08440926387189285,-0.7893876664085496,-0.848134796645908,-0.7912819584407557,-0.8096014738317378,False,tumor_epithelial
GSE132465,SMC11,SMC11-T,Left,326,10033830,194,19.334591078381834,4.345864073879076,0.3803680981595092,10,0.9966284061021564,0.9975658567892912,0.03067484662576687,3,0.29898852183064695,0.37738868284802213,0.009202453987730062,36,3.587862261967763,2.1978220790261567,0.07975460122699386,0.7180956556822232,0.0939696092986259,-1.0837344206383255,-0.18112954251686514,-0.3902981179521883,False,tumor_epithelial
GSE132465,SMC14,SMC14-T,Left,166,2568912,30,11.678095629589492,3.6642661501374234,0.13855421686746988,0,0.0,0.0,0.0,34,13.235175046868092,3.8313883285854407,0.16265060240963855,55,21.409841987580734,4.4860605712886645,0.18674698795180722,-0.7255276576449222,-0.8251731287204489,0.7595120870846063,1.4427124088295207,0.45901712239789266,True,tumor_epithelial
GSE132465,SMC15,SMC15-T,Left,319,4944209,155,31.34980742116687,5.015685218747974,0.3605015673981191,1,0.2022568220720443,0.26574511264870354,0.003134796238244514,5,1.0112841103602215,1.0081168885336744,0.01567398119122257,142,28.72046873423029,4.893384964304143,0.28213166144200624,2.1367757701755488,-0.5803194292952594,-0.7471427351449065,1.7317690082276214,0.13476894792915184,True,tumor_epithelial
GSE132465,SMC18,SMC18-T,Left,1516,41041373,641,15.618385866379276,4.054708355716498,0.31266490765171506,7,0.17055959604470347,0.22719838744387272,0.004617414248021108,5,0.12182828288907391,0.16585186098796628,0.0032981530343007917,173,4.215258587961958,2.3827387876101223,0.08377308707124011,0.10142830986542462,-0.6158358238323277,-1.1966222458092255,-0.04990392511776323,-0.6207873315864388,False,tumor_epithelial
GSE132465,SMC21,SMC21-T,Left,1727,34523224,434,12.571247691119462,3.7624814578728407,0.2119281991893457,3,0.08689802551465066,0.12021659079252665,0.0017371163867979154,10,0.28966008504883556,0.3669908654663044,0.005790387955993051,468,13.556091980285503,3.8635511676320724,0.19281991893456862,-0.5175077928042104,-0.7144073024200195,-1.0892832748776258,1.0009503773877257,-0.26758006663663986,False,tumor_epithelial
GSE132465,SMC22,SMC22-T,Left,1902,45030035,598,13.280025209840499,3.835926621178728,0.25499474237644587,0,0.0,0.0,0.0,31,0.6884294005101262,0.7556818561808427,0.01629863301787592,6,0.1332444000987341,0.18045903219698733,0.0026288117770767614,-0.36195105428385327,-0.8251731287204489,-0.8818561223872906,-1.6127455028349378,-1.106591584647559,False,tumor_epithelial
GSE132465,SMC25,SMC25-T,Left,416,10083173,152,15.074619864203461,4.006712715705714,0.2548076923076923,0,0.0,0.0,0.0,11,1.09092643754104,1.06414230627871,0.026442307692307692,22,2.18185287508208,1.6698671287875544,0.04807692307692308,-0.0002263789829049386,-0.8251731287204489,-0.717244453096818,-0.5557912744636785,-0.6994029520936484,False,tumor_epithelial
GSE132465,SMC03,SMC03-T,Right,796,16778683,322,19.191017554834307,4.335641714042195,0.30402010050251255,118,7.0327331412125735,3.00589094893541,0.11306532663316583,1505,89.69714726716036,6.502985268703506,0.5414572864321608,115,6.853934841012253,2.973415628951797,0.13819095477386933,0.6964447138825035,1.9444112733395584,2.1852249518769096,0.36926821882733946,1.4996348146812692,True,tumor_epithelial
GSE132465,SMC05,SMC05-T,Right,13,91555,2,21.844792747528807,4.513793449078779,0.15384615384615385,0,0.0,0.0,0.0,1,10.922396373764403,3.575602338160131,0.07692307692307693,0,0.0,0.0,0.0,1.0737698040128754,-0.8251731287204489,0.6230104420546907,-1.7408077428382052,-0.6476568098346545,False,tumor_epithelial
GSE132465,SMC06,SMC06-T,Right,189,4455341,37,8.304639308192122,3.2179502256881505,0.1693121693121693,39,8.753538730256562,3.285925745255978,0.19576719576719576,32,7.182390753031025,3.032522435294783,0.1111111111111111,33,7.406840464063245,3.0715636954529213,0.15343915343915343,-1.6708240724390822,2.202431280418718,0.3331927706468685,0.43891871564704626,0.9915142555708775,True,tumor_epithelial
GSE132465,SMC07,SMC07-T,Right,542,12634066,130,10.289640722155479,3.4969276698723184,0.1900369003690037,0,0.0,0.0,0.0,3,0.23745324743435725,0.3073740193589113,0.005535055350553505,10,0.7915108247811908,0.8411767607191555,0.016605166051660517,-1.0799502914483143,-0.8251731287204489,-1.1210981430477838,-1.1438690420986477,-1.03004677128896,False,tumor_epithelial
GSE132465,SMC10,SMC10-T,Right,511,8044234,107,13.301452941324184,3.838089818447764,0.17025440313111545,9,1.1188137988029687,1.0832568093491206,0.01761252446183953,41,5.0968184167690795,2.6080565784483967,0.05675146771037182,22,2.734878174851701,1.901061185610574,0.033268101761252444,-0.3573694059247113,0.17292401238215147,0.10667415787130619,-0.3917250682353328,-0.03737563266062505,True,tumor_epithelial
GSE132465,SMC16,SMC16-T,Right,2720,50180992,699,13.929577159415262,3.9001014004366183,0.21948529411764706,141,2.8098288690665982,1.9297261958042118,0.04742647058823529,2085,41.54959710641033,5.411073566273672,0.30514705882352944,563,11.21938761194677,3.6111000796065547,0.16139705882352942,-0.22602897436356775,0.952848650159721,1.6025200767535377,0.8217991793001768,1.1257226354044785,True,tumor_epithelial
GSE132465,SMC17,SMC17-T,Right,505,8623979,145,16.813584541428035,4.154905947082047,0.22178217821782178,11,1.275513310039368,1.1861920250104008,0.02178217821782178,194,22.49541655887613,4.554307440923791,0.2,44,5.102053240157472,2.6092947674249403,0.05148514851485148,0.31364664826717037,0.26776702983064987,1.1453019729719103,0.11087088292592641,0.5079799619094955,True,tumor_epithelial
GSE132465,SMC19,SMC19-T,Right,382,5063411,113,22.316971701487397,4.543308525152145,0.19895287958115182,22,4.344897145422325,2.418162185697518,0.05235602094240838,8,1.5799625983353909,1.3673501510798578,0.01832460732984293,18,3.5549158462546298,2.187424399952103,0.04450261780104712,1.1362826879727221,1.4028864998336577,-0.5554358664243687,-0.1885082259601239,0.21964746914972166,True,tumor_epithelial
GSE132465,SMC20,SMC20-T,Right,524,10192330,191,18.73958162657606,4.303019507596551,0.2786259541984733,18,1.7660338705673775,1.4678188226490747,0.030534351145038167,560,54.94327597320731,5.805892833719635,0.3683206106870229,302,29.630123828408223,4.936879294219576,0.3377862595419847,0.6273509327592024,0.5272538838758468,1.813217618891277,1.7626346360025242,1.3677020462565495,True,tumor_epithelial
GSE132465,SMC23,SMC23-T,Right,639,6660762,123,18.466355651200267,4.282910913405636,0.13302034428794993,2,0.30026594554797187,0.3788067302409211,0.003129890453834116,24,3.603191346575662,2.202634414106045,0.03755868544600939,10,1.5013297277398592,1.3226952475310245,0.01564945226917058,0.5847609623953203,-0.4761460917142732,-0.10968168035228663,-0.8021608146223995,-0.4626628622296531,False,tumor_epithelial
GSE132465,SMC24,SMC24-T,Right,317,5969189,136,22.783664581570463,4.571899117218096,0.30914826498422715,25,4.1881736363180995,2.3752267641044718,0.07570977917981073,54,9.046455054447096,3.328614623399722,0.138801261829653,1,0.16752694545272398,0.22345584639954272,0.0031545741324921135,1.196837516282143,1.3633264239825738,0.4912040467516608,-1.5822329356735836,0.09076584502021696,True,tumor_epithelial
GSE132465,SMC01,SMC01-T,Left,1244,3038843,101,33.23633369673919,5.097456309455388,0.07315112540192927,2,0.6581452217176076,0.7295703647811885,0.001607717041800643,4,1.3162904434352152,1.2118161665532563,0.003215434083601286,1,0.3290726108588038,0.41041992512900416,0.0008038585209003215,0.4035680364215161,2.1220339345138863,-0.4030969305576052,0.02932931004466396,0.5827554380003149,True,T_cells
GSE132465,SMC02,SMC02-T,Left,527,1431570,35,24.448682216028555,4.66951904747035,0.06261859582542695,1,0.6985337776008159,0.7642899084100188,0.0018975332068311196,9,6.286803998407343,2.865286185380168,0.017077798861480076,0,0.0,0.0,0.0,-0.7813014719222027,2.243979170779689,1.1728034094192303,-0.6746509692977101,0.9140438703004031,True,T_cells
GSE132465,SMC04,SMC04-T,Left,459,1442410,45,31.197787036972844,5.00888962979565,0.08278867102396514,0,0.0,0.0,0.0,2,1.3865683127543487,1.2549376324560757,0.004357298474945534,0,0.0,0.0,0.0,0.1583452724647335,-0.44043150157824373,-0.36199843345587684,-0.6746509692977101,-0.49236030144394355,False,T_cells
GSE132465,SMC08,SMC08-T,Left,997,2978998,133,44.64588428726706,5.512412878732522,0.12437311935807423,0,0.0,0.0,0.0,16,5.370933448092278,2.671504766872976,0.006018054162487462,2,0.6713666810115347,0.7410282808814922,0.0020060180541624875,1.5524966993351563,-0.44043150157824373,0.9881129101482876,0.5964113360023549,0.38136424819079956,True,T_cells
GSE132465,SMC09,SMC09-T,Left,1435,2344310,58,24.7407552755395,4.685982480081152,0.0397212543554007,0,0.0,0.0,0.0,7,2.9859532229099393,1.9949247795518226,0.004878048780487805,0,0.0,0.0,0.0,-0.7357176421506949,-0.44043150157824373,0.3432734997564486,-0.6746509692977101,-0.25726965703983506,False,T_cells
