module,gene,n_models,n_up,n_down,sign_concordance,median_delta_gene,mean_delta_gene
EMT_total_hallmark,COL8A2,6,3,3,0.5,-0.13540699371103637,-0.07306356579431868
EMT_total_hallmark,FBN2,6,3,3,0.5,-0.13599536672652146,-0.19324427909899874
EMT_total_hallmark,CDH2,6,3,3,0.5,-0.16990457214485044,-0.05648485417613965
EMT_total_hallmark,CXCL12,6,2,3,0.5,-0.17908444833181358,0.06950623221253734
EMT_total_hallmark,GADD45B,6,3,3,0.5,-0.1815870281120128,-0.32809954856617063
EMT_total_hallmark,SDC1,6,3,3,0.5,-0.20622250582132576,-0.4089303655362551
EMT_total_hallmark,RGS4,6,3,3,0.5,-0.22385218147463545,-0.1401495510269698
EMT_total_hallmark,NID2,6,3,3,0.5,-0.31383805107046947,-0.18553573077892413
EMT_total_hallmark,GPX7,6,2,3,0.5,-0.39714250023986736,-0.31240792964138137
IRE1_XBP1,DERL1,6,5,1,0.8333333333333334,0.47689223550371157,0.5120751079955329
IRE1_XBP1,MANF,6,5,1,0.8333333333333334,0.1691189480685082,0.3514649605432963
IRE1_XBP1,EDEM1,6,4,2,0.6666666666666666,0.5277060393677122,0.3578287054104205
IRE1_XBP1,ERN1,6,4,2,0.6666666666666666,0.22431940869899614,0.12601184627086856
IRE1_XBP1,HSPA5,6,4,2,0.6666666666666666,0.1405579680747937,-0.3193814232232343
IRE1_XBP1,EDEM2,6,2,4,0.6666666666666666,-0.201130596135036,-0.25390683478775095
IRE1_XBP1,PDIA4,6,3,3,0.5,0.25424541002597745,0.4309636656346038
IRE1_XBP1,SEL1L,6,3,3,0.5,0.1243689080168982,0.18225355556280107
IRE1_XBP1,XBP1,6,3,3,0.5,0.02011459182538622,-0.14633167615333617
IRE1_XBP1,DNAJB9,6,3,3,0.5,-0.16213592804671978,-0.21717857466528892
IRE1_XBP1,EDEM3,6,3,3,0.5,-0.2532601234290732,-0.15056533767865465
PERK_eIF2A_ATF4,ATF3,6,1,5,0.8333333333333334,-0.7123397103329998,-0.7699114066106553
PERK_eIF2A_ATF4,EIF2S1,6,4,2,0.6666666666666666,0.39392824368513607,0.10473933279085712
PERK_eIF2A_ATF4,HSPA5,6,4,2,0.6666666666666666,0.1405579680747937,-0.3193814232232343
PERK_eIF2A_ATF4,DDIT3,6,2,4,0.6666666666666666,-0.19370843481749941,-0.19328310259578463
PERK_eIF2A_ATF4,ATF4,6,3,3,0.5,-0.03455523809078301,-0.20703061454631774
PERK_eIF2A_ATF4,PPP1R15A,6,3,3,0.5,-0.18952145493490086,-0.27509667797478915
PERK_eIF2A_ATF4,EIF2AK3,6,3,3,0.5,-0.22573480350075717,-0.2626748714074783
UPR_total_hallmark,SEC31A,6,0,6,1.0,-0.2569637752703756,-0.4385879655270511
UPR_total_hallmark,CNOT4,6,5,1,0.8333333333333334,0.5389531283262592,0.04592325462574428
UPR_total_hallmark,SPCS1,6,5,1,0.8333333333333334,0.48446249965183596,0.2734213699345635
UPR_total_hallmark,KDELR3,6,5,1,0.8333333333333334,0.33874288517937035,0.6504575315622169
UPR_total_hallmark,PDIA6,6,5,1,0.8333333333333334,0.33740485279208665,0.5759198250367934
UPR_total_hallmark,EXOC2,6,5,1,0.8333333333333334,0.322738565057986,0.3712925709751351
UPR_total_hallmark,IGFBP1,6,5,1,0.8333333333333334,0.3049411901217807,0.10464782370653192
UPR_total_hallmark,TUBB2A,6,5,1,0.8333333333333334,0.2688617760595129,0.1357816550599544
UPR_total_hallmark,WIPI1,6,5,1,0.8333333333333334,0.26424467807427626,0.4092337169338891
UPR_total_hallmark,HSP90B1,6,5,1,0.8333333333333334,0.22406903165310715,0.28393560556243685
UPR_total_hallmark,CXXC1,6,5,1,0.8333333333333334,0.21072094957584614,0.12670811190547368
UPR_total_hallmark,VEGFA,6,5,1,0.8333333333333334,0.19649856322089487,0.34707941562576033
UPR_total_hallmark,LSM1,6,5,1,0.8333333333333334,0.1772758688708666,0.2030830484190522
UPR_total_hallmark,DNAJA4,6,1,5,0.8333333333333334,-0.10575586427080702,-0.06770272803822358
UPR_total_hallmark,ARFGAP1,6,1,5,0.8333333333333334,-0.2667404575235925,-0.5483401609966886
UPR_total_hallmark,CNOT2,6,1,5,0.8333333333333334,-0.32783988982699375,-0.551968799858419
UPR_total_hallmark,EIF4A2,6,1,5,0.8333333333333334,-0.36947257534541156,-0.2736081952102578
UPR_total_hallmark,NOP14,6,1,5,0.8333333333333334,-0.5069995893471425,-0.9587364016751488
UPR_total_hallmark,HYOU1,6,1,5,0.8333333333333334,-0.6510288469183722,-0.5073247216268212
UPR_total_hallmark,ATF3,6,1,5,0.8333333333333334,-0.7123397103329998,-0.7699114066106553
UPR_total_hallmark,PARN,6,1,5,0.8333333333333334,-0.8643738843711528,-0.9156134593546649
UPR_total_hallmark,XPOT,6,1,5,0.8333333333333334,-0.8940825412388302,-0.9095547021551829
UPR_total_hallmark,YWHAZ,4,3,1,0.75,0.3734537863588714,0.6408975269141279
UPR_total_hallmark,CKS1B,4,3,1,0.75,0.27552434099752315,0.4059391623469255
UPR_total_hallmark,DCP1A,4,1,3,0.75,-0.2677669468297553,-0.016688986921738397
UPR_total_hallmark,EIF4E,6,4,2,0.6666666666666666,0.7319062540100225,0.3737250837130084
UPR_total_hallmark,EDEM1,6,4,2,0.6666666666666666,0.5277060393677122,0.3578287054104205
UPR_total_hallmark,DDX10,6,4,2,0.6666666666666666,0.46333806217066176,0.17148284537088643
UPR_total_hallmark,BAG3,6,4,2,0.6666666666666666,0.4310510196854593,0.47215026578784375
UPR_total_hallmark,PAIP1,6,4,2,0.6666666666666666,0.426829698876261,0.498890246949182
UPR_total_hallmark,NHP2,6,4,2,0.6666666666666666,0.40423387452159537,0.0750483491155191
UPR_total_hallmark,EIF2S1,6,4,2,0.6666666666666666,0.39392824368513607,0.10473933279085712
UPR_total_hallmark,SPCS3,6,4,2,0.6666666666666666,0.39116061605445995,0.4751359817137861
UPR_total_hallmark,DCP2,6,4,2,0.6666666666666666,0.3040042490395825,0.3178916158686052
UPR_total_hallmark,WFS1,6,4,2,0.6666666666666666,0.260643880208246,0.21760421015049047
UPR_total_hallmark,IMP3,6,4,2,0.6666666666666666,0.2503045876008265,-0.20696133024663602
UPR_total_hallmark,BANF1,6,4,2,0.6666666666666666,0.23256531178529655,-0.1767442905637405
UPR_total_hallmark,ERN1,6,4,2,0.6666666666666666,0.22431940869899614,0.12601184627086856
UPR_total_hallmark,SLC30A5,6,4,2,0.6666666666666666,0.20092955602226537,0.2781728939671201
UPR_total_hallmark,SHC1,6,4,2,0.6666666666666666,0.18078734005163505,0.3136438928338258
UPR_total_hallmark,HSPA5,6,4,2,0.6666666666666666,0.1405579680747937,-0.3193814232232343
UPR_total_hallmark,ZBTB17,6,4,2,0.6666666666666666,0.11375852352160924,-0.1644930025867445
UPR_total_hallmark,FKBP14,6,4,2,0.6666666666666666,0.09801577736769218,-0.034722826545840725
UPR_total_hallmark,IFIT1,6,4,2,0.6666666666666666,0.05779723280680715,0.17109461910343923
UPR_total_hallmark,NFYA,6,4,2,0.6666666666666666,0.009730483701141601,0.05594940101151602
UPR_total_hallmark,SLC1A4,6,4,2,0.6666666666666666,0.0077435954955652475,-0.07843572287502872
UPR_total_hallmark,FUS,6,2,4,0.6666666666666666,-0.05403037986011372,0.13468089152378637
UPR_total_hallmark,NABP1,3,1,2,0.6666666666666666,-0.08052292864324051,-0.2714792473519898
UPR_total_hallmark,EXOSC9,6,2,4,0.6666666666666666,-0.1083518574037056,-0.006213577287418758
UPR_total_hallmark,EEF2,6,2,4,0.6666666666666666,-0.1320951646975032,-0.19918881686654907
UPR_total_hallmark,SRPRA,3,1,2,0.6666666666666666,-0.2004692452131357,-0.07519693235293878
UPR_total_hallmark,ERO1A,3,1,2,0.6666666666666666,-0.2120507692506699,0.07569414608200509
UPR_total_hallmark,DDIT4,6,2,4,0.6666666666666666,-0.28712350505096923,-0.13450327979420496
UPR_total_hallmark,EXOSC2,6,2,4,0.6666666666666666,-0.29256352142834274,-0.5917729750962611
UPR_total_hallmark,DKC1,6,2,4,0.6666666666666666,-0.3077915052513388,-0.3538105036708605
UPR_total_hallmark,RPS14,6,2,4,0.6666666666666666,-0.3492725934941746,-0.3328704712034338
UPR_total_hallmark,HSPA9,6,2,4,0.6666666666666666,-0.3662045784734943,-0.5473050437805024
UPR_total_hallmark,EXOSC10,6,2,4,0.6666666666666666,-0.37807283265337693,-0.2339854910194966
UPR_total_hallmark,DCTN1,6,2,4,0.6666666666666666,-0.38040239237056456,-0.38432106135095295
UPR_total_hallmark,DNAJC3,6,2,4,0.6666666666666666,-0.38557565186909365,-0.09540983743206403
UPR_total_hallmark,SEC11A,6,2,4,0.6666666666666666,-0.4166455664265862,-0.2674725957854174
UPR_total_hallmark,SDAD1,6,2,4,0.6666666666666666,-0.43139631260989597,-0.4795563347219791
UPR_total_hallmark,CEBPG,6,2,4,0.6666666666666666,-0.4704720753848852,-0.4116296310259318
UPR_total_hallmark,MTHFD2,6,2,4,0.6666666666666666,-0.4968253051862933,-0.3601530710285514
UPR_total_hallmark,EXOSC5,6,2,4,0.6666666666666666,-0.49892818765901104,-0.6798497592343155
UPR_total_hallmark,EIF4EBP1,6,2,4,0.6666666666666666,-0.5381987375722228,-0.6817190368957465
UPR_total_hallmark,SERP1,6,2,4,0.6666666666666666,-0.5540150802214532,-0.5177422905551029
UPR_total_hallmark,CNOT6,6,2,4,0.6666666666666666,-0.5576180707673004,-0.5648250333433497
UPR_total_hallmark,PREB,6,2,4,0.6666666666666666,-0.5730328791454558,-0.2994920039531262
UPR_total_hallmark,EIF4G1,6,2,4,0.6666666666666666,-0.5939718483162009,-0.4132177746734045
UPR_total_hallmark,EDC4,6,2,4,0.6666666666666666,-0.6347233738064659,-0.38142921553307607
UPR_total_hallmark,SRPRB,6,1,4,0.6666666666666666,-0.7776704875161107,-0.68177320642797
UPR_total_hallmark,EXOSC1,6,2,4,0.6666666666666666,-0.8333986399808763,-0.5271295468277936
UPR_total_hallmark,HERPUD1,6,2,4,0.6666666666666666,-0.998661263025711,-0.6389625214129432
UPR_total_hallmark,NOLC1,6,2,4,0.6666666666666666,-1.1062987675520952,-1.1075433245608393
UPR_total_hallmark,KIF5B,6,3,3,0.5,0.42643960679199167,0.5150647223380839
UPR_total_hallmark,RRP9,6,3,3,0.5,0.23112285842350283,-0.2076450897947543
UPR_total_hallmark,TATDN2,6,3,3,0.5,0.1737198625384168,0.12259947344834103
UPR_total_hallmark,CEBPB,6,3,3,0.5,0.15209299480469882,0.15956342971247753
UPR_total_hallmark,CALR,6,3,3,0.5,0.11667276829199322,0.08975469969717227
UPR_total_hallmark,KHSRP,6,3,3,0.5,0.11304838290407954,-0.011932499313220962
UPR_total_hallmark,NPM1,4,2,2,0.5,0.09933840250800557,0.28553590823285757
UPR_total_hallmark,ASNS,6,3,3,0.5,0.09855261325586592,-0.08929783849555635
UPR_total_hallmark,EIF4A3,6,3,3,0.5,0.09351425022852675,-0.03457021985137595
UPR_total_hallmark,EIF4A1,6,3,3,0.5,0.038664948054491194,0.09860350015432122
