cohort,modality,gene,n_right,n_left,right_mean,left_mean,right_minus_left,hedges_g,se_g,welch_p,welch_fdr,direction
GSE200997,single_cell_patient_pseudobulk,AL138831.2,8,8,0.1870336938178722,0.440905991613741,-0.25387229779586884,-0.26203081195142297,0.5024461643660344,0.594344755864553,0.8900847036082669,left_high
GSE200997,single_cell_patient_pseudobulk,AL138831.1,8,8,0.9606832998717405,0.6103781890582956,0.35030511081344495,0.32957996343754087,0.5038644571246848,0.49729018543627207,0.8579367861649113,right_high
GSE200997,single_cell_patient_pseudobulk,PRPF4B,8,8,5.459806182190679,6.085494210052206,-0.6256880278615267,-0.3601132115416631,0.5046102288303762,0.4681277152507377,0.8527163699647865,left_high
GSE200997,single_cell_patient_pseudobulk,C6ORF201,8,8,0.11935704078182086,0.0,0.11935704078182086,0.6937886137080728,0.5169050285977855,0.18564622086506008,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,ECI2,8,8,3.897313555595775,3.8959082310020428,0.0014053245937324377,0.0008856495685910133,0.5000000280133977,0.9985361818644158,0.9994921246544132,right_high
GSE200997,single_cell_patient_pseudobulk,AL136309.4,8,8,0.0,0.0,0.0,,,,,tie
GSE200997,single_cell_patient_pseudobulk,AL136309.2,8,8,0.11935704078182086,0.4887754538792449,-0.36941841309742407,-0.39318328544692926,0.5054910305815398,0.4312909278917768,0.8430773568188062,left_high
GSE200997,single_cell_patient_pseudobulk,CDYL,8,8,3.188638180366582,3.2044971414692345,-0.01585896110265228,-0.013107961094146619,0.5000061363424898,0.97835955595146,0.9963461152015927,left_high
GSE200997,single_cell_patient_pseudobulk,AL022725.1,8,8,0.0,0.2549731360977594,-0.2549731360977594,-0.4727272727272727,0.5079184086044644,0.3506166628202074,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,RPP40,8,8,2.1286707440872816,2.7539669178151494,-0.6252961737278677,-0.3622800271578823,0.5046656183651818,0.4568478226310016,0.8481014685510654,left_high
GSE200997,single_cell_patient_pseudobulk,AL359643.3,8,8,0.36223015981953643,0.0925926094581731,0.26963755036136333,0.8329528745576767,0.5241936151037099,0.10143487099036246,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL359643.2,8,8,0.18228821073576548,0.0,0.18228821073576548,0.6044753891490264,0.5128836715811208,0.24176214323382625,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,PPP1R3G,8,8,1.1110276267004966,0.16668179219566037,0.9443458345048362,1.026951057115357,0.5363443880870876,0.05680386463486573,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,LYRM4,8,8,3.7465639398023978,4.431843167066362,-0.6852792272639645,-0.49360314810878064,0.5086271461992742,0.31903021484444627,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,FARS2,8,8,2.740559347967701,3.2368456192099746,-0.49628627124227354,-0.29396734809295816,0.5030768473583621,0.5443182671557089,0.871133676873545,left_high
GSE200997,single_cell_patient_pseudobulk,AL021328.1,8,8,0.08059514611859325,0.0,0.08059514611859325,0.4727272727272726,0.5079184086044644,0.3506166628202074,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL022097.1,8,8,0.0,0.0478694622655039,-0.0478694622655039,-0.4727272727272727,0.5079184086044644,0.3506166628202074,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,AL136307.1,8,8,0.25647444319273105,1.3512184372262361,-1.094743994033505,-1.0153529528677159,0.5355551731913739,0.06350700857476944,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,NRN1,8,8,2.0632959833839943,1.297867008408938,0.7654289749750562,0.3901768355406212,0.5054078255299128,0.42408888733134,0.840974201727254,right_high
GSE200997,single_cell_patient_pseudobulk,F13A1,8,8,0.3401456182346345,0.533498601071914,-0.19335298283727953,-0.17953545473664786,0.5011498556714882,0.7110767110642471,0.928724531155469,left_high
GSE200997,single_cell_patient_pseudobulk,LY86-AS1,8,8,0.0,0.06219400816061283,-0.06219400816061283,-0.4727272727272727,0.5079184086044644,0.3506166628202074,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,LY86,8,8,0.20709602082554115,0.0,0.20709602082554115,0.5541173538211281,0.5108482456312151,0.2794722883670148,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL031123.2,8,8,0.34739296792928304,0.2376631051839705,0.10972986274531255,0.2294309380647571,0.5018764274251636,0.634946471638508,0.9022601689588585,right_high
GSE200997,single_cell_patient_pseudobulk,RREB1,8,8,4.2198692521860535,4.5809624246180025,-0.36109317243194905,-0.22450933450796323,0.5017969296609796,0.6428955166379187,0.9060287279005035,left_high
GSE200997,single_cell_patient_pseudobulk,SSR1,8,8,5.208020823071157,5.467817220903487,-0.25979639783232944,-0.15030346812012896,0.5008061762416153,0.7572694123708806,0.9417194128781955,left_high
GSE200997,single_cell_patient_pseudobulk,AL139095.4,8,8,0.0,0.0,0.0,,,,,tie
GSE200997,single_cell_patient_pseudobulk,CAGE1,8,8,0.595943948684251,0.5790201210073936,0.016923827676857406,0.01729550445427485,0.5000106832599511,0.9713313730899735,0.995029391760828,right_high
GSE200997,single_cell_patient_pseudobulk,RIOK1,8,8,3.7364656050303378,3.622563099521717,0.11390250550862069,0.06785180476074801,0.500164396809735,0.887917100370412,0.9752876634491887,right_high
GSE200997,single_cell_patient_pseudobulk,AL031058.1,8,8,1.8787123776622088,2.174766246594607,-0.29605386893239816,-0.19083591195951938,0.5012989678715195,0.6925544961784468,0.9228550366737457,left_high
GSE200997,single_cell_patient_pseudobulk,DSP,8,8,6.58773403144788,7.056861986377919,-0.46912795493003934,-0.22153239275715736,0.5017496743909795,0.6518886064078472,0.9079908774880344,left_high
GSE200997,single_cell_patient_pseudobulk,SNRNP48,8,8,3.4778595802767525,4.0184585648512545,-0.5405989845745021,-0.4810800778292183,0.5081984300758685,0.340034439033928,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,BMP6,8,8,0.0,0.06219400816061283,-0.06219400816061283,-0.4727272727272727,0.5079184086044644,0.3506166628202074,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,TXNDC5,8,8,1.7883900179067636,1.9352704918016097,-0.14688047389484615,-0.10087525960210733,0.5003632900917304,0.8341319437914402,0.9602912357741481,left_high
GSE200997,single_cell_patient_pseudobulk,BLOC1S5,8,8,2.029959667736924,1.0579425418774848,0.972017125859439,0.849816680425251,0.5251594448467529,0.09611790042332992,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,EEF1E1,8,8,2.8775902327933744,3.203306118485373,-0.3257158856919986,-0.2545105146970483,0.5023080870943704,0.6011082160791466,0.891873221935365,left_high
GSE200997,single_cell_patient_pseudobulk,SLC35B3,8,8,3.9311221998226116,4.718523190522891,-0.7874009907002795,-0.5763541907714697,0.511726215624968,0.25129930755580837,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,TFAP2A,8,8,2.8287459514293882,1.1908387828362657,1.6379071685931226,1.1460697050801332,0.544894346538275,0.030303133484311746,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL138885.3,8,8,1.804495751302223,0.9712949279043985,0.8332008233978245,0.6305810058197043,0.5140050168217021,0.20352557537159743,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,TFAP2A-AS1,8,8,0.8768977489629493,0.2549731360977594,0.6219246128651899,0.7800658496997787,0.5212794263659585,0.12131919597870947,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,GCNT2,8,8,0.4327416051673276,1.2303539126219964,-0.7976123074546688,-0.7508687644613076,0.5197459510404939,0.14739959814909043,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,C6ORF52,8,8,0.5980169456251734,0.7768161322020777,-0.1787991865769043,-0.15685737495816512,0.5008779519175294,0.7458664894350692,0.9367202345141702,left_high
GSE200997,single_cell_patient_pseudobulk,PAK1IP1,8,8,3.744958672973879,4.61756051579476,-0.872601842820881,-0.6826877643353962,0.5163768897525078,0.18575928676267164,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,TMEM14C,8,8,6.080239537302903,7.2304475991331865,-1.1502080618302832,-0.5972050655801457,0.5125793976948695,0.24329793393408974,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,AL024498.1,8,8,0.2198794157868779,0.5354158019511951,-0.31553638616431723,-0.37583680278877934,0.5050195647670668,0.45032357517718985,0.8476099492214477,left_high
GSE200997,single_cell_patient_pseudobulk,TMEM14B,8,8,6.660406148570785,6.402153280060234,0.2582528685105512,0.33443391564071884,0.5039786717401408,0.4922597463076849,0.8576916850298222,right_high
GSE200997,single_cell_patient_pseudobulk,MAK,8,8,0.20588823459128758,0.15478661761878593,0.05110161697250165,0.1653905697383895,0.5009759774878856,0.7316483884268923,0.9334677081906971,right_high
GSE200997,single_cell_patient_pseudobulk,AL357497.1,8,8,0.04476298609063845,0.140462071723677,-0.09569908563303856,-0.4199987708587424,0.5062607659357145,0.3955762839538896,0.8350013384642585,left_high
GSE200997,single_cell_patient_pseudobulk,SYCP2L,8,8,0.0,0.45714773838813094,-0.45714773838813094,-0.5527784392111197,0.5107964370490699,0.2805388234705037,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,ELOVL2,8,8,0.0,0.0,0.0,,,,,tie
GSE200997,single_cell_patient_pseudobulk,SMIM13,8,8,2.3505941587842933,1.7589759096383832,0.5916182491459101,0.33291462252177456,0.5039427456810948,0.49285360129665434,0.8576916850298222,right_high
GSE200997,single_cell_patient_pseudobulk,ERVFRD-1,8,8,0.13555470280290874,0.0,0.13555470280290874,0.7172820126904618,0.5180490009134988,0.17297178999988586,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL139807.1,8,8,0.0,0.0,0.0,,,,,tie
GSE200997,single_cell_patient_pseudobulk,NEDD9,8,8,4.381178115810659,4.4525919222935455,-0.07141380648288642,-0.039491712379132446,0.5000556967316825,0.9347651674391206,0.9857570880165846,left_high
GSE200997,single_cell_patient_pseudobulk,TMEM170B,8,8,0.3284046149760165,0.15347283265633818,0.1749317823196783,0.3490052630203437,0.5043314058383174,0.47285040423868496,0.8543952827398029,right_high
GSE200997,single_cell_patient_pseudobulk,ADTRP,8,8,2.798013877354991,3.476661497124989,-0.6786476197699982,-0.3297175060491395,0.50386767090021,0.4969404300157266,0.8579367861649113,left_high
GSE200997,single_cell_patient_pseudobulk,AL157373.2,8,8,0.2118382651263743,0.06219400816061283,0.14964425696576147,0.41237640993670005,0.5060369235353809,0.405523174563981,0.8371874154269809,right_high
GSE200997,single_cell_patient_pseudobulk,HIVEP1,8,8,2.8842984491131083,3.46466522538544,-0.5803667762723319,-0.39713483829363105,0.50560134210189,0.42248362505852854,0.8406020140810386,left_high
GSE200997,single_cell_patient_pseudobulk,EDN1,8,8,4.6320441153427545,4.058603439253172,0.5734406760895823,0.23398719537014356,0.5019515488711885,0.6283119696113634,0.9017558494201368,right_high
GSE200997,single_cell_patient_pseudobulk,PHACTR1,8,8,0.6364291575298611,0.11006347042611672,0.5263656871037443,0.75283715936831,0.519847635250868,0.151328338880794,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL008729.1,8,8,0.17196910733854975,0.06219400816061283,0.10977509917793693,0.36309426634091574,0.5046865167836384,0.4600162815087493,0.8490124265118592,right_high
GSE200997,single_cell_patient_pseudobulk,TBC1D7,8,8,3.8096689500103507,4.554711289410099,-0.7450423393997481,-0.6030956320454767,0.5128256575579329,0.23507535498148713,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,AL008729.2,8,8,0.2503661783631932,0.06219400816061283,0.18817217020258037,0.579323497391168,0.5118459490144309,0.24947017690973275,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,GFOD1,8,8,2.6549051908718733,2.15011594963748,0.5047892412343931,0.34421491289133826,0.5042138118701229,0.4790723095933476,0.8563544652016237,right_high
GSE200997,single_cell_patient_pseudobulk,GFOD1-AS1,8,8,0.08059514611859325,0.0,0.08059514611859325,0.4727272727272726,0.5079184086044644,0.3506166628202074,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,SIRT5,8,8,3.2673761001517327,3.2504400375993834,0.016936062552349362,0.011352746422475022,0.500004603009217,0.9811796940195603,0.9972060449757736,right_high
GSE200997,single_cell_patient_pseudobulk,AL441883.1,8,8,1.3188380239711464,2.3411923689922225,-1.0223543450210761,-0.7670003532470954,0.5205865353440006,0.13139877622810633,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,NOL7,8,8,6.071446651442773,7.148870724499537,-1.077424073056764,-0.5627015268970812,0.5111832565016018,0.27022686154177444,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,RANBP9,8,8,2.8482234406337046,2.86604063363826,-0.01781719300455542,-0.013034343044689495,0.5000060676095629,0.9783996222284724,0.9963461152015927,left_high
GSE200997,single_cell_patient_pseudobulk,MCUR1,8,8,4.570912859484073,5.976514990812065,-1.405602131327992,-0.8824125419961528,0.5270758922811819,0.09479135448201885,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,RNF182,8,8,0.5187778701849891,0.0925926094581731,0.426185260726816,0.5671180935543012,0.5113575395816744,0.2645253396458924,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,CD83,8,8,2.965606534930626,3.6833925182037275,-0.7177859832731013,-0.32062768578838574,0.5036581221740886,0.5100408361295091,0.8615508368468191,left_high
GSE200997,single_cell_patient_pseudobulk,AL109914.1,8,8,0.13433930021313095,0.0,0.13433930021313095,0.9077134112368355,0.5286081331781746,0.09630665900218262,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL138720.1,8,8,0.028615666010766174,0.0,0.028615666010766174,0.4727272727272727,0.5079184086044644,0.3506166628202074,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL136162.1,8,8,0.33889694146933946,0.11006347042611672,0.22883347104322274,0.7954926978795477,0.5221113945311616,0.11855438697449214,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,JARID2,8,8,3.205682932377356,3.3304862495287186,-0.1248033171513625,-0.07919202736511433,0.5002239276135023,0.8693885494453485,0.9705397466904419,left_high
GSE200997,single_cell_patient_pseudobulk,JARID2-AS1,8,8,0.41476987469447335,0.06219400816061283,0.3525758665338605,0.8902164048408224,0.5275443531606648,0.09343175547975101,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,DTNBP1,8,8,3.720689569573021,3.799024888301065,-0.078335318728044,-0.04737601054583393,0.5000801538030549,0.9215920969476744,0.9824784765224813,left_high
GSE200997,single_cell_patient_pseudobulk,MYLIP,8,8,4.127623944650921,5.605296198933325,-1.4776722542824041,-0.7236031142888744,0.5183628578449297,0.16378053724787056,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,GMPR,8,8,3.1345178317143016,2.8637989615494317,0.27071887016486995,0.16183796060553857,0.5009345382629836,0.7371748081548202,0.9337719673927276,right_high
GSE200997,single_cell_patient_pseudobulk,AL009031.1,8,8,0.1427714475952793,0.0,0.1427714475952793,0.8591067934830231,0.5256990068541626,0.11200397814077183,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,ATXN1,8,8,3.6703553097064927,3.290518201491421,0.3798371082150718,0.23983312543536384,0.5020500803155603,0.6200718512079929,0.8984007292603663,right_high
GSE200997,single_cell_patient_pseudobulk,AL137003.1,8,8,1.192087809535022,1.281386707183487,-0.08929889764846499,-0.07892510655179798,0.5002224209733468,0.8701509431015104,0.9707724554788089,left_high
GSE200997,single_cell_patient_pseudobulk,AL137003.2,8,8,0.6238329922493134,0.15478661761878593,0.4690463746305275,1.0266737306681022,0.5363254259057634,0.05290543463549775,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,STMND1,8,8,0.6508037403669644,0.6762613564830158,-0.02545761611605135,-0.023065182433627266,0.5000189997333208,0.9618051730448874,0.9932493152467994,left_high
GSE200997,single_cell_patient_pseudobulk,RBM24,8,8,0.20518424272804953,0.7267724352537244,-0.5215881925256749,-0.5028077050455139,0.5089490427851276,0.31962073528669627,0.8227348473488143,left_high
