cohort,scope,comparison,proxy,gene,n_high,n_low,high_minus_low_mean_z,welch_p,welch_fdr_within_cohort_scope
GSE39582,right,proxy_high_minus_low,AA_routing_proxy_expanded,DHODH,147,77,-0.5211640711804025,0.0001845340936422844,0.0007381363745691376
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_core,AIFM2,168,167,-0.35219234501011365,0.0011913944926756066,0.0031770519804682844
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_core,GCH1,168,167,0.2762172436087425,0.011263351263148471,0.015017801684197961
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_core,SCD,168,167,-0.1852883353544153,0.08995367946464439,0.08995367946464439
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_core,MBOAT1,168,167,0.25986308923167545,0.01715290393032375,0.019603318777512858
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_core,MBOAT2,168,167,0.527183881805221,9.531455061270015e-07,7.625164049016012e-06
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_core,GPX4,168,167,-0.2946964918938234,0.006810294427813948,0.013620588855627896
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_core,SLC7A11,168,167,0.278053684324419,0.010727218432789053,0.015017801684197961
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_core,DHODH,168,167,-0.3844446091189523,0.00039445174304603576,0.001577806972184143
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_core,AIFM2,112,88,-0.40151750636682537,0.004071709946660551,0.010857893191094802
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_core,GCH1,112,88,0.37146834281974367,0.008696402066414376,0.017392804132828753
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_core,SCD,112,88,-0.21506079450672505,0.1359874221319641,0.1359874221319641
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_core,MBOAT1,112,88,0.22677073522703622,0.11935059758472541,0.1359874221319641
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_core,MBOAT2,112,88,0.5671280797754932,7.003355930934852e-05,0.0005602684744747882
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_core,GPX4,112,88,-0.30236334461417935,0.0300622937280174,0.0400830583040232
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_core,SLC7A11,112,88,0.34358062145089735,0.016965604392947652,0.027144967028716244
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_core,DHODH,112,88,-0.5136062931716636,0.0002594062576980811,0.0010376250307923243
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,AIFM2,168,167,-0.3184302308573441,0.0034248853202555074,0.005479816512408812
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,GCH1,168,167,0.38531471878221074,0.000383071463058166,0.000766142926116332
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,SCD,168,167,-0.28290512372155796,0.009414826439046698,0.01255310191872893
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,MBOAT1,168,167,0.4093127915672104,0.00015806924266644731,0.0004215179804438595
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,MBOAT2,168,167,0.5182855958720166,1.4772657028574147e-06,5.909062811429659e-06
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,GPX4,168,167,-0.1955711334395947,0.07337349470714262,0.08385542252244871
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,SLC7A11,168,167,0.1826385078575306,0.09465254547023552,0.09465254547023552
TCGA-COAD,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,DHODH,168,167,-0.5378493205337695,5.644059178275646e-07,4.515247342620516e-06
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_expanded,AIFM2,112,88,-0.3247866372820175,0.019435996683944332,0.04250163761908344
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_expanded,GCH1,112,88,0.3280554555683038,0.02125081880954172,0.04250163761908344
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_expanded,SCD,112,88,-0.2960942640924919,0.04067585133187537,0.055738088458063086
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_expanded,MBOAT1,112,88,0.2956617941895507,0.041803566343547316,0.055738088458063086
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_expanded,MBOAT2,112,88,0.5318969043279482,0.0002595189254031241,0.0010380757016124965
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_expanded,GPX4,112,88,-0.22252933105979608,0.10727136458166352,0.12259584523618687
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_expanded,SLC7A11,112,88,0.19833791580572574,0.16893457046953914,0.16893457046953914
TCGA-COAD,right,proxy_high_minus_low,AA_routing_proxy_expanded,DHODH,112,88,-0.6779517454930464,1.788159139101256e-06,1.4305273112810048e-05
