module,collection,n_trajectories,n_positive,n_negative,consistency_fraction,direction,median_nes,mean_nes,min_abs_nes,n_fdr_qval_025,universal_consistent_5of6,universal_consistent_4of6
COESSENTIALITY::1240::,COESSENTIALITY,6,6,0,1.0,positive,0.9354903152501208,1.0170814569787503,0.6327229969995521,1,True,True
COESSENTIALITY::1649::biological process:ATP metabolic process,COESSENTIALITY,6,6,0,1.0,positive,0.9228704754153847,0.9806744618900319,0.8066196343629832,0,True,True
REACTOME::REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DEATH_RECEPTORS_AND_LIGANDS,REACTOME,6,6,0,1.0,positive,0.9044490829507692,0.8803030503435294,0.4677982247331156,0,True,True
REACTOME::REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE,REACTOME,6,6,0,1.0,positive,0.8901941328233253,0.8677204904587511,0.6946220037501422,0,True,True
COESSENTIALITY::21::biological process:interstrand cross-link repair,COESSENTIALITY,6,6,0,1.0,positive,0.8898275102803848,0.9893897345729142,0.6483514576696505,0,True,True
COESSENTIALITY::220::,COESSENTIALITY,6,6,0,1.0,positive,0.8857748210058912,0.8937426834133801,0.7295191598000051,0,True,True
COESSENTIALITY::1073::,COESSENTIALITY,6,6,0,1.0,positive,0.8824070004910489,0.9409246486755795,0.5692698062856162,0,True,True
REACTOME::REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY,REACTOME,6,6,0,1.0,positive,0.876222523976592,0.9248867504305139,0.54993566333663,0,True,True
COESSENTIALITY::680::biological process:gene silencing by RNA,COESSENTIALITY,6,6,0,1.0,positive,0.8690461830639025,0.9370304414597787,0.577734717527037,0,True,True
COESSENTIALITY::1283::,COESSENTIALITY,6,6,0,1.0,positive,0.8639355846756288,0.9941376821617284,0.6783113807081457,0,True,True
REACTOME::REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS,REACTOME,6,6,0,1.0,positive,0.851410640669576,0.8669538882316216,0.6099925056651161,0,True,True
REACTOME::REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE,REACTOME,6,6,0,1.0,positive,0.8513151874648079,0.8736327506414474,0.7005719549821934,0,True,True
COESSENTIALITY::1225::biological process:positive regulation of JAK-STAT cascade,COESSENTIALITY,6,6,0,1.0,positive,0.848505954998308,0.899847190949267,0.5759242630654666,0,True,True
COESSENTIALITY::775::,COESSENTIALITY,6,6,0,1.0,positive,0.8466730276927724,0.9797344498527418,0.8020375531520811,0,True,True
COESSENTIALITY::1277::biological process:ATP metabolic process,COESSENTIALITY,6,6,0,1.0,positive,0.8367309228400392,0.9658805398092646,0.6841208301856928,0,True,True
REACTOME::REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,REACTOME,6,6,0,1.0,positive,0.7994146412693863,0.9723525744989314,0.7173994045443031,0,True,True
COESSENTIALITY::914::biological process:ATP metabolic process,COESSENTIALITY,6,6,0,1.0,positive,0.798889109049485,0.9736354234676239,0.67320659707225,1,True,True
COESSENTIALITY::1872::cellular component:plasma membrane raft,COESSENTIALITY,6,0,6,1.0,negative,-0.6870807702815491,-0.8788433237468246,0.501878699187323,0,True,True
REACTOME::REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY,REACTOME,6,0,6,1.0,negative,-0.7182898373158759,-0.8254929961503322,0.6431732649914019,0,True,True
COESSENTIALITY::1512::molecular function:RNA polymerase II core promoter sequence-specific DNA binding,COESSENTIALITY,6,0,6,1.0,negative,-0.7190189398005766,-0.7854723316961367,0.5813975796468874,0,True,True
"CORUM::6851::MWRAD complex (MLL1, WDR5, RBBP5, ASH2L, DPY30)",CORUM,6,0,6,1.0,negative,-0.7612175400081738,-0.8454423038368958,0.6777623760636434,0,True,True
"CORUM::6664::STAGA complex, SPT3-linked",CORUM,6,0,6,1.0,negative,-0.7836122599439335,-0.9060910317680003,0.46342765330702024,1,True,True
CORUM::1495::PID complex,CORUM,6,0,6,1.0,negative,-0.8127287816461074,-1.0211805602216333,0.5996986597819334,1,True,True
COESSENTIALITY::283::molecular function:gamma-tubulin binding,COESSENTIALITY,6,0,6,1.0,negative,-0.8270671534851697,-0.8609670359732574,0.6485859903294305,0,True,True
REACTOME::REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,REACTOME,6,0,6,1.0,negative,-0.8283517414542056,-1.0012803224290356,0.7005875489959195,1,True,True
REACTOME::REACTOME_CDH11_HOMOTYPIC_AND_HETEROTYPIC_INTERACTIONS,REACTOME,6,0,6,1.0,negative,-0.8670015919323844,-0.8661402502318453,0.6913286686457862,0,True,True
COESSENTIALITY::644::molecular function:ATP-dependent DNA helicase activity,COESSENTIALITY,6,0,6,1.0,negative,-0.8708446166675929,-0.8862545267372882,0.6871355960661147,0,True,True
CORUM::814::Postsplicing complex,CORUM,6,0,6,1.0,negative,-0.872624220994811,-0.8505058850674928,0.45482552306666757,0,True,True
CORUM::2224::MSH2/6-BLM-p53-RAD51 complex,CORUM,6,0,6,1.0,negative,-0.8809802881049881,-0.9571160763259271,0.5666342889002305,0,True,True
COESSENTIALITY::598::,COESSENTIALITY,6,0,6,1.0,negative,-0.8864727280136457,-0.9025961839511272,0.6648467200894961,0,True,True
COESSENTIALITY::394::biological process:nucleobase-containing small molecule interconversion,COESSENTIALITY,6,0,6,1.0,negative,-0.8902891509250049,-0.8969502185669342,0.4643831256743603,0,True,True
CORUM::434::BASC (Ab 80) complex (BRCA1-associated genome surveillance complex),CORUM,6,0,6,1.0,negative,-0.9044992668184668,-0.9195879492561417,0.8389360608742501,0,True,True
COESSENTIALITY::239::biological process:cholesterol efflux,COESSENTIALITY,6,0,6,1.0,negative,-0.9070948689816694,-0.9520361836396111,0.6579195464486206,0,True,True
REACTOME::REACTOME_NUCLEOTIDE_EXCISION_REPAIR,REACTOME,6,0,6,1.0,negative,-0.9143681563824297,-0.9432373733388187,0.6496074540243614,0,True,True
"CORUM::4403::EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)",CORUM,6,0,6,1.0,negative,-0.9150510746977347,-0.9032023834179613,0.6141415143266507,0,True,True
CORUM::1182::CDC5L core complex,CORUM,6,0,6,1.0,negative,-0.9199419924341914,-0.8872663204103701,0.620101165516441,0,True,True
COESSENTIALITY::1255::biological process:DNA replication initiation,COESSENTIALITY,6,0,6,1.0,negative,-0.9508599136716278,-1.1616177196403183,0.7769149018808184,2,True,True
REACTOME::REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS,REACTOME,6,0,6,1.0,negative,-0.9592049692945027,-1.0114559626073032,0.8208006814078276,0,True,True
REACTOME::REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,REACTOME,6,0,6,1.0,negative,-0.9594543899080272,-0.9687431568966801,0.8343921988586188,0,True,True
REACTOME::REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,REACTOME,6,0,6,1.0,negative,-0.9664833911321098,-1.1010909087520655,0.5363391991502089,1,True,True
COESSENTIALITY::511::biological process:multivesicular body assembly,COESSENTIALITY,6,0,6,1.0,negative,-0.9715295598568855,-0.9347337771079789,0.6274382931183035,0,True,True
REACTOME::REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,REACTOME,6,0,6,1.0,negative,-0.9748554429275056,-1.019980346130044,0.73377680432088,1,True,True
REACTOME::REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS,REACTOME,6,0,6,1.0,negative,-0.9757267336363685,-0.9420805457706992,0.775322079401866,0,True,True
REACTOME::REACTOME_NEPHRIN_FAMILY_INTERACTIONS,REACTOME,6,0,6,1.0,negative,-0.9768020316614383,-1.0835395274803192,0.7919098977758889,0,True,True
REACTOME::REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,REACTOME,6,0,6,1.0,negative,-0.9824622364879603,-0.984359085481484,0.630429291290417,0,True,True
COESSENTIALITY::966::molecular function:14-3-3 protein binding,COESSENTIALITY,6,0,6,1.0,negative,-1.011569349313668,-0.9906792350509875,0.5800162332186823,0,True,True
COESSENTIALITY::418::biological process:biomineral tissue development,COESSENTIALITY,6,0,6,1.0,negative,-1.019933106339549,-1.0928272143378444,0.6407616249407151,0,True,True
REACTOME::REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA,REACTOME,6,0,6,1.0,negative,-1.0254007569520738,-0.9716779806934674,0.5022945275894499,1,True,True
REACTOME::REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,REACTOME,6,0,6,1.0,negative,-1.0297124195000804,-1.056100748235625,0.6791563372903808,0,True,True
REACTOME::REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,REACTOME,6,0,6,1.0,negative,-1.0310251962444477,-0.9525768050086282,0.5158951065752221,0,True,True
COESSENTIALITY::181::,COESSENTIALITY,6,0,6,1.0,negative,-1.0368579878010118,-1.0062029338453258,0.7616968889597586,0,True,True
CURATED::pyrimidine_total_previous,CURATED,6,0,6,1.0,negative,-1.0377183678856028,-1.0579791833616532,0.7860482042578344,0,True,True
CORUM::6858::CHTOP-methylosome complex,CORUM,6,0,6,1.0,negative,-1.0483636002739438,-1.0700833296006194,0.8102282571759722,0,True,True
COESSENTIALITY::1809::biological process:anterograde axonal transport,COESSENTIALITY,6,0,6,1.0,negative,-1.050481906379726,-1.094307176552651,0.8633542215730725,0,True,True
COESSENTIALITY::468::,COESSENTIALITY,6,0,6,1.0,negative,-1.0724093792564187,-0.9492303516094304,0.5984456571823277,0,True,True
REACTOME::REACTOME_FORMATION_OF_DEFINITIVE_ENDODERM,REACTOME,6,0,6,1.0,negative,-1.0800613006126762,-1.2940582852264784,0.7840635640220535,2,True,True
REACTOME::REACTOME_SARS_COV_1_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS,REACTOME,6,0,6,1.0,negative,-1.0937714868763544,-1.1604405751647309,0.7065355588479643,1,True,True
REACTOME::REACTOME_NUCLEOTIDE_SALVAGE,REACTOME,6,0,6,1.0,negative,-1.1026341902983587,-1.072976080614206,0.7072520867491953,0,True,True
"CORUM::742::eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)",CORUM,6,0,6,1.0,negative,-1.1366893209387505,-1.19071703169736,0.8302841757067572,1,True,True
COESSENTIALITY::132::biological process:DNA recombination,COESSENTIALITY,6,0,6,1.0,negative,-1.1529063263551507,-1.1979817460431468,0.5309719125578505,2,True,True
REACTOME::REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME,6,0,6,1.0,negative,-1.186324138632391,-1.1832301137532022,0.7947849977045347,0,True,True
REACTOME::REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM,REACTOME,6,0,6,1.0,negative,-1.2065417203015492,-1.1128876751196222,0.7226769132193681,0,True,True
REACTOME::REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING,REACTOME,6,0,6,1.0,negative,-1.2091239221424774,-1.069361681457589,0.4776078148777827,0,True,True
REACTOME::REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,REACTOME,6,0,6,1.0,negative,-1.21161472949328,-1.1271639497996602,0.5676604805382128,0,True,True
REACTOME::REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,REACTOME,6,0,6,1.0,negative,-1.244709200144126,-1.3579539929248323,0.8670432676276951,2,True,True
"CORUM::1097::eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)",CORUM,6,0,6,1.0,negative,-1.336281550771345,-1.2799926809407598,0.7573322088913192,1,True,True
REACTOME::REACTOME_PURINE_SALVAGE,REACTOME,6,0,6,1.0,negative,-1.3737349307167566,-1.2797295662897552,0.43790644618977886,2,True,True
COESSENTIALITY::1403::cellular component:keratin filament,COESSENTIALITY,6,0,6,1.0,negative,-1.466289716744728,-1.3499422957572271,0.8444939458700587,1,True,True
COESSENTIALITY::138::biological process:regulation of canonical Wnt signaling pathway,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.3423056381323863,0.9514442584022665,0.8864409589909724,4,True,True
CORUM::6468::TRAPP complex,CORUM,6,5,1,0.8333333333333334,positive,1.3417406325893393,0.9709484753674987,0.7174541123529143,1,True,True
COESSENTIALITY::273::biological process:inorganic anion transport,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.3211534944043146,1.0579541078721244,1.0163230608572134,1,True,True
COESSENTIALITY::1839::,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.3206275628693875,0.8493979816974281,0.7577659042599783,1,True,True
COESSENTIALITY::710::,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.290002531535983,0.9072285335503306,0.7731263183493057,0,True,True
REACTOME::REACTOME_SYNDECAN_INTERACTIONS,REACTOME,6,5,1,0.8333333333333334,positive,1.2862199350281918,0.8546455291026925,1.027679786242661,0,True,True
COESSENTIALITY::617::,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.2800828072007278,0.904120962423487,0.7550434845438655,1,True,True
COESSENTIALITY::1049::cellular component:perikaryon,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.2795600396917481,0.975291879211518,1.0165957810476003,0,True,True
COESSENTIALITY::1799::biological process:protein polyubiquitination,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.2164022741939626,0.7790579210374169,0.9312056154827886,0,True,True
REACTOME::REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,REACTOME,6,5,1,0.8333333333333334,positive,1.2104268776557081,0.8036006134318328,0.7457670776919775,0,True,True
CORUM::58::SMRT complex,CORUM,6,5,1,0.8333333333333334,positive,1.2053205479809748,0.8386330562768229,0.790734073622734,0,True,True
COESSENTIALITY::1394::molecular function:transmembrane signaling receptor activity,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.204558873272189,0.7702173046921291,0.5623200836677154,0,True,True
REACTOME::REACTOME_REGULATION_OF_RAS_BY_GAPS,REACTOME,6,5,1,0.8333333333333334,positive,1.1991204643443343,0.8864110431336246,0.8642161625955781,2,True,True
REACTOME::REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA,REACTOME,6,5,1,0.8333333333333334,positive,1.1969828501699844,0.6880274962728955,0.6970749257735782,1,True,True
REACTOME::REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,REACTOME,6,5,1,0.8333333333333334,positive,1.190288765299258,0.8094804109439092,0.8892344411920161,1,True,True
REACTOME::REACTOME_ABACAVIR_ADME,REACTOME,6,5,1,0.8333333333333334,positive,1.1900329267700152,0.8204865091273136,0.8791095669386426,0,True,True
REACTOME::REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,REACTOME,6,5,1,0.8333333333333334,positive,1.1871498789134023,0.846381791017602,0.985638364441507,0,True,True
REACTOME::REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC,REACTOME,6,5,1,0.8333333333333334,positive,1.1854303968323479,0.7951680764777697,0.63315255736129,3,True,True
CORUM::181::26S proteasome,CORUM,6,5,1,0.8333333333333334,positive,1.1852637680705302,0.8591337610328257,0.9505258181118266,1,True,True
COESSENTIALITY::507::,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1797169609012563,0.8445479403133443,0.7011700267363741,1,True,True
COESSENTIALITY::345::biological process:inorganic anion transport,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1775407359132695,0.871857730655012,0.8717766984682257,0,True,True
REACTOME::REACTOME_VLDL_CLEARANCE,REACTOME,6,5,1,0.8333333333333334,positive,1.1770655737041151,0.8601654292057082,0.9936141956185932,0,True,True
REACTOME::REACTOME_REGULATION_OF_SIGNALING_BY_NODAL,REACTOME,6,5,1,0.8333333333333334,positive,1.1760979876223596,0.7210565731742268,0.5451026512468404,0,True,True
COESSENTIALITY::1759::,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1714667745905851,0.9032708177934191,0.9992511374684169,2,True,True
COESSENTIALITY::1064::,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1698417464712851,0.70242215336715,0.6000934891047587,1,True,True
REACTOME::REACTOME_SHC_MEDIATED_CASCADE_FGFR1,REACTOME,6,5,1,0.8333333333333334,positive,1.16715673162635,0.8015552960304438,0.9112534575187952,2,True,True
REACTOME::REACTOME_CASP4_MEDIATED_SUBSTRATE_CLEAVAGE,REACTOME,6,5,1,0.8333333333333334,positive,1.1634099678645735,0.8563657229259919,0.625853056576874,0,True,True
"COESSENTIALITY::779::biological process:RNA phosphodiester bond hydrolysis, exonucleolytic",COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1629519497035714,0.9744257998257161,0.6694139429977445,2,True,True
REACTOME::REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,REACTOME,6,5,1,0.8333333333333334,positive,1.1572075186022466,0.8475288471696926,0.733170174056686,2,True,True
REACTOME::REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,REACTOME,6,5,1,0.8333333333333334,positive,1.156550303778789,0.8681840590900912,0.8798155481175374,3,True,True
COESSENTIALITY::1634::molecular function:steroid binding,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1529379041316399,0.9181960741731228,0.6754624218932745,0,True,True
COESSENTIALITY::928::molecular function:receptor ligand activity,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1521263071779946,0.8185816190731029,0.8303745946957367,1,True,True
REACTOME::REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,REACTOME,6,5,1,0.8333333333333334,positive,1.1500389409371417,0.7270712518766432,0.6019932566793381,0,True,True
REACTOME::REACTOME_FRS_MEDIATED_FGFR1_SIGNALING,REACTOME,6,5,1,0.8333333333333334,positive,1.1441612765817928,0.7855498668105924,0.9103970328469367,0,True,True
COESSENTIALITY::119::,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1437956760817578,0.8010603820013801,0.8491023877801106,0,True,True
COESSENTIALITY::1460::molecular function:semaphorin receptor binding,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1425671028324857,0.889196809777863,0.8423057519131536,1,True,True
REACTOME::REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,REACTOME,6,5,1,0.8333333333333334,positive,1.138617661644976,0.75299428964263,1.0970241736191841,0,True,True
REACTOME::REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,REACTOME,6,5,1,0.8333333333333334,positive,1.1351194097450803,0.77530872423196,1.0692987380675543,0,True,True
REACTOME::REACTOME_INTERLEUKIN_1_SIGNALING,REACTOME,6,5,1,0.8333333333333334,positive,1.1325967195071398,0.8570699966398653,0.9231028790847072,1,True,True
COESSENTIALITY::588::biological process:microtubule-based process,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1322677664603313,0.7605328995479508,0.7584144186450053,1,True,True
CORUM::5220::CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,CORUM,6,5,1,0.8333333333333334,positive,1.1311544297406892,0.7416863289410146,0.5189868124644055,0,True,True
REACTOME::REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,REACTOME,6,5,1,0.8333333333333334,positive,1.1256293398886812,0.8153036992136337,0.7597042838635198,3,True,True
REACTOME::REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID,REACTOME,6,5,1,0.8333333333333334,positive,1.1219051143740688,0.780643424397371,0.7263729157784,0,True,True
REACTOME::REACTOME_LOSS_OF_MECP2_BINDING_ABILITY_TO_THE_NCOR_SMRT_COMPLEX,REACTOME,6,5,1,0.8333333333333334,positive,1.1216640715338007,0.8332112071276261,0.951264934504885,0,True,True
COESSENTIALITY::151::biological process:RNA processing,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.12066149922804,0.8015996018760257,0.8943531651879475,0,True,True
COESSENTIALITY::549::molecular function:telomerase RNA binding,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1191294644231213,0.9185310810014616,0.5950079553944718,1,True,True
REACTOME::REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,REACTOME,6,5,1,0.8333333333333334,positive,1.1168292948704932,0.7780427269994942,0.9183790220438148,0,True,True
CORUM::741::NCOR-HDAC3 complex,CORUM,6,5,1,0.8333333333333334,positive,1.1162689644989525,0.8022588928570675,1.0114295002694045,1,True,True
COESSENTIALITY::1758::biological process:beta-catenin-TCF complex assembly,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1153989848605175,0.8956343372038712,1.0133201112728956,1,True,True
COESSENTIALITY::286::biological process:intra-Golgi vesicle-mediated transport,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.114698754724238,0.832723122010874,0.6641896766395228,1,True,True
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,REACTOME,6,5,1,0.8333333333333334,positive,1.1135065315785961,0.7626685451578816,0.703835013900123,3,True,True
HALLMARK::HALLMARK_HEDGEHOG_SIGNALING,HALLMARK,6,5,1,0.8333333333333334,positive,1.112400216613302,0.8320262372110343,0.8049436373009439,0,True,True
COESSENTIALITY::976::cellular component:M band,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1118427848173602,0.7449975500000415,0.9880646750286284,0,True,True
COESSENTIALITY::963::cellular component:platelet alpha granule lumen,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1096787094078056,0.7615432382076669,0.6126248114862266,0,True,True
COESSENTIALITY::555::molecular function:histone-lysine N-methyltransferase activity,COESSENTIALITY,6,5,1,0.8333333333333334,positive,1.1059420888865517,0.7923424935105127,0.6685667512610756,0,True,True
