gene,background,observed_background_vulnerability_rho,empirical_p_value,n_permutations,n_trajectories_combined
ADAMTS17,HCT116,0.0461760461760461,0.6203796203796204,1000,3
ADAMTS18,HCT116,-0.0195526695526695,0.8421578421578422,1000,3
ADAMTS19,HCT116,-0.0986291486291486,0.2647352647352647,1000,3
ADAMTS2,HCT116,0.1205627705627705,0.19080919080919082,1000,3
ADAMTS20,HCT116,-0.0047619047619047,0.961038961038961,1000,3
ADAMTS3,HCT116,-0.0038239538239538,0.967032967032967,1000,3
ADAMTS4,HCT116,-0.0081529581529581,0.932067932067932,1000,3
ADAMTS5,HCT116,-0.1183982683982683,0.19080919080919082,1000,3
ADAMTS6,HCT116,-0.178066378066378,0.053946053946053944,1000,3
ADAMTS7,HCT116,,0.000999000999000999,1000,3
ADAMTS8,HCT116,0.0875901875901876,0.33166833166833165,1000,3
ADAMTS9,HCT116,0.3976911976911977,0.000999000999000999,1000,3
ADAMTSL1,HCT116,-0.1917027417027417,0.03396603396603397,1000,3
ADAMTSL2,HCT116,-0.1311688311688311,0.17082917082917082,1000,3
ADAMTSL3,HCT116,0.1002886002886002,0.2547452547452547,1000,3
ADAMTSL4,HCT116,0.0137085137085137,0.8671328671328671,1000,3
ADAMTSL5,HCT116,-0.0293650793650793,0.7622377622377622,1000,3
ADAP1,HCT116,0.2501443001443001,0.005994005994005994,1000,3
ADAP2,HCT116,-0.025036075036075,0.7752247752247752,1000,3
ADAR,HCT116,0.0584415584415584,0.5354645354645354,1000,3
ADARB1,HCT116,0.0633477633477633,0.48451548451548454,1000,3
ADARB2,HCT116,-0.0879509379509379,0.3146853146853147,1000,3
ADAT1,HCT116,-0.0776334776334776,0.42357642357642356,1000,3
ADAT2,HCT116,-0.2305194805194805,0.013986013986013986,1000,3
ADAT3,HCT116,-0.0517316017316017,0.5754245754245755,1000,3
ADCK1,HCT116,0.0551948051948051,0.5474525474525475,1000,3
ADCK2,HCT116,-0.0302308802308802,0.7542457542457542,1000,3
ADCK5,HCT116,0.0841991341991342,0.36063936063936064,1000,3
ADCY1,HCT116,0.0449494949494949,0.6093906093906094,1000,3
ADCY10,HCT116,-0.0761183261183261,0.4205794205794206,1000,3
ADCY2,HCT116,0.0682539682539682,0.4835164835164835,1000,3
ADCY3,HCT116,-0.1235930735930735,0.16583416583416583,1000,3
ADCY4,HCT116,0.0204184704184704,0.8221778221778222,1000,3
ADCY5,HCT116,-0.1989177489177489,0.03196803196803197,1000,3
ADCY6,HCT116,0.2133477633477633,0.025974025974025976,1000,3
ADCY7,HCT116,0.0347041847041847,0.6933066933066933,1000,3
ADCY8,HCT116,0.1569264069264069,0.08691308691308691,1000,3
ADCY9,HCT116,0.0979076479076479,0.2897102897102897,1000,3
ADCYAP1,HCT116,-0.0017316017316017,0.9820179820179821,1000,3
ADCYAP1R1,HCT116,0.1034632034632034,0.27472527472527475,1000,3
ADD1,HCT116,-0.073088023088023,0.4275724275724276,1000,3
ADD2,HCT116,-0.0625541125541125,0.4965034965034965,1000,3
ADD3,HCT116,-0.098051948051948,0.28771228771228774,1000,3
ADGRA1,HCT116,0.1587301587301587,0.0939060939060939,1000,3
ADGRA2,HCT116,0.1652958152958153,0.07792207792207792,1000,3
