ModelID,CellLineName,side,side_confidence,curated_primary_site,SLC7A11_gene_effect,PUFA_pressure_score,pressure_complete_genes,AA_routing_score,aa_routing_complete_genes,pressure_group_global_median
ACH-000722,SNU-C1,Left,high,Colon descendens; cultured from peritoneum,0.4087613926279073,0.1489951227443539,5,0.053519914577636635,4,High
ACH-000798,CL-40,Right,high,Right colon,0.0199393749169324,-0.023895104211824492,5,-0.2589691906470286,4,Low
ACH-000820,SW403,Unknown,none,Not explicitly assigned,0.3318365538649963,1.266143790218544,5,-0.24601531662048498,4,High
ACH-000926,HT-55,Rectum,high,Rectum,0.0355828710034279,-0.9925919404851138,5,-0.7760543592115795,4,Low
ACH-000935,MDST8,Unknown,none,Not explicitly assigned,0.30651355349114,-0.40386694952010427,5,0.9473206249942985,4,Low
ACH-000943,RKO,Unknown,none,Not explicitly assigned,0.212419208973076,-0.1841759570966117,5,-0.6653482676747193,4,Low
ACH-000950,LoVo,Unknown,none,Not explicitly assigned,0.0525969519768185,0.2932776878522954,5,0.6369491417613271,4,High
ACH-000957,LS 180,Unknown,none,Not explicitly assigned,0.3101077274081062,0.07825582880865141,5,0.35943497317470474,4,High
ACH-000958,SW48,Unknown,none,Not explicitly assigned,0.0941479425940337,-0.7361308499559692,5,-0.6491158194728243,4,Low
ACH-000959,SNU-C4,Right,high,Colon transversum,0.0482359040673966,,0,,0,Unavailable
ACH-000963,CCK-81,Unknown,none,Not explicitly assigned,0.3018848028498014,0.3259564843053987,5,0.27272896774714794,4,High
ACH-000969,KM12,Unknown,none,Not explicitly assigned,0.1751248152623728,-0.31719111570623193,5,0.23665270716943018,4,Low
ACH-000970,SNU-C5,Right,high,Cecum,0.1583427782461815,,0,,0,Unavailable
ACH-000971,HCT 116,Right,high,Colon ascendens,0.2673088928843839,-0.04393200098391192,5,-0.32790767843216945,4,Low
ACH-000985,LS411N,Right,high,Cecum,0.0916563136463433,,0,,0,Unavailable
ACH-000986,HT115,Unknown,none,Not explicitly assigned,0.1059578318147407,0.0817512143110801,5,0.459808882572143,4,High
ACH-000991,SNU-81,Unknown,none,Not explicitly assigned,0.1205197158588859,1.2133759821335652,5,0.9490549315328057,4,High
ACH-000997,HCT-15,Unknown,none,Not explicitly assigned,0.0293672506654648,-0.5292907181815838,5,-0.6814198476217759,4,Low
ACH-001039,COLO 205,Unknown,none,Not explicitly assigned,0.1990048146177508,,0,,0,Unavailable
ACH-001061,DLD-1,Left,medium,"Colon, segment not explicit in Cellosaurus",0.0429676713787195,-0.4508087369869219,5,-0.6011419407877047,4,Low
ACH-001081,HCC2998,Unknown,none,Not explicitly assigned,0.1877674256922437,,0,,0,Unavailable
ACH-001345,GP5d,Unknown,none,Not explicitly assigned,0.1327497387331175,-0.18300834509938596,5,-0.7899683061128296,4,Low
ACH-001399,SW 626,Exclude,high,Ovary metastasis; problematic/misclassified line,0.0184062037074275,,0,,0,Unavailable
ACH-001454,C10,Left,high,"Colon, descending",0.1462362173773599,0.3331029046371137,5,0.41446846948075017,4,High
ACH-001458,C75,Left,high,"Colon, sigmoid",-0.2394784168694082,,0,,0,Unavailable
ACH-001460,C84,Right,high,Cecum,-0.0620643066044489,0.15620806892208533,5,0.08922174032647953,4,High
ACH-001786,SNU-1544,Right,high,"Colon, ascending",0.0900769168414095,-0.21027490155492465,5,-0.06486912480958346,4,Low
ACH-002538,SNU-1235,Right,high,"Colon, ascending",0.0262771542827845,-1.2428828923928885,5,0.5801931195757233,4,Low
ACH-002654,JVE-015,Unknown,none,Not explicitly assigned,0.0717825554268128,0.29654230310266566,5,0.9745032040468724,4,High
ACH-002660,JVE-187,Unknown,none,Not explicitly assigned,0.2827800461637452,-0.45283425699847724,5,-0.0365327907484172,4,Low
ACH-002662,JVE-207,Unknown,none,Not explicitly assigned,-0.0440793877109622,0.10830108740431602,5,-0.5339125941911177,4,High
ACH-002669,KP-363T,Unknown,none,Not explicitly assigned,0.0932847813315909,,0,,0,Unavailable
