ChemicalID,degree_matched_empirical_p,degree_matched_bh_fdr,degree_matched_permutations,degree_matched_seed,n_degree_bins
C479069,0.000999000999000999,0.01212423939696667,1000,20260822,20
C479228,0.7342657342657343,1.0,1000,20260822,20
C492482,1.0,1.0,1000,20260822,20
C494620,0.003996003996003996,0.035564435564435566,1000,20260822,20
C494622,0.000999000999000999,0.01212423939696667,1000,20260822,20
C501268,1.0,1.0,1000,20260822,20
C502587,1.0,1.0,1000,20260822,20
C508802,1.0,1.0,1000,20260822,20
C512161,1.0,1.0,1000,20260822,20
C516433,1.0,1.0,1000,20260822,20
C517113,0.3786213786213786,1.0,1000,20260822,20
C517284,0.000999000999000999,0.01212423939696667,1000,20260822,20
C522391,0.952047952047952,1.0,1000,20260822,20
C522458,1.0,1.0,1000,20260822,20
C523076,1.0,1.0,1000,20260822,20
C523456,1.0,1.0,1000,20260822,20
C524826,1.0,1.0,1000,20260822,20
C529617,1.0,1.0,1000,20260822,20
C529618,1.0,1.0,1000,20260822,20
C532828,1.0,1.0,1000,20260822,20
C533806,1.0,1.0,1000,20260822,20
C534679,1.0,1.0,1000,20260822,20
C535034,1.0,1.0,1000,20260822,20
C535035,1.0,1.0,1000,20260822,20
C539348,0.1068931068931069,0.4837366023806702,1000,20260822,20
C543008,0.000999000999000999,0.01212423939696667,1000,20260822,20
C550717,0.03596403596403597,0.2087477739651653,1000,20260822,20
C558144,1.0,1.0,1000,20260822,20
C569492,0.001998001998001998,0.02133866133866134,1000,20260822,20
C573544,0.054945054945054944,0.29939448306795247,1000,20260822,20
C575690,0.000999000999000999,0.01212423939696667,1000,20260822,20
C576262,0.007992007992007992,0.06668331668331669,1000,20260822,20
C581825,0.000999000999000999,0.01212423939696667,1000,20260822,20
C582932,1.0,1.0,1000,20260822,20
C583074,1.0,1.0,1000,20260822,20
C586085,0.8691308691308691,1.0,1000,20260822,20
D000083462,1.0,1.0,1000,20260822,20
D000393,0.000999000999000999,0.01212423939696667,1000,20260822,20
D000395,0.01098901098901099,0.08629605688429219,1000,20260822,20
D000965,0.978021978021978,1.0,1000,20260822,20
D001464,0.7902097902097902,1.0,1000,20260822,20
D001564,0.000999000999000999,0.01212423939696667,1000,20260822,20
D001729,0.17882117882117882,0.6540445855514349,1000,20260822,20
D002104,0.000999000999000999,0.01212423939696667,1000,20260822,20
D002586,1.0,1.0,1000,20260822,20
D002857,0.5374625374625375,1.0,1000,20260822,20
D003035,0.47152847152847155,1.0,1000,20260822,20
D003300,0.000999000999000999,0.01212423939696667,1000,20260822,20
D003678,0.0979020979020979,0.458594037541406,1000,20260822,20
D004051,0.8181818181818182,1.0,1000,20260822,20
D004785,0.8401598401598401,1.0,1000,20260822,20
D005411,0.16083916083916083,0.6409560588665065,1000,20260822,20
D005466,0.42357642357642356,1.0,1000,20260822,20
D005659,1.0,1.0,1000,20260822,20
D005708,0.21578421578421578,0.7681918081918081,1000,20260822,20
D006046,0.26173826173826176,0.8319537605251891,1000,20260822,20
D006540,0.9310689310689311,1.0,1000,20260822,20
D007306,1.0,1.0,1000,20260822,20
D007854,0.5054945054945055,1.0,1000,20260822,20
D008345,0.9470529470529471,1.0,1000,20260822,20
D008628,0.17382617382617382,0.6540445855514349,1000,20260822,20
D008748,0.929070929070929,1.0,1000,20260822,20
D008982,0.03396603396603397,0.20153180153180156,1000,20260822,20
D009532,0.44655344655344653,1.0,1000,20260822,20
D009764,0.24875124875124874,0.8232508232508233,1000,20260822,20
D010165,1.0,1.0,1000,20260822,20
D010569,1.0,1.0,1000,20260822,20
D010575,0.06393606393606394,0.3282870975178668,1000,20260822,20
D010795,0.06993006993006994,0.3457653457653458,1000,20260822,20
D010984,0.3756243756243756,1.0,1000,20260822,20
D012238,1.0,1.0,1000,20260822,20
D012413,1.0,1.0,1000,20260822,20
D012428,0.04895104895104895,0.2722902097902098,1000,20260822,20
D012834,0.005994005994005994,0.05162579356127743,1000,20260822,20
D012989,1.0,1.0,1000,20260822,20
D013324,1.0,1.0,1000,20260822,20
D013667,1.0,1.0,1000,20260822,20
D013793,0.04695304695304695,0.26673326673326675,1000,20260822,20
D014001,1.0,1.0,1000,20260822,20
D014414,1.0,1.0,1000,20260822,20
D014501,0.8621378621378621,1.0,1000,20260822,20
D014639,0.952047952047952,1.0,1000,20260822,20
D014873,0.02197802197802198,0.1467032967032967,1000,20260822,20
D014874,0.056943056943056944,0.3040759240759241,1000,20260822,20
D015032,0.06593406593406594,0.3321584076301058,1000,20260822,20
D015040,1.0,1.0,1000,20260822,20
D015127,0.000999000999000999,0.01212423939696667,1000,20260822,20
D017438,1.0,1.0,1000,20260822,20
D019216,0.7102897102897103,1.0,1000,20260822,20
D052244,0.011988011988011988,0.09145140573712002,1000,20260822,20
D055549,0.003996003996003996,0.035564435564435566,1000,20260822,20
