gene,background,n_trajectory_values,n_positive_trajectory_values,background_vulnerability_rho,background_p_value,n_resampling_supported_trajectories,background_resampling_supported
ACAD8,HCT116,3,2,0.046464646464646465,0.4496990958926621,0,False
ACAD9,HCT116,3,2,0.04531024531024531,0.5991859172827354,0,False
ACADL,HCT116,3,2,0.04141414141414142,0.7640171612545091,0,False
ACADM,HCT116,3,0,-0.13073593073593073,0.34140873675002226,0,False
ACADS,HCT116,3,2,0.10036075036075036,0.4659751560218511,0,False
ACADSB,HCT116,3,1,-0.07258297258297258,0.5984566026517265,0,False
ACADVL,HCT116,3,3,0.043434343434343436,0.7528621277594649,0,False
ACAN,HCT116,3,2,0.012193362193362194,0.24707135453461307,0,False
ACAP1,HCT116,3,1,-0.06536796536796537,0.4656529941174947,0,False
ACAP2,HCT116,3,3,0.31507936507936507,0.019127107263627274,0,False
ACAP3,HCT116,3,3,0.22121212121212122,0.10457886473304712,0,False
ACAT1,HCT116,3,2,0.08528138528138528,0.5358727876752741,0,False
ACAT2,HCT116,3,1,-0.07828282828282829,0.569967652716745,0,False
ACBD3,HCT116,3,2,0.10396825396825397,0.0786335892545113,0,False
ACBD4,HCT116,3,1,-0.042712842712842716,0.4340509399044985,0,False
ACBD5,HCT116,3,0,-0.3002164502164502,0.025949166576068782,0,False
ACBD6,HCT116,3,0,-0.19235209235209236,0.15944727262912387,0,False
ACBD7,HCT116,3,1,-0.02683982683982684,0.38405863726897665,0,False
ACCS,HCT116,3,1,-0.010317460317460317,0.7548504989139946,0,False
ACCSL,HCT116,3,1,-0.047619047619047616,0.7299163892069848,0,False
ACD,HCT116,3,0,-0.166017316017316,0.22575543601392659,0,False
ACE,HCT116,3,2,0.1461038961038961,0.2664978740327913,0,False
ACE2,HCT116,3,1,-0.08708513708513708,0.5272501349271681,0,False
ACER1,HCT116,3,3,0.1743145743145743,0.203078655544047,0,False
ACER2,HCT116,3,2,0.19047619047619047,0.163633852114957,0,False
ACER3,HCT116,3,1,-0.043434343434343436,0.5596697588348651,0,False
ACHE,HCT116,3,1,-0.004112554112554113,0.9051137993843508,0,False
ACIN1,HCT116,3,1,-0.07525252525252525,0.549460378469475,0,False
ACKR1,HCT116,3,0,-0.2623376623376623,0.05300277906043622,0,False
ACKR2,HCT116,3,3,0.22965367965367967,0.09166805489047859,0,False
ACKR3,HCT116,3,2,0.11147186147186147,0.4178028990598228,0,False
ACKR4,HCT116,3,1,-0.0012987012987012987,0.9333355087293506,0,False
ACLY,HCT116,3,1,-0.024531024531024532,0.8233145614336305,0,False
ACMSD,HCT116,3,1,-0.019696969696969695,0.5632108379026525,0,False
ACO1,HCT116,3,3,0.10562770562770563,0.44277595220107996,0,False
ACO2,HCT116,3,2,0.2111111111111111,0.12182084539876123,0,False
ACOD1,HCT116,3,0,-0.04163059163059163,0.7628196560022604,0,False
ACOT1,HCT116,3,0,,,0,False
ACOT11,HCT116,3,1,-0.06681096681096681,0.5991859172827354,0,False
ACOT12,HCT116,3,2,0.021212121212121213,0.3644464312910556,0,False
ACOT13,HCT116,3,0,-0.13362193362193361,0.33076413541647653,0,False
ACOT2,HCT116,3,2,0.09502164502164502,0.1476613847760798,0,False
ACOT4,HCT116,3,3,0.3782106782106782,0.0044126887878252015,2,True
ACOT6,HCT116,3,1,-0.16067821067821067,0.24124353028528972,0,False
ACOT7,HCT116,3,2,0.028354978354978355,0.5456113314866773,0,False
ACOT8,HCT116,3,0,-0.016594516594516596,0.9042853372223449,0,False
ACOT9,HCT116,3,2,0.16911976911976911,0.21707931208983003,0,False
ACOX1,HCT116,3,1,-0.09098124098124098,0.4405856151260518,0,False
ACOX2,HCT116,3,2,0.2049062049062049,0.1334344542635219,0,False
ACOX3,HCT116,3,1,-0.02691197691197691,0.8453650808694473,0,False
ACOXL,HCT116,3,0,-0.0284992784992785,0.8363663203880186,0,False
ACP1,HCT116,3,1,-0.019552669552669554,0.8790699426775141,0,False
ACP2,HCT116,3,2,0.008874458874458875,0.6893664264574638,0,False
ACP3,HCT116,3,0,-0.23333333333333334,0.0864453984506117,0,False
ACP4,HCT116,3,2,0.06565656565656566,0.2776415441856245,0,False
ACP5,HCT116,3,2,0.05303030303030303,0.35144236391144157,0,False
ACP6,HCT116,3,0,-0.10995670995670996,0.42419875179285543,0,False
ACP7,HCT116,3,3,0.09624819624819625,0.4845357120787975,0,False
ACR,HCT116,3,2,0.0424963924963925,0.7580351726959504,0,False
ACRBP,HCT116,3,1,-0.1678932178932179,0.17174169878899448,0,False
ACRV1,HCT116,3,2,0.10404040404040404,0.4468597219327426,0,False
ACSBG1,HCT116,3,1,-0.10937950937950938,0.42664981534879726,0,False
ACSBG2,HCT116,3,0,-0.0873015873015873,0.5262200574531484,0,False
ACSF2,HCT116,3,2,0.03751803751803752,0.7856634942359569,0,False
ACSF3,HCT116,3,0,-0.18636363636363637,0.17309268184374382,0,False
ACSL1,HCT116,3,1,-0.22936507936507936,0.09208786812093053,0,False
ACSL3,HCT116,3,1,-0.03838383838383838,0.7808386298720037,0,False
ACSL4,HCT116,3,2,0.06002886002886003,0.6633058535058953,0,False
ACSL5,HCT116,3,2,0.07215007215007214,0.6006457188231258,0,False
ACSL6,HCT116,3,2,0.04466089466089466,0.7461136404162767,0,False
ACSM1,HCT116,3,3,0.05634920634920635,0.6828161802184597,0,False
ACSM2A,HCT116,3,2,0.15382395382395384,0.2621706077773174,0,False
ACSM2B,HCT116,3,0,,,0,False
ACSM3,HCT116,3,0,-0.1,0.46758776775008476,0,False
ACSM4,HCT116,3,3,0.21688311688311687,0.11172214161043693,1,True
ACSM5,HCT116,3,0,-0.14321789321789322,0.2968901158189572,0,False
ACSM6,HCT116,3,1,-0.06240981240981241,0.3203305635615859,0,False
ACSS1,HCT116,3,3,0.12893217893217893,0.34816852062322984,0,False
ACSS2,HCT116,3,3,0.31082251082251083,0.020904251861953292,1,True
ACSS3,HCT116,3,1,-0.20692640692640693,0.12956538212458982,0,False
ACTA1,HCT116,3,1,-0.08672438672438672,0.5289691483811603,0,False
ACTA2,HCT116,3,0,-0.2124098124098124,0.1194903230001289,0,False
ACTB,HCT116,3,3,0.18362193362193363,0.17961531241656092,0,False
ACTBL2,HCT116,3,1,-0.05101010101010101,0.7114921477597178,0,False
ACTC1,HCT116,3,1,-0.12164502164502164,0.3763107706025699,0,False
ACTG1,HCT116,3,2,0.019913419913419914,0.7204885812333899,0,False
ACTG2,HCT116,3,1,-0.14826839826839827,0.28000137539302156,0,False
ACTL10,HCT116,3,0,-0.1318903318903319,0.3371256063561767,0,False
ACTL6A,HCT116,3,0,-0.12474747474747475,0.36416674463605353,0,False
ACTL6B,HCT116,3,0,-0.17669552669552668,0.1968799357785842,0,False
ACTL7A,HCT116,3,2,0.029725829725829725,0.8233145614336305,0,False
ACTL7B,HCT116,3,0,-0.05194805194805195,0.7064243239140521,0,False
ACTL8,HCT116,3,1,-0.04256854256854257,0.6686402585914125,0,False
ACTL9,HCT116,3,2,0.018037518037518036,0.45413558154463424,0,False
ACTMAP,HCT116,3,0,-0.13023088023088022,0.34329319720285156,0,False
ACTN1,HCT116,3,2,0.009018759018759018,0.9478953890121968,0,False
ACTN2,HCT116,3,1,-0.1479076479076479,0.2811862409067251,0,False
ACTN3,HCT116,3,0,,,0,False
ACTN4,HCT116,3,0,-0.22012987012987012,0.10633075000857735,0,False
ACTR10,HCT116,3,0,-0.06479076479076479,0.6383843630067613,0,False
ACTR1A,HCT116,3,1,-0.09942279942279943,0.44403028372323605,0,False
ACTR1B,HCT116,3,1,-0.017676767676767676,0.46179644293598965,0,False
ACTR2,HCT116,3,2,0.19292929292929292,0.1581750684209055,0,False
ACTR3,HCT116,3,3,0.21753246753246752,0.11062744071227885,0,False
ACTR3B,HCT116,3,3,0.08975468975468975,0.5146160920328675,0,False
ACTR3C,HCT116,3,0,,,0,False
ACTR5,HCT116,3,1,-0.03362193362193362,0.8074720209519655,0,False
ACTR6,HCT116,3,0,-0.18138528138528137,0.18506640362478516,0,False
ACTR8,HCT116,3,0,-0.08116883116883117,0.5557867309873727,0,False
ACTRT1,HCT116,3,0,-0.2685425685425685,0.0474344737882577,0,False
ACTRT2,HCT116,3,1,-0.21803751803751803,0.10978170991346187,0,False
ACTRT3,HCT116,3,3,0.14155844155844155,0.30258071431765815,0,False
ACVR1,HCT116,3,1,-0.170995670995671,0.21194776641058785,0,False
ACVR1B,HCT116,3,3,0.14733044733044734,0.2830888921473042,0,False
ACVR1C,HCT116,3,3,0.16363636363636364,0.2325748750431343,0,False
ACVR2A,HCT116,3,1,-0.22958152958152958,0.0917728678789492,0,False
ACVR2B,HCT116,3,3,0.12734487734487734,0.3541849868522735,0,False
ACVRL1,HCT116,3,2,0.12907647907647907,0.3476247168529795,0,False
ACY1,HCT116,3,0,-0.17907647907647908,0.19081698902297464,0,False
ACY3,HCT116,3,3,0.20454545454545456,0.13413440343362457,0,False
ACYP1,HCT116,3,0,-0.22323232323232323,0.10136834019464147,0,False
ACYP2,HCT116,3,0,-0.07604617604617604,0.5810718205899637,0,False
ADA,HCT116,3,2,0.050432900432900434,0.4126659713081731,0,False
ADA2,HCT116,3,2,0.05858585858585859,0.6709314354885252,0,False
ADAD1,HCT116,3,2,0.13383838383838384,0.32997429129701905,0,False
ADAD2,HCT116,3,3,0.025396825396825397,0.8539731438176141,0,False
ADAL,HCT116,3,0,-0.16515151515151516,0.22821900307134535,0,False
ADAM10,HCT116,3,0,-0.1937950937950938,0.15628078545790672,0,False
ADAM11,HCT116,3,3,0.262987012987013,0.05239628316069439,1,True
ADAM12,HCT116,3,3,0.12243867243867244,0.37318129146350687,0,False
ADAM15,HCT116,3,1,-0.1049062049062049,0.42511696197071247,0,False
ADAM17,HCT116,3,2,0.25663780663780666,0.05857454744111739,0,False
ADAM18,HCT116,3,1,-0.17272727272727273,0.20460193970427396,0,False
ADAM19,HCT116,3,2,0.012626262626262626,0.7664138147170477,0,False
ADAM2,HCT116,3,1,-0.07380952380952381,0.592273294216123,0,False
ADAM20,HCT116,3,1,-0.11580086580086581,0.3998360339049631,0,False
ADAM21,HCT116,3,1,-0.1318181818181818,0.3373923147093943,0,False
ADAM22,HCT116,3,3,0.2046897546897547,0.13385409353202235,0,False
ADAM23,HCT116,3,2,0.051154401154401154,0.5296575285998183,0,False
ADAM28,HCT116,3,2,0.1523088023088023,0.2669561363929376,0,False
ADAM29,HCT116,3,3,0.27395382395382395,0.042977226478568234,1,True
ADAM30,HCT116,3,1,-0.23152958152958153,0.08897557358433165,0,False
ADAM32,HCT116,3,1,-0.03845598845598846,0.7588319670816,0,False
ADAM33,HCT116,3,3,0.032106782106782104,0.8159935190140082,0,False
ADAM7,HCT116,3,1,-0.017027417027417027,0.7628196560022604,0,False
ADAM8,HCT116,3,2,0.0955988455988456,0.25721930438475216,0,False
ADAM9,HCT116,3,3,0.21363636363636362,0.11732057561403701,0,False
ADAMDEC1,HCT116,3,2,0.18802308802308804,0.16922929584239965,0,False
ADAMTS1,HCT116,3,0,-0.354978354978355,0.007829399874070097,0,False
ADAMTS10,HCT116,3,3,0.23253968253968255,0.08755163189176887,0,False
ADAMTS12,HCT116,3,0,-0.05627705627705628,0.6832008529348986,0,False
ADAMTS13,HCT116,3,3,0.3002164502164502,0.025949166576068782,1,True
ADAMTS14,HCT116,3,1,-0.2132034632034632,0.1180829117144585,0,False
ADAMTS15,HCT116,3,3,0.1772005772005772,0.19558254645214124,0,False
ADAMTS16,HCT116,3,0,-0.19516594516594515,0.15331576881074208,0,False
ADAMTS17,HCT116,3,3,0.046176046176046176,0.737803369009822,0,False
ADAMTS18,HCT116,3,1,-0.019552669552669554,0.6747566672026696,0,False
ADAMTS19,HCT116,3,0,-0.09862914862914864,0.4737430024857978,0,False
ADAMTS2,HCT116,3,3,0.12056277056277057,0.38060350500897666,0,False
ADAMTS20,HCT116,3,0,-0.004761904761904762,0.9724750484936873,0,False
ADAMTS3,HCT116,3,1,-0.003823953823953824,0.8864993097025101,0,False
ADAMTS4,HCT116,3,1,-0.008152958152958153,0.8547938571913533,0,False
ADAMTS5,HCT116,3,1,-0.11839826839826839,0.38927615456978915,0,False
ADAMTS6,HCT116,3,0,-0.17806637806637807,0.19337263473928623,0,False
ADAMTS7,HCT116,3,0,,,0,False
ADAMTS8,HCT116,3,2,0.0875901875901876,0.5248481763999175,0,False
ADAMTS9,HCT116,3,3,0.3976911976911977,0.0026410443644010475,2,True
ADAMTSL1,HCT116,3,1,-0.1917027417027417,0.1608874710774316,0,False
ADAMTSL2,HCT116,3,0,-0.13116883116883116,0.339798614571284,0,False
ADAMTSL3,HCT116,3,3,0.10028860028860029,0.4662974381312111,0,False
ADAMTSL4,HCT116,3,2,0.013708513708513708,0.9208726513271083,0,False
ADAMTSL5,HCT116,3,0,-0.029365079365079365,0.8314665821578441,0,False
ADAP1,HCT116,3,3,0.25014430014430017,0.06548794345847614,0,False
ADAP2,HCT116,3,1,-0.025036075036075037,0.7153989311929552,0,False
ADAR,HCT116,3,2,0.05844155844155844,0.5112279228330825,0,False
ADARB1,HCT116,3,2,0.06334776334776335,0.645896124639372,0,False
ADARB2,HCT116,3,1,-0.08795093795093795,0.5231358302572976,0,False
ADAT1,HCT116,3,1,-0.07763347763347764,0.5731812997223362,0,False
ADAT2,HCT116,3,0,-0.2305194805194805,0.09041757450770897,0,False
ADAT3,HCT116,3,1,-0.05173160173160173,0.707592709542109,0,False
ADCK1,HCT116,3,2,0.05519480519480519,0.5685420495127254,0,False
ADCK2,HCT116,3,1,-0.03023088023088023,0.7957408244973678,0,False
ADCK5,HCT116,3,2,0.0841991341991342,0.11245654111700712,0,False
ADCY1,HCT116,3,2,0.04494949494949495,0.7445284852993735,0,False
ADCY10,HCT116,3,1,-0.07611832611832611,0.5807120918186934,0,False
ADCY2,HCT116,3,3,0.06825396825396825,0.620503728887193,0,False
ADCY3,HCT116,3,1,-0.12359307359307359,0.36865736530359117,0,False
ADCY4,HCT116,3,3,0.02041847041847042,0.8823706455968561,0,False
ADCY5,HCT116,3,1,-0.1989177489177489,0.14541371179336046,0,False
ADCY6,HCT116,3,2,0.21334776334776334,0.11782838145768311,0,False
ADCY7,HCT116,3,2,0.0347041847041847,0.7969523664741162,0,False
ADCY8,HCT116,3,3,0.15692640692640691,0.2525522267392941,0,False
ADCY9,HCT116,3,3,0.0979076479076479,0.47699989479494226,0,False
ADCYAP1,HCT116,3,1,-0.0017316017316017316,0.8220933319939889,0,False
ADCYAP1R1,HCT116,3,3,0.10346320346320347,0.4522313020157279,0,False
ADD1,HCT116,3,1,-0.07308802308802309,0.5959070885108534,0,False
ADD2,HCT116,3,0,-0.06255411255411256,0.6500426570408571,0,False
ADD3,HCT116,3,0,-0.09805194805194806,0.4763475653751213,0,False
ADGRA1,HCT116,3,3,0.15873015873015872,0.24707135453461307,0,False
ADGRA2,HCT116,3,3,0.1652958152958153,0.22780712215439425,0,False
ADGRA3,HCT116,3,3,0.1715007215007215,0.21058086642526988,0,False
ADGRB1,HCT116,3,2,0.006493506493506494,0.7965484661868928,0,False
ADGRB2,HCT116,3,3,0.23282828282828283,0.0871480888199407,0,False
ADGRB3,HCT116,3,0,-0.19494949494949496,0.15378114586655914,0,False
ADGRD1,HCT116,3,0,-0.17034632034632036,0.2137143439462407,0,False
ADGRD2,HCT116,3,0,,,0,False
ADGRE1,HCT116,3,0,-0.0852092352092352,0.536219122903021,0,False
ADGRE2,HCT116,3,0,-0.15303030303030302,0.26467008454541696,0,False
ADGRE3,HCT116,3,3,0.30144300144300146,0.025317906859166704,1,True
ADGRE5,HCT116,3,0,-0.1963203463203463,0.15085131525554302,0,False
ADGRF1,HCT116,3,3,0.16298701298701299,0.2344591041782051,0,False
ADGRF3,HCT116,3,0,-0.1704184704184704,0.21351754956340954,0,False
ADGRF4,HCT116,3,1,-0.017676767676767676,0.4931293457138482,0,False
ADGRF5,HCT116,3,1,-0.08152958152958154,0.554025951493266,0,False
ADGRG1,HCT116,3,1,-0.04329004329004329,0.7536572859363175,0,False
ADGRG2,HCT116,3,0,-0.12294372294372294,0.3711979804599203,0,False
ADGRG3,HCT116,3,3,0.2676046176046176,0.048244156628178714,0,False
ADGRG4,HCT116,3,2,0.017243867243867245,0.5038139917906734,0,False
ADGRG5,HCT116,3,0,-0.17496392496392496,0.2013745706221311,0,False
ADGRG6,HCT116,3,1,-0.06551226551226551,0.6346418983712667,0,False
ADGRG7,HCT116,3,2,0.0437950937950938,0.7508753479109285,0,False
ADGRL1,HCT116,3,1,-0.013708513708513708,0.9175522843227675,0,False
ADGRL2,HCT116,3,3,0.08398268398268398,0.5421235114576068,0,False
ADGRL3,HCT116,3,2,0.06370851370851371,0.644014855080544,0,False
ADGRL4,HCT116,3,2,0.047763347763347765,0.6905247203058041,0,False
ADGRV1,HCT116,3,1,-0.15036075036075036,0.2678742396776422,0,False
ADH1A,HCT116,3,1,-0.14754689754689754,0.28237440743212716,0,False
ADH1B,HCT116,3,0,-0.2937950937950938,0.029473694462261005,0,False
ADH1C,HCT116,3,0,,,0,False
ADH4,HCT116,3,3,0.13694083694083695,0.31878375652188384,0,False
ADH5,HCT116,3,0,-0.05209235209235209,0.7056457731419091,0,False
ADH6,HCT116,3,2,0.13513708513708514,0.3252601674570631,0,False
ADH7,HCT116,3,1,-0.043073593073593076,0.7548504989139946,0,False
ADHFE1,HCT116,3,2,0.008513708513708513,0.8310585550007554,0,False
ADI1,HCT116,3,3,0.10930735930735931,0.4269567611869731,0,False
ADIG,HCT116,3,0,-0.22655122655122656,0.09626007978717521,0,False
ADIPOQ,HCT116,3,1,-0.07431457431457432,0.589735530243438,0,False
ADIPOR1,HCT116,3,2,0.024891774891774892,0.6847403421293982,0,False
ADIPOR2,HCT116,3,3,0.02647907647907648,0.8478227439003373,0,False
ADIRF,HCT116,3,1,-0.05786435786435786,0.5004623425881528,0,False
ADK,HCT116,3,0,-0.10367965367965368,0.451280808655263,0,False
ADM,HCT116,3,2,0.10873015873015873,0.10703779841609908,0,False
ADM2,HCT116,3,2,0.16911976911976911,0.21707931208983003,0,False
ADM5,HCT116,3,0,-0.27510822510822514,0.042072314524215546,0,False
ADNP,HCT116,3,1,-0.010461760461760462,0.8638315919720665,0,False
ADNP2,HCT116,3,1,-0.06334776334776335,0.645896124639372,0,False
ADO,HCT116,3,1,-0.025613275613275612,0.6916837185415147,0,False
ADORA1,HCT116,3,2,0.05404040404040404,0.6778227468427777,0,False
ADORA2A,HCT116,3,2,0.031313131313131314,0.19595260630274172,1,True
ADORA2B,HCT116,3,0,-0.0733044733044733,0.5948159139328903,0,False
ADORA3,HCT116,3,0,,,0,False
ADPGK,HCT116,3,0,-0.4005772005772006,0.0024412229818098676,0,False
