query,library,term,query_n_mappable,term_n_in_universe,overlap_n,overlap_genes,p_value,library_bh_fdr,global_bh_fdr
DINP_parent_all_human_interacting_genes,Hallmark_2026.1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,86,200,8,CCL20;DUSP1;PTGER4;PTGS2;PTX3;RELA;SQSTM1;TNC,9.045440420098564e-07,4.522720210049282e-05,0.000261298220183349
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,32,788,9,BECN1;HSPA1A;HSPA1L;MMP2;MMP9;RELA;SQSTM1;STAT3;TIMP1,9.271173380925975e-07,0.00019636591000801032,0.000261298220183349
MBzP_all_human_interacting_genes,Hallmark_2026.1,HALLMARK_INFLAMMATORY_RESPONSE,87,199,8,AHR;CCL2;CCR7;CXCL10;EREG;IL18;IL6;SERPINE1,9.521004753882514e-07,1.6478578675928146e-05,0.000261298220183349
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS,32,54,4,PPARA;RXRA;SIRT3;SIRT5,9.641534042946497e-07,0.00019636591000801032,0.000261298220183349
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,10,47,3,NCOA1;NR1H2;NR1H3,9.770045884322153e-07,0.00017908494105962506,0.000261298220183349
MBzP_all_human_interacting_genes,Hallmark_2026.1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,87,200,8,CCL2;CCND1;CXCL10;IL18;IL6;PTGS2;SERPINE1;TNF,9.887147205556888e-07,1.6478578675928146e-05,0.000261298220183349
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,24,20,3,BAX;CASP3;CDKN2A,1.1566828355618693e-06,0.00019274542159862786,0.00030041845232593105
MBzP_no_cotreatment_genes,Reactome_2026.1,REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,59,74,5,BCL2;CCND1;EREG;ESR1;ESR2,1.3753258445807012e-06,0.000504194454623285,0.0003511509919112489
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE,10,5,2,NR1H2;NR1H3,1.7322890676145452e-06,0.00026460715507812177,0.00042528308981085904
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE,10,5,2,NR1H2;NR1H3,1.7322890676145452e-06,0.00026460715507812177,0.00042528308981085904
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_PROGRAMMED_CELL_DEATH,24,198,5,BAX;BCL2;CASP3;CASP8;CDKN2A,1.7503685321477204e-06,0.0002673687932855643,0.00042528308981085904
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_MITOCHONDRIAL_UNFOLDED_PROTEIN_RESPONSE_UPRMT,32,18,3,ESR1;HSPA1A;SIRT3,2.0237423475467447e-06,0.0003709519723053183,0.0004805780924897674
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,86,55,5,HSPA1A;HSPA1L;NR3C1;PGR;PTGES3,2.041755039786585e-06,0.00031187808232740084,0.0004805780924897674
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,32,1465,11,BECN1;ESR1;NR1I2;NR3C1;PPARA;PPARG;RELA;RXRA;SQSTM1;TIMP1;TNC,2.7392245145004365e-06,0.00045645441227993634,0.0006348258167143781
DINP_parent_no_cotreatment_genes,Hallmark_2026.1,HALLMARK_APOPTOSIS,32,161,5,MMP2;RELA;SQSTM1;TIMP1;TIMP2,2.8560371091295754e-06,0.00014280185545647876,0.0006518688335140594
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_REGULATED_NECROSIS,87,59,5,BAX;CASP3;CASP8;IL18;TP53,3.074748369021071e-06,0.0005420967451606549,0.0006913135735960211
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_PYROPTOSIS,87,27,4,BAX;CASP3;IL18;TP53,3.253171956774252e-06,0.0005420967451606549,0.0007206732699536373
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_MITF_M_DEPENDENT_GENE_EXPRESSION,87,109,6,ACTB;BCL2;CCND1;CDKN2A;DICER1;SERPINE1,3.845563198755791e-06,0.0005874097786099471,0.0008395588989283658
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION,24,30,3,NCOA1;PPARA;PPARG,4.091031803242192e-06,0.0005768354842571491,0.0008772531136191377
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,86,328,9,CCL20;CGA;CXCL13;CXCR4;PTGER1;PTGER2;PTGER3;PTGER4;PTGFR,4.134690060207035e-06,0.0005829912984891918,0.0008772531136191377
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,10,291,4,NCOA1;NR1H2;NR1H3;PPARD,5.150790848888656e-06,0.0007262615096933004,0.001077659907606371
MBzP_no_cotreatment_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_10_SIGNALING,59,45,4,CCL2;IL18;PTGS2;TNF,5.579102668753664e-06,0.0017044158653042442,0.0011471643608314483
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,10,84,3,NCOA1;PPARA;PPARG,5.6923532172489455e-06,0.000745291674801237,0.0011471643608314483
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,32,84,4,PPARA;PPARG;RELA;RXRA,5.711452938287216e-06,0.0008724244363233722,0.0011471643608314483
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,10,9,2,NR1H2;NR1H3,6.230403421119552e-06,0.0007613552980608092,0.0012349315412598018
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,86,33,4,MMP2;MMP9;TIMP1;TIMP2,7.118321428655564e-06,0.0008679717901428523,0.0013926025194969795
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,86,1465,18,ADAMTS1;AHSG;BECN1;CGA;ESR1;IGFBP1;NR1I2;NR3C1;PGR;PPARA;PPARG;RELA;RPS2;RXRA;SPP2;SQSTM1;TIMP1;TNC,7.317957933586915e-06,0.0008679717901428523,0.0014133040809173499
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,86,124,6,AHSG;IGFBP1;MMP2;SPP2;TIMP1;TNC,7.576404060166742e-06,0.0008679717901428523,0.001444695579270276
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,24,37,3,NCOA1;NR1H2;NR1H3,7.791592145356568e-06,0.0010201420287456135,0.0014671568009706417
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_MITOCHONDRIAL_BIOGENESIS,32,93,4,PPARA;RXRA;SIRT3;SIRT5,8.566465039660831e-06,0.0012078715705921771,0.0015931509797216146
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,86,194,7,ATF4;MAP1LC3B;PPARA;RELA;RXRA;SQSTM1;STAT3,8.860572170436374e-06,0.0009222171314372001,0.0016277519411640675
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_METABOLISM_OF_STEROID_HORMONES,86,35,4,CGA;CYP11A1;HSD3B2;STAR,9.05614204357316e-06,0.0009222171314372001,0.0016436352258359767
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,24,1465,9,CDKN2A;DNMT1;ESR1;NCOA1;NR1H2;NR1H3;NR1I2;PPARA;PPARG,9.900102650885654e-06,0.0011441858287410905,0.0017641593197563865
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION,32,30,3,PPARA;PPARG;RXRA,9.954430574833568e-06,0.001303319374547852,0.0017641593197563865
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE,24,5,2,NR1H2;NR1H3,1.0611652530604768e-05,0.0011441858287410905,0.0018374015370233357
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE,24,5,2,NR1H2;NR1H3,1.0611652530604768e-05,0.0011441858287410905,0.0018374015370233357
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_PROGRAMMED_CELL_DEATH,87,198,7,BAX;BCL2;CASP3;CASP8;CDKN2A;IL18;TP53,1.0926041648416122e-05,0.0015405718724266733,0.0018703396749061415
MBzP_all_human_interacting_genes,Hallmark_2026.1,HALLMARK_ALLOGRAFT_REJECTION,87,200,7,CCL2;CDKN2A;EREG;IL18;IL6;MMP9;TNF,1.166328487578236e-05,0.0001457910609472795,0.0019627354988881415
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,10,1465,6,NCOA1;NR1H2;NR1H3;NR1I2;PPARA;PPARG,1.1726380436798508e-05,0.001343403458790729,0.0019627354988881415
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY,32,32,3,ATG5;MAP1LC3B;SQSTM1,1.2137887893549309e-05,0.0014832499005917256,0.00200928728822447
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_ADIPOGENESIS,10,109,3,NCOA1;PPARA;PPARG,1.2469465876134012e-05,0.001344501820644332,0.0020417394995443775
MBzP_no_cotreatment_genes,Hallmark_2026.1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,59,200,6,CCL2;CCND1;IL18;PTGS2;SERPINE1;TNF,1.2978853503273596e-05,0.0006489426751636797,0.00210229515240122
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,86,291,8,AKR1C3;ESR1;MMP2;MMP9;PGR;PTGES3;RXRA;RXRB,1.4398794295482558e-05,0.001389104733874712,0.002307483375182439
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_EXPRESSION_OF_BMAL_ARNTL_CLOCK_AND_NPAS2,32,35,3,PPARA;RXRA;SIRT1,1.5970840518509696e-05,0.0015877796568822154,0.002507292552382972
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_ADIPOGENESIS,32,109,4,PPARA;PPARG;RELA;RXRA,1.6067735337435515e-05,0.0015877796568822154,0.002507292552382972
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,24,47,3,NCOA1;NR1H2;NR1H3,1.614805088493817e-05,0.0016444098484495366,0.002507292552382972
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX,87,40,4,CCND1;CDKN2A;IL6;TP53,1.6311382775725657e-05,0.0021356260448503663,0.002507292552382972
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,32,111,4,MMP2;MMP9;STAT3;TIMP1,1.7263415000089405e-05,0.0015877796568822154,0.002626829126882291
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,86,14,3,AKR1C1;AKR1C3;RXRA,1.8335380044016774e-05,0.0016804375810341374,0.002760307191489473
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_KEAP1_NFE2L2_PATHWAY,32,113,4,ATF4;MAP1LC3B;RELA;SQSTM1,1.852332530558421e-05,0.0015877796568822154,0.002760307191489473
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_GLUCONEOGENESIS,32,5,2,RXRA;RXRB,1.9056820759088235e-05,0.0015877796568822154,0.002760307191489473
