group,state,n_donors,spearman_rho,P,direction,BH_FDR
pooled,WNT_beta_catenin,12,0.2657342657342658,0.40383308831471165,positive,0.681468336531076
tumor,WNT_beta_catenin,6,0.08571428571428573,0.8717434402332361,positive,0.9052720340883607
normal,WNT_beta_catenin,6,0.6,0.20799999999999982,positive,0.3743999999999997
pooled,intestinal_epithelial_differentiation,12,0.3356643356643357,0.2861229029149875,positive,0.6166470095074332
tumor,intestinal_epithelial_differentiation,6,-0.028571428571428574,0.9571545189504373,negative,0.9571545189504373
normal,intestinal_epithelial_differentiation,6,0.028571428571428574,0.9571545189504373,positive,0.9571545189504373
pooled,stemness,12,0.013986013986013986,0.9655902689187795,positive,0.9655902689187795
tumor,stemness,6,-0.6,0.20799999999999982,negative,0.8235030275846601
normal,stemness,6,0.6,0.20799999999999982,positive,0.3743999999999997
pooled,secretory_differentiation,12,0.5314685314685316,0.07536233505348364,positive,0.6166470095074332
tumor,secretory_differentiation,6,0.08571428571428573,0.8717434402332361,positive,0.9052720340883607
normal,secretory_differentiation,6,0.48571428571428577,0.3287230320699709,positive,0.49308454810495633
pooled,enterocyte_differentiation,12,0.21678321678321683,0.49855598552418856,positive,0.7084742952185837
tumor,enterocyte_differentiation,6,-0.48571428571428577,0.3287230320699709,negative,0.8235030275846601
normal,enterocyte_differentiation,6,0.08571428571428573,0.8717434402332361,positive,0.9052720340883607
pooled,goblet_program,12,0.46153846153846156,0.13094806950717278,positive,0.6166470095074332
tumor,goblet_program,6,0.08571428571428573,0.8717434402332361,positive,0.9052720340883607
normal,goblet_program,6,0.48571428571428577,0.3287230320699709,positive,0.49308454810495633
pooled,stress_like_epithelial,12,0.2517482517482518,0.42991878503288405,positive,0.682812187993404
tumor,stress_like_epithelial,6,0.2,0.704,positive,0.864
normal,stress_like_epithelial,6,0.3142857142857143,0.5440932944606414,positive,0.638718215236405
