DRUG_NAME,delta_R_minus_S_GDSC2,mannwhitney_p_BH_GDSC2,n_overlap_GDSC2,spearman_p_BH_GDSC2,spearman_r_GDSC2
AZD4547,0.9349669999999994,0.11736700033582427,46.0,0.014815399365705204,0.38661732963305573
AZD5153,1.1839655,0.016210715287392655,45.0,0.015775633402864433,0.38695652173913037
AZD5363,1.0125965000000003,0.06725033494939306,44.0,0.004065726323483378,0.4625792811839323
AZD5438,0.7947555,0.029607008877956406,45.0,0.0005539778713880065,0.5491436100131751
AZD5582,0.987187,0.3246806825276838,46.0,0.3952532458754713,0.13191489361702127
AZD5991,0.6262935000000001,0.31612283476689346,45.0,0.10313809769398262,0.25494071146245056
AZD6738,1.4150435000000003,0.04189801744664515,44.0,0.0025449873533944347,0.4876673713883016
AZD7762,0.61049,0.1606113891819576,46.0,0.06557593631344504,0.2857230958988591
AZD8055,1.0341710000000002,0.049482920866024585,46.0,0.016241032039077712,0.3811902559358618
AZD8186,0.864106,0.08886516879237708,44.0,0.032134931623388846,0.344045102184637
Acetalax,-0.5852325,0.5885566478941123,45.0,0.9732764573412778,-0.0051383399209486156
Afatinib,0.618862,0.03411177939635223,46.0,0.0004663612510263084,0.5518963922294172
Afuresertib,0.7613794999999999,0.1688867462560662,44.0,0.020806498694184945,0.3730796335447498
Alisertib,1.177248,0.18693908171177825,46.0,0.02137132460273087,0.3634289238359543
Alpelisib,1.0392549999999998,0.08586662479572274,46.0,0.0017941017355691165,0.4975023126734505
Avagacestat,0.42897750000000023,0.307371899155219,45.0,0.13585464752424428,0.2330698287220026
Axitinib,0.43696,0.1414135002628639,45.0,0.0195298526657549,0.3727272727272727
BDF00022089a,0.16415550000000056,0.24447568121967758,45.0,0.003101541563246842,0.472463768115942
BDILV000379a,0.24231550000000013,0.4553680983756752,45.0,0.03859943965900972,0.3258234519104084
BDOCA000347a,0.6651465000000001,0.34318774805745483,45.0,0.03742978656401837,0.3277997364953886
BDP-00009066,0.6462054999999998,0.10260155452931508,41.0,0.009220798766294037,0.4358885017421604
BEN,1.5650869999999997,0.007478006252356402,45.0,0.0009279446207071597,0.5317523056653491
BI-2536,1.1219204999999999,0.07831801047783446,44.0,0.007050342756964146,0.43749119097956307
BIBR-1532,0.5539885,0.10707907275328277,41.0,0.002101134746359572,0.5144599303135889
BMS-345541,1.1936179999999998,0.00357873776566538,46.0,4.3826585786222985e-05,0.6310823311748381
BMS-536924,1.0170700000000004,0.11115834762547269,44.0,0.02281100125050668,0.36673713883016207
BMS-754807,0.907518,0.08886516879237708,46.0,0.00541535879116075,0.44113475177304956
BPD-00008900,0.5048345000000003,0.11660618988727933,41.0,0.13259868843707975,0.24703832752613247
Bleomycin,0.8983770000000004,0.004328710186056266,45.0,1.5404433296845032e-05,0.6707509881422924
Bleomycin (50 uM),0.8669635000000007,0.23989281123350964,42.0,0.024705584013572365,0.37022931691110933
Bortezomib,0.401122,0.19189657790373976,44.0,0.04435571952479778,0.31994362226920364
Bosutinib,0.5247415000000002,0.17647703498891612,45.0,0.02281100125050668,0.3628458498023715
Bromosporine,0.2477940000000003,0.1606113891819576,45.0,0.011804798742065123,0.40316205533596833
Buparlisib,0.727255,0.046312334844794835,44.0,0.0027436772061595963,0.4840028188865398
CCT007093,0.34690200000000004,0.25750316583419575,44.0,0.026816818438297533,0.35616631430584916
CDK9_5038,1.728237,0.004328710186056266,45.0,0.001262280156814894,0.5194993412384716
CDK9_5576,1.435558,0.0035924475767876883,45.0,5.0830636726019294e-05,0.6322793148880105
CPI-637,0.7889089999999994,0.1458401722664199,42.0,0.04357565201752642,0.3293898387488859
CT7033-2,1.121713,0.04442108866872767,42.0,0.0007536859053743775,0.5553034600113443
CZC24832,0.3803530000000004,0.21044017714256552,46.0,0.017657884532372627,0.3766265803268578
Camptothecin,1.5527619999999998,0.0035924475767876883,46.0,1.5404433296845032e-05,0.6735121800801727
Cediranib,0.7347695000000001,0.07014481879599248,44.0,0.01897573433591504,0.3795630725863283
Cisplatin,1.4074939999999998,0.01701073220542581,42.0,0.00015416900429405375,0.6178591686249089
Crizotinib,0.7422820000000001,0.01701073220542581,46.0,0.0005534797341654239,0.544495837187789
Cyclophosphamide,0.2097484999999999,0.1870668675503818,44.0,0.013340262138803526,0.4011275546159267
Cytarabine,2.8233279999999996,0.0035924475767876883,41.0,3.073456977356292e-05,0.6736933797909409
Dabrafenib,0.9138890000000002,0.08476891403236506,45.0,0.07946979706110681,0.2741765480895915
Dacarbazine,0.16027549999999913,0.4004893505565139,45.0,0.12498520224388708,0.24071146245059288
Dactinomycin,2.1990385,0.002980903675785583,46.0,3.5637154804847757e-06,0.7071847055195807
Dactolisib,1.4933905,0.012156731554886264,44.0,0.0034751043182934447,0.47061310782241006
Daporinad,0.7097524999999996,0.08886516879237708,27.0,0.04786917749176873,0.4023199023199023
Dasatinib,0.13276200000000005,0.8892065425541195,45.0,0.6189155787863362,-0.07865612648221343
Dihydrorotenone,0.0980335,0.5435354684519239,45.0,0.5448357153977773,0.09591567852437417
Dinaciclib,1.395332,0.010854233764089527,46.0,0.0002311686151522274,0.5792784458834412
Docetaxel,2.769718,0.007276547275832657,46.0,5.328623528503565e-05,0.6244218316373727
Doramapimod,0.6870930000000008,0.03411177939635223,45.0,0.0029335465781009174,0.47549407114624503
