group,state,n_donors,spearman_rho,P,donor_consistency,direction,BH_FDR,state_association_interpretation
pooled,enterocyte_differentiation,72,0.7881857354170688,2.0916088466170592e-16,0.8333333333333334,positive,4.496959020226677e-15,state falls or tracks as PPAR/NR falls
pooled,goblet_program,72,0.1059553669046241,0.3757127550703059,0.5,positive,0.4751661314124457,state falls or tracks as PPAR/NR falls
pooled,stress_like_epithelial,72,-0.31516496237700176,0.0070061193166177285,0.3333333333333333,negative,0.015063156530728117,state rises as PPAR/NR falls
tumor,EMT,36,0.322007722007722,0.055464093474605326,0.6111111111111112,positive,0.08866069439053516,state falls or tracks as PPAR/NR falls
tumor,E2F_targets,36,0.17425997425997425,0.30940843573609333,0.5,positive,0.3695711871292226,state falls or tracks as PPAR/NR falls
tumor,G2M_checkpoint,36,0.209009009009009,0.2211926456618538,0.5555555555555556,positive,0.2882207201048398,state falls or tracks as PPAR/NR falls
tumor,MYC_targets_V1,36,-0.3217503217503218,0.05567066857080115,0.3888888888888889,negative,0.08866069439053516,state rises as PPAR/NR falls
tumor,MYC_targets_V2,36,-0.046589446589446595,0.7873004286667751,0.5555555555555556,negative,0.806045676968365,state rises as PPAR/NR falls
tumor,Hypoxia,36,0.3418275418275419,0.041299718548149754,0.5555555555555556,positive,0.07721251728567129,state falls or tracks as PPAR/NR falls
tumor,Inflammatory_response,36,0.43037323037323044,0.008791990286518345,0.5555555555555556,positive,0.025203705488019257,state falls or tracks as PPAR/NR falls
tumor,TNF_NFkB,36,0.3382239382239383,0.04363044179502563,0.5555555555555556,positive,0.07817120821608758,state falls or tracks as PPAR/NR falls
tumor,IL6_JAK_STAT3,36,0.4805662805662806,0.003011214113417607,0.5555555555555556,positive,0.011771109716087007,state falls or tracks as PPAR/NR falls
tumor,ROS,36,0.18764478764478768,0.2731202524338387,0.5,positive,0.3355477387044304,state falls or tracks as PPAR/NR falls
tumor,OXPHOS,36,0.40205920205920204,0.0150660937359503,0.6111111111111112,positive,0.0340969489813612,state falls or tracks as PPAR/NR falls
tumor,Fatty_acid_metabolism,36,0.527927927927928,0.000935794089090787,0.6111111111111112,positive,0.00670652430515064,state falls or tracks as PPAR/NR falls
tumor,Cholesterol_homeostasis,36,0.2630630630630631,0.12111261748419677,0.5,positive,0.16274507974438943,state falls or tracks as PPAR/NR falls
tumor,Apoptosis,36,0.40411840411840416,0.014508756726123177,0.6111111111111112,positive,0.0340969489813612,state falls or tracks as PPAR/NR falls
tumor,p53,36,0.43989703989703993,0.007260606262732938,0.5555555555555556,positive,0.02325306477960887,state falls or tracks as PPAR/NR falls
tumor,UPR,36,-0.11711711711711713,0.4963462262554287,0.3333333333333333,negative,0.5616549402364062,state rises as PPAR/NR falls
tumor,Glycolysis,36,0.30296010296010295,0.07248095472792215,0.5555555555555556,positive,0.11131003761788044,state falls or tracks as PPAR/NR falls
tumor,IFN_alpha,36,0.32767052767052773,0.05107173677798149,0.6111111111111112,positive,0.08784338725812817,state falls or tracks as PPAR/NR falls
tumor,IFN_gamma,36,0.34311454311454315,0.04049213803351003,0.6111111111111112,positive,0.07721251728567129,state falls or tracks as PPAR/NR falls
