ModelID,COSMIC_key,GDSC_cell_line,MSI,database,expression_source,self_exclusion_trajectories
ACH-000950,907790,LoVo,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,GSE42387|LoVo
ACH-000565,909263,RCM-1,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000236,909747,SW1417,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000470,909748,SW1463,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000958,909751,SW48,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000421,909755,SW837,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000680,909757,SW948,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000381,909761,T84,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000350,910689,COLO-678,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000957,998189,LS-180,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000963,1240123,CCK-81,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000489,909746,SW1116,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000999,1659823,SNU-1040,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000989,1659928,SNU-175,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000955,1660034,SNU-407,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000532,1660035,SNU-61,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000991,1660036,SNU-81,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000970,1674021,SNU-C5,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000360,908442,NCI-H508,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000400,909718,SK-CO-1,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000971,905936,HCT-116,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116
ACH-000997,905937,HCT-15,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000552,905939,HT-29,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,GSE42387|HT29
ACH-000651,905962,SW620,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000969,905989,KM12,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000926,907287,HT55,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000986,907289,HT-115,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-001345,907291,GP5d,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000950,907790,LoVo,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,GSE42387|LoVo
ACH-000501,907792,LS-123,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000985,907794,LS-411N,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000007,907795,LS-513,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000360,908442,NCI-H508,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000403,908457,NCI-H747,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000491,908458,NCI-H716,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000565,909263,RCM-1,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000943,909698,RKO,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000400,909718,SK-CO-1,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000489,909746,SW1116,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000236,909747,SW1417,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000470,909748,SW1463,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000958,909751,SW48,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000421,909755,SW837,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000680,909757,SW948,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000381,909761,T84,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000998,910554,CW-2,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000350,910689,COLO-678,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000009,910700,C2BBe1,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000722,910905,SNU-C1,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000252,917486,LS-1034,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000957,998189,LS-180,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000963,1240123,CCK-81,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000935,1240173,MDST8,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000249,1290769,CL-11,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000999,1659823,SNU-1040,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000989,1659928,SNU-175,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000955,1660034,SNU-407,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000532,1660035,SNU-61,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000991,1660036,SNU-81,MSS/MSI-L,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000970,1674021,SNU-C5,MSI-H,GDSC2,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
