soma_joinid,citation,collection_id,collection_name,collection_doi,collection_doi_label,dataset_id,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
771,Publication: https://doi.org/10.1038/s41588-024-02048-3 Dataset Version: https://datasets.cellxgene.cziscience.com/838527f3-1d0c-4a68-a83d-5c97d4cc7920.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/ba84c7ba-8d8c-4720-a76e-3ee37dc89f0b,ba84c7ba-8d8c-4720-a76e-3ee37dc89f0b,Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns,10.1038/s41588-024-02048-3,Lazarescu et al. (2025) Nat Genet,99efb290-fbe3-4739-909d-859e058f54aa,838527f3-1d0c-4a68-a83d-5c97d4cc7920,snRNA-seq of human subcutaneous adipose tissue - adipocytes,99efb290-fbe3-4739-909d-859e058f54aa.h5ad,12205
772,Publication: https://doi.org/10.1126/sciimmunol.abe6291 Dataset Version: https://datasets.cellxgene.cziscience.com/c784dab5-b672-4651-a7a0-d7a848374728.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50,3a2af25b-2338-4266-aad3-aa8d07473f50,Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,10.1126/sciimmunol.abe6291,King et al. (2021) Sci. Immunol.,7970bd6b-f752-47a9-8643-2af16855ec49,c784dab5-b672-4651-a7a0-d7a848374728,Human tonsil memory B cells scRNA,7970bd6b-f752-47a9-8643-2af16855ec49.h5ad,21595
773,Publication: https://doi.org/10.1038/s41586-023-06806-x Dataset Version: https://datasets.cellxgene.cziscience.com/fff8206b-e17f-476b-9621-66a8c2e3a768.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab,4fefa187-5d14-4f1e-915b-c892ed320aab,A human embryonic limb cell atlas resolved in space and time,10.1038/s41586-023-06806-x,Zhang et al. (2024) Nature,d06cb48a-3b0b-4218-b876-5abfe5affe0a,fff8206b-e17f-476b-9621-66a8c2e3a768,PCW8.1 WSSS_THYst9383361,d06cb48a-3b0b-4218-b876-5abfe5affe0a.h5ad,4992
774,Publication: https://doi.org/10.1016/j.cell.2022.11.005 Dataset Version: https://datasets.cellxgene.cziscience.com/6f62b874-6776-4834-b674-1cc9e80fc1da.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,He et al. (2022) Cell,e8a11a27-9c47-4673-b65d-11b9cd6065e1,6f62b874-6776-4834-b674-1cc9e80fc1da,Epithelium (no cilium),e8a11a27-9c47-4673-b65d-11b9cd6065e1.h5ad,9096
775,Publication: https://doi.org/10.1016/j.ccell.2022.11.001 Dataset Version: https://datasets.cellxgene.cziscience.com/6a1834e7-4ea7-4fa1-b6ec-3544f0880d3b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/f7cecffa-00b4-4560-a29a-8ad626b8ee08,f7cecffa-00b4-4560-a29a-8ad626b8ee08,Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,10.1016/j.ccell.2022.11.001,Li et al. (2022) Cancer Cell,f25a532c-faf6-4d65-9dac-47d6369508f6,6a1834e7-4ea7-4fa1-b6ec-3544f0880d3b,6800STDY12499504,f25a532c-faf6-4d65-9dac-47d6369508f6.h5ad,4992
776,Publication: https://doi.org/10.1016/j.cell.2022.11.005 Dataset Version: https://datasets.cellxgene.cziscience.com/7b14a2b1-28b7-42c6-ab11-465700f5d007.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,He et al. (2022) Cell,1c6f271e-dfc0-48b5-8fb4-65d297a7666c,7b14a2b1-28b7-42c6-ab11-465700f5d007,pcw12_6332STDY9479170,1c6f271e-dfc0-48b5-8fb4-65d297a7666c.h5ad,4992
777,Publication: https://doi.org/10.1073/pnas.2313326120 Dataset Version: https://datasets.cellxgene.cziscience.com/2639ae95-639e-40b6-9c45-ad055334bc2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,34f12de7-c5e5-4813-a136-832677f98ac8,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,10.1073/pnas.2313326120,Ganier et al. (2024) Proc. Natl. Acad. Sci. U.S.A.,1d3c1bab-7b56-4373-9def-200da734a755,2639ae95-639e-40b6-9c45-ad055334bc2f,Visium spatial - face_temple_B_a,1d3c1bab-7b56-4373-9def-200da734a755.h5ad,4992
778,Publication: https://doi.org/10.1038/s41593-022-01183-6 Dataset Version: https://datasets.cellxgene.cziscience.com/6797f453-44cd-4bc3-a4f8-6a6f518a2deb.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0faa1af6-e504-4b88-a47b-69347e1bace5,0faa1af6-e504-4b88-a47b-69347e1bace5,Single-cell transcriptomics characterization of oligodendrocytes and microglia in white matter aging,10.1038/s41593-022-01183-6,Kaya et al. (2022) Nat Neurosci,a539c7af-fb65-44b1-8812-000b097eac99,6797f453-44cd-4bc3-a4f8-6a6f518a2deb,Microglia - 24 months old wild-type and Rag1-KO,a539c7af-fb65-44b1-8812-000b097eac99.h5ad,15601
779,Publication: https://doi.org/10.1038/s41588-024-02048-3 Dataset Version: https://datasets.cellxgene.cziscience.com/383c8bf1-4d48-4740-8e44-367ac5a7849e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/ba84c7ba-8d8c-4720-a76e-3ee37dc89f0b,ba84c7ba-8d8c-4720-a76e-3ee37dc89f0b,Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns,10.1038/s41588-024-02048-3,Lazarescu et al. (2025) Nat Genet,325044a1-4766-4104-8da9-abdfd1397e74,383c8bf1-4d48-4740-8e44-367ac5a7849e,snRNA-seq of human visceral adipose tissue - adipocytes,325044a1-4766-4104-8da9-abdfd1397e74.h5ad,15460
780,Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/25818475-eae6-4988-b9e7-1e907ca73ed9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4,fc19ae6c-d7c1-4dce-b703-62c5d52061b4,A spatial human thymus cell atlas mapped to a continuous tissue axis,10.1038/s41586-024-07944-6,Yayon et al. (2024) Nature,dbc2f08c-17f6-42c5-9a35-095e606c3958,25818475-eae6-4988-b9e7-1e907ca73ed9,thymus visium sample WSSS_THYst9142088,dbc2f08c-17f6-42c5-9a35-095e606c3958.h5ad,4992
