donor_id,condition,state,cell_count,state_fraction,n_paired_donors,paired_median_delta,paired_wilcoxon_P,paired_BH_FDR,paired_direction
C124,normal,secretory-like annotation,972.0,0.17040673211781207,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C124,tumor,enterocyte-like annotation,227.0,0.5577395577395577,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C124,tumor,other epithelial annotation,18.0,0.044226044226044224,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C124,tumor,secretory-like annotation,162.0,0.39803439803439805,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C125,normal,enterocyte-like annotation,1215.0,0.5203426124197003,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C125,normal,other epithelial annotation,523.0,0.223982869379015,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C125,normal,secretory-like annotation,597.0,0.2556745182012848,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C125,tumor,enterocyte-like annotation,138.0,0.6272727272727273,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C125,tumor,other epithelial annotation,2.0,0.00909090909090909,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C125,tumor,secretory-like annotation,80.0,0.36363636363636365,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C126,normal,enterocyte-like annotation,1261.0,0.6248761149653121,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C126,normal,other epithelial annotation,140.0,0.06937561942517344,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C126,normal,secretory-like annotation,617.0,0.30574826560951435,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C126,tumor,enterocyte-like annotation,48.0,0.4,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C126,tumor,other epithelial annotation,6.0,0.05,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C126,tumor,secretory-like annotation,66.0,0.55,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C129,normal,enterocyte-like annotation,174.0,0.24645892351274787,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C129,normal,other epithelial annotation,56.0,0.07932011331444759,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C129,normal,secretory-like annotation,476.0,0.6742209631728046,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C129,tumor,enterocyte-like annotation,312.0,0.5621621621621622,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
