gene,bulk_stable_right_high,bulk_stable_left_high,bulk_pooled_hedges_g,bulk_meta_fdr,sc_stable_right_high,sc_stable_left_high,sc_pooled_hedges_g,sc_meta_fdr,stable_right_high_bulk_and_sc,stable_left_high_bulk_and_sc
AA06,False,False,-0.06279258538734961,0.6960399317976569,,,,,False,False
AAA1,False,False,0.15233441070053852,0.5160219633892523,,,,,False,False
AAAS,False,False,0.014710994279654648,0.9477118531805878,False,False,-0.07982757319581836,0.9827815583930448,False,False
AACS,True,False,0.21319901295100596,0.005025000754052192,False,False,-0.020211426211946406,0.9955250528737737,False,False
AACSL,False,False,0.07432741315103826,0.793540810139258,,,,,False,False
AACSP1,False,False,0.08467521523223107,0.5646902326273837,,,,,False,False
AADAC,False,False,0.09576207931259591,0.32665246045014523,False,False,0.5352905386667032,0.9137458562821626,False,False
AADACL2,False,False,0.05699283252037872,0.6740700098888222,False,False,0.1060308176429792,0.9830731751355836,False,False
AADACL3,False,False,0.04352872041010448,0.8627932266374624,False,False,-0.47887323943661975,0.9137458562821626,False,False
AADACL4,False,False,-0.12462028663479308,0.8891836978225822,,,,,False,False
AADACP1,False,False,0.019916884565276988,0.9222467930574073,,,,,False,False
AADAT,False,False,0.17776903340325564,0.3901655814113373,False,False,-0.014537443179348237,0.9971225778920684,False,False
AAED1,False,False,-0.005741273402458224,0.9960886061483947,False,False,-0.015090824189886547,0.997763867865908,False,False
AAGAB,True,False,0.244512314982036,0.0009059384998400117,False,False,0.1773096399444088,0.9515252232020172,False,False
AAK1,False,False,0.005597305681273478,0.9726179715117965,False,False,-0.3037758977512007,0.9137458562821626,False,False
AAMDC,False,True,-0.1977518319285875,0.02842229948261642,False,False,-0.398652815257244,0.9137458562821626,False,False
AAMP,False,False,0.06438034469300122,0.5660907369524465,False,False,-0.18658725084006877,0.9450011351896835,False,False
AANAT,False,False,0.06916622533056384,0.7565857048923765,False,False,0.4333179045429778,0.9137458562821626,False,False
AAR2,False,False,-0.3576691553380176,0.4531623312706723,False,False,-0.6410553604134931,0.9137458562821626,False,False
AARD,False,False,-0.06618526122783602,0.8864640054151027,False,False,0.6661506919849659,0.9137458562821626,False,False
AARS,False,False,0.008393185416687002,0.958120576656256,False,False,-0.2231317019370277,0.9519670840324718,False,False
AARS2,False,False,0.11791824223175348,0.26341135716725705,False,False,0.11186598927870064,0.9752751299203392,False,False
AARSD1,False,False,-0.005379278859677989,0.9860538972225502,False,False,-0.25347794261850654,0.9137458562821626,False,False
AASDH,False,False,-0.047093709706663836,0.7396220141105431,False,False,-0.0887146595517883,0.9827815583930448,False,False
AASDHPPT,False,False,-0.162447787564914,0.36533684051284115,False,False,-0.2294269185077026,0.9170055273050526,False,False
AASS,False,False,0.0612825033021504,0.7789449090578769,False,False,0.4894200556029084,0.9137458562821626,False,False
AATBC,False,False,-0.0022135056571355146,0.9926969876594537,False,False,0.06697630384952588,0.9835296015975331,False,False
AATF,False,False,-0.07397049675478216,0.5516143865193186,False,False,-0.35065381576017324,0.9137458562821626,False,False
AATK,False,False,-0.0017341684691349665,0.9924169740003098,False,False,0.1905012001424536,0.9416313948118862,False,False
AATK-AS1,False,False,0.04422670102598313,0.9295413772108188,False,False,-0.4788732394366197,0.9137458562821626,False,False
AB019440.50,,,,,False,False,-0.4618802153517006,0.9527680655228825,False,False
ABALON,,,,,False,False,-0.24411608184356595,0.9299724271989195,False,False
ABAT,False,False,-0.3627647945291327,0.24333834066169796,False,False,-0.4005393665607035,0.9137458562821626,False,False
ABC11-4932300O16.1,,,,,False,False,-0.47887323943661975,0.9137458562821626,False,False
ABC12-49244600F4.4,,,,,False,False,-0.4361538205866031,0.9137458562821626,False,False
ABC7-42404400C24.1,,,,,False,False,1.278373802928151,0.9137458562821626,False,False
ABCA1,False,False,-0.0778729308863876,0.4587105074180517,False,False,-0.4902816803816393,0.9137458562821626,False,False
ABCA10,False,False,0.198467000513558,0.5526986327147637,False,False,0.14493551253131687,0.9566084561240837,False,False
ABCA11P,False,False,-0.11396739239783613,0.5754421761323377,,,,,False,False
ABCA12,False,False,0.2519678396905075,0.0718202704622043,False,False,-0.08065473627687231,0.9888721294317917,False,False
ABCA13,False,False,-0.07573402373977046,0.6142997816432909,False,False,0.6553676149549957,0.9137458562821626,False,False
ABCA17P,True,False,0.1853990093550922,0.041327703112208826,,,,,False,False
ABCA2,False,False,0.15411394748707305,0.4554320463593148,False,False,0.01240574835535682,0.9977080637096485,False,False
ABCA3,False,False,0.21163250303862768,0.0407805721128143,False,False,0.28283837565686315,0.9137458562821626,False,False
ABCA4,False,False,0.14979098800464122,0.17724712076389615,False,False,0.2987982695540612,0.9483466138014756,False,False
ABCA5,False,False,-0.06571455184453341,0.5562865571302738,False,False,-0.12229374550722065,0.9719179796406422,False,False
ABCA6,False,False,-0.0033047203566075995,0.9847284051946591,False,False,0.7410791648678532,0.9137458562821626,False,False
ABCA7,False,False,0.22809412805150817,0.0023164755945422884,False,False,0.27027191073044055,0.9137458562821626,False,False
ABCA8,False,False,-0.021823859257045167,0.8810512676446256,False,False,0.15292505584046318,0.9527680655228825,False,False
ABCA9,False,False,0.07660522492067155,0.534708099179356,False,False,0.4314337016695816,0.9137458562821626,False,False
ABCA9-AS1,,,,,False,False,-0.5047248583472685,0.9137458562821626,False,False
ABCB1,False,True,-0.2277635397729002,0.0023552683081631866,False,False,0.14584514030174667,0.9752751299203392,False,False
ABCB10,False,False,-0.1520235580950385,0.11606237451471432,False,False,-0.1251097683187184,0.9688247759350613,False,False
ABCB10P3,False,False,0.39056178547534093,0.17369409915316245,,,,,False,False
ABCB11,False,False,0.10257863881859755,0.46123768733056564,False,False,0.5151139133188873,0.9137458562821626,False,False
ABCB4,False,False,-0.0920793017374141,0.3533321635856139,False,False,0.026247231065814895,0.9958832615708562,False,False
ABCB5,False,False,0.1107313955934413,0.3051028289995857,False,False,0.03706755612800566,0.9931114878114161,False,False
ABCB6,False,False,0.12631088150324557,0.15398776183666085,False,False,-0.1460229281899007,0.9566084561240837,False,False
ABCB7,False,False,-0.13882548680113244,0.5002722305300354,False,False,-0.1734695286857693,0.9522798289911198,False,False
ABCB8,True,False,0.2160724293010957,0.004360384965845363,False,False,0.4304873275153683,0.9137458562821626,False,False
ABCB9,False,False,-0.051727484836553685,0.8002878672983168,False,False,0.2641078056125447,0.9170055273050526,False,False
ABCC1,False,True,-0.20890145217386658,0.018099535502085484,False,False,0.09889924103392486,0.9827815583930448,False,False
ABCC10,False,False,-0.11331282005414732,0.21686397950734115,False,False,0.001118142799937198,0.9993930638854345,False,False
ABCC11,False,False,-0.03914621672157339,0.7908143996926023,False,False,0.6447963647143194,0.9137458562821626,False,False
ABCC12,False,False,-0.037939780242432906,0.7987248218529049,False,False,0.3874275265985955,0.9137458562821626,False,False
ABCC13,False,False,-0.1543532970973945,0.10863967187015619,,,,,False,False
ABCC2,False,False,-0.15433751465127435,0.46650995989973615,False,False,0.3197590018639684,0.9197158480752227,False,False
ABCC3,False,False,0.11486536315707155,0.209451676535669,False,False,0.04964067402753348,0.9901318462587884,False,False
ABCC4,False,False,-0.2399329664933273,0.4512822043514736,False,False,-0.3092854736404824,0.9137458562821626,False,False
ABCC5,False,False,-0.1676271668137759,0.11013468510209277,False,False,-0.2591937192946882,0.9137458562821626,False,False
ABCC5-AS1,,,,,False,False,0.09413691002131608,0.983751383588566,False,False
ABCC6,False,False,-0.3227430517238118,0.3548021373715996,False,False,-0.7983856353955048,0.9137458562821626,False,False
ABCC6P1,False,False,-0.30803196968898056,0.35181921931232585,,,,,False,False
ABCC6P2,False,False,-0.1109262670992971,0.9370588615721169,,,,,False,False
ABCC8,False,False,0.01725858530649847,0.9469068660117299,False,False,0.4283127962377056,0.9170055273050526,False,False
ABCC9,False,False,0.010989257646490287,0.9453302998993294,False,False,-0.33393133943993397,0.9137458562821626,False,False
ABCD1,False,False,-0.004526160202121842,0.985478274833644,False,False,0.1765516497042971,0.9527680655228825,False,False
ABCD1P2,False,False,0.025878806041929044,0.9591831092748231,,,,,False,False
ABCD2,True,False,0.19182343908448296,0.02575455320499407,False,False,0.13901009898013222,0.965163722819674,False,False
ABCD3,False,False,0.03646770422958613,0.7811892554645479,False,False,0.044486476008916295,0.9904013548684305,False,False
ABCD4,False,False,0.2692741982735379,0.14103792828501346,False,False,0.23597704384983878,0.9726623737235734,False,False
ABCE1,False,False,-0.13584393027813876,0.11585466564171422,False,False,-0.20891043409950438,0.9285594092534964,False,False
ABCF1,False,False,-0.15731576065320366,0.05647026438975469,False,False,0.023721769305967776,0.9939052210870685,False,False
ABCF2,False,False,0.03270058654175281,0.9398936921358156,False,False,-0.04486681226148976,0.9904013548684305,False,False
ABCF2.1,,,,,False,False,-0.3308011572169494,0.9406247167851584,False,False
ABCF3,False,False,-0.024101165749281294,0.8660853864875355,False,False,-0.28102552906929895,0.9137458562821626,False,False
ABCG1,False,False,-0.09043755036344418,0.4965171911484899,False,False,-0.29736582982817295,0.9137458562821626,False,False
ABCG2,False,False,0.1293121155886239,0.14084516592645188,False,False,-0.051513237146808694,0.9896230052595013,False,False
ABCG4,False,False,0.06723821456412657,0.6929409388696673,False,False,0.16183239023914908,0.9827815583930448,False,False
ABCG5,False,False,0.2748296532882761,0.25658376898456203,False,False,0.5085491799227659,0.9137458562821626,False,False
ABCG8,False,False,0.20374119701842616,0.2094879958981029,False,False,0.7643701239016821,0.9137458562821626,False,False
ABHD1,False,False,-0.06528581380327027,0.8439693815853752,False,False,0.01332293171248154,0.998050282710613,False,False
ABHD10,True,False,0.33390429111353326,1.959608666516812e-06,False,False,0.3309946718798041,0.9137458562821626,False,False
ABHD11,False,False,0.08141790398323141,0.43130674867002167,False,False,0.06819299349174737,0.9835296015975331,False,False
ABHD11-AS1,,,,,False,False,-0.12180018286707267,0.9827815583930448,False,False
ABHD12,False,True,-0.2769724451476994,0.034759189799022164,False,False,-0.3803336054396388,0.9137458562821626,False,False
ABHD12B,False,False,-0.03667478220894904,0.8883454919829483,False,False,-0.09608910313673259,0.9813838639885243,False,False
ABHD13,False,False,-0.11458493570502779,0.2827168220647986,False,False,-0.627933077174757,0.9137458562821626,False,False
ABHD14A,False,False,0.1743041671801788,0.3000978892630104,False,False,0.3480191877542225,0.9137458562821626,False,False
ABHD14A-ACY1,False,False,-0.25965664502889957,0.33198136836192976,False,False,-0.2508840766831788,0.9261174382057308,False,False
ABHD14B,False,False,-0.09849588925703674,0.3826360667279422,False,False,-0.35209499816863676,0.9137458562821626,False,False
ABHD15,False,False,0.03807992469767414,0.8978711098334842,False,False,-0.16643767405278428,0.9527680655228825,False,False
ABHD15-AS1,,,,,False,False,-0.6531972647421809,0.9170055273050526,False,False
ABHD16A,False,False,-0.1073270178417173,0.42801109373710927,False,False,0.005816118286779972,0.998863575080958,False,False
ABHD16B,False,False,0.03293209154905177,0.8583423667700117,,,,,False,False
ABHD17A,False,False,0.14830303997415134,0.13321926212993945,False,False,-0.045805862299181335,0.9924937198206071,False,False
ABHD17B,False,False,0.08386708137374917,0.6322101938755698,False,False,-0.028468328263181304,0.9929538036225469,False,False
ABHD17C,False,False,0.04281842576916445,0.9439412175075982,False,False,0.1246391133620494,0.9723110898620514,False,False
ABHD18,False,False,-0.11376540911740035,0.29344169467024855,False,False,-0.19072240284269953,0.9410668080166242,False,False
ABHD2,True,False,0.27182522700991996,0.004770085849623308,False,False,0.1964237827130769,0.9380421139969154,False,False
ABHD3,True,False,0.44176062376835284,7.917006423727286e-11,False,False,0.5393134561782258,0.9137458562821626,False,False
ABHD4,False,False,0.1092568037255105,0.5995083009642359,False,False,0.4434994434951917,0.9137458562821626,False,False
ABHD5,True,False,0.22725431162764115,0.0024085805673673454,False,False,0.2727629037022866,0.9417239576118295,False,False
ABHD6,False,False,-0.0700969681687895,0.6898701372663294,False,False,0.05437827768184836,0.9912624946370261,False,False
ABHD8,False,False,-0.04375980173369441,0.7270997103637356,False,False,-0.5094683535196398,0.9137458562821626,False,False
ABI1,False,False,0.12710035305599637,0.1502513718038309,False,False,-0.14640377359370302,0.9566084561240837,False,False
ABI2,False,False,-0.0393552794954759,0.871398051707254,False,False,-0.09292809813248971,0.9827815583930448,False,False
ABI3,False,False,0.1045159349035124,0.5235009176864415,False,False,-0.2819942196035911,0.9137458562821626,False,False
ABI3BP,False,False,0.09946276335325484,0.30251021315136206,False,False,-0.13323504638407124,0.9639978221283338,False,False
ABL1,False,False,-0.15548494297790136,0.2529948903601473,False,False,-0.4960149622979221,0.9137458562821626,False,False
ABL2,False,False,-0.06782657961044274,0.7856371078630683,False,False,0.018873902730536036,0.99671198814957,False,False
ABLIM1,False,False,0.24993496712007482,0.2767422702118089,False,False,0.18651036743103008,0.9435506905044041,False,False
ABLIM2,False,False,-0.27111024481539486,0.06851937932083088,False,False,-0.8536288061425024,0.9137458562821626,False,False
ABLIM3,True,False,0.3900571623596773,0.00033452491362245427,False,False,0.530763547472861,0.9137458562821626,False,False
ABO,False,False,0.15642937732535347,0.534708099179356,False,False,-0.5137953662361208,0.9137458562821626,False,False
ABP1,False,False,-0.21764124996861325,0.29070971502857207,,,,,False,False
ABR,False,False,-0.10799994701874868,0.49824632397936236,False,False,-0.16093631828572058,0.9527680655228825,False,False
ABRA,False,False,0.06370079742548836,0.6706782863909486,False,False,0.4727272727272727,0.9137458562821626,False,False
ABRACL,False,False,-0.09213241542024912,0.8366987289872523,False,False,-0.4145210806895637,0.9137458562821626,False,False
ABRAXAS1,,,,,False,False,0.010378927824852186,0.998863575080958,False,False
ABRAXAS2,,,,,False,False,0.04025263964886375,0.9939052210870685,False,False
ABT1,False,False,-0.17337295011422538,0.08324365096024999,False,False,-0.5374266502288706,0.9137458562821626,False,False
ABTB1,False,False,0.08659059567889238,0.5908032061400866,False,False,-0.1436414715291318,0.9574088325233744,False,False
ABTB2,False,True,-0.21619538010734607,0.005222761350429526,False,False,-0.1991822448621219,0.9380366301915203,False,False
AC000032.1,,,,,False,False,0.9285574315644506,0.9137458562821626,False,False
AC000032.2,,,,,False,False,-0.15437042371247064,0.9752751299203392,False,False
AC000036.4,,,,,False,False,0.6531972647421808,0.9170055273050526,False,False
AC000068.1,,,,,False,False,-0.15904136241149536,0.9825957979737945,False,False
AC000068.10,,,,,False,False,-0.23063740069007524,0.9428826807985544,False,False
AC000068.5,,,,,False,False,0.3276889226074648,0.9137458562821626,False,False
AC000068.9,,,,,False,False,-0.2747215699785282,0.9201404821695633,False,False
AC000093.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC000111.6,,,,,False,False,-0.5882416994636442,0.9137458562821626,False,False
AC000403.1,,,,,False,False,0.33833621067822417,0.9375668520873401,False,False
AC000403.4,,,,,False,False,0.24168995916856412,0.938507588463799,False,False
AC001226.2,,,,,False,False,-0.14719623914462895,0.9827815583930448,False,False
AC001226.7,,,,,False,False,-1.3598124187247367,0.9137458562821626,False,False
AC002064.5,,,,,False,False,0.19452861306464242,0.9673722349161106,False,False
AC002066.1,,,,,False,False,0.40110254205373375,0.9137458562821626,False,False
AC002070.1,,,,,False,False,-0.5217213251771596,0.9137458562821626,False,False
AC002076.10,,,,,False,False,0.2973946557777464,0.9170055273050526,False,False
AC002091.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002091.2,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002115.9,,,,,False,False,-0.6682724658746199,0.9137458562821626,False,False
AC002116.2,,,,,False,False,0.1155369655756612,0.9835296015975331,False,False
AC002116.7,,,,,False,False,0.12967803763365945,0.9786772215576675,False,False
AC002117.1,,,,,False,False,0.054856760368234926,0.9904013548684305,False,False
AC002128.2,,,,,False,False,0.2639381909016354,0.9527680655228825,False,False
AC002128.5,,,,,False,False,-0.16476590421590365,0.9827815583930448,False,False
AC002306.1,,,,,False,False,-0.20457391713152556,0.9417239576118295,False,False
AC002310.1,,,,,False,False,-0.002975299461041566,0.9993768951725324,False,False
AC002310.12,,,,,False,False,-0.1910474672274891,0.9527680655228825,False,False
AC002310.2,,,,,False,False,0.9960027188293572,0.9137458562821626,False,False
AC002310.7,,,,,False,False,0.1827159368279835,0.9560780258806391,False,False
AC002331.1,,,,,False,False,-0.154328994433143,0.9681488566723397,False,False
AC002347.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002368.4,,,,,False,False,-0.47887323943661986,0.9137458562821626,False,False
AC002384.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002398.11,,,,,False,False,-0.2177066595510639,0.9493047783295225,False,False
AC002398.12,,,,,False,False,0.5248534674282342,0.9137458562821626,False,False
AC002398.2,,,,,False,False,-0.4727272727272727,0.9137458562821626,False,False
AC002429.2,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002429.5,,,,,False,False,0.9170993855537497,0.9137458562821626,False,False
AC002451.1,,,,,False,False,-0.1810499019303838,0.9780101171787124,False,False
AC002451.3,,,,,False,False,-0.16378799132498476,0.9630442644861087,False,False
AC002454.1,,,,,False,False,0.26595665518860395,0.9137458562821626,False,False
AC002456.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002456.2,,,,,False,False,-0.568683136785314,0.9137458562821626,False,False
AC002463.3,,,,,False,False,0.043730757071472205,0.9915041139193729,False,False
AC002467.1,,,,,False,False,-0.43879738089949694,0.9137458562821626,False,False
AC002467.7,,,,,False,False,-0.506747181428644,0.9137458562821626,False,False
AC002470.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002480.2,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002480.3,,,,,False,False,1.131370849898476,0.9137458562821626,False,False
AC002511.1,,,,,False,False,-0.09128523680374796,0.9878327058703112,False,False
AC002511.2,,,,,False,False,0.2785733590145155,0.9137458562821626,False,False
AC002550.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002550.2,,,,,False,False,0.6998627314623166,0.9137458562821626,False,False
AC002550.5,,,,,False,False,0.11016425255479811,0.9827815583930448,False,False
AC002550.6,,,,,False,False,0.3150822774992618,0.9527680655228825,False,False
AC002553.1,,,,,False,False,0.015645036756544446,0.9986667133820208,False,False
AC002553.2,,,,,False,False,0.8328834467977841,0.9137458562821626,False,False
AC002985.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC002992.4,False,False,0.34047377944825996,0.25663690364383807,,,,,False,False
AC003002.3,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC003005.2,,,,,False,False,-0.4752783408291979,0.9137458562821626,False,False
AC003006.1,,,,,False,False,0.04439042445207679,0.9939052210870685,False,False
AC003006.7,,,,,False,False,0.3874275265985955,0.9137458562821626,False,False
AC003070.2,,,,,False,False,-0.022407142047303014,0.9974384813226164,False,False
AC003075.4,,,,,False,False,-0.1383434111278784,0.9752751299203392,False,False
AC003084.2,,,,,False,False,0.05062201058484223,0.9924577085280408,False,False
AC003088.1,,,,,False,False,-0.47887323943661986,0.9137458562821626,False,False
AC003090.1,,,,,False,False,-0.3749358954001895,0.9137458562821626,False,False
AC003092.1,,,,,False,False,-0.2791377604847052,0.9458741066831087,False,False
AC003101.1,,,,,False,False,0.2492021185114219,0.9527680655228825,False,False
AC003102.1,,,,,False,False,0.09622448091279924,0.9866014635357407,False,False
AC003681.1,,,,,False,False,0.18080861540760573,0.9781058236216452,False,False
AC003956.1,,,,,False,False,-0.26829474079624166,0.9137458562821626,False,False
AC003958.2,,,,,False,False,0.025235831377130803,0.9977080637096485,False,False
AC003965.1,,,,,False,False,-0.3214542759422787,0.9428826807985544,False,False
AC003973.4,,,,,False,False,-0.47887323943661975,0.9137458562821626,False,False
AC003984.1,,,,,False,False,-0.47887323943661986,0.9137458562821626,False,False
AC003986.7,,,,,False,False,1.131370849898476,0.9137458562821626,False,False
AC003991.1,,,,,False,False,0.3163359834853625,0.9450011351896835,False,False
AC003991.2,,,,,False,False,0.2057670714237254,0.9719179796406422,False,False
AC003991.3,,,,,False,False,0.04610340506767698,0.9910817969661794,False,False
AC004009.1,,,,,False,False,0.5116051310604999,0.9137458562821626,False,False
AC004009.3,,,,,False,False,0.6670160707430102,0.9137458562821626,False,False
AC004012.1,,,,,False,False,0.8519033149135223,0.9137458562821626,False,False
AC004019.13,,,,,False,False,0.13456492255319144,0.975634037297523,False,False
AC004034.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC004053.1,,,,,False,False,-0.17332403434365878,0.9527680655228825,False,False
AC004066.2,,,,,False,False,-0.0171261404635005,0.9983292163531213,False,False
AC004066.3,,,,,False,False,0.49140797990040574,0.9137458562821626,False,False
AC004067.5,,,,,False,False,-0.3371334407304829,0.9137458562821626,False,False
AC004069.1,,,,,False,False,0.16503555540551876,0.9813135592354097,False,False
AC004069.2,,,,,False,False,0.17563411274188048,0.9798116189303762,False,False
AC004076.1,,,,,False,False,0.4727272727272726,0.9137458562821626,False,False
AC004076.2,,,,,False,False,0.12054547280887001,0.9827815583930448,False,False
AC004076.5,,,,,False,False,0.11732401697058091,0.9814846441109136,False,False
AC004076.7,,,,,False,False,-0.518002710204418,0.9137458562821626,False,False
AC004080.1,,,,,False,False,-0.4727272727272727,0.9137458562821626,False,False
AC004080.2,,,,,False,False,0.3511614991499002,0.9331716058000363,False,False
AC004080.3,,,,,False,False,-0.444245701644141,0.9137458562821626,False,False
AC004130.1,,,,,False,False,-0.8638382098707027,0.9137458562821626,False,False
AC004148.2,,,,,False,False,0.02192972117062857,0.9974623287141315,False,False
AC004149.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC004156.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC004156.3,,,,,False,False,-0.273317036380506,0.9625291207834854,False,False
AC004158.1,,,,,False,False,0.3202064383517358,0.9423724933985118,False,False
AC004158.3,,,,,False,False,0.11676800928499075,0.9867793214544308,False,False
AC004221.2,,,,,False,False,0.13855066900413052,0.9827815583930448,False,False
AC004223.4,,,,,False,False,0.7100046456156772,0.9137458562821626,False,False
AC004231.1,,,,,False,False,-0.40076795643241403,0.9170055273050526,False,False
AC004231.2,,,,,False,False,0.37151373999887083,0.9137458562821626,False,False
AC004233.2,,,,,False,False,-0.4233781870434441,0.9170055273050526,False,False
AC004233.3,,,,,False,False,-0.03894378306410103,0.9939052210870685,False,False
AC004233.4,,,,,False,False,-0.4052842853797762,0.9170055273050526,False,False
AC004237.1,,,,,False,False,0.6531972647421809,0.9170055273050526,False,False
AC004241.1,,,,,False,False,-0.0418954235922328,0.9939052210870685,False,False
AC004253.1,,,,,False,False,1.0554547839342716,0.9137458562821626,False,False
AC004257.1,,,,,False,False,0.2742245668142176,0.9215158238536599,False,False
AC004263.1,,,,,False,False,-0.08533434772592369,0.9897916231676837,False,False
AC004264.1,,,,,False,False,0.2220181335951652,0.9663892855896146,False,False
AC004381.6,,,,,False,False,0.36390692794580204,0.9137458562821626,False,False
AC004448.2,,,,,False,False,0.38742752659859536,0.9137458562821626,False,False
AC004448.5,,,,,False,False,0.3874275265985955,0.9137458562821626,False,False
AC004449.6,,,,,False,False,-0.7047833291308016,0.9137458562821626,False,False
AC004466.1,,,,,False,False,0.8451591280668438,0.9137458562821626,False,False
AC004471.9,,,,,False,False,-0.5890384133316803,0.9137458562821626,False,False
AC004490.1,,,,,False,False,-0.10123255451422915,0.9834092643925443,False,False
AC004492.1,,,,,False,False,-0.37200958648385274,0.9262580875896135,False,False
AC004494.1,,,,,False,False,0.8812916315878397,0.9137458562821626,False,False
AC004510.3,,,,,False,False,-0.01955516494451733,0.9965821844011643,False,False
AC004520.1,,,,,False,False,-0.42096109632823914,0.9170055273050526,False,False
AC004522.2,,,,,False,False,-0.23902084390749223,0.9591039226642823,False,False
AC004528.1,,,,,False,False,-0.13488636406965182,0.9827815583930448,False,False
AC004528.2,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC004540.1,,,,,False,False,-0.5798599335024063,0.9137458562821626,False,False
AC004540.2,,,,,False,False,0.0643987003373663,0.9910817969661794,False,False
AC004540.4,,,,,False,False,0.37219236808271083,0.9137458562821626,False,False
AC004540.5,,,,,False,False,0.30497573801476974,0.9170055273050526,False,False
AC004542.1,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC004542.2,,,,,False,False,0.4727272727272727,0.9137458562821626,False,False
AC004543.2,,,,,False,False,0.3874275265985955,0.9137458562821626,False,False
AC004549.6,,,,,False,False,0.008299389962214165,0.998863575080958,False,False
AC004556.1,,,,,False,False,-0.10847614507880173,0.977165851646733,False,False
