r3_rank,gene,median_background_vulnerability_rho,n_positive_backgrounds,n_resampling_supported_backgrounds,tier1_flag,tier2_flag,tier3_flag,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value,cross_method_stable_flag,n_models_top500,n_models_direction_ge3of4,median_rank_percentile,leave_HCT116_out_median_vulnerability_rho,leave_HCT116_out_n_positive_backgrounds,adjusted_partial_rho_median,adjusted_partial_rho_min,adjusted_positive_fraction,adjusted_audit_n,final_shortlist_flag,previous_19_reclassified_as_internal_stability
16962,LGR5,0.006962481962482,2,0,False,False,False,0.006962481962482,0.9210789210789211,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5013284172856911,0.0686147186147186,2,,,,,False,False
16963,OXCT2,-0.0088383838383837,1,0,False,False,False,-0.00883838383838375,0.9170829170829171,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5022230656617688,-0.002092352092352,1,,,,,False,False
16964,ZMYND11,-0.0083333333333333,1,0,False,False,False,-0.0083333333333333,0.9100899100899101,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5027381662419346,-0.0027417027417027,1,,,,,False,False
16965,TROAP,-0.0086940836940836,1,0,False,False,False,-0.00869408369408365,0.9120879120879121,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5034972618337581,0.0,1,,,,,False,False
16966,ZNF449,0.010064935064935,2,0,False,False,False,0.010064935064935051,0.9070929070929071,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5042292468687307,0.0282828282828282,2,,,,,False,False
16967,SIN3B,-0.0067460317460317,2,0,False,False,False,-0.00674603174603175,0.919080919080919,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5065878653147535,-0.0327561327561327,1,,,,,False,False
16968,PCDHB10,0.0069624819624819,2,0,False,False,False,0.00696248196248195,0.9200799200799201,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.507184297565472,0.0418470418470418,2,,,,,False,False
16969,ZNF821,-0.0079365079365079,2,0,False,False,False,-0.00793650793650795,0.913086913086913,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.508512714851163,0.0248917748917748,2,,,,,False,False
16970,CD63,-0.0084776334776334,1,0,False,False,False,-0.00847763347763345,0.9210789210789211,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5085940465217156,-0.0138528138528138,0,,,,,False,False
16971,USP44,0.0075036075036075,2,0,False,False,False,0.007503607503607502,0.9180819180819181,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5097326899094508,-0.0204184704184704,1,,,,,False,False
16972,FBXO11,-0.0074314574314574,2,0,False,False,False,-0.0074314574314574,0.9210789210789211,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5106273382855284,-0.0523809523809523,1,,,,,False,False
16973,ZFAND3,0.0068542568542568,2,0,False,False,False,0.006854256854256852,0.9140859140859141,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5107628910697826,-0.0544011544011544,1,,,,,False,False
16974,FMO2,-0.0081890331890332,2,1,False,False,False,-0.0081890331890332,0.913086913086913,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5124708561513853,-0.03001443001443,1,,,,,False,False
16975,HEATR4,-0.0075036075036075,2,1,False,False,False,-0.007503607503607502,0.9210789210789211,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.512687740606192,-0.0658730158730158,1,,,,,False,False
16976,PLA2G7,0.0066738816738816,2,0,False,False,False,0.006673881673881699,0.9070929070929071,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5130130672884021,0.0227994227994228,2,,,,,False,False
16977,NPB,0.0065656565656565,2,0,False,False,False,0.0065656565656565455,0.9200799200799201,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5143414845740931,-0.0803030303030303,1,,,,,False,False
16978,WDR77,-0.0069264069264068,2,0,False,False,False,-0.006926406926406899,0.9200799200799201,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5169712085886244,-0.0454545454545454,1,,,,,False,False
16979,CCDC177,-0.0093073593073592,2,0,False,False,False,-0.009307359307359299,0.9080919080919081,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.517540530282492,-0.0948773448773448,1,,,,,False,False
16980,ABCG8,-0.0075036075036075,2,0,False,False,False,-0.007503607503607502,0.9200799200799201,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5184893997722713,0.0393217893217893,2,,,,,False,False
16981,TNXB,-0.0082251082251082,2,0,False,False,False,-0.008225108225108248,0.916083916083916,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5186249525565255,0.0187590187590187,2,,,,,False,False
16982,PRUNE1,0.0067099567099567,2,0,False,False,False,0.006709956709956749,0.919080919080919,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.5191942742503931,-0.029076479076479,1,,,,,False,False
16983,DEFB110,-0.0101731601731601,2,0,False,False,False,-0.010173160173160199,0.906093906093906,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5203600281949792,-0.0424963924963925,1,,,,,False,False
16984,TRMT112,-0.0078643578643578,2,0,False,False,False,-0.007864357864357845,0.9170829170829171,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5219053299354768,0.1175324675324675,2,,,,,False,False
16985,IRAK1BP1,-0.0075396825396825,2,0,False,False,False,-0.007539682539682551,0.9140859140859141,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5224746516293445,0.0197691197691197,2,,,,,False,False
16986,ALKBH4,-0.008044733044733,2,0,False,False,False,-0.008044733044733049,0.9090909090909091,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5232608577780188,0.0375901875901875,2,,,,,False,False
16987,TNP1,-0.007972582972583,2,0,False,False,False,-0.007972582972583001,0.919080919080919,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5234777422328254,0.0218614718614718,2,,,,,False,False
16988,RLBP1,-0.0066017316017316,2,0,False,False,False,-0.006601731601731602,0.9180819180819181,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.523721737244483,0.0518759018759018,2,,,,,False,False
16989,AADACL2,0.0071428571428571,2,0,False,False,False,0.0071428571428571504,0.916083916083916,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5241283955972456,-0.004040404040404,1,,,,,False,False
16990,KLHL38,-0.0064935064935064,2,0,False,False,False,-0.006493506493506499,0.916083916083916,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5247519384048149,-0.0499278499278499,1,,,,,False,False
16991,MNDA,-0.0073593073593073,2,1,False,False,False,-0.00735930735930735,0.9210789210789211,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.5264327929295667,-0.0231601731601731,1,,,,,False,False
16992,TMEM42,-0.0080808080808081,2,0,False,False,False,-0.0080808080808081,0.9090909090909091,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5266767879412244,-0.0382395382395382,1,,,,,False,False
