ChemicalID,ChemicalName,phase1_unfiltered_rank,molecular_level,eligible_permissive,eligible_moderate,eligible_strict,disposition,manual_review_required,manual_review_reason
C000720115,perfluoroheptanesulfonic acid,42,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D008628,Mercury,43,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D052244,Endocrine Disruptors,44,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C051450,2-ethyl-5-carboxypentyl phthalate,45,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C031181,phenanthrene,46,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C027235,gallium nitrate,47,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D012428,Ruthenium,48,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C022921,benzo(k)fluoranthene,49,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C023036,perfluorooctanoic acid,50,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C007738,fluoranthene,51,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C550717,nickel ferrite,52,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C041508,"indeno(1,2,3-cd)pyrene",53,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D006046,Gold,54,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D002104,Cadmium,55,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D008982,Molybdenum,56,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D003035,Cobalt,57,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D000393,Air Pollutants,58,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C543008,bisphenol S,59,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C032121,7-methylbenzo(a)pyrene,60,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C015531,tetrafluoroethylene,61,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C006780,bisphenol A,62,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C033729,fluorotelomer alcohols,63,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C006703,benzo(b)fluoranthene,64,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D010795,Phthalic Acids,65,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D009532,Nickel,66,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C008745,"4,4'-bisphenol F",67,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D013793,Thallium,68,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C031180,chrysene,69,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D002857,Chromium,70,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C031721,naphthalene,71,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C032279,phthalic acid,72,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C011363,terephthalic acid,73,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C041260,mono-n-octyl phthalate,74,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C005020,folpet,75,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C035197,nickel nitrate,76,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C061374,antimonite,77,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C573544,mono(carboxy-isooctyl)phthalate,78,M0,True,True,True,advance_to_systematic_human_screen,True,Novelty/collision review remains to be completed; human actionability is audited.
C041517,"dibenzo(a,l)pyrene",79,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D004051,Diethylhexyl Phthalate,80,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C028419,cuprous chloride,81,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D005708,Gallium,82,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C018520,"2,6-diisopropylnaphthalene",83,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C019174,dinonylphthalate,84,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C027718,didecyl phthalate,85,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C049841,mono-n-hexyl phthalate,86,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D001729,Bismuth,87,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C073340,ranitidine bismuth citrate,88,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C043041,gold cyanide,89,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C034020,anthracene,90,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C517113,bisphenol Z,91,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C035983,dimethoxyethyl phthalate,92,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D010984,Platinum,93,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C007379,diethyl phthalate,94,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D007854,Lead,95,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D009764,o-Phthalaldehyde,96,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C047969,"2,2'-bisphenol F",97,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C049098,diallyl phthalate,98,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D003678,"Defoliants, Chemical",99,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C040654,titanium nickelide,100,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C056699,picene,101,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C063732,sulfluramid,102,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000606252,ARV-825,103,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D005466,Fluorocarbons,104,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C029938,nickel sulfate,105,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C020758,indium trichloride,106,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C012125,diisononyl phthalate,107,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C089799,diheptyl phthalate,108,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000720117,fluorotelomer sulfonic acids,109,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C108042,perfluorobutane,110,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C028541,zirconium oxide,111,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C106479,di-n-propylphthalate,112,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C017558,nickel sulfide,113,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C034171,di-n-pentyl phthalate,114,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C042080,diisodecyl phthalate,115,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C036567,perfluorodecanoic acid,116,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C017557,nickel subsulfide,117,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C029891,lead chloride,118,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C479228,perfluorohexanoic acid,119,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000720111,perfluorotetradecanoic acid,120,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C101816,perfluoro-n-nonanoic acid,121,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C060728,cobalt oxide,122,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D004785,Environmental Pollutants,123,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C010715,di-n-octyl phthalate,124,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C586085,perfluoroundecanoic acid,125,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C026305,cobalt sulfate,126,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C063900,perfluorooctanesulfonamide,127,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C025605,diisobutyl phthalate,128,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C033094,perfluorobutyric acid,129,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D019216,"Metals, Heavy",130,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C471071,perfluorohexanesulfonic acid,131,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D008748,Methylcholanthrene,132,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C018021,cobaltous chloride,133,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D008345,Manganese,134,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D014501,Uranium,135,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000720114,perfluorodecanesulfonic acid,136,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C015559,trimellitic anhydride,137,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000611646,bisphenol F,138,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C101815,perfluoro-n-heptanoic acid,139,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D014639,Vanadium,140,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000655605,fluorene-9-bisphenol,141,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C583074,bisphenol AF,142,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D001464,Barium,143,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D001564,Benzo(a)pyrene,144,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C522391,perfluorododecanoic acid,145,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D000965,Antimony,146,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C492482,bisphenol B,147,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C423915,T0901317,148,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D006540,Herbicides,149,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000595304,bis(2-propylheptyl)phthalate,150,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000614989,Cesium-137,151,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000619812,perfluoropentanoic acid,152,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000705689,"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",153,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000705701,bisphenol E,154,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000720090,"4,8-dioxa-3H-perfluorononanoic acid",155,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000720141,perfluorotridecanoic acid,156,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000720151,"perfluoro-3,5,7,9-butaoxadecanoic acid",157,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000720250,perfluoro-2-methoxyacetic acid,158,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000730470,bisphenol P,159,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000730511,"3,3'-dimethylbisphenol A",160,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C002462,"4,4'-isopropylidenediphenol dimethacrylate",161,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C002615,benzo(c)phenanthrene,162,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C006710,benzotriphenylene,163,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C008422,5-methylchrysene,164,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C009005,potassium mercuric thiocyanate,165,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C009590,triphenylene,166,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C013707,thallium sulfate,167,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C014844,tetrahydrophthalamic acid,168,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C015428,perrhenate,169,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C021146,"dibenzo(a,i)pyrene",170,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C023389,"9,10-dihydrobenzo(a)pyrene",171,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C024687,sodium molybdate(VI),172,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C025700,strontium chloride,173,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C025968,1-methylnaphthalene,174,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C027384,2-methylnaphthalene,175,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C027704,benzo(j)fluoranthene,176,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C028019,cesium chloride,177,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C028044,epoxy resin AH-26,178,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C028519,"2,6-dimethylnaphthalene",179,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C029126,"9,10-dimethylanthracene",180,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C029823,mercuric acetate,181,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C030174,tetrachloropalladium,182,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C031195,"dibenzo(a,h)pyrene",183,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C031895,lead chromate,184,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C031969,"1,4-dimethylnaphthalene",185,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C033093,perfluoropropionic acid,186,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C036042,dicyclohexyl phthalate,187,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C037431,phthalimide,188,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C037554,antimony trioxide,189,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C041507,1-methylphenanthrene,190,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C041509,fluorene,191,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C041511,benzo(a)fluorene,192,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C041512,benzo(b)fluorene,193,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C041513,benzo(c)fluorene,194,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C042552,acenaphthene,195,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C042553,acenaphthylene,196,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C042881,1-ethynylpyrene,197,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C043103,phthalic anhydride,198,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C044659,molybdate,199,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C045076,Fenton's reagent,200,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C046962,9-methylanthracene,201,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C047249,6-methylchrysene,202,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C049051,ferric pyrophosphate,203,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C050718,dentinol,204,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C051070,"4-methylcyclohexyl-1,6-dicarboxylic acid anhydride",205,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C051446,3-methylcholanthrylene,206,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C053035,1-methylpyrene,207,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C053036,1-methylfluorene,208,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C054672,antimony trichloride,209,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C058039,hexafluoron,210,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C059768,isophthalate,211,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C063006,norflurane,212,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C065011,1-vinylpyrene,213,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C065012,2-ethynylnaphthalene,214,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C082290,molybdenum trioxide,215,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C086511,RU 58668,216,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C091696,antimony oxide,217,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C093581,indene,218,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C093582,indan,219,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C095210,tetralin,220,M0,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
