drug,role,drug_line,signature_id,cell_line,pert_time,pert_dose,rrs_global,rho_global,n_genes_scored
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_G15_bortezomib_10uM,HT29,24 h,10uM,0.5824956293706294,-0.16499125874125875,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_G18_bortezomib_10uM,HT29,24 h,10uM,0.4557473776223776,0.08850524475524475,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_K09_bortezomib_10uM,HT29,24 h,10uM,0.4597902097902098,0.08041958041958042,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_K12_bortezomib_10uM,HT29,24 h,10uM,0.6579108391608391,-0.31582167832167835,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_O03_bortezomib_10uM,HT29,24 h,10uM,0.5149912587412587,-0.02998251748251748,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_O06_bortezomib_10uM,HT29,24 h,10uM,0.47716346153846156,0.04567307692307692,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_C21_bortezomib_10uM,HT29,24 h,10uM,0.5889641608391608,-0.17792832167832168,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_G15_bortezomib_10uM,HT29,24 h,10uM,0.5374125874125875,-0.07482517482517483,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_K09_bortezomib_10uM,HT29,24 h,10uM,0.575,-0.15,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_K12_bortezomib_10uM,HT29,24 h,10uM,0.6179632867132867,-0.23592657342657344,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_O03_bortezomib_10uM,HT29,24 h,10uM,0.5953671328671328,-0.19073426573426572,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_C21_bortezomib_10uM,HT29,24 h,10uM,0.4356206293706294,0.12875874125874126,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_C24_bortezomib_10uM,HT29,24 h,10uM,0.5460664335664336,-0.09213286713286713,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_G15_bortezomib_10uM,HT29,24 h,10uM,0.6273164335664336,-0.25463286713286715,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_G18_bortezomib_10uM,HT29,24 h,10uM,0.46038024475524475,0.0792395104895105,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_K09_bortezomib_10uM,HT29,24 h,10uM,0.5225961538461539,-0.04519230769230769,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_K12_bortezomib_10uM,HT29,24 h,10uM,0.5096372377622378,-0.019274475524475525,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_O03_bortezomib_10uM,HT29,24 h,10uM,0.565187937062937,-0.13037587412587412,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_O06_bortezomib_10uM,HT29,24 h,10uM,0.5318837412587413,-0.06376748251748252,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA019_HT29_24H_C21_bortezomib_10uM,HT29,24 h,10uM,0.5164772727272727,-0.03295454545454546,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA021_HT29_24H_O03_bortezomib_10uM,HT29,24 h,10uM,0.632736013986014,-0.26547202797202796,65
