ModelID,GSE77932|HCT116__weighted,GSE77932|HCT116__rank,GSE77932|DLD1__weighted,GSE77932|DLD1__rank,GSE42387|HCT116__weighted,GSE42387|HCT116__rank,GSE42387|HT29__weighted,GSE42387|HT29__rank,GSE42387|LoVo__weighted,GSE42387|LoVo__rank,GSE119603|HCT116__weighted,GSE119603|HCT116__rank
ACH-000552,-0.09364798064279559,-0.15082851142606762,-0.0498881661591007,-0.014970651993233856,-0.08634182135853895,0.014970003350344109,-0.20300876957191807,-0.03147418065228165,0.08924959962555697,0.02694828428026873,-0.005372707421840809,0.0048223553657350425
ACH-000565,0.21204078392037104,-0.13292753724226897,-0.03321300393855259,-0.003904055163830389,0.03582167160551445,0.025841748540747795,-0.1837775079984466,-0.022913613134725185,-0.12149408263914935,0.014665827716030522,-0.08520663395745093,-0.009897587435082534
ACH-000651,-0.23724463519397654,-0.15396291956866467,-0.06363929337140818,-0.0066113369918017265,-0.1350781585965913,0.011244696888743497,0.23459308781323332,0.015083204780144787,0.05347318908217468,0.017889061071166654,0.08483000983423218,0.013971696600235691
ACH-000680,0.00914865512218019,-0.1424739278313744,-0.16902955434107275,-0.010931273818747957,-0.0016808609574815558,0.020507288523365766,-0.20644072800392094,-0.03478825834232352,0.012885768670235772,0.019771319677450824,0.00018508835063405803,0.008734830769937753
ACH-000683,0.019809987653885593,-0.14732907407204818,0.015285164088750032,0.006053270312430466,-0.06535987967409179,0.027514082515157336,0.08113584446474333,0.02897297296324412,0.01886308017069925,0.018675547599800783,-0.02421239368132842,-0.008625572963934975
ACH-000722,-0.151093756800637,-0.15510994850925555,-0.06466740043548871,-0.011999304670385994,-0.0035932694091604343,0.018946746585439066,-0.11821707518244048,-0.02858027998137531,0.13185408634182283,0.028610308842889582,-0.018526083120158028,-0.0019555298403580103
ACH-000820,-0.03487449654900406,-0.1429208987180992,-0.02124266787398438,-0.007854584820132909,-0.022242229628112394,0.022820601724512255,-0.2722430322509426,-0.03933356915666588,0.0875895490659836,0.027955093930795046,-0.03647947905051536,0.004393702201454098
ACH-000926,0.09750546314477751,-0.14167477090725655,-0.059484393898122656,-0.013143540300399131,0.027708058854575498,0.025879273298390053,-0.18551069941973045,-0.027527866052167137,0.02859605892620696,0.015084403343987205,-0.003914117301594285,0.0014156479039059745
ACH-000935,0.06308980150943856,-0.13905210577064583,0.20994668397055044,0.010894734780060178,0.1290547833496485,0.038586450173741224,0.30505162746563347,0.04154730950820238,0.06702835426868065,0.020323616573239646,-0.14774403324548038,-0.02174244583901253
ACH-000943,-0.2843632544837015,-0.16567808837698308,0.04219233947784027,-0.0008370810001943738,-0.041215148715837285,0.013745602814560155,0.19190773874753994,0.01725385877795548,0.1475518334498521,0.03044200664649485,-0.15685325415130555,-0.027232115697179208
ACH-000950,-0.0961886450621413,-0.1528176706252444,-0.11567083562760419,-0.014649164748614385,-0.04878546594826065,0.02093047843953035,0.08231749358914599,0.004047473743112485,-0.14952997945606641,-0.0023147334072112524,0.07405114777149817,0.005358722703223241
ACH-000957,-0.12914304044867664,-0.14847461350111796,-0.07241231222305025,-0.011592506416013273,0.03396354140778093,0.02500961840190619,-0.058659989550719695,-0.016770310706352314,0.13954294799210645,0.032538281636070594,-0.06466591816493326,-0.010125172979898046
ACH-000958,-0.21101632136771087,-0.15645608991111828,-0.04398433589660637,0.0018035130882106203,-0.1064131032056433,0.017835310028824714,0.13297038138478826,0.017827353585252594,-0.1736309144106231,0.010659189938977487,-0.14651561537500596,-0.014335528815223054
ACH-000959,-0.20810210718676586,-0.15780003721924646,-0.23430828182995367,-0.01694830178674606,-0.02215979780918316,0.020436376106963403,-0.018525367815125086,-0.01044904119209527,0.027351069116150147,0.013634946158802475,-0.0579391572404192,-0.00013933974982241479
ACH-000963,-0.23224543259208874,-0.1658406243686186,-0.061766708783883253,-0.008030265857071731,-0.150043241214121,0.008737324098462616,-0.03141022689448525,-0.019416160418180794,0.1278910385179444,0.028438904514991783,-0.0684133056566674,-0.002805330218113744
ACH-000969,-0.1103942417678908,-0.15843236885299145,-0.16098112487847513,-0.02053664383262033,-0.017050284913324037,0.023626663904458937,-0.03760420195418423,-0.007371754245719912,-0.042681191870618945,0.01818762457070677,-0.027766642449494835,-0.01446191193346409
ACH-000970,-0.05211607216440168,-0.14349994786709672,-0.08662609181910064,-0.0050710982137864655,0.029604731364444217,0.025881795093135294,0.15271799913424103,0.0208446610425434,-0.05366375745038478,0.00921320680471678,-0.09164101226922663,-0.0056282683154037115
ACH-000971,-0.4693724770934779,-0.1675236178739159,0.0322805541902992,-0.0026850145437241897,-0.14953384675834197,0.02025716489047221,0.2933061396140232,0.03483087505170026,0.12062325547185386,0.021246835213840083,0.09459327897859586,0.01252614408132466
ACH-000985,-0.09566222948052433,-0.15092597245170072,-0.09842466245324866,-0.008419909097444661,-0.12124706788406825,0.012995714812745588,-0.00579640206268042,-0.008518656680824166,0.06534376083404185,0.02851198726319101,0.03506711879188681,0.0073515584563216265
ACH-000986,-0.10135296442785505,-0.15779385049296948,0.03786270835658738,-0.0019373678426790187,-0.024308426581082877,0.0256142532855625,-0.07498310999674508,-0.021563596549249057,0.11119610847679744,0.025922367349660334,-0.015127647491663215,-0.0022043977499496704
ACH-000991,-0.061441004603690855,-0.1374623828809762,-0.18849058673626087,-0.012718514368180077,0.04467274921408429,0.030215509246656024,-0.17353387203539125,-0.022864455151360676,-0.1540736819162166,0.008871538350250056,-0.22650475241252452,-0.018823253079777072
ACH-000997,-0.34946055284136945,-0.15711923156533258,0.025933912799818236,0.0026883770786190315,-0.12359656666206928,0.014392958539096341,0.21434876604210196,0.014815544060311731,0.004085389399090411,0.006188911858007116,-0.0282980617218909,0.0035245933321202934
ACH-001061,-0.06815934855666841,-0.14458371274158435,0.06478344467480798,0.0010527625088009689,0.0475678804956618,0.02037683577055993,0.11860951257848956,0.013321869736608613,-0.06702453899380706,1.816602013093435e-05,0.05076204729706769,0.004981314659318436
ACH-001345,-0.19421878859300828,-0.1604007057936003,0.12537067791523465,0.0007438809662647221,-0.026807126070816364,0.017074261743882345,0.04263781258028557,-0.011519833120232923,0.12459780241423214,0.022619723722804366,0.10700819944161598,0.010462030865865102
ACH-001399,0.04985380209280954,-0.13697836580313927,0.14070314808767617,0.009456536003277328,0.09734205928817381,0.028557255528237204,0.19164114000926316,0.029144941537771512,-0.13857067441125548,-0.006057203758146337,-0.005108017598376267,0.012410066383535933
ACH-001454,0.24112596572653106,-0.12830400695286678,0.03942800197334158,-0.0005770170739936481,0.21633470975554478,0.04550956463374051,0.0919275130982693,0.02387183946788969,-0.07645162781225855,-0.0009375364812462951,0.010486244211082275,0.0008495416521082594
ACH-001458,0.14823807619222787,-0.14558993030878445,0.03267461313572403,-0.008864357092076773,-0.00027429296431742597,0.020594334213429346,-0.17968352880215369,-0.02973949159801196,0.025553590064402065,0.018648230276295592,0.13197199712342436,0.001461485948953114
ACH-001459,0.24906491487319787,-0.14475411656793558,0.05678714392632943,-0.00875885565786436,0.05302361760231741,0.03170500321818288,-0.1666615835925102,-0.03148925426731792,0.07021244247067068,0.022473959078435617,0.20894300626879067,0.010091291548199396
ACH-001460,0.047941924898648645,-0.15259402757796595,0.019374716582513486,-0.008890580299729667,0.028286257055214294,0.03176244252962505,-0.1106679529725885,-0.020988906539267178,0.16885820186584866,0.031827419554431406,0.17717553874080322,0.0057608172437376565
ACH-001461,0.0505790571208383,-0.1581912410418397,0.13514768658994497,-0.0033847641413801348,-0.003529416407581934,0.021667356465542846,-0.0853610921895839,-0.02654486387040758,0.10398882728676061,0.020285461398561223,0.18714440784155573,0.008671329612149217
ACH-001786,0.07334409433705905,-0.14499135063527668,0.12099052053599489,0.00274637700178282,0.08759065581998429,0.0273263147050737,-0.0529498309870072,0.00014292655540809385,-0.0006339573992788362,0.021219298164037115,0.04425272524565912,-0.007009090002943311
ACH-002024,0.30597450196511444,-0.12749014651045454,0.0688365303814561,-0.003095411166887094,0.1260684339749437,0.04069037816416055,0.021572003434478598,0.006020193739599209,0.04830534788617742,0.019501846158169415,0.10889462943641456,0.01995299170105798
ACH-002025,0.16423336237006989,-0.14673595182042098,0.12311007113997516,0.0031329087562462802,0.051858229509576574,0.03343277149365478,-0.030297531609831087,-0.001549961339552123,-0.024107484374980084,0.014925214610535082,0.07271159773744935,0.0047822238200808205
ACH-002535,0.08806215974007424,-0.1414759180289053,0.17361024337295478,-0.0012654846823983126,0.09103155545247557,0.036342216640072506,0.048223720142137876,0.020417937124936978,-0.055697253388894294,0.004922353061512425,0.1935212838141656,0.02138907893111354
ACH-002654,0.07776259787142976,-0.13450615987180564,0.044006669870408875,-0.000875598000585011,0.05830762973895054,0.03513625655186559,-0.054593102134721974,-0.007730846564817638,-0.052844419319929684,0.005862552981800476,0.0283422130624708,0.007294473113184206
ACH-002659,0.19076635103220826,-0.13884432200371316,0.09767304407112803,-0.0023282663279787694,0.04743229895455637,0.02887353603178738,-0.23061588299934976,-0.025000228916467145,-0.24734448100263115,-0.0012388940678971113,0.07749547200399805,-0.0034217106423521807
ACH-002664,0.11328654743097465,-0.13144151154887507,0.0737675725923704,-0.002042580190181021,0.10779275991914995,0.032335008543038585,0.07246911585134024,0.0228174204104127,-0.1363379344045881,-0.00510615707886215,0.0012065826019324061,0.003798990776948124
ACH-002669,0.17433982372535395,-0.13368533395435464,0.13624155294606285,0.00409569683020226,0.029143324008623944,0.033652348369819264,0.1327313773618884,0.025082816015864477,-0.05866957742320722,0.007731764596836636,-0.056504168030360506,-0.012968338190166085
