drug,n_signatures,multi_context_RRS,DHODH_subtype_RRS,ERAD_subtype_RRS,EMT_subtype_RRS,multi_context_IQR,DHODH_IQR,ERAD_IQR,HT29_global_RRS,n_contexts,context_RRS_SD,context_RRS_min,context_RRS_max,DHODH_subtype_selectivity,ERAD_subtype_selectivity,EMT_subtype_selectivity,role,lead_gate,cross_context_confidence
sertraline,18,0.5037915209790209,0.5278195488721804,0.5088395979020979,0.5019576237980635,0.092263986013986,0.07041695146958304,0.09504479895104895,0.5135708041958043,5,0.025761888060947195,0.466520979020979,0.5205201048951049,0.024028027893159498,0.005048076923076961,-0.001833897180957389,approved non-oncology panel,False,supported
bortezomib,19,0.5154283216783216,0.5511825017088174,0.507888986013986,0.5059123579874797,0.056796328671328666,0.042385509227614415,0.04849213286713283,0.5375327797202797,5,0.02300292408650886,0.48233173076923075,0.5375327797202797,0.0357541800304958,-0.007539335664335622,-0.009515963690841955,proteostasis positive control,False,supported
fluoxetine,14,0.5087194055944055,0.49559125085440875,0.505506993006993,0.4920487669551888,0.04116586538461531,0.08366370471633627,0.0438920454545455,0.5073645104895105,5,0.03692614029134141,0.43282342657342654,0.5151988636363636,-0.013128154739996789,-0.003212412587412561,-0.01667063863921675,approved non-oncology panel,False,supported
propranolol,15,0.502229020979021,0.4734928229665072,0.5025131118881119,0.5068332055925165,0.07647508741258746,0.08928229665071785,0.07341564685314694,0.5103146853146854,5,0.038392714436232385,0.43064903846153846,0.5271743881118881,-0.028736198012513814,0.00028409090909087276,0.004604184613495543,approved non-oncology panel,False,supported
chloroquine,20,0.4914881993006993,0.5084073820915926,0.494416520979021,0.504760918802402,0.046492569930070005,0.0841421736158578,0.05595498251748254,0.53555506993007,5,0.036402543601184334,0.4483391608391608,0.53555506993007,0.016919182790893328,0.002928321678321688,0.013272719501702723,approved non-oncology panel,False,supported
celecoxib,20,0.5004916958041958,0.5091524265208476,0.4933238636363636,0.48879415893884304,0.12438811188811183,0.07780246069719743,0.11667941433566431,0.49083260489510494,5,0.05226388488506111,0.40933129370629373,0.5546547202797203,0.008660730716651743,-0.007167832167832233,-0.011697536865352798,approved non-oncology panel,False,exploratory
hydroxyurea,14,0.4940887237762238,0.49055365686944635,0.49281031468531467,0.49638368616460643,0.1011909965034965,0.05598086124401913,0.09422530594405593,0.4345170454545455,5,0.04434106716147877,0.4345170454545455,0.5453452797202797,-0.003535066906777462,-0.0012784090909091494,0.0022949623883826153,approved non-oncology panel,False,supported
melatonin,17,0.495388986013986,0.5014217361585782,0.49230769230769234,0.498629612717518,0.05930944055944054,0.08176349965823654,0.05614073426573424,0.5282670454545455,5,0.03218628439667917,0.44630681818181817,0.5282670454545455,0.006032750144592203,-0.003081293706293675,0.003240626703531979,approved non-oncology panel,False,supported
niclosamide,19,0.48953234265734263,0.5004921394395079,0.4922202797202797,0.49621333695125025,0.11129807692307692,0.1130485304169514,0.10945148601398602,0.4686625874125874,5,0.02473059835860694,0.44607736013986016,0.5096153846153846,0.010959796782165243,0.0026879370629370736,0.006680994293907616,approved non-oncology panel,False,supported
metformin,13,0.4895979020979021,0.517717019822283,0.491520979020979,0.5054850927985566,0.050611888111888104,0.044579630895420386,0.060729895104895126,0.47713068181818186,5,0.041059848341778955,0.4702687937062937,0.5733391608391608,0.028119117724380915,0.0019230769230769162,0.015887190700654474,approved non-oncology panel,False,supported
metoprolol,16,0.4865166083916084,0.4907587149692413,0.49048295454545454,0.4849943351925782,0.04008413461538457,0.10893028024606966,0.04123688811188814,0.4854785839160839,5,0.04672198261497175,0.44839379370629373,0.5647727272727273,0.004242106577632909,0.0039663461538461675,-0.0015222731990301996,approved non-oncology panel,False,supported
tacrolimus,20,0.4912041083916084,0.5213055365686945,0.48772945804195805,0.49647354347625794,0.10315231643356643,0.09963773069036236,0.10074847027972028,0.5042285839160839,5,0.05018412451171972,0.44771634615384615,0.5854567307692308,0.03010142817708611,-0.0034746503496503323,0.005269435084649554,approved non-oncology panel,False,exploratory
leflunomide,17,0.48310751748251746,0.4826930963773069,0.48708479020979023,0.49363810233507516,0.1282998251748252,0.04978810663021188,0.12401660839160833,0.42798295454545454,5,0.05112359254280282,0.42798295454545454,0.5557910839160839,-0.00041442110521056064,0.003977272727272774,0.0105305848525577,DHODH comparator,False,exploratory
dexamethasone,18,0.4735030594405595,0.5104374572795626,0.478715034965035,0.5205808680368177,0.04881993006993013,0.09044429254955572,0.049256993006993044,0.5420017482517483,5,0.04556517738304961,0.4171547202797203,0.5420017482517483,0.0369343978390031,0.005211975524475498,0.04707780859625821,approved non-oncology panel,False,supported
simvastatin,18,0.4776442307692308,0.5160902255639098,0.4762237762237762,0.5131573884984666,0.05294471153846153,0.08937799043062195,0.05262237762237765,0.46361451048951047,5,0.027397784677006654,0.46361451048951047,0.5310314685314685,0.03844599479467903,-0.0014204545454545858,0.0355131577292358,approved non-oncology panel,False,supported
carbamazepine,18,0.47260708041958044,0.4700341763499658,0.4747377622377622,0.4943830321046253,0.11647180944055946,0.09022214627477793,0.11746066433566427,0.4233719405594406,5,0.050186506801461674,0.4233719405594406,0.5459465571698772,-0.0025729040696146344,0.0021306818181817677,0.02177595168504487,approved non-oncology panel,False,exploratory
colchicine,16,0.46889204545454544,0.4591934381408066,0.46384396853146853,0.4917305961361862,0.10631555944055937,0.0399145591250854,0.09548732517482522,0.5609702797202798,4,0.05147925168112009,0.44377185314685313,0.5609702797202798,-0.009698607313738838,-0.005048076923076905,0.022838550681640757,approved non-oncology panel,False,exploratory
hydroxychloroquine,3,0.4321896853146853,0.4822693096377307,0.43247377622377625,0.4574881261789026,0.09241695804195799,0.07501708817498298,0.09470061188811185,,2,0.12287061998699371,0.42112106643356645,0.5948863636363636,0.05007962432304536,0.00028409090909092827,0.025298440864217286,approved non-oncology panel,False,insufficient_contexts
